trial_id,neurons_encoder,latent_dim,neurons_decoder
0,"[180, 360]",574,[360]
1,[184],204,"[184, 92, 46]"
2,"[92, 184, 368]",445,[368]
3,[244],261,[244]
4,[44],69,[44]
5,"[116, 232, 464]",728,[464]
6,"[180, 360]",717,[360]
7,"[72, 144]",205,[144]
8,"[184, 368]",685,"[368, 184]"
9,"[12, 24, 48]",84,"[48, 24]"
10,[252],310,"[252, 126, 63]"
11,"[100, 200]",360,[200]
12,"[176, 352]",610,[352]
13,[112],151,"[112, 56]"
14,"[204, 408]",441,"[408, 204, 102]"
15,"[108, 216, 432]",541,"[432, 216]"
16,"[104, 208, 416]",500,"[416, 208]"
17,"[252, 504, 1008]",1204,"[1008, 504]"
18,[252],359,"[252, 126]"
19,[248],366,"[248, 124]"
20,[148],248,"[148, 74]"
21,"[148, 296, 592]",1058,"[592, 296, 148]"
22,"[148, 296, 592]",1057,"[592, 296, 148]"
23,"[144, 288, 576]",1102,"[576, 288, 144]"
24,"[144, 288, 576]",1046,"[576, 288, 144]"
25,"[148, 296]",430,"[296, 148, 74]"
26,"[144, 288]",442,"[288, 144, 72]"
27,"[148, 296]",450,"[296, 148, 74]"
28,"[208, 416, 832]",940,"[832, 416, 208]"
29,"[212, 424]",549,"[424, 212]"
30,"[212, 424]",554,"[424, 212]"
31,"[200, 400]",536,"[400, 200]"
32,"[216, 432]",627,"[432, 216, 108]"
33,"[220, 440]",630,"[440, 220, 110]"
34,"[216, 432]",608,"[432, 216, 108]"
35,[208],309,"[208, 104, 52]"
36,"[80, 160]",249,"[160, 80]"
37,[128],180,"[128, 64, 32]"
38,[168],257,"[168, 84]"
39,[128],185,"[128, 64, 32]"
40,[196],307,"[196, 98, 49]"
41,"[196, 392]",499,"[392, 196]"
42,"[196, 392]",488,"[392, 196]"
43,"[196, 392]",501,"[392, 196]"
44,"[236, 472]",805,"[472, 236]"
45,[232],330,"[232, 116, 58]"
46,[164],221,"[164, 82]"
47,[232],336,"[232, 116, 58]"
48,[232],381,"[232, 116]"
49,[196],278,"[196, 98]"
50,"[192, 384]",508,"[384, 192]"
51,"[188, 376]",529,"[376, 188]"
52,"[184, 368]",533,[368]
53,"[184, 368]",528,[368]
54,"[124, 248]",407,[248]
55,"[124, 248]",402,"[248, 124]"
56,"[168, 336, 672]",795,"[672, 336]"
57,"[44, 88]",115,[88]
58,"[116, 232, 464]",570,[464]
59,"[96, 192]",287,"[192, 96]"
