trial_id,neurons_encoder,latent_dim,neurons_decoder
0,"[132, 264]",496,"[264, 132, 66, 33, 16]"
1,"[8, 16, 32, 64, 128]",280,"[128, 64, 32, 16]"
2,"[96, 192, 384]",728,"[384, 192]"
3,"[196, 392, 784, 1568, 3136]",3512,"[3136, 1568, 784]"
4,"[100, 200, 400, 800, 1600]",3688,[1600]
5,"[224, 448]",488,"[448, 224]"
6,"[128, 256, 512, 1024, 2048]",2344,"[2048, 1024]"
7,"[140, 280, 560, 1120, 2240]",4312,"[2240, 1120, 560, 280, 140]"
8,"[52, 104]",224,"[104, 52, 26, 13, 8]"
9,"[240, 480]",936,[480]
10,"[188, 376, 752]",1144,"[752, 376, 188]"
11,"[144, 288, 576]",952,"[576, 288, 144, 72, 36]"
12,"[132, 264, 528, 1056]",1832,"[1056, 528, 264, 132]"
13,"[224, 448, 896, 1792]",3896,"[1792, 896]"
14,[236],420,[236]
15,[232],352,[232]
16,[252],372,[252]
17,"[72, 144, 288, 576]",1240,"[576, 288]"
18,[84],92,"[84, 42]"
19,[256],424,"[256, 128]"
20,[188],404,"[188, 94]"
21,"[200, 400]",552,"[400, 200]"
22,"[196, 392]",560,"[392, 196, 98]"
23,"[220, 440]",624,"[440, 220, 110]"
24,"[208, 416]",584,"[416, 208, 104]"
25,"[208, 416, 832, 1664]",1960,"[1664, 832, 416]"
26,"[48, 96, 192, 384]",600,[384]
27,"[48, 96, 192, 384]",520,[384]
28,"[168, 336, 672, 1344]",1624,[1344]
29,"[160, 320, 640, 1280]",1560,[1280]
30,"[44, 88, 176, 352]",472,[352]
31,"[20, 40, 80]",120,[80]
32,"[168, 336, 672]",1256,[672]
33,"[64, 128, 256]",472,"[256, 128]"
34,"[160, 320, 640]",776,[640]
35,"[56, 112, 224]",456,"[224, 112]"
36,"[60, 120, 240]",472,"[240, 120]"
37,"[24, 48, 96]",152,[96]
38,[20],22,[20]
39,"[24, 48, 96, 192, 384]",520,[384]
40,"[28, 56, 112, 224, 448]",664,[448]
41,"[36, 72, 144, 288, 576]",696,[576]
42,"[104, 208, 416, 832, 1664]",2936,[1664]
43,[4],4,[8]
44,[4],4,"[8, 8, 8, 8]"
45,"[36, 72, 144, 288, 576]",728,[576]
46,"[104, 208, 416, 832]",888,[832]
47,"[96, 192, 384, 768]",840,[768]
48,"[108, 216, 432, 864]",920,[864]
49,"[40, 80, 160, 320]",520,"[320, 160]"
50,"[72, 144, 288, 576]",776,"[576, 288]"
51,[76],99,"[76, 38]"
52,[72],95,"[72, 36]"
53,[72],95,"[72, 36]"
54,[44],64,"[44, 22]"
55,"[116, 232, 464, 928, 1856]",2840,[1856]
56,"[64, 128, 256, 512, 1024]",1096,[1024]
57,[120],192,"[120, 60]"
58,[64],134,"[64, 32]"
59,[16],17,"[16, 8, 8]"
60,"[16, 32]",51,[32]
61,"[88, 176]",264,"[176, 88, 44, 22]"
62,"[52, 104]",192,"[104, 52, 26, 13]"
63,"[16, 32]",51,"[32, 16, 8, 8]"
64,"[84, 168]",272,[168]
65,"[92, 184]",288,"[184, 92, 46, 23]"
66,"[88, 176]",296,"[176, 88, 44, 22]"
67,"[88, 176, 352, 704, 1408]",1464,[1408]
68,"[84, 168, 336, 672, 1344]",1384,[1344]
69,"[92, 184, 368, 736, 1472]",1528,[1472]
70,"[32, 64, 128, 256, 512]",632,[512]
71,"[132, 264, 528, 1056, 2112]",5112,[2112]
72,"[32, 64, 128]",184,[128]
73,"[32, 64, 128]",200,[128]
74,"[48, 96, 192]",392,"[192, 96, 48]"
75,[248],480,"[248, 124]"
76,[248],480,"[248, 124, 62]"
77,[248],480,"[248, 124, 62]"
78,[244],460,"[244, 122]"
79,[248],464,"[248, 124]"
80,[220],436,"[220, 110]"
81,[248],448,"[248, 124, 62]"
82,[248],512,"[248, 124, 62]"
83,[244],508,"[244, 122, 61]"
84,[236],500,"[236, 118, 59]"
85,[256],520,"[256, 128, 64]"
86,[228],444,"[228, 114, 57]"
87,[232],496,"[232, 116, 58]"
88,[228],476,"[228, 114, 57]"
89,[232],416,"[232, 116, 58, 29, 14]"
90,[232],480,"[232, 116, 58, 29, 14]"
91,"[208, 416, 832, 1664]",1752,"[1664, 832]"
92,"[216, 432, 864, 1728]",1800,"[1728, 864]"
93,[216],416,"[216, 108]"
94,"[208, 416, 832, 1664]",1768,"[1664, 832]"
95,"[140, 280, 560, 1120]",1160,[1120]
96,"[64, 128, 256, 512]",552,[512]
97,[60],82,[60]
98,[60],114,[60]
99,[56],77,[56]
100,[256],456,[256]
101,[256],344,[256]
102,[256],328,[256]
103,[256],312,[256]
104,[256],328,[256]
105,"[40, 80, 160]",232,"[160, 80]"
106,"[240, 480, 960]",1016,"[960, 480]"
107,"[240, 480]",536,"[480, 240]"
108,"[240, 480, 960]",1016,"[960, 480]"
109,"[48, 96]",168,"[96, 48]"
110,"[44, 88]",144,"[88, 44]"
111,"[76, 152]",240,"[152, 76]"
112,"[76, 152]",224,"[152, 76]"
113,"[152, 304]",536,"[304, 152]"
114,"[48, 96]",152,"[96, 48]"
115,"[48, 96]",168,"[96, 48]"
116,"[52, 104]",176,"[104, 52]"
117,[152],224,"[152, 76]"
118,[48],68,"[48, 24]"
119,[68],106,"[68, 34, 17]"
120,"[112, 224, 448]",488,"[448, 224, 112]"
121,"[24, 48, 96]",168,"[96, 48, 24]"
122,"[180, 360, 720]",744,"[720, 360, 180]"
123,[124],260,[124]
124,[24],42,[24]
125,[40],60,"[40, 20]"
126,[40],60,"[40, 20]"
127,[100],124,"[100, 50]"
128,[8],8,"[8, 8]"
129,[8],8,"[8, 8]"
130,[12],13,"[12, 8]"
131,[12],13,"[12, 8]"
132,[248],464,"[248, 124]"
133,[248],464,[248]
134,[248],464,[248]
135,[60],82,[60]
136,[56],77,[56]
137,[64],86,[64]
138,[28],46,"[28, 14]"
139,[56],93,"[56, 28]"
140,"[56, 112, 224, 448, 896]",920,"[896, 448]"
141,"[20, 40, 80, 160]",376,"[160, 80]"
142,"[224, 448, 896, 1792]",1816,"[1792, 896]"
143,[56],93,[56]
144,[44],80,[44]
145,"[68, 136, 272, 544]",584,[544]
146,[80],104,[80]
147,[68],122,[68]
148,[80],104,[80]
149,[36],71,[36]
150,[80],104,[80]
151,[80],104,[80]
152,[76],131,[76]
153,[72],111,[72]
154,[76],115,[76]
155,[236],500,[236]
156,[240],488,[240]
157,[236],484,[236]
158,[48],84,"[48, 24, 12]"
159,[236],484,"[236, 118, 59]"
160,[32],51,"[32, 16]"
161,[48],68,"[48, 24]"
162,"[52, 104, 208, 416, 832]",856,"[832, 416]"
163,"[60, 120, 240, 480, 960]",984,"[960, 480, 240]"
164,"[48, 96, 192, 384, 768]",792,"[768, 384]"
165,[228],476,"[228, 114, 57]"
166,[228],476,"[228, 114, 57]"
167,[60],82,"[60, 30, 15]"
168,[64],86,"[64, 32, 16]"
169,[60],82,"[60, 30, 15]"
170,[60],82,"[60, 30, 15]"
171,[52],89,"[52, 26, 13]"
172,[44],80,"[44, 22, 11]"
173,[44],80,"[44, 22, 11]"
174,[40],60,"[40, 20, 10]"
175,"[104, 208, 416]",440,"[416, 208, 104]"
176,[40],60,"[40, 20, 10]"
177,"[40, 80, 160, 320, 640]",696,"[640, 320, 160]"
178,"[52, 104, 208, 416, 832]",856,"[832, 416, 208]"
179,"[4, 8, 16, 32, 64]",134,"[64, 32]"
180,"[32, 64, 128, 256, 512]",536,"[512, 256, 128]"
181,"[28, 56, 112, 224, 448]",632,"[448, 224, 112]"
182,"[36, 72, 144, 288, 576]",600,"[576, 288, 144, 72]"
183,"[36, 72, 144, 288, 576]",600,"[576, 288, 144]"
184,"[244, 488, 976, 1952, 3904]",3944,"[3904, 1952, 976]"
185,[36],71,"[36, 18, 9]"
186,[16],17,"[16, 8, 8, 8]"
187,[16],17,"[16, 8]"
188,[48],68,"[48, 24]"
189,[48],68,"[48, 24]"
190,[48],100,"[48, 24]"
191,[48],100,"[48, 24]"
192,[52],105,[52]
193,[20],22,[20]
194,[12],13,[12]
195,[20],22,"[20, 10]"
196,[252],452,[252]
197,[16],17,[16]
198,[252],468,[252]
