number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_relative_deterioration,state
0,-21.486143363164597,2025-01-10 08:02:27.974135,2025-01-10 08:02:30.277431,0 days 00:00:02.303296,0.03377340259474558,120,0.1,48,100,0.0007855697497226192,584,0.0008321254148276031,1,4,adadelta,"{'neurons_per_layer_encoder': [48, 96, 192, 384], 'neurons_per_layer_decoder': [384]}",48,[384],"[48, 96, 192, 384]",[-21.486143363164597],0.8619861057912167,COMPLETE
1,-16.9769516770009,2025-01-10 08:02:27.974163,2025-01-10 08:02:30.995868,0 days 00:00:03.021705,0.015605009028009665,48,0.4,8,100,0.00046997199299673444,70,7.690876240963449e-05,4,4,sgd,"{'neurons_per_layer_encoder': [8, 16, 32, 64], 'neurons_per_layer_decoder': [64, 32, 16, 8]}",8,"[64, 32, 16, 8]","[8, 16, 32, 64]",[-16.9769516770009],0.6211467211825156,COMPLETE
2,-0.027811435967087794,2025-01-10 08:02:27.974470,2025-01-10 08:02:42.638485,0 days 00:00:14.664015,0.18857128609805257,96,0.1,104,100,3.820185708571528e-06,1544,0.0003760625429917326,4,4,adam,"{'neurons_per_layer_encoder': [104, 208, 416, 832], 'neurons_per_layer_decoder': [832, 416, 208, 104]}",104,"[832, 416, 208, 104]","[104, 208, 416, 832]",[-0.027811435967087794],0.6802500732949764,COMPLETE
3,-1.853720204934067,2025-01-10 08:02:27.974466,2025-01-10 08:02:32.162066,0 days 00:00:04.187600,0.04703168516084188,112,0.30000000000000004,56,100,2.7456583380539835e-05,248,0.008937965937185568,5,3,adam,"{'neurons_per_layer_encoder': [56, 112, 224], 'neurons_per_layer_decoder': [224, 112, 56, 28, 14]}",56,"[224, 112, 56, 28, 14]","[56, 112, 224]",[-1.853720204934067],0.6366569358717666,COMPLETE
4,-4.092853006391963,2025-01-10 08:02:27.974293,2025-01-10 08:02:31.170152,0 days 00:00:03.195859,0.018212208954166212,80,0.30000000000000004,56,100,0.0001906963290793308,93,0.00016266156842930342,2,1,adam,"{'neurons_per_layer_encoder': [56], 'neurons_per_layer_decoder': [56, 28]}",56,"[56, 28]",[56],[-4.092853006391963],0.577048127055591,COMPLETE
5,-2.3822483920538664,2025-01-10 08:02:30.290378,2025-01-10 08:02:57.647262,0 days 00:00:27.356884,0.08758125860678768,80,0.2,232,100,9.084052355868487e-06,7048,0.0005522345834015584,3,5,adam,"{'neurons_per_layer_encoder': [232, 464, 928, 1856, 3712], 'neurons_per_layer_decoder': [3712, 1856, 928]}",232,"[3712, 1856, 928]","[232, 464, 928, 1856, 3712]",[-2.3822483920538664],0.8733090166183688,COMPLETE
6,-0.1718037330717086,2025-01-10 08:02:31.005969,2025-01-10 08:03:29.561844,0 days 00:00:58.555875,0.011833938990911933,72,0.2,192,100,1.5008397553529855e-05,7304,0.0030552478696170325,4,5,adam,"{'neurons_per_layer_encoder': [192, 384, 768, 1536, 3072], 'neurons_per_layer_decoder': [3072, 1536, 768, 384]}",192,"[3072, 1536, 768, 384]","[192, 384, 768, 1536, 3072]",[-0.1718037330717086],0.963947597787741,COMPLETE
7,0.26403458275758873,2025-01-10 08:02:31.188249,2025-01-10 08:02:49.422466,0 days 00:00:18.234217,0.05759071029984766,120,0.2,192,100,8.185519083387624e-05,1176,0.0002572955727137011,2,3,adam,"{'neurons_per_layer_encoder': [192, 384, 768], 'neurons_per_layer_decoder': [768, 384]}",192,"[768, 384]","[192, 384, 768]",[0.26403458275758873],0.980330085759455,COMPLETE
8,-4.6462076092684725,2025-01-10 08:02:32.174832,2025-01-10 08:03:14.018286,0 days 00:00:41.843454,0.1738323794465518,120,0.1,196,100,7.170698166155201e-06,7752,0.0003207820760060046,2,5,sgd,"{'neurons_per_layer_encoder': [196, 392, 784, 1568, 3136], 'neurons_per_layer_decoder': [3136, 1568]}",196,"[3136, 1568]","[196, 392, 784, 1568, 3136]",[-4.6462076092684725],0.7661345075350585,COMPLETE
9,-6.34169544316818,2025-01-10 08:02:42.666856,2025-01-10 08:02:57.365380,0 days 00:00:14.698524,0.015213061715585485,72,0.2,56,100,5.392897535938422e-06,77,0.0008397018912099706,4,1,adam,"{'neurons_per_layer_encoder': [56], 'neurons_per_layer_decoder': [56, 28, 14, 8]}",56,"[56, 28, 14, 8]",[56],[-6.34169544316818],0.24340838106004917,COMPLETE
