trial_id,neurons_encoder,latent_dim,neurons_decoder
0,"[252, 504]",559,"[504, 252]"
1,[48],89,"[48, 24, 12]"
2,"[220, 440]",449,[440]
3,"[120, 240, 480]",800,"[480, 240, 120]"
4,"[124, 248, 496]",981,"[496, 248]"
5,[28],33,[28]
6,"[188, 376]",414,"[376, 188, 94]"
7,[84],152,[84]
8,[100],164,[100]
9,"[120, 240, 480]",957,"[480, 240, 120]"
10,"[244, 488, 976]",1663,"[976, 488, 244]"
11,"[236, 472]",736,[472]
12,"[52, 104, 208]",380,[208]
13,[100],162,[100]
14,"[156, 312, 624]",1201,"[624, 312]"
15,"[4, 8, 16]",17,"[16, 8]"
16,"[152, 304, 608]",1132,"[608, 304]"
17,"[4, 8, 16]",17,"[16, 8]"
18,"[164, 328]",535,"[328, 164]"
19,"[164, 328]",533,"[328, 164]"
20,"[172, 344]",514,"[344, 172]"
21,"[160, 320, 640]",1263,"[640, 320]"
22,"[156, 312]",621,"[312, 156]"
23,"[164, 328]",525,"[328, 164]"
24,"[192, 384]",520,"[384, 192]"
25,"[188, 376]",518,"[376, 188]"
26,"[192, 384]",528,"[384, 192]"
27,"[192, 384]",521,"[384, 192]"
28,"[204, 408]",524,"[408, 204]"
29,"[192, 384]",492,"[384, 192]"
30,"[208, 416]",581,"[416, 208]"
31,"[212, 424]",578,"[424, 212, 106]"
32,"[216, 432]",589,"[432, 216, 108]"
33,"[140, 280]",481,"[280, 140, 70]"
34,"[140, 280]",465,"[280, 140, 70]"
35,"[172, 344]",562,"[344, 172]"
36,"[176, 352]",563,"[352, 176]"
37,"[176, 352]",558,"[352, 176]"
38,[172],341,"[172, 86]"
39,"[176, 352]",498,"[352, 176]"
40,[176],348,"[176, 88]"
41,"[228, 456]",615,"[456, 228]"
42,"[136, 272]",503,"[272, 136]"
43,"[228, 456]",622,[456]
44,"[256, 512]",641,[512]
45,"[224, 448]",617,"[448, 224]"
46,"[224, 448]",629,"[448, 224]"
47,"[200, 400]",540,"[400, 200]"
48,"[148, 296]",541,"[296, 148]"
49,"[200, 400]",533,"[400, 200]"
50,"[120, 240]",458,"[240, 120]"
51,[108],136,"[108, 54]"
52,[108],156,"[108, 54]"
53,[128],208,"[128, 64]"
54,[96],169,[96]
55,"[184, 368]",548,"[368, 184]"
56,"[168, 336]",548,"[336, 168]"
57,"[168, 336]",545,"[336, 168]"
58,"[240, 480]",692,"[480, 240]"
59,"[240, 480]",546,"[480, 240]"
60,"[184, 368]",511,"[368, 184]"
61,"[240, 480]",668,"[480, 240]"
62,"[196, 392]",506,"[392, 196]"
63,"[200, 400]",510,"[400, 200]"
64,"[188, 376]",512,"[376, 188]"
65,"[200, 400]",565,"[400, 200]"
66,"[200, 400]",486,"[400, 200]"
67,"[184, 368]",483,"[368, 184]"
68,"[204, 408]",488,"[408, 204]"
69,"[184, 368]",478,"[368, 184]"
70,"[148, 296]",483,"[296, 148]"
71,"[148, 296]",513,"[296, 148, 74]"
72,"[184, 368]",515,"[368, 184, 92]"
73,"[160, 320]",515,"[320, 160, 80]"
74,"[148, 296, 592]",643,"[592, 296, 148]"
75,"[148, 296]",516,"[296, 148]"
76,"[160, 320]",529,"[320, 160]"
77,"[156, 312]",525,"[312, 156, 78]"
78,"[156, 312]",532,"[312, 156, 78]"
79,"[156, 312]",532,"[312, 156, 78]"
80,"[160, 320]",529,"[320, 160]"
81,"[160, 320]",531,"[320, 160]"
82,"[136, 272]",429,"[272, 136]"
83,"[164, 328]",496,"[328, 164]"
84,"[136, 272]",496,"[272, 136]"
85,"[140, 280]",427,"[280, 140]"
86,"[136, 272]",497,"[272, 136]"
87,"[168, 336]",498,"[336, 168]"
88,"[168, 336]",473,"[336, 168]"
89,"[176, 352]",470,"[352, 176]"
90,"[212, 424]",591,"[424, 212]"
91,"[216, 432]",585,"[432, 216]"
92,"[176, 352]",558,"[352, 176]"
93,"[64, 128]",238,"[128, 64]"
94,"[124, 248]",487,"[248, 124]"
95,"[144, 288]",404,"[288, 144]"
96,"[144, 288]",521,"[288, 144]"
97,"[120, 240]",473,"[240, 120]"
98,"[124, 248]",488,"[248, 124]"
99,"[112, 224]",441,"[224, 112]"
