trial_id,best_loss,neurons_encoder,latent_dim,neurons_decoder
0,0.017705774779289404,"[1728, 864, 432, 216, 108]",36,"[108, 216, 432]"
1,0.0345472114622589,"[1568, 784]",389,"[784, 1568, 3136]"
2,0.34890390591587145,"[1488, 744]",280,"[744, 1488, 2976, 5952, 11904]"
3,0.025709406964746107,"[1760, 880, 440, 220]",105,"[220, 440]"
4,0.02940284100674868,"[1856, 928, 464, 232]",77,"[232, 464]"
5,0.016787566074323062,"[1776, 888, 444, 222, 111]",37,"[111, 222]"
6,0.016730935570827443,"[880, 440, 220, 110, 55]",18,"[55, 110]"
7,0.026119165548330405,"[1712, 856, 428]",142,"[428, 856, 1712, 3424]"
8,0.031024355947966598,"[1392, 696, 348, 174, 87]",29,"[87, 174]"
9,0.019007734161681843,"[640, 320, 160, 80]",26,"[80, 160, 320, 640, 1280]"
10,0.01214482411374663,"[1088, 544, 272, 136, 68]",22,"[68, 136, 272, 544]"
11,0.04740173320084152,"[544, 272, 136, 68]",22,"[68, 136, 272]"
12,0.0195466931049295,"[1392, 696, 348, 174]",58,"[174, 348, 696, 1392]"
13,0.02673986478873598,"[1760, 880, 440, 220]",105,"[220, 440, 880, 1760]"
14,0.027199432510323644,"[1856, 928, 464]",218,"[464, 928, 1856, 3712, 7424]"
15,0.02447664825172202,"[1936, 968, 484]",161,"[484, 968]"
16,0.020698665811020818,"[1088, 544, 272]",122,"[272, 544, 1088, 2176, 4352]"
17,0.02479305420941956,"[1008, 504]",200,"[504, 1008, 2016, 4032]"
18,0.010351541541103414,"[928, 464, 232, 116, 58]",19,"[58, 116, 232, 464, 928]"
19,0.004771749579497753,"[960, 480, 240, 120, 60]",20,"[60, 120, 240, 480, 960]"
20,0.008285308369009044,"[928, 464, 232, 116, 58]",19,"[58, 116, 232, 464, 928]"
21,0.00851417707958196,"[1040, 520, 260, 130, 65]",21,"[65, 130, 260, 520, 1040]"
22,0.012513915842966168,"[1072, 536, 268, 134, 67]",22,"[67, 134, 268, 536, 1072]"
23,0.01554307916469815,"[784, 392, 196, 98, 49]",16,"[49, 98, 196, 392, 784]"
24,0.015076494628777406,"[784, 392, 196, 98, 49]",16,"[49, 98, 196, 392, 784]"
25,0.014334223186316266,"[864, 432, 216, 108, 54]",18,"[54, 108, 216, 432, 864]"
26,0.00915713084893895,"[736, 368, 184, 92, 46]",15,"[46, 92, 184, 368, 736]"
27,0.01132138419595682,"[1216, 608, 304, 152, 76]",25,"[76, 152, 304, 608, 1216]"
28,0.00798154058896116,"[1248, 624, 312, 156, 78]",26,"[78, 156, 312, 624, 1248]"
29,0.00901647189751184,"[1248, 624, 312, 156, 78]",26,"[78, 156, 312, 624, 1248]"
30,0.01493701978229919,"[1232, 616, 308, 154]",51,"[154, 308, 616, 1232, 2464]"
31,0.01946663861158051,"[1232, 616, 308, 154]",51,"[154, 308, 616, 1232]"
32,0.016341272919451453,"[1232, 616, 308, 154]",51,"[154, 308, 616, 1232]"
33,0.014121617326799936,"[1232, 616, 308, 154]",51,"[154, 308, 616, 1232]"
34,0.01688183546905387,"[1216, 608, 304, 152]",50,"[152, 304, 608, 1216]"
35,0.015700808310684204,"[1440, 720, 360, 180]",60,"[180, 360, 720, 1440]"
36,0.019998161020208485,"[1488, 744, 372, 186]",62,"[186, 372, 744, 1488]"
37,0.01040462067799996,"[976, 488, 244, 122, 61]",20,"[61, 122, 244, 488, 976]"
