number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_relative_deterioration,user_attrs_test_r2,state
0,0.017705774779289404,2024-12-21 16:03:12.327844,2024-12-21 16:03:33.153263,0 days 00:00:20.825419,0.04203126289336321,1024,0.1,1728,50,0.0006614770691982986,36,0.0005571469303320926,3,5,"{'neurons_per_layer_encoder': [1728, 864, 432, 216, 108], 'neurons_per_layer_decoder': [108, 216, 432]}",1728,"[108, 216, 432]","[1728, 864, 432, 216, 108]",0.9993115333263802,0.7788436229045688,COMPLETE
1,0.0345472114622589,2024-12-21 16:03:12.328898,2024-12-21 16:03:46.471959,0 days 00:00:34.143061,0.02238050407620916,896,0.3,1568,50,0.00016590249978256668,389,0.00029250797407092614,3,2,"{'neurons_per_layer_encoder': [1568, 784], 'neurons_per_layer_decoder': [784, 1568, 3136]}",1568,"[784, 1568, 3136]","[1568, 784]",0.9989599481324207,0.5684833778254142,COMPLETE
2,0.34890390591587145,2024-12-21 16:03:12.328988,2024-12-21 16:15:52.217757,0 days 00:12:39.888769,0.04644937896128241,256,0.3,1488,50,0.00012942316782196516,280,0.00048307383803858383,5,2,"{'neurons_per_layer_encoder': [1488, 744], 'neurons_per_layer_decoder': [744, 1488, 2976, 5952, 11904]}",1488,"[744, 1488, 2976, 5952, 11904]","[1488, 744]",0.9957379527335689,-3.3580314755306144,COMPLETE
3,0.025709406964746107,2024-12-21 16:03:12.328994,2024-12-21 16:03:30.757983,0 days 00:00:18.428989,0.12382662011296339,1024,0.3,1760,50,2.8800287853547563e-05,105,0.0002822245319904455,2,4,"{'neurons_per_layer_encoder': [1760, 880, 440, 220], 'neurons_per_layer_decoder': [220, 440]}",1760,"[220, 440]","[1760, 880, 440, 220]",0.999242455991972,0.6788731714668581,COMPLETE
4,0.02940284100674868,2024-12-21 16:03:12.328995,2024-12-21 16:03:33.465103,0 days 00:00:21.136108,0.20723924552841308,896,0.3,1856,50,1.0726885841929792e-05,77,0.00017357541095158594,2,4,"{'neurons_per_layer_encoder': [1856, 928, 464, 232], 'neurons_per_layer_decoder': [232, 464]}",1856,"[232, 464]","[1856, 928, 464, 232]",0.9990913846746946,0.6327398335049592,COMPLETE
5,0.016787566074323062,2024-12-21 16:03:12.329184,2024-12-21 16:03:30.105287,0 days 00:00:17.776103,0.09969679249087851,768,0.3,1776,50,1.2936728365731907e-05,37,0.0005638606686229273,2,5,"{'neurons_per_layer_encoder': [1776, 888, 444, 222, 111], 'neurons_per_layer_decoder': [111, 222]}",1776,"[111, 222]","[1776, 888, 444, 222, 111]",0.9990829426414033,0.7903126330517765,COMPLETE
6,0.016730935570827443,2024-12-21 16:03:12.329453,2024-12-21 16:03:29.719796,0 days 00:00:17.390343,0.015081685494962083,256,0.1,880,50,8.137769982274831e-05,18,0.0003112829929151404,2,5,"{'neurons_per_layer_encoder': [880, 440, 220, 110, 55], 'neurons_per_layer_decoder': [55, 110]}",880,"[55, 110]","[880, 440, 220, 110, 55]",0.9975574776319299,0.7910199840229879,COMPLETE
7,0.026119165548330405,2024-12-21 16:03:29.794334,2024-12-21 16:04:08.511691,0 days 00:00:38.717357,0.29156789963254676,768,0.3,1712,50,8.917923608916198e-05,142,0.000453269984319791,4,3,"{'neurons_per_layer_encoder': [1712, 856, 428], 'neurons_per_layer_decoder': [428, 856, 1712, 3424]}",1712,"[428, 856, 1712, 3424]","[1712, 856, 428]",0.9989901269006055,0.6737550264006925,COMPLETE
8,0.031024355947966598,2024-12-21 16:03:30.135320,2024-12-21 16:03:49.855119,0 days 00:00:19.719799,0.23812035958389488,512,0.2,1392,50,3.6217347748445554e-05,29,0.00012027726210077496,2,5,"{'neurons_per_layer_encoder': [1392, 696, 348, 174, 87], 'neurons_per_layer_decoder': [87, 174]}",1392,"[87, 174]","[1392, 696, 348, 174, 87]",0.9983590083921294,0.6124860815920334,COMPLETE
9,0.019007734161681843,2024-12-21 16:03:30.770660,2024-12-21 16:03:59.051384,0 days 00:00:28.280724,0.04224888508565766,384,0.1,640,50,0.0009722142528491741,26,0.0003426928360236017,5,4,"{'neurons_per_layer_encoder': [640, 320, 160, 80], 'neurons_per_layer_decoder': [80, 160, 320, 640, 1280]}",640,"[80, 160, 320, 640, 1280]","[640, 320, 160, 80]",0.9983534719700803,0.7625813229643188,COMPLETE
