trial_id,best_loss,neurons_encoder,latent_dim,neurons_decoder
0,0.048918327813548594,"[528, 264, 132, 66]",22,"[66, 132, 264, 528, 1056]"
1,0.006255989494147165,"[1824, 912, 456, 228, 114]",38,"[114, 228]"
2,0.08295008837246039,"[1904, 952, 476, 238]",111,"[238, 476, 952]"
3,0.08273992512767211,"[1424, 712, 356, 178, 89]",29,"[89, 178]"
4,0.08125614688839611,"[1600, 800, 400]",165,"[400, 800, 1600, 3200]"
5,0.08034395611827795,"[1616, 808, 404, 202, 101]",33,"[101, 202, 404, 808, 1616]"
6,0.08117478342240965,"[1504, 752, 376]",125,"[376, 752]"
7,0.08031228765630856,"[1216, 608, 304, 152]",50,"[152, 304, 608, 1216, 2432]"
8,0.059671355433105734,"[560, 280, 140, 70]",23,"[70, 140]"
9,0.07994367129047211,"[608, 304]",101,"[304, 608, 1216, 2432]"
10,0.02367985939728417,"[672, 336, 168]",56,"[168, 336, 672, 1344, 2688]"
11,0.017580409351392417,"[1456, 728, 364]",153,"[364, 728]"
12,0.08060150390791272,"[1968, 984, 492, 246]",82,"[246, 492]"
13,0.07985413779329464,"[1232, 616, 308]",134,"[308, 616, 1232, 2464]"
14,0.34890390591587145,"[1952, 976]",485,"[976, 1952, 3904, 7808]"
15,0.08104191341030073,"[1472, 736, 368, 184, 92]",30,"[92, 184, 368, 736, 1472]"
16,0.0793030573155884,"[2048, 1024]",405,"[1024, 2048, 4096]"
17,0.08039034345680088,"[1152, 576]",224,"[576, 1152, 2304]"
18,0.08098656975499566,"[1152, 576]",224,"[576, 1152, 2304]"
19,0.01927287801079022,"[1104, 552]",248,"[552, 1104, 2208]"
20,0.34890390591587145,"[1776, 888]",328,"[888, 1776, 3552]"
21,0.004272600279694203,"[944, 472, 236, 118, 59]",19,"[59, 118, 236]"
22,0.31190067064857485,"[1776, 888]",424,"[888, 1776, 3552]"
23,0.009996013181046459,"[912, 456, 228, 114, 57]",19,"[57, 114, 228]"
24,0.009077664056769621,"[896, 448, 224, 112, 56]",18,"[56, 112, 224]"
25,0.01192240256369507,"[880, 440, 220, 110, 55]",18,"[55, 110, 220]"
26,0.018820294358380858,"[1808, 904, 452, 226, 113]",37,"[113, 226]"
27,0.0066762271106023,"[928, 464, 232, 116, 58]",19,"[58, 116, 232]"
28,0.004721041647116518,"[912, 456, 228, 114, 57]",19,"[57, 114, 228, 456]"
29,0.008205489947681409,"[928, 464, 232, 116, 58]",19,"[58, 116, 232, 464]"
30,0.011276888319314577,"[752, 376, 188, 94, 47]",15,"[47, 94, 188, 376]"
31,0.01714154771999969,"[1024, 512, 256, 128]",42,"[128, 256, 512]"
32,0.013683357405545146,"[1024, 512, 256, 128]",42,"[128, 256, 512]"
