number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_relative_deterioration,user_attrs_test_r2,state
0,0.048918327813548594,2024-12-21 15:21:30.352527,2024-12-21 15:21:40.222430,0 days 00:00:09.869903,0.05910637717872039,768,0.2,528,50,1.0207884540092363e-05,22,0.00016644837306194242,5,4,adam,"{'neurons_per_layer_encoder': [528, 264, 132, 66], 'neurons_per_layer_decoder': [66, 132, 264, 528, 1056]}",528,"[66, 132, 264, 528, 1056]","[528, 264, 132, 66]",0.9988264850053924,0.3889790033099435,COMPLETE
1,0.006255989494147165,2024-12-21 15:21:30.363202,2024-12-21 15:21:48.863320,0 days 00:00:18.500118,0.031320907169050165,256,0.2,1824,50,0.0005458840264545712,38,0.0009620113177206378,2,5,adam,"{'neurons_per_layer_encoder': [1824, 912, 456, 228, 114], 'neurons_per_layer_decoder': [114, 228]}",1824,"[114, 228]","[1824, 912, 456, 228, 114]",0.9984018553336457,0.9218587162143834,COMPLETE
2,0.08295008837246039,2024-12-21 15:21:30.418383,2024-12-21 15:22:08.530823,0 days 00:00:38.112440,0.02419257310166374,768,0.3,1904,50,7.714297630623974e-05,111,0.00043036318798259776,3,4,sgd,"{'neurons_per_layer_encoder': [1904, 952, 476, 238], 'neurons_per_layer_decoder': [238, 476, 952]}",1904,"[238, 476, 952]","[1904, 952, 476, 238]",0.9986989757435846,-0.036099309568617954,COMPLETE
3,0.08273992512767211,2024-12-21 15:21:30.449950,2024-12-21 15:21:40.405570,0 days 00:00:09.955620,0.063356681687303,640,0.2,1424,50,0.00026685153534552206,29,0.0005323770578022905,2,5,sgd,"{'neurons_per_layer_encoder': [1424, 712, 356, 178, 89], 'neurons_per_layer_decoder': [89, 178]}",1424,"[89, 178]","[1424, 712, 356, 178, 89]",0.9984178088056624,-0.03347423710523367,COMPLETE
4,0.08125614688839611,2024-12-21 15:21:30.509213,2024-12-21 15:23:19.571173,0 days 00:01:49.061960,0.15329550147089707,384,0.1,1600,50,1.737410432052691e-05,165,0.00026040538355923256,4,3,adadelta,"{'neurons_per_layer_encoder': [1600, 800, 400], 'neurons_per_layer_decoder': [400, 800, 1600, 3200]}",1600,"[400, 800, 1600, 3200]","[1600, 800, 400]",0.9974547939794057,-0.014940904116317766,COMPLETE
5,0.08034395611827795,2024-12-21 15:21:30.539093,2024-12-21 15:22:42.343234,0 days 00:01:11.804141,0.010063791009643327,640,0.3,1616,50,0.0006079180977738727,33,0.000609197659055234,5,5,sgd,"{'neurons_per_layer_encoder': [1616, 808, 404, 202, 101], 'neurons_per_layer_decoder': [101, 202, 404, 808, 1616]}",1616,"[101, 202, 404, 808, 1616]","[1616, 808, 404, 202, 101]",0.9984558446489499,-0.0035470617991097964,COMPLETE
6,0.08117478342240965,2024-12-21 15:21:30.587918,2024-12-21 15:22:13.184231,0 days 00:00:42.596313,0.06049314474222132,256,0.2,1504,50,0.0007705915116907546,125,0.00030187142819153295,2,3,sgd,"{'neurons_per_layer_encoder': [1504, 752, 376], 'neurons_per_layer_decoder': [376, 752]}",1504,"[376, 752]","[1504, 752, 376]",0.9962110799538582,-0.013924622728477054,COMPLETE
7,0.08031228765630856,2024-12-21 15:21:40.257776,2024-12-21 15:22:42.908963,0 days 00:01:02.651187,0.16734799824927538,640,0.3,1216,50,1.637030616417086e-05,50,0.0005303009608789641,5,4,sgd,"{'neurons_per_layer_encoder': [1216, 608, 304, 152], 'neurons_per_layer_decoder': [152, 304, 608, 1216, 2432]}",1216,"[152, 304, 608, 1216, 2432]","[1216, 608, 304, 152]",0.9984578176672155,-0.0031515025872344005,COMPLETE
8,0.059671355433105734,2024-12-21 15:21:40.419357,2024-12-21 15:21:50.925031,0 days 00:00:10.505674,0.09642606413513538,1024,0.3,560,50,0.00023811140991006075,23,0.00012661172247079597,2,4,adam,"{'neurons_per_layer_encoder': [560, 280, 140, 70], 'neurons_per_layer_decoder': [70, 140]}",560,"[70, 140]","[560, 280, 140, 70]",0.9990891875576572,0.2546668559573153,COMPLETE
9,0.07994367129047211,2024-12-21 15:21:48.875718,2024-12-21 15:22:57.414726,0 days 00:01:08.539008,0.16523939978618757,896,0.1,608,50,0.0007401866841739166,101,0.00042149823829142275,4,2,sgd,"{'neurons_per_layer_encoder': [608, 304], 'neurons_per_layer_decoder': [304, 608, 1216, 2432]}",608,"[304, 608, 1216, 2432]","[608, 304]",0.9988713641759247,0.0014527500378372915,COMPLETE
