number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_optimizer,user_attrs_relative_deterioration,user_attrs_test_r2,state
0,0.08240016408391394,2024-10-18 16:04:55.378995,2024-10-18 16:05:27.748114,0 days 00:00:32.369119,0.01944404595704921,128,0.2,10,0.0003208621377951603,96,0.000962694269602499,adadelta,0.9922328170464607,0.00111968578238264,COMPLETE
1,0.08262126369367065,2024-10-18 16:04:55.380120,2024-10-18 16:07:19.182510,0 days 00:02:23.802390,0.20110902859346724,96,0.1,50,9.995260593874316e-05,112,0.00020718932850767452,sgd,0.9896210324785747,-0.001560552177365393,COMPLETE
2,0.08258010622570945,2024-10-18 16:04:55.379003,2024-10-18 16:05:26.842364,0 days 00:00:31.463361,0.18488824932282913,128,0.1,10,4.376955954612559e-05,40,0.00022193702027623814,adadelta,0.9922537860452751,-0.0010616286013440668,COMPLETE
3,0.08277905873599746,2024-10-18 16:04:55.379887,2024-10-18 16:05:51.930215,0 days 00:00:56.550328,0.17636451267267053,128,0.2,30,0.00010037887484848892,48,0.0007069325002561497,sgd,0.9922108482172913,-0.00347339256080037,COMPLETE
4,0.08298007114157128,2024-10-18 16:04:55.379858,2024-10-18 16:05:45.272643,0 days 00:00:49.892785,0.014679393889710563,64,0.3,10,6.630334971418738e-05,32,0.0001435945338022511,adadelta,0.984371773128273,-0.00591012720900741,COMPLETE
5,0.08236576891970808,2024-10-18 16:04:55.379593,2024-10-18 16:07:48.414408,0 days 00:02:53.034815,0.11393191245386468,64,0.3,30,4.2475073692167497e-05,32,0.0003747882013961354,sgd,0.9844835937983163,0.0015366346175152978,COMPLETE
6,0.0830009429089014,2024-10-18 16:04:55.380180,2024-10-18 16:05:48.128828,0 days 00:00:52.748648,0.208954416709465,64,0.2,10,9.2310709072612e-05,48,0.0001876917352453982,sgd,0.9843801331815767,-0.006163141238054282,COMPLETE
7,0.01480760471158447,2024-10-18 16:05:26.854016,2024-10-18 16:06:01.109626,0 days 00:00:34.255610,0.21742638563525712,96,0.1,10,0.000171802790797202,24,0.0002825151138974112,adam,0.9940738056197671,0.8204976287176441,COMPLETE
8,0.0823252740651725,2024-10-18 16:05:27.759257,2024-10-18 16:08:03.737213,0 days 00:02:35.977956,0.014292011912406189,96,0.2,50,8.15891709174694e-05,24,0.0005579097823454228,adadelta,0.9896536641480898,0.0020275257883326514,COMPLETE
9,0.013002254613920124,2024-10-18 16:05:45.286257,2024-10-18 16:06:50.665920,0 days 00:01:05.379663,0.14859342780376292,64,0.1,50,0.0005738855967892005,24,0.0007180354510405785,adam,0.9937386188857061,0.8423826418468815,COMPLETE
10,0.028028523540420174,2024-10-18 16:05:48.140543,2024-10-18 16:06:39.378732,0 days 00:00:51.238189,0.27206972445013344,128,0.1,30,0.00030351891020461254,104,0.00015509348722515738,adam,0.9943628915893894,0.6602295552154567,COMPLETE
11,0.02562711092567504,2024-10-18 16:05:51.941859,2024-10-18 16:06:55.053381,0 days 00:01:03.111522,0.14401427464226807,64,0.3,10,0.0002106982181105005,80,0.0002095333422842602,adam,0.9913659959393921,0.6893402228197103,COMPLETE
12,0.08250398582086474,2024-10-18 16:06:01.118747,2024-10-18 16:07:47.342480,0 days 00:01:46.223733,0.0358900218904686,64,0.1,30,0.00019303744250906025,128,0.0005274708429623938,sgd,0.9844667260437309,-0.0001388734739122821,COMPLETE
13,0.021222246860909046,2024-10-18 16:06:39.387966,2024-10-18 16:07:38.434951,0 days 00:00:59.046985,0.010217802865490294,96,0.2,30,0.00030219373729460923,96,0.000566973795753015,adam,0.9940318534128426,0.7427373495125478,COMPLETE
14,0.08231313863904502,2024-10-18 16:06:50.683478,2024-10-18 16:10:16.084664,0 days 00:03:25.401186,0.0377612783105523,96,0.3,50,0.0007765235608789697,96,0.0003498748751029047,adadelta,0.9896619947874249,0.0021746351830546073,COMPLETE
15,0.08254889282843403,2024-10-18 16:06:55.063681,2024-10-18 16:10:13.333163,0 days 00:03:18.269482,0.03510987491142663,64,0.1,50,0.0008773454079035267,56,0.0005905620566341006,adadelta,0.9844481657532408,-0.0006832501305618077,COMPLETE
16,0.01212037535273148,2024-10-18 16:07:19.209803,2024-10-18 16:09:04.206718,0 days 00:01:44.996915,0.07442659724081892,64,0.1,50,0.0009954059956341359,16,0.00047299449681445304,adam,0.9936733214370076,0.8530730554317505,COMPLETE
17,0.010834684456591116,2024-10-18 16:07:38.444860,2024-10-18 16:08:40.006707,0 days 00:01:01.561847,0.07209939842282417,96,0.1,50,0.0008650763542294978,8,0.0003790638085444695,adam,0.9952771756609697,0.8686585987446931,COMPLETE
