trial_id,neurons_encoder,latent_dim,neurons_decoder
0,[100],171,"[100, 50]"
1,"[12, 24]",42,"[24, 12]"
2,"[52, 104]",135,[104]
3,"[32, 64, 128]",204,"[128, 64, 32]"
4,[112],132,"[112, 56, 28]"
5,[164],290,"[164, 82]"
6,[72],93,"[72, 36]"
7,"[196, 392, 784]",1251,"[784, 392]"
8,"[200, 400]",653,"[400, 200, 100]"
9,"[48, 96, 192]",225,"[192, 96]"
10,[180],220,"[180, 90, 45]"
11,"[72, 144]",221,"[144, 72]"
12,[40],54,"[40, 20]"
13,[236],351,"[236, 118]"
14,"[252, 504]",594,[504]
15,"[116, 232]",372,[232]
16,"[124, 248]",428,[248]
17,"[120, 240]",404,[240]
18,"[120, 240]",395,[240]
19,"[132, 264]",438,[264]
20,"[156, 312]",519,[312]
21,"[148, 296]",420,[296]
22,"[152, 304, 608]",729,[608]
23,"[156, 312, 624]",701,[624]
24,"[144, 288, 576]",654,[576]
25,"[96, 192]",364,[192]
26,"[100, 200]",360,[200]
27,"[96, 192]",357,[192]
28,"[92, 184, 368]",488,[368]
29,"[80, 160, 320]",464,[320]
30,"[84, 168]",273,[168]
31,"[144, 288]",409,[288]
32,"[212, 424, 848]",947,[848]
33,"[216, 432, 864]",953,[864]
34,"[212, 424, 848]",945,[848]
35,"[168, 336, 672]",829,[672]
36,"[168, 336, 672]",832,[672]
37,"[144, 288, 576]",768,[576]
38,"[180, 360, 720]",865,[720]
39,"[148, 296, 592]",764,[592]
40,"[136, 272, 544]",773,[544]
41,"[16, 32, 64]",110,[64]
42,"[8, 16, 32]",40,"[32, 16]"
43,"[132, 264]",330,[264]
44,"[184, 368]",676,"[368, 184, 92]"
45,"[184, 368, 736]",1033,[736]
46,"[176, 352, 704]",1129,[704]
47,"[188, 376, 752]",1092,[752]
48,"[104, 208, 416]",693,"[416, 208]"
49,"[200, 400]",577,"[400, 200]"
50,"[200, 400]",606,"[400, 200]"
51,"[64, 128]",185,"[128, 64, 32]"
52,"[64, 128]",191,"[128, 64, 32]"
53,[232],308,"[232, 116]"
54,[232],319,"[232, 116]"
55,"[112, 224]",383,[224]
56,"[116, 232]",377,[232]
57,"[156, 312]",395,[312]
58,"[156, 312]",524,[312]
59,"[156, 312]",529,[312]
60,"[160, 320]",540,"[320, 160]"
61,"[212, 424]",528,"[424, 212]"
62,"[216, 432]",717,[432]
63,"[212, 424]",712,"[424, 212]"
64,"[192, 384]",627,"[384, 192]"
65,"[212, 424]",470,[424]
66,"[124, 248]",429,[248]
67,"[224, 448]",720,[448]
68,"[224, 448]",724,"[448, 224]"
69,"[224, 448]",724,"[448, 224]"
70,"[244, 488]",718,"[488, 244]"
71,"[196, 392]",617,"[392, 196]"
72,"[248, 496]",616,"[496, 248]"
73,"[256, 512]",613,"[512, 256]"
74,"[196, 392]",562,"[392, 196]"
75,"[252, 504]",575,[504]
76,"[172, 344]",577,[344]
77,"[256, 512]",628,[512]
78,"[204, 408]",738,[408]
79,"[204, 408]",748,[408]
80,"[172, 344]",577,[344]
81,"[172, 344]",576,[344]
82,"[168, 336]",581,[336]
83,"[240, 480]",562,[480]
84,"[224, 448]",641,[448]
85,"[240, 480]",676,[480]
86,"[240, 480]",679,[480]
87,"[188, 376]",559,[376]
88,"[192, 384]",559,[384]
89,"[192, 384]",599,[384]
90,"[188, 376]",595,[376]
91,"[140, 280]",500,[280]
92,"[220, 440]",503,[440]
93,"[148, 296]",544,[296]
94,"[184, 368]",585,[368]
95,"[164, 328]",590,[328]
96,"[204, 408]",656,"[408, 204, 102]"
97,"[176, 352]",551,[352]
98,"[164, 328]",454,[328]
99,"[232, 464]",703,[464]
100,"[148, 296]",569,[296]
101,"[36, 72]",126,[72]
102,"[180, 360]",584,[360]
103,"[148, 296]",569,[296]
104,"[136, 272]",512,[272]
105,"[248, 496]",797,[496]
106,"[228, 456]",737,[456]
107,"[248, 496]",789,[496]
108,"[248, 496]",788,[496]
109,"[248, 496]",802,[496]
110,"[236, 472]",750,[472]
111,"[228, 456]",743,[456]
112,"[228, 456]",485,[456]
113,"[220, 440]",637,[440]
114,"[220, 440]",603,[440]
115,"[208, 416, 832]",860,[832]
116,"[216, 432, 864]",892,[864]
117,"[216, 432]",634,[432]
118,"[216, 432]",605,[432]
119,"[240, 480]",634,[480]
120,"[240, 480]",664,[480]
121,"[256, 512]",814,[512]
122,"[252, 504]",691,[504]
123,"[200, 400]",440,"[400, 200, 100]"
124,"[128, 256]",505,"[256, 128]"
125,"[200, 400]",443,"[400, 200, 100]"
126,"[204, 408]",625,[408]
127,"[200, 400]",589,[400]
128,"[200, 400]",595,[400]
129,"[208, 416]",625,[416]
130,"[20, 40]",75,[40]
131,"[192, 384]",414,[384]
132,"[192, 384]",598,[384]
133,"[192, 384]",609,[384]
134,"[188, 376]",606,[376]
135,"[208, 416]",609,[416]
136,"[208, 416]",606,[416]
137,"[212, 424]",599,[424]
138,"[208, 416]",595,[416]
139,"[188, 376]",623,[376]
140,"[168, 336]",623,[336]
141,"[180, 360]",598,"[360, 180]"
142,[184],259,"[184, 92]"
143,[184],340,"[184, 92]"
144,"[180, 360]",644,"[360, 180]"
145,"[80, 160]",290,[160]
146,"[180, 360]",649,[360]
147,"[176, 352]",583,[352]
148,"[196, 392]",649,[392]
149,"[52, 104]",165,[104]
150,"[80, 160]",293,[160]
151,"[92, 184]",348,[184]
152,"[160, 320]",582,[320]
153,"[152, 304]",584,[304]
154,"[164, 328]",617,[328]
155,"[236, 472]",708,[472]
156,"[232, 464]",709,[464]
157,"[236, 472]",566,[472]
158,"[108, 216]",412,[216]
159,"[220, 440]",569,[440]
160,"[216, 432]",568,[432]
161,"[160, 320]",615,[320]
162,"[140, 280]",552,[280]
163,"[168, 336]",619,[336]
164,"[200, 400]",732,[400]
165,"[168, 336]",576,[336]
166,"[168, 336]",592,[336]
167,"[244, 488]",541,[488]
168,"[244, 488]",535,[488]
169,"[152, 304]",593,[304]
170,"[164, 328]",592,[328]
171,"[152, 304]",594,[304]
172,"[172, 344]",666,[344]
173,"[172, 344]",662,[344]
174,"[172, 344]",604,[344]
175,"[164, 328]",575,[328]
176,"[164, 328]",602,[328]
177,"[164, 328]",604,[328]
178,"[160, 320]",576,[320]
179,"[160, 320]",576,[320]
180,"[160, 320]",613,[320]
181,"[160, 320]",609,[320]
182,"[160, 320]",611,[320]
183,"[156, 312]",611,[312]
184,"[144, 288]",572,[288]
185,"[188, 376]",586,[376]
186,"[144, 288]",572,[288]
187,"[140, 280]",554,[280]
188,"[144, 288]",571,[288]
189,"[140, 280]",553,[280]
190,"[136, 272]",540,[272]
191,"[144, 288]",563,[288]
192,"[152, 304]",600,[304]
193,"[152, 304]",600,[304]
194,"[132, 264]",524,[264]
195,"[132, 264]",524,[264]
196,"[124, 248]",365,[248]
197,"[124, 248]",475,[248]
198,"[116, 232]",462,[232]
199,"[116, 232]",368,[232]
