trial_id,neurons_encoder,latent_dim,neurons_decoder
0,"[232, 464, 928, 1856, 3712]",7044,"[3712, 1856, 928, 464]"
1,"[228, 456, 912]",1672,"[912, 456]"
2,"[28, 56, 112, 224]",369,"[224, 112, 56, 28, 14]"
3,"[152, 304]",570,"[304, 152]"
4,"[204, 408, 816, 1632, 3264]",4167,"[3264, 1632, 816, 408]"
5,"[216, 432, 864]",1395,"[864, 432]"
6,"[128, 256]",309,"[256, 128, 64, 32]"
7,"[8, 16, 32, 64, 128]",249,"[128, 64]"
8,"[92, 184, 368, 736, 1472]",1929,"[1472, 736, 368]"
9,"[64, 128, 256, 512, 1024]",1609,"[1024, 512]"
10,"[20, 40, 80, 160]",289,"[160, 80]"
11,"[20, 40, 80]",109,"[80, 40, 20, 10, 8]"
12,"[68, 136, 272]",524,"[272, 136, 68]"
13,"[36, 72, 144, 288]",496,"[288, 144, 72]"
14,"[80, 160, 320, 640, 1280]",2388,"[1280, 640, 320]"
15,"[144, 288]",458,"[288, 144, 72, 36]"
16,"[96, 192, 384, 768, 1536]",2914,"[1536, 768, 384, 192]"
17,"[100, 200, 400, 800, 1600]",3177,"[1600, 800, 400, 200]"
18,"[92, 184]",213,"[184, 92, 46, 23]"
19,"[176, 352]",591,"[352, 176, 88, 44]"
20,"[180, 360, 720, 1440]",2435,"[1440, 720, 360]"
21,"[120, 240, 480, 960]",1148,"[960, 480, 240]"
22,"[56, 112, 224]",322,"[224, 112, 56, 28, 14]"
23,"[120, 240, 480]",710,"[480, 240, 120, 60, 30]"
24,"[256, 512, 1024]",1180,"[1024, 512, 256, 128, 64]"
25,"[196, 392, 784, 1568, 3136]",6143,"[3136, 1568, 784, 392]"
26,"[56, 112, 224, 448, 896]",1062,"[896, 448, 224, 112]"
27,"[48, 96, 192, 384, 768]",940,"[768, 384, 192, 96]"
28,"[112, 224, 448, 896, 1792]",3194,"[1792, 896, 448, 224]"
29,"[112, 224, 448, 896, 1792]",3183,"[1792, 896, 448, 224]"
30,"[152, 304, 608, 1216]",1823,"[1216, 608, 304, 152]"
31,"[152, 304, 608, 1216]",1782,"[1216, 608, 304]"
32,"[164, 328, 656, 1312]",1828,"[1312, 656, 328]"
33,"[136, 272, 544, 1088]",1554,"[1088, 544]"
34,"[136, 272, 544, 1088]",1588,"[1088, 544]"
35,"[136, 272, 544, 1088]",1671,"[1088, 544]"
36,"[188, 376, 752, 1504]",2037,"[1504, 752]"
37,"[196, 392, 784, 1568]",2074,"[1568, 784, 392]"
38,"[160, 320, 640, 1280]",1905,"[1280, 640, 320]"
39,"[160, 320, 640, 1280]",1904,"[1280, 640, 320]"
40,"[160, 320]",639,"[320, 160, 80]"
41,"[220, 440]",627,"[440, 220, 110]"
42,"[216, 432, 864]",1369,"[864, 432, 216, 108, 54]"
43,"[208, 416, 832]",1297,"[832, 416, 208, 104, 52]"
44,"[236, 472, 944]",1431,"[944, 472, 236, 118, 59]"
45,"[100, 200, 400, 800, 1600]",2268,"[1600, 800, 400, 200]"
46,"[76, 152, 304, 608, 1216]",1755,"[1216, 608, 304, 152]"
47,"[68, 136, 272, 544, 1088]",1739,"[1088, 544, 272, 136]"
48,"[76, 152, 304, 608, 1216]",1784,"[1216, 608, 304, 152]"
49,"[80, 160, 320, 640, 1280]",1785,"[1280, 640, 320, 160]"
50,"[76, 152, 304, 608, 1216]",1773,"[1216, 608, 304, 152]"
