number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_model_summary,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_relative_deterioration,state
0,-0.5351371762105421,2025-05-07 07:43:50.983081,2025-05-07 07:47:27.205658,0 days 00:03:36.222577,0.010388111633909231,16,0.4,232,180,0.000846908999790112,7044,0.0008684701780234631,4,5,sgd,"{'neurons_per_layer_encoder': [232, 464, 928, 1856, 3712], 'neurons_per_layer_decoder': [3712, 1856, 928, 464]}",232,,"[3712, 1856, 928, 464]","[232, 464, 928, 1856, 3712]",[-0.5351371762105421],0.9968728323118795,COMPLETE
1,-0.09998691397525694,2025-05-07 07:43:50.983605,2025-05-07 07:43:59.407180,0 days 00:00:08.423575,0.1844943613507614,104,0.2,228,100,4.8736473686485085e-05,1672,0.00022235650453061398,2,3,adam,"{'neurons_per_layer_encoder': [228, 456, 912], 'neurons_per_layer_decoder': [912, 456]}",228,,"[912, 456]","[228, 456, 912]",[-0.09998691397525694],0.8315121915799096,COMPLETE
2,-0.7520448124271721,2025-05-07 07:43:50.983765,2025-05-07 07:44:05.606471,0 days 00:00:14.622706,0.010782222101319194,16,0.4,28,180,1.018629318909114e-06,369,8.375077351038034e-05,5,4,adadelta,"{'neurons_per_layer_encoder': [28, 56, 112, 224], 'neurons_per_layer_decoder': [224, 112, 56, 28, 14]}",28,,"[224, 112, 56, 28, 14]","[28, 56, 112, 224]",[-0.7520448124271721],0.6544326483951186,COMPLETE
3,-0.6305493822308079,2025-05-07 07:43:50.983767,2025-05-07 07:43:55.596583,0 days 00:00:04.612816,0.019342305102318165,24,0.4,152,100,4.192281762793292e-06,570,0.00028088635554170886,2,2,adadelta,"{'neurons_per_layer_encoder': [152, 304], 'neurons_per_layer_decoder': [304, 152]}",152,,"[304, 152]","[152, 304]",[-0.6305493822308079],0.6892354880658788,COMPLETE
4,-0.016388521860767558,2025-05-07 07:43:50.983898,2025-05-07 07:44:42.790067,0 days 00:00:51.806169,0.19128292308613712,32,0.2,204,140,2.216651779923207e-06,4167,6.433655174920526e-05,4,5,adadelta,"{'neurons_per_layer_encoder': [204, 408, 816, 1632, 3264], 'neurons_per_layer_decoder': [3264, 1632, 816, 408]}",204,,"[3264, 1632, 816, 408]","[204, 408, 816, 1632, 3264]",[-0.016388521860767558],0.7584072043133222,COMPLETE
5,-0.9671158559409083,2025-05-07 07:43:55.628076,2025-05-07 07:44:09.408268,0 days 00:00:13.780192,0.07475710452190866,72,0.4,216,60,0.00012553004934935324,1395,0.0037422068430034033,2,3,adam,"{'neurons_per_layer_encoder': [216, 432, 864], 'neurons_per_layer_decoder': [864, 432]}",216,,"[864, 432]","[216, 432, 864]",[-0.9671158559409083],0.42841302519523805,COMPLETE
6,-0.01046577688356809,2025-05-07 07:43:59.431566,2025-05-07 07:44:11.893326,0 days 00:00:12.461760,0.039334195754353644,48,0.4,128,160,0.0002046555151603918,309,0.0002336696670520813,4,2,sgd,"{'neurons_per_layer_encoder': [128, 256], 'neurons_per_layer_decoder': [256, 128, 64, 32]}",128,,"[256, 128, 64, 32]","[128, 256]",[-0.01046577688356809],0.9021905438186366,COMPLETE
7,-1.1956809952234013,2025-05-07 07:44:05.622347,2025-05-07 07:44:13.230475,0 days 00:00:07.608128,0.04860545963412042,40,0.30000000000000004,8,140,1.3612166453344456e-05,249,0.0009570719607858871,2,5,adadelta,"{'neurons_per_layer_encoder': [8, 16, 32, 64, 128], 'neurons_per_layer_decoder': [128, 64]}",8,,"[128, 64]","[8, 16, 32, 64, 128]",[-1.1956809952234013],0.5943257120451018,COMPLETE
8,-0.9838798733318075,2025-05-07 07:44:09.418858,2025-05-07 07:44:26.460968,0 days 00:00:17.042110,0.04637913334595172,96,0.1,92,140,1.6165398112750806e-05,1929,0.0004206809885705846,3,5,adam,"{'neurons_per_layer_encoder': [92, 184, 368, 736, 1472], 'neurons_per_layer_decoder': [1472, 736, 368]}",92,,"[1472, 736, 368]","[92, 184, 368, 736, 1472]",[-0.9838798733318075],0.4681690393560632,COMPLETE
9,0.14671150662165988,2025-05-07 07:44:11.902893,2025-05-07 07:44:25.810151,0 days 00:00:13.907258,0.01304137619640124,112,0.2,64,160,1.16207397021256e-06,1609,0.002924524563900225,2,5,adam,"{'neurons_per_layer_encoder': [64, 128, 256, 512, 1024], 'neurons_per_layer_decoder': [1024, 512]}",64,,"[1024, 512]","[64, 128, 256, 512, 1024]",[0.14671150662165988],0.19288623639159336,COMPLETE
