number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_model_summary,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_relative_deterioration,state
0,0.0030764537030223416,2025-05-06 20:00:43.972544,2025-05-06 20:00:52.582604,0 days 00:00:08.610060,0.03675868032297738,120,0.2,56,200,2.9723723307540507e-05,969,5.467584919676919e-05,5,5,adam,"{'neurons_per_layer_encoder': [56, 112, 224, 448, 896], 'neurons_per_layer_decoder': [896, 448, 224, 112, 56]}",56,,"[896, 448, 224, 112, 56]","[56, 112, 224, 448, 896]",[0.0030764537030223416],0.8401272504202308,COMPLETE
1,-0.010020602555344427,2025-05-06 20:00:43.973112,2025-05-06 20:00:46.216319,0 days 00:00:02.243207,0.012638529468756448,56,0.2,132,140,0.00011968706895159718,823,1.4764610594944067e-05,5,3,sgd,"{'neurons_per_layer_encoder': [132, 264, 528], 'neurons_per_layer_decoder': [528, 264, 132, 66, 33]}",132,,"[528, 264, 132, 66, 33]","[132, 264, 528]",[-0.010020602555344427],0.9068618772905278,COMPLETE
2,-0.02333623739688062,2025-05-06 20:00:43.972648,2025-05-06 20:00:47.172334,0 days 00:00:03.199686,0.017008550737679925,80,0.1,16,60,1.5210681854599086e-05,338,3.632147217647733e-05,3,5,adadelta,"{'neurons_per_layer_encoder': [16, 32, 64, 128, 256], 'neurons_per_layer_decoder': [256, 128, 64]}",16,,"[256, 128, 64]","[16, 32, 64, 128, 256]",[-0.02333623739688062],0.5714906311046745,COMPLETE
3,-0.04952041478687108,2025-05-06 20:00:43.972944,2025-05-06 20:01:05.729087,0 days 00:00:21.756143,0.07494265024878739,96,0.30000000000000004,200,60,0.0003198063964508085,4166,0.00935085850800165,5,5,adadelta,"{'neurons_per_layer_encoder': [200, 400, 800, 1600, 3200], 'neurons_per_layer_decoder': [3200, 1600, 800, 400, 200]}",200,,"[3200, 1600, 800, 400, 200]","[200, 400, 800, 1600, 3200]",[-0.04952041478687108],0.9926914773501951,COMPLETE
4,-0.03386690903672984,2025-05-06 20:00:43.973002,2025-05-06 20:00:46.729299,0 days 00:00:02.756297,0.1143524203001612,32,0.1,88,120,2.1648039117927906e-06,243,0.0001249616653762275,5,2,sgd,"{'neurons_per_layer_encoder': [88, 176], 'neurons_per_layer_decoder': [176, 88, 44, 22, 11]}",88,,"[176, 88, 44, 22, 11]","[88, 176]",[-0.03386690903672984],0.4237658799205425,COMPLETE
5,0.025602458918980164,2025-05-06 20:00:46.225276,2025-05-06 20:00:53.952675,0 days 00:00:07.727399,0.06112435233486665,40,0.1,64,160,2.013492154938382e-06,1325,0.0021204519538779625,2,5,adam,"{'neurons_per_layer_encoder': [64, 128, 256, 512, 1024], 'neurons_per_layer_decoder': [1024, 512]}",64,,"[1024, 512]","[64, 128, 256, 512, 1024]",[0.025602458918980164],-0.6037870013655918,COMPLETE
6,0.014444751282286727,2025-05-06 20:00:46.738293,2025-05-06 20:00:51.811086,0 days 00:00:05.072793,0.11440752928080379,96,0.1,144,180,0.0008274163705063589,383,0.00020279502568925582,4,2,sgd,"{'neurons_per_layer_encoder': [144, 288], 'neurons_per_layer_decoder': [288, 144, 72, 36]}",144,,"[288, 144, 72, 36]","[144, 288]",[0.014444751282286727],0.965922560104418,COMPLETE
7,-0.12679653605323637,2025-05-06 20:00:47.216509,2025-05-06 20:00:53.004256,0 days 00:00:05.787747,0.08661379480805934,104,0.2,228,60,0.0006033035766534516,849,1.566570421697714e-05,5,2,adam,"{'neurons_per_layer_encoder': [228, 456], 'neurons_per_layer_decoder': [456, 228, 114, 57, 28]}",228,,"[456, 228, 114, 57, 28]","[228, 456]",[-0.12679653605323637],0.968810164895835,COMPLETE
8,-0.009806271811856115,2025-05-06 20:00:51.820998,2025-05-06 20:01:00.763783,0 days 00:00:08.942785,0.1575257084647677,128,0.2,128,200,1.5622710118068572e-06,1109,0.0007802107045272567,5,4,adadelta,"{'neurons_per_layer_encoder': [128, 256, 512, 1024], 'neurons_per_layer_decoder': [1024, 512, 256, 128, 64]}",128,,"[1024, 512, 256, 128, 64]","[128, 256, 512, 1024]",[-0.009806271811856115],0.6267357428416717,COMPLETE
9,-0.03903057184407821,2025-05-06 20:00:52.591827,2025-05-06 20:00:56.211259,0 days 00:00:03.619432,0.014014112739272912,104,0.2,56,140,2.0538746142202467e-06,874,0.0006212707950485782,4,4,sgd,"{'neurons_per_layer_encoder': [56, 112, 224, 448], 'neurons_per_layer_decoder': [448, 224, 112, 56]}",56,,"[448, 224, 112, 56]","[56, 112, 224, 448]",[-0.03903057184407821],0.5896437917095866,COMPLETE
