number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_model_summary,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_relative_deterioration,state
0,-0.1812285724517979,2025-05-06 20:21:14.689688,2025-05-06 20:21:20.153800,0 days 00:00:05.464112,0.023334440266317057,120,0.30000000000000004,228,80,1.9846661127158743e-06,1674,0.0017048721086128536,3,3,sgd,"{'neurons_per_layer_encoder': [228, 456, 912], 'neurons_per_layer_decoder': [912, 456, 228]}",228,,"[912, 456, 228]","[228, 456, 912]",[-0.1812285724517979],0.6492268764035253,COMPLETE
1,0.5382681625049011,2025-05-06 20:21:14.689727,2025-05-06 20:21:22.156739,0 days 00:00:07.467012,0.07458145191575571,16,0.30000000000000004,24,160,1.0576832282777122e-06,295,0.00033841822809108324,5,4,adam,"{'neurons_per_layer_encoder': [24, 48, 96, 192], 'neurons_per_layer_decoder': [192, 96, 48, 24, 12]}",24,,"[192, 96, 48, 24, 12]","[24, 48, 96, 192]",[0.5382681625049011],0.6214981237243505,COMPLETE
2,-0.027384901121241256,2025-05-06 20:21:14.689829,2025-05-06 20:21:19.387427,0 days 00:00:04.697598,0.011225716106373632,128,0.4,100,60,0.00038467375297079334,509,0.00028161316703600254,4,3,adam,"{'neurons_per_layer_encoder': [100, 200, 400], 'neurons_per_layer_decoder': [400, 200, 100, 50]}",100,,"[400, 200, 100, 50]","[100, 200, 400]",[-0.027384901121241256],0.9377890990665264,COMPLETE
3,0.0199442896217209,2025-05-06 20:21:14.689746,2025-05-06 20:21:21.331865,0 days 00:00:06.642119,0.03772557539686223,48,0.1,52,140,0.0009561884569864282,1155,0.0007170595715119668,4,5,sgd,"{'neurons_per_layer_encoder': [52, 104, 208, 416, 832], 'neurons_per_layer_decoder': [832, 416, 208, 104]}",52,,"[832, 416, 208, 104]","[52, 104, 208, 416, 832]",[0.0199442896217209],0.9886298807424442,COMPLETE
4,-0.026399945352277188,2025-05-06 20:21:14.689712,2025-05-06 20:21:21.063487,0 days 00:00:06.373775,0.034500349953561195,112,0.2,88,200,2.2044167900264344e-06,957,1.130784817498277e-05,3,4,adam,"{'neurons_per_layer_encoder': [88, 176, 352, 704], 'neurons_per_layer_decoder': [704, 352, 176]}",88,,"[704, 352, 176]","[88, 176, 352, 704]",[-0.026399945352277188],0.36750480752316966,COMPLETE
5,-0.2500728692554073,2025-05-06 20:21:19.397811,2025-05-06 20:21:22.751201,0 days 00:00:03.353390,0.11360584688269072,96,0.2,44,120,2.7231855125823e-06,234,0.004352227606023578,5,3,adam,"{'neurons_per_layer_encoder': [44, 88, 176], 'neurons_per_layer_decoder': [176, 88, 44, 22, 11]}",44,,"[176, 88, 44, 22, 11]","[44, 88, 176]",[-0.2500728692554073],-0.9606049455173461,COMPLETE
6,-0.5554985944879249,2025-05-06 20:21:20.163462,2025-05-06 20:21:22.200162,0 days 00:00:02.036700,0.011516047137122157,104,0.1,12,160,6.131468601541909e-05,130,1.523431245115793e-05,3,4,sgd,"{'neurons_per_layer_encoder': [12, 24, 48, 96], 'neurons_per_layer_decoder': [96, 48, 24]}",12,,"[96, 48, 24]","[12, 24, 48, 96]",[-0.5554985944879249],0.448106924258713,COMPLETE
7,-0.3284846986719818,2025-05-06 20:21:21.072908,2025-05-06 20:21:24.626972,0 days 00:00:03.554064,0.011812969602849277,80,0.4,8,100,0.00028269801493573327,178,0.000661054718469502,2,5,sgd,"{'neurons_per_layer_encoder': [8, 16, 32, 64, 128], 'neurons_per_layer_decoder': [128, 64]}",8,,"[128, 64]","[8, 16, 32, 64, 128]",[-0.3284846986719818],0.8055429352432275,COMPLETE
8,0.02134240315920799,2025-05-06 20:21:21.341526,2025-05-06 20:21:35.478366,0 days 00:00:14.136840,0.020795879921752223,120,0.1,44,160,0.00013295631826104948,1156,0.0018772446359462103,4,5,adam,"{'neurons_per_layer_encoder': [44, 88, 176, 352, 704], 'neurons_per_layer_decoder': [704, 352, 176, 88]}",44,,"[704, 352, 176, 88]","[44, 88, 176, 352, 704]",[0.02134240315920799],0.5870769836519496,COMPLETE
9,0.07908825739898373,2025-05-06 20:21:22.165093,2025-05-06 20:21:26.593375,0 days 00:00:04.428282,0.03804296948887156,32,0.2,120,100,0.00016590032322592586,461,0.0020339607699967005,4,2,sgd,"{'neurons_per_layer_encoder': [120, 240], 'neurons_per_layer_decoder': [240, 120, 60, 30]}",120,,"[240, 120, 60, 30]","[120, 240]",[0.07908825739898373],0.8248493873665504,COMPLETE
