number,values_0,values_1,values_2,values_3,values_4,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_r2_feature_2,user_attrs_r2_feature_3,user_attrs_r2_feature_4,user_attrs_r2_feature_5,user_attrs_relative_deterioration,state
0,-3.862278285044952,-0.010871540543819336,-0.08066681450368929,-20.76331007110736,-0.3873959719063431,2025-01-09 15:38:01.662124,2025-01-09 15:38:05.625927,0 days 00:00:03.963803,0.0238588638886226,56,0.2,20,100,0.0002440339547029823,136,0.0008418876010473122,5,3,adadelta,"{'neurons_per_layer_encoder': [20, 40, 80], 'neurons_per_layer_decoder': [80, 40, 20, 10, 8]}",20,"[80, 40, 20, 10, 8]","[20, 40, 80]",[-3.862278285044952],[-0.010871540543819336],[-0.08066681450368929],[-20.76331007110736],[-0.3873959719063431],0.5864357103864805,COMPLETE
1,-2.6558090148600355,0.1039908483673454,-0.03302013660056602,-19.05353915684494,-0.05064273379293782,2025-01-09 15:38:01.662224,2025-01-09 15:38:07.206196,0 days 00:00:05.543972,0.01237109540626378,104,0.4,20,100,1.4961598636545879e-06,22,0.0025513353160200886,5,1,adadelta,"{'neurons_per_layer_encoder': [20], 'neurons_per_layer_decoder': [20, 10, 8, 8, 8]}",20,"[20, 10, 8, 8, 8]",[20],[-2.6558090148600355],[0.1039908483673454],[-0.03302013660056602],[-19.05353915684494],[-0.05064273379293782],0.35148769534940144,COMPLETE
2,-6.474277208718804,-0.03838114194756681,-0.4654477366167944,-6.88405173812095,-0.1372624356930221,2025-01-09 15:38:01.662512,2025-01-09 15:38:06.784348,0 days 00:00:05.121836,0.037066927888029774,40,0.1,112,100,0.00017365596778702602,536,3.0447345635615752e-05,3,3,adadelta,"{'neurons_per_layer_encoder': [112, 224, 448], 'neurons_per_layer_decoder': [448, 224, 112]}",112,"[448, 224, 112]","[112, 224, 448]",[-6.474277208718804],[-0.03838114194756681],[-0.4654477366167944],[-6.88405173812095],[-0.1372624356930221],0.8084525754133419,COMPLETE
3,-0.08151458046631266,-0.11272041517547615,0.005393888545574543,-8.728153903125653,-0.3634814015465764,2025-01-09 15:38:01.662731,2025-01-09 15:38:11.179025,0 days 00:00:09.516294,0.0770054495770231,104,0.2,216,100,3.3033600920499848e-06,1064,2.3012584909035417e-05,4,3,adam,"{'neurons_per_layer_encoder': [216, 432, 864], 'neurons_per_layer_decoder': [864, 432, 216, 108]}",216,"[864, 432, 216, 108]","[216, 432, 864]",[-0.08151458046631266],[-0.11272041517547615],[0.005393888545574543],[-8.728153903125653],[-0.3634814015465764],0.3644947574758786,COMPLETE
4,0.1283774804454969,0.001360118727333992,-0.026747516041349728,-4.313699108087873,-0.031143286859802055,2025-01-09 15:38:01.662487,2025-01-09 15:38:11.533256,0 days 00:00:09.870769,0.05048108775357943,104,0.30000000000000004,116,100,4.271208223003398e-05,1512,1.0267246264599897e-05,2,4,adam,"{'neurons_per_layer_encoder': [116, 232, 464, 928], 'neurons_per_layer_decoder': [928, 464]}",116,"[928, 464]","[116, 232, 464, 928]",[0.1283774804454969],[0.001360118727333992],[-0.026747516041349728],[-4.313699108087873],[-0.031143286859802055],0.8107080531408882,COMPLETE
5,-0.37318280841760854,-0.46211648401841154,-0.08680357815213813,-2.2990398629537294,-0.11155699542107689,2025-01-09 15:38:01.662523,2025-01-09 15:38:14.512279,0 days 00:00:12.849756,0.07124135784207185,64,0.1,100,100,1.966207326813155e-06,2168,0.0013003024952357267,3,5,sgd,"{'neurons_per_layer_encoder': [100, 200, 400, 800, 1600], 'neurons_per_layer_decoder': [1600, 800, 400]}",100,"[1600, 800, 400]","[100, 200, 400, 800, 1600]",[-0.37318280841760854],[-0.46211648401841154],[-0.08680357815213813],[-2.2990398629537294],[-0.11155699542107689],0.4564099656985393,COMPLETE
6,-0.7291807746084404,-0.019175887786165635,-0.11020789630444372,-14.661972808755504,-0.1827616305494093,2025-01-09 15:38:05.633838,2025-01-09 15:38:25.316862,0 days 00:00:19.683024,0.052832413430566626,120,0.2,240,100,0.0004106313457745353,2216,4.6863825070805014e-05,3,4,adadelta,"{'neurons_per_layer_encoder': [240, 480, 960, 1920], 'neurons_per_layer_decoder': [1920, 960, 480]}",240,"[1920, 960, 480]","[240, 480, 960, 1920]",[-0.7291807746084404],[-0.019175887786165635],[-0.11020789630444372],[-14.661972808755504],[-0.1827616305494093],0.9804689424955793,COMPLETE
7,-0.33432288592977466,0.008824643415168865,-0.004412902308204902,-14.153397310860536,-1.1123996251012,2025-01-09 15:38:06.794062,2025-01-09 15:38:12.096299,0 days 00:00:05.302237,0.03308338258257279,120,0.2,112,100,6.209273350514759e-05,296,5.124498003535015e-05,3,2,sgd,"{'neurons_per_layer_encoder': [112, 224], 'neurons_per_layer_decoder': [224, 112, 56]}",112,"[224, 112, 56]","[112, 224]",[-0.33432288592977466],[0.008824643415168865],[-0.004412902308204902],[-14.153397310860536],[-1.1123996251012],0.5878547312590007,COMPLETE
8,0.22095936169845265,0.025665924168573162,-0.17322423513534302,-1.7272747783050804,0.16047745716404738,2025-01-09 15:38:07.216072,2025-01-09 15:38:16.981445,0 days 00:00:09.765373,0.02458244697429683,104,0.2,12,100,4.235465290095714e-05,456,0.0007779173272090425,4,5,adam,"{'neurons_per_layer_encoder': [12, 24, 48, 96, 192], 'neurons_per_layer_decoder': [192, 96, 48, 24]}",12,"[192, 96, 48, 24]","[12, 24, 48, 96, 192]",[0.22095936169845265],[0.025665924168573162],[-0.17322423513534302],[-1.7272747783050804],[0.16047745716404738],0.4887010687359078,COMPLETE
9,-0.28692002852947596,0.19167480555393512,-0.019203184233328452,-7.66222821362641,0.09211198401235487,2025-01-09 15:38:11.189166,2025-01-09 15:38:17.922374,0 days 00:00:06.733208,0.013223051332330893,104,0.30000000000000004,256,100,8.423918116876012e-06,600,2.1251047469189217e-05,1,1,adam,"{'neurons_per_layer_encoder': [256], 'neurons_per_layer_decoder': [256]}",256,[256],[256],[-0.28692002852947596],[0.19167480555393512],[-0.019203184233328452],[-7.66222821362641],[0.09211198401235487],0.38851740979949045,COMPLETE
