number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_relative_deterioration,state
0,0.03074763035489514,2025-01-10 13:40:28.282246,2025-01-10 13:40:32.865183,0 days 00:00:04.582937,0.01571977820027305,48.0,0.4,88,100.0,0.00015765271959862655,840,1.6402422104158202e-05,2,3,adam,"{'neurons_per_layer_encoder': [88, 176, 352], 'neurons_per_layer_decoder': [352, 176]}",88,"[352, 176]","[88, 176, 352]",[0.03074763035489514],0.7331962761496071,COMPLETE
1,-0.06591547191546399,2025-01-10 13:40:28.282290,2025-01-10 13:40:30.869055,0 days 00:00:02.586765,0.07890015159969346,96.0,0.2,136,100.0,8.411235441642336e-06,648,1.6263600899522283e-05,4,3,sgd,"{'neurons_per_layer_encoder': [136, 272, 544], 'neurons_per_layer_decoder': [544, 272, 136, 68]}",136,"[544, 272, 136, 68]","[136, 272, 544]",[-0.06591547191546399],0.1670592710955764,COMPLETE
2,-0.012677365782002736,2025-01-10 13:40:28.282428,2025-01-10 13:40:32.880725,0 days 00:00:04.598297,0.016338085880038586,48.0,0.30000000000000004,196,100.0,2.320818839853202e-06,856,0.00015612713506288283,3,3,adam,"{'neurons_per_layer_encoder': [196, 392, 784], 'neurons_per_layer_decoder': [784, 392, 196]}",196,"[784, 392, 196]","[196, 392, 784]",[-0.012677365782002736],-0.4577613603383389,COMPLETE
3,-0.028240364885415925,2025-01-10 13:40:28.282902,2025-01-10 13:40:30.726766,0 days 00:00:02.443864,0.018113634219851592,80.0,0.2,96,100.0,0.00011591640782811167,360,0.00012992423480878842,1,2,sgd,"{'neurons_per_layer_encoder': [96, 192], 'neurons_per_layer_decoder': [192]}",96,[192],"[96, 192]",[-0.028240364885415925],0.360870072989548,COMPLETE
4,-0.24556175675770153,2025-01-10 13:40:28.282829,2025-01-10 13:40:31.085641,0 days 00:00:02.802812,0.18484549965931324,56.0,0.1,224,100.0,0.00019268895126663298,424,0.0031256091458831603,5,1,adadelta,"{'neurons_per_layer_encoder': [224], 'neurons_per_layer_decoder': [224, 112, 56, 28, 14]}",224,"[224, 112, 56, 28, 14]",[224],[-0.24556175675770153],0.6001830758581566,COMPLETE
5,-0.11594423481379135,2025-01-10 13:40:30.738307,2025-01-10 13:40:32.057402,0 days 00:00:01.319095,0.01443317701232418,128.0,0.4,120,100.0,5.26978652539556e-05,472,0.00015647219602077294,3,2,sgd,"{'neurons_per_layer_encoder': [120, 240], 'neurons_per_layer_decoder': [240, 120, 60]}",120,"[240, 120, 60]","[120, 240]",[-0.11594423481379135],0.3402324823431605,COMPLETE
6,-0.3295821451927772,2025-01-10 13:40:30.881408,2025-01-10 13:40:44.723674,0 days 00:00:13.842266,0.036960147046828006,48.0,0.1,124,100.0,7.423904404350915e-05,3256,0.0003419963948598071,2,5,adam,"{'neurons_per_layer_encoder': [124, 248, 496, 992, 1984], 'neurons_per_layer_decoder': [1984, 992]}",124,"[1984, 992]","[124, 248, 496, 992, 1984]",[-0.3295821451927772],0.8214220304911718,COMPLETE
7,-0.11906377819361591,2025-01-10 13:40:31.096094,2025-01-10 13:40:33.776914,0 days 00:00:02.680820,0.09388397117485887,48.0,0.30000000000000004,4,100.0,4.292402841684848e-06,33,0.0036542453412863876,3,3,adadelta,"{'neurons_per_layer_encoder': [4, 8, 16], 'neurons_per_layer_decoder': [16, 8, 8]}",4,"[16, 8, 8]","[4, 8, 16]",[-0.11906377819361591],-0.4491121749282703,COMPLETE
8,0.048191896438256276,2025-01-10 13:40:32.065193,2025-01-10 13:40:35.409255,0 days 00:00:03.344062,0.032190429812167264,96.0,0.1,104,100.0,0.0001123047197240299,328,0.004808473106844029,2,2,sgd,"{'neurons_per_layer_encoder': [104, 208], 'neurons_per_layer_decoder': [208, 104]}",104,"[208, 104]","[104, 208]",[0.048191896438256276],0.4153712110001804,COMPLETE
9,-0.1691752038828258,2025-01-10 13:40:32.874686,2025-01-10 13:40:37.114749,0 days 00:00:04.240063,0.028044917484888465,112.0,0.2,208,100.0,2.7835028488681653e-05,1208,0.0017706025232673806,4,3,adadelta,"{'neurons_per_layer_encoder': [208, 416, 832], 'neurons_per_layer_decoder': [832, 416, 208, 104]}",208,"[832, 416, 208, 104]","[208, 416, 832]",[-0.1691752038828258],0.4613957690295805,COMPLETE
