trial_id,neurons_encoder,latent_dim,neurons_decoder
0,[60],146,"[60, 30, 15, 8, 8]"
1,"[80, 160, 320, 640, 1280]",1656,[1280]
2,"[216, 432, 864]",1576,"[864, 432]"
3,[44],96,"[44, 22, 11]"
4,"[68, 136]",240,[136]
5,"[12, 24, 48]",100,"[48, 24, 12]"
6,"[24, 48, 96, 192, 384]",840,"[384, 192, 96]"
7,"[108, 216, 432, 864]",1240,"[864, 432, 216, 108, 54]"
8,"[220, 440, 880, 1760]",3400,"[1760, 880, 440, 220]"
9,"[136, 272, 544, 1088]",2616,"[1088, 544]"
10,"[144, 288, 576, 1152]",1336,"[1152, 576, 288, 144]"
11,"[140, 280, 560]",1128,"[560, 280, 140]"
12,"[180, 360]",608,"[360, 180, 90]"
13,[120],224,"[120, 60]"
14,[112],184,"[112, 56, 28, 14, 8]"
15,[112],200,"[112, 56]"
16,[172],244,"[172, 86]"
17,[256],328,"[256, 128]"
18,[256],328,"[256, 128]"
19,[100],108,"[100, 50]"
20,"[40, 80]",104,"[80, 40, 20, 10]"
21,"[40, 80]",88,"[80, 40, 20, 10]"
22,"[40, 80]",88,"[80, 40, 20, 10]"
23,"[32, 64]",70,"[64, 32, 16, 8]"
24,"[40, 80]",88,"[80, 40, 20, 10]"
25,"[96, 192]",280,[192]
26,"[36, 72]",79,"[72, 36, 18, 9]"
27,"[84, 168]",192,"[168, 84, 42, 21]"
28,"[88, 176]",200,"[176, 88, 44, 22]"
29,"[4, 8]",8,"[8, 8, 8, 8]"
30,"[12, 24]",26,"[24, 12, 8, 8]"
31,"[80, 160, 320]",392,"[320, 160, 80, 40, 20]"
32,"[80, 160, 320]",376,"[320, 160, 80, 40, 20]"
33,"[56, 112, 224]",280,"[224, 112, 56, 28, 14]"
34,"[64, 128, 256]",312,"[256, 128, 64, 32, 16]"
35,"[60, 120, 240]",312,"[240, 120, 60, 30, 15]"
36,"[56, 112, 224]",296,"[224, 112, 56, 28, 14]"
37,"[64, 128, 256]",408,"[256, 128, 64, 32, 16]"
38,"[64, 128, 256]",408,"[256, 128, 64, 32, 16]"
39,"[72, 144, 288]",408,"[288, 144, 72, 36, 18]"
40,"[80, 160, 320]",424,"[320, 160, 80]"
41,[88],144,"[88, 44, 22]"
42,[156],212,"[156, 78, 39]"
43,[124],180,[124]
44,"[124, 248, 496, 992]",1032,[992]
45,"[120, 240]",360,[240]
46,"[124, 248]",368,[248]
47,"[120, 240, 480, 960, 1920]",2152,[1920]
48,"[24, 48, 96, 192, 384]",488,"[384, 192, 96, 48]"
49,"[24, 48, 96, 192, 384]",456,"[384, 192, 96, 48]"
50,"[24, 48, 96, 192, 384]",504,"[384, 192, 96, 48]"
51,"[48, 96, 192, 384, 768]",792,"[768, 384, 192, 96]"
52,"[48, 96, 192, 384]",472,"[384, 192, 96, 48]"
53,"[48, 96, 192, 384]",552,"[384, 192, 96]"
54,"[100, 200, 400, 800]",824,"[800, 400, 200]"
55,[108],132,"[108, 54, 27]"
56,"[16, 32, 64, 128]",200,"[128, 64, 32]"
57,"[100, 200, 400, 800]",824,"[800, 400, 200]"
58,"[96, 192]",248,"[192, 96, 48, 24]"
59,"[12, 24]",42,"[24, 12, 8, 8]"
60,"[28, 56]",93,"[56, 28, 14, 8]"
61,"[12, 24, 48, 96]",168,"[96, 48]"
62,"[16, 32, 64, 128]",200,"[128, 64]"
63,"[92, 184, 368, 736]",776,"[736, 368]"
64,"[148, 296, 592, 1184]",1224,"[1184, 592]"
65,"[88, 176, 352, 704, 1408]",1448,"[1408, 704, 352]"
66,"[88, 176, 352, 704, 1408]",1448,"[1408, 704, 352]"
67,"[76, 152, 304, 608, 1216]",1240,"[1216, 608, 304, 152]"
68,"[72, 144, 288, 576, 1152]",1192,"[1152, 576, 288, 144]"
69,"[72, 144, 288, 576, 1152]",1176,"[1152, 576, 288, 144]"
70,"[76, 152]",240,"[152, 76, 38, 19]"
71,"[4, 8]",8,"[8, 8, 8, 8]"
72,"[72, 144, 288, 576, 1152]",1176,"[1152, 576, 288, 144]"
73,"[72, 144, 288, 576, 1152]",1768,"[1152, 576, 288, 144]"
74,"[108, 216, 432, 864, 1728]",1896,"[1728, 864, 432, 216]"
75,"[112, 224, 448, 896, 1792]",2008,"[1792, 896, 448, 224]"
76,"[112, 224, 448, 896, 1792]",2024,"[1792, 896, 448, 224]"
77,"[108, 216, 432, 864, 1728]",1944,"[1728, 864, 432, 216]"
78,"[112, 224, 448, 896, 1792]",2008,"[1792, 896, 448, 224]"
79,"[112, 224, 448, 896, 1792]",1992,"[1792, 896, 448, 224]"
80,"[140, 280, 560, 1120, 2240]",2360,"[2240, 1120, 560, 280, 140]"
81,"[96, 192, 384, 768, 1536]",2504,"[1536, 768, 384, 192, 96]"
82,"[132, 264, 528, 1056, 2112]",2440,"[2112, 1056, 528, 264, 132]"
83,"[132, 264, 528, 1056, 2112]",2904,"[2112, 1056, 528, 264, 132]"
84,"[132, 264, 528, 1056, 2112]",3096,"[2112, 1056, 528, 264, 132]"
85,"[132, 264, 528, 1056, 2112]",3320,"[2112, 1056, 528, 264]"
86,"[200, 400, 800, 1600, 3200]",3736,"[3200, 1600, 800, 400]"
87,"[140, 280, 560, 1120, 2240]",5160,"[2240, 1120, 560, 280]"
88,"[80, 160, 320, 640, 1280]",1656,"[1280, 640, 320, 160]"
89,"[164, 328, 656, 1312, 2624]",5048,"[2624, 1312, 656, 328]"
90,"[168, 336, 672, 1344, 2688]",5400,"[2688, 1344, 672, 336]"
91,"[164, 328, 656, 1312, 2624]",5336,"[2624, 1312, 656, 328]"
92,"[152, 304, 608, 1216, 2432]",2728,"[2432, 1216, 608, 304]"
93,"[160, 320, 640, 1280, 2560]",5304,"[2560, 1280, 640, 320]"
94,"[148, 296, 592, 1184, 2368]",2744,"[2368, 1184, 592, 296]"
95,"[116, 232, 464]",680,"[464, 232, 116, 58]"
96,[104],208,"[104, 52, 26, 13]"
97,[96],168,"[96, 48, 24, 12]"
98,[96],168,"[96, 48, 24, 12]"
99,[56],109,"[56, 28, 14, 8]"
100,"[88, 176, 352]",552,"[352, 176, 88, 44]"
101,"[56, 112, 224]",248,"[224, 112, 56, 28]"
102,"[56, 112, 224]",248,"[224, 112, 56, 28]"
103,"[84, 168, 336]",552,"[336, 168, 84, 42]"
104,"[84, 168]",256,"[168, 84, 42]"
105,"[80, 160, 320, 640]",1016,"[640, 320, 160]"
106,"[104, 208, 416, 832]",920,"[832, 416, 208]"
107,"[240, 480, 960, 1920]",2248,"[1920, 960, 480]"
108,"[64, 128, 256]",280,"[256, 128, 64, 32]"
109,"[104, 208, 416]",904,"[416, 208, 104, 52]"
110,"[100, 200, 400, 800]",1032,"[800, 400, 200]"
111,"[116, 232, 464, 928]",1048,"[928, 464, 232]"
112,"[104, 208, 416, 832]",984,"[832, 416, 208]"
113,"[116, 232, 464, 928]",1080,"[928, 464, 232]"
114,"[116, 232, 464, 928, 1856]",1896,"[1856, 928]"
115,"[104, 208, 416, 832, 1664]",1704,"[1664, 832, 416]"
116,"[104, 208, 416, 832, 1664]",1704,"[1664, 832, 416]"
117,"[104, 208, 416, 832, 1664]",1704,"[1664, 832]"
118,"[124, 248, 496, 992, 1984]",2104,"[1984, 992]"
119,"[92, 184, 368, 736, 1472]",1512,"[1472, 736]"
120,"[124, 248, 496]",904,"[496, 248, 124, 62]"
121,"[124, 248, 496]",888,"[496, 248, 124, 62, 31]"
122,"[92, 184, 368, 736, 1472]",1528,"[1472, 736, 368, 184, 92]"
123,"[92, 184, 368, 736, 1472]",1528,"[1472, 736, 368, 184]"
124,"[92, 184, 368, 736, 1472]",1512,"[1472, 736, 368, 184, 92]"
