Year,Iteration,Alloy Name,Al,Co,Cr,Cu,Fe,Mn,Ni,V,VarvYS pred(MPa) at 298K,SFE_calc,VEC Avg,EDS Measured Atomic % Al ,EDS Measured Atomic % Co ,EDS Measured Atomic % Cr ,EDS Measured Atomic % Cu,EDS Measured Atomic % Fe ,EDS Measured Atomic % Mn,EDS Measured Atomic % Ni ,EDS Measured Atomic % V ,"Hardness, HV","SD, HV",Yield Strength (MPa),"SD, YS",UTS_True (Mpa),"SD, UTS",UTS/YS,"SD, UTS/YS",Elong_T (%),"SD, Elong%",Hardness (GPa) SRJT,"SD, Hardness",Modulus (GPa) SRJT,"SD, Modulus",Avg Hdyn (GPa) HSR,"SD, Avg Hdyn",Avg Hqs (GPa) HSR,"SD, Avg Hqs",Avg HDYN/HQS,"Std, Hdyn/Hqs",Indentation Depth (µm),Depth of Penetration (mm) FE_Sim,Grain Size (µm),Cracked,Processing,Recrystallization,XRD Phase,Tension Test Designation,Grain Size(um),Notes
2,BBC,BBC05,0,24,8,0,16,40,4,8,,15.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cold Rolled,950C for 30min/ water quench,,,,
1,AAC,AAC14,0,15,5,0,15,0,40,25,344.4982674,196.0,705.0,0 ,15.0 ,5.0 ,0.0,15.1 ,0.0,39.5 ,25.4 ,264.9,14.8,541.0,19.0,1136.0,8.1,2.1,0.08,33.7,2.6,3.32,0.27,199.57,11.75,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
2,BBB,BBB05,0,44,12,0,4,4,12,24,894.0828426,100.79,460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Cold Rolled,950C for 30min/ water quench,FCC+σ,,,
1,AAB,AAB12,0,15,5,0,20,0,40,20,312.9648164,74.64,720.0,0 ,15.0 ,5.1 ,0.0,20.2 ,0.0,39.4 ,20.4 ,235.0,7.5,430.0,0.0,986.0,0.0,2.29,0.0,37.0,0.0,2.71,0.24,190.55,4.78,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
1,AAA,AAA05,0,10,10,0,55,0,25,0,77.58102447,11.39,770.0,0 ,10.1 ,10.6 ,0.0,54.8 ,0.0,24.5 ,0 ,149.5,4.2,310.0,12.3,446.0,2.6,1.44,0.05,18.3,0.9,1.82,0.04,161.94,4.18,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
2,BBB,BBB13,0,40,4,0,28,4,4,20,722.0901867,55.48,496.0,0,39.7,4.2,0.0,27.9,3.9,4.2,20.1,223.3,21.2,531.3,29.7,1312.9,0.4,2.5,0.1,28.2,2.2,2.54,0.16,203.53,12.28,3.21,0.19,2.83,0.11,1.13,0.08,,2.31,,0.0,Cold Rolled,950C for 30min/ water quench,FCC+σ,,,
2,BBB,BBB15,4,0,8,24,4,16,44,0,1004.19632,124.14,908.0,4.3,0,8.3,23.5,4.1,16.2,43.7,0,139.6,3.5,261.2,6.5,1060.7,6.9,4.1,0.1,52.6,0.3,1.98,0.07,171.74,6.93,2.34,0.06,1.93,0.09,1.22,0.07,,2.98,,0.0,Cold Rolled,950C for 30min/ water quench,FCC,,51.3,
2,BBC,BBC15,4,16,0,20,4,12,44,0,,246.43,,4.4,16.2,,19.7,4.2,12.3,43.3,,119.7,3.3,218.8,4.1,870.7,4.7,4.0,0.1,44.6,1.3,1.79,0.05,173.17,6.24,2.14,0.07,1.79,0.05,1.2,0.04,,3.22,,,Cold Rolled,950C for 30min/ water quench,FCC,,25.0,
1,AAC,AAC11,0,10,5,0,5,0,50,30,374.9055941,360.9,740.0,0 ,10.0 ,5.0 ,0.0,5.0 ,0.0,49.5 ,30.5 ,281.5,40.4,637.0,10.0,1115.0,24.3,1.75,0.05,25.0,0.4,3.32,0.23,200.47,3.31,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
1,AAB,AAB01,0,50,10,0,15,0,15,10,252.0209975,-104.78,480.0,0 ,49.6 ,10.2 ,0.0,15.3 ,0.0,14.7 ,10.2 ,238.1,2.1,539.0,37.4,1038.0,25.5,1.93,0.14,34.6,3.2,2.68,0.03,194.27,2.2,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
