Unnamed: 0.1,Unnamed: 0,V,Cr,Mn,Fe,Co,Ni,Al,Cu,Subsystem_Number,EQ 500C TCHEA7 MAX FCC,EQ 500C TCHEA7 SUM FCC,EQ 950C TCHEA7 MAX FCC,EQ 950C TCHEA7 SUM FCC
0,10000,0.12,0.08,0.08,0.12,0.12,0.48,0,0,1,1,1,1,1
1,10001,0.12,0.08,0.08,0.12,0.16,0.44,0,0,1,1,1,1,1
2,10002,0.12,0.08,0.08,0.12,0.2,0.4,0,0,1,1,1,1,1
3,10003,0.12,0.08,0.08,0.12,0.24,0.36,0,0,1,1,1,1,1
4,10004,0.12,0.08,0.08,0.12,0.28,0.32,0,0,1,1,1,1,1
5,10005,0.12,0.08,0.08,0.12,0.32,0.28,0,0,1,1,1,1,1
6,10006,0.12,0.08,0.08,0.12,0.36,0.24,0,0,1,0.994349493,0.994349493,1,1
12,10012,0.12,0.08,0.08,0.16,0.04,0.52,0,0,1,1,1,1,1
13,10013,0.12,0.08,0.08,0.16,0.08,0.48,0,0,1,1,1,1,1
14,10014,0.12,0.08,0.08,0.16,0.12,0.44,0,0,1,1,1,1,1
15,10015,0.12,0.08,0.08,0.16,0.16,0.4,0,0,1,1,1,1,1
16,10016,0.12,0.08,0.08,0.16,0.2,0.36,0,0,1,1,1,1,1
17,10017,0.12,0.08,0.08,0.16,0.24,0.32,0,0,1,1,1,1,1
18,10018,0.12,0.08,0.08,0.16,0.28,0.28,0,0,1,1,1,1,1
19,10019,0.12,0.08,0.08,0.16,0.32,0.24,0,0,1,1,1,1,1
25,10025,0.12,0.08,0.08,0.2,0.04,0.48,0,0,1,1,1,1,1
26,10026,0.12,0.08,0.08,0.2,0.08,0.44,0,0,1,1,1,1,1
27,10027,0.12,0.08,0.08,0.2,0.12,0.4,0,0,1,1,1,1,1
28,10028,0.12,0.08,0.08,0.2,0.16,0.36,0,0,1,1,1,1,1
29,10029,0.12,0.08,0.08,0.2,0.2,0.32,0,0,1,1,1,1,1
30,10030,0.12,0.08,0.08,0.2,0.24,0.28,0,0,1,1,1,1,1
103,10103,0.12,0.08,0.12,0.04,0.04,0.6,0,0,1,1,1,1,1
104,10104,0.12,0.08,0.12,0.04,0.08,0.56,0,0,1,1,1,1,1
105,10105,0.12,0.08,0.12,0.04,0.12,0.52,0,0,1,1,1,1,1
106,10106,0.12,0.08,0.12,0.04,0.16,0.48,0,0,1,1,1,1,1
107,10107,0.12,0.08,0.12,0.04,0.2,0.44,0,0,1,1,1,1,1
108,10108,0.12,0.08,0.12,0.04,0.24,0.4,0,0,1,1,1,1,1
109,10109,0.12,0.08,0.12,0.04,0.28,0.36,0,0,1,1,1,1,1
110,10110,0.12,0.08,0.12,0.04,0.32,0.32,0,0,1,1,1,1,1
118,10118,0.12,0.08,0.12,0.08,0.04,0.56,0,0,1,1,1,1,1
119,10119,0.12,0.08,0.12,0.08,0.08,0.52,0,0,1,1,1,1,1
120,10120,0.12,0.08,0.12,0.08,0.12,0.48,0,0,1,1,1,1,1
121,10121,0.12,0.08,0.12,0.08,0.16,0.44,0,0,1,1,1,1,1
122,10122,0.12,0.08,0.12,0.08,0.2,0.4,0,0,1,1,1,1,1
123,10123,0.12,0.08,0.12,0.08,0.24,0.36,0,0,1,1,1,1,1
124,10124,0.12,0.08,0.12,0.08,0.28,0.32,0,0,1,1,1,1,1
125,10125,0.12,0.08,0.12,0.08,0.32,0.28,0,0,1,1,1,1,1
126,10126,0.12,0.08,0.12,0.08,0.36,0.24,0,0,1,1,1,1,1
132,10132,0.12,0.08,0.12,0.12,0.04,0.52,0,0,1,1,1,1,1
133,10133,0.12,0.08,0.12,0.12,0.08,0.48,0,0,1,1,1,1,1
134,10134,0.12,0.08,0.12,0.12,0.12,0.44,0,0,1,1,1,1,1
135,10135,0.12,0.08,0.12,0.12,0.16,0.4,0,0,1,1,1,1,1
136,10136,0.12,0.08,0.12,0.12,0.2,0.36,0,0,1,1,1,1,1
137,10137,0.12,0.08,0.12,0.12,0.24,0.32,0,0,1,1,1,1,1
138,10138,0.12,0.08,0.12,0.12,0.28,0.28,0,0,1,1,1,1,1
139,10139,0.12,0.08,0.12,0.12,0.32,0.24,0,0,1,1,1,1,1
140,10140,0.12,0.08,0.12,0.12,0.36,0.2,0,0,1,1,1,1,1
141,10141,0.12,0.08,0.12,0.12,0.4,0.16,0,0,1,1,1,1,1
145,10145,0.12,0.08,0.12,0.16,0.04,0.48,0,0,1,1,1,1,1
146,10146,0.12,0.08,0.12,0.16,0.08,0.44,0,0,1,1,1,1,1
147,10147,0.12,0.08,0.12,0.16,0.12,0.4,0,0,1,1,1,1,1
148,10148,0.12,0.08,0.12,0.16,0.16,0.36,0,0,1,1,1,1,1
149,10149,0.12,0.08,0.12,0.16,0.2,0.32,0,0,1,1,1,1,1
150,10150,0.12,0.08,0.12,0.16,0.24,0.28,0,0,1,1,1,1,1
151,10151,0.12,0.08,0.12,0.16,0.28,0.24,0,0,1,1,1,1,1
152,10152,0.12,0.08,0.12,0.16,0.32,0.2,0,0,1,1,1,1,1
153,10153,0.12,0.08,0.12,0.16,0.36,0.16,0,0,1,1,1,1,1
158,10158,0.12,0.08,0.12,0.2,0.08,0.4,0,0,1,1,1,1,1
159,10159,0.12,0.08,0.12,0.2,0.12,0.36,0,0,1,0.998964559,0.998964559,1,1
160,10160,0.12,0.08,0.12,0.2,0.16,0.32,0,0,1,0.999750203,0.999750203,1,1
161,10161,0.12,0.08,0.12,0.2,0.2,0.28,0,0,1,1,1,1,1
162,10162,0.12,0.08,0.12,0.2,0.24,0.24,0,0,1,1,1,1,1
163,10163,0.12,0.08,0.12,0.2,0.28,0.2,0,0,1,1,1,1,1
223,10223,0.12,0.08,0.16,0.04,0.04,0.56,0,0,1,1,1,1,1
224,10224,0.12,0.08,0.16,0.04,0.08,0.52,0,0,1,1,1,1,1
225,10225,0.12,0.08,0.16,0.04,0.12,0.48,0,0,1,1,1,1,1
226,10226,0.12,0.08,0.16,0.04,0.16,0.44,0,0,1,1,1,1,1
227,10227,0.12,0.08,0.16,0.04,0.2,0.4,0,0,1,1,1,1,1
228,10228,0.12,0.08,0.16,0.04,0.24,0.36,0,0,1,1,1,1,1
229,10229,0.12,0.08,0.16,0.04,0.28,0.32,0,0,1,1,1,1,1
230,10230,0.12,0.08,0.16,0.04,0.32,0.28,0,0,1,1,1,1,1
231,10231,0.12,0.08,0.16,0.04,0.36,0.24,0,0,1,1,1,1,1
237,10237,0.12,0.08,0.16,0.08,0.04,0.52,0,0,1,1,1,1,1
238,10238,0.12,0.08,0.16,0.08,0.08,0.48,0,0,1,1,1,1,1
239,10239,0.12,0.08,0.16,0.08,0.12,0.44,0,0,1,1,1,1,1
240,10240,0.12,0.08,0.16,0.08,0.16,0.4,0,0,1,1,1,1,1
241,10241,0.12,0.08,0.16,0.08,0.2,0.36,0,0,1,1,1,1,1
242,10242,0.12,0.08,0.16,0.08,0.24,0.32,0,0,1,1,1,1,1
243,10243,0.12,0.08,0.16,0.08,0.28,0.28,0,0,1,1,1,1,1
244,10244,0.12,0.08,0.16,0.08,0.32,0.24,0,0,1,1,1,1,1
245,10245,0.12,0.08,0.16,0.08,0.36,0.2,0,0,1,1,1,1,1
246,10246,0.12,0.08,0.16,0.08,0.4,0.16,0,0,1,1,1,1,1
250,10250,0.12,0.08,0.16,0.12,0.04,0.48,0,0,1,1,1,1,1
251,10251,0.12,0.08,0.16,0.12,0.08,0.44,0,0,1,1,1,1,1
252,10252,0.12,0.08,0.16,0.12,0.12,0.4,0,0,1,1,1,1,1
253,10253,0.12,0.08,0.16,0.12,0.16,0.36,0,0,1,0.999193006,0.999193006,1,1
254,10254,0.12,0.08,0.16,0.12,0.2,0.32,0,0,1,0.999302585,0.999302585,1,1
255,10255,0.12,0.08,0.16,0.12,0.24,0.28,0,0,1,1,1,1,1
256,10256,0.12,0.08,0.16,0.12,0.28,0.24,0,0,1,1,1,1,1
257,10257,0.12,0.08,0.16,0.12,0.32,0.2,0,0,1,1,1,1,1
258,10258,0.12,0.08,0.16,0.12,0.36,0.16,0,0,1,1,1,1,1
259,10259,0.12,0.08,0.16,0.12,0.4,0.12,0,0,1,0.997682143,0.997682143,1,1
260,10260,0.12,0.08,0.16,0.12,0.44,0.08,0,0,1,0.991783016,0.991783016,1,1
328,10328,0.12,0.12,0.04,0.04,0.04,0.64,0,0,1,1,1,1,1
329,10329,0.12,0.12,0.04,0.04,0.08,0.6,0,0,1,1,1,1,1
330,10330,0.12,0.12,0.04,0.04,0.12,0.56,0,0,1,1,1,1,1
331,10331,0.12,0.12,0.04,0.04,0.16,0.52,0,0,1,1,1,1,1
332,10332,0.12,0.12,0.04,0.04,0.2,0.48,0,0,1,1,1,1,1
333,10333,0.12,0.12,0.04,0.04,0.24,0.44,0,0,1,1,1,1,1
334,10334,0.12,0.12,0.04,0.04,0.28,0.4,0,0,1,1,1,1,1
344,10344,0.12,0.12,0.04,0.08,0.04,0.6,0,0,1,1,1,1,1
345,10345,0.12,0.12,0.04,0.08,0.08,0.56,0,0,1,1,1,1,1
346,10346,0.12,0.12,0.04,0.08,0.12,0.52,0,0,1,1,1,1,1
347,10347,0.12,0.12,0.04,0.08,0.16,0.48,0,0,1,1,1,1,1
348,10348,0.12,0.12,0.04,0.08,0.2,0.44,0,0,1,1,1,1,1
349,10349,0.12,0.12,0.04,0.08,0.24,0.4,0,0,1,1,1,1,1
