trial_id,neurons_encoder,latent_dim,neurons_decoder
0,[],,[]
1,[],,[]
2,[],,[]
3,[],,[]
4,[],,[]
5,[],,[]
6,[200],576.0,[200]
7,"[24, 48, 96]",184.0,"[96, 48, 24, 12, 8]"
8,[224],424.0,"[224, 112, 56, 28, 14]"
9,"[224, 448, 896]",2392.0,"[896, 448]"
10,"[208, 416, 832]",1080.0,"[832, 416, 208]"
11,"[32, 64]",88.0,"[64, 32, 16]"
12,"[184, 368]",488.0,[368]
13,[72],128.0,"[72, 36, 18, 9]"
14,"[192, 384, 768, 1536]",3592.0,"[1536, 768, 384, 192, 96]"
15,"[136, 272, 544]",680.0,"[544, 272]"
16,"[32, 64, 128]",136.0,"[128, 64]"
17,"[16, 32, 64, 128]",344.0,"[128, 64, 32, 16]"
18,"[224, 448, 896, 1792, 3584]",7320.0,"[3584, 1792]"
19,"[104, 208, 416, 832]",952.0,"[832, 416]"
20,"[184, 368, 736, 1472, 2944]",3688.0,"[2944, 1472, 736, 368, 184]"
21,"[136, 272, 544, 1088, 2176]",6088.0,[2176]
22,"[144, 288, 576, 1152, 2304]",6840.0,[2304]
23,"[136, 272, 544, 1088, 2176]",6392.0,"[2176, 1088, 544, 272]"
24,"[152, 304, 608, 1216, 2432]",7240.0,"[2432, 1216, 608, 304]"
25,"[160, 320, 640, 1280, 2560]",3016.0,"[2560, 1280, 640, 320]"
26,"[168, 336]",408.0,"[336, 168, 84, 42]"
27,"[256, 512]",584.0,"[512, 256, 128, 64]"
28,"[256, 512, 1024, 2048]",2392.0,"[2048, 1024, 512, 256]"
29,"[256, 512, 1024, 2048]",2312.0,"[2048, 1024, 512, 256]"
30,"[104, 208, 416, 832]",1752.0,[832]
31,"[96, 192, 384, 768]",1672.0,[768]
32,"[88, 176, 352, 704]",1640.0,[704]
33,"[248, 496, 992, 1984]",4808.0,"[1984, 992, 496]"
34,"[72, 144, 288, 576]",1384.0,"[576, 288, 144]"
35,"[64, 128, 256, 512, 1024]",2728.0,"[1024, 512, 256]"
36,"[48, 96, 192, 384, 768]",1928.0,"[768, 384, 192]"
37,"[56, 112, 224, 448, 896]",2104.0,"[896, 448, 224]"
38,"[56, 112, 224, 448, 896]",2152.0,"[896, 448, 224]"
39,"[120, 240, 480, 960, 1920]",4760.0,"[1920, 960]"
40,"[120, 240, 480, 960, 1920]",5016.0,"[1920, 960]"
41,"[8, 16, 32, 64, 128]",216.0,"[128, 64]"
42,"[120, 240]",328.0,[240]
43,"[120, 240]",344.0,[240]
44,[120],224.0,"[120, 60]"
45,[176],264.0,[176]
46,[176],248.0,[176]
47,[88],96.0,[88]
48,"[208, 416, 832]",1384.0,[832]
49,"[208, 416, 832]",1416.0,"[832, 416]"
50,"[208, 416, 832]",1448.0,[832]
51,"[208, 416, 832]",1464.0,[832]
