number,values_0,values_1,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_r2_feature_2,user_attrs_relative_deterioration,state
0,,,2024-12-23 11:13:46.460189,2024-12-23 11:13:46.487236,0 days 00:00:00.027047,0.05708680920486231,,0.4,144,,2.6393763237885727e-05,,0.0004457575582734679,3,4,adadelta,,,,,,,,FAIL
1,,,2024-12-23 11:13:46.460225,2024-12-23 11:13:46.499914,0 days 00:00:00.039689,0.02910593171796299,,0.4,224,,1.01416663422372e-05,,1.1050196626972956e-05,3,5,adam,,,,,,,,FAIL
2,,,2024-12-23 11:13:46.460229,2024-12-23 11:13:46.523898,0 days 00:00:00.063669,0.05008058899810231,,0.2,16,,1.718910745728176e-06,,6.521489859020083e-05,4,3,adam,,,,,,,,FAIL
3,,,2024-12-23 11:13:46.460402,2024-12-23 11:13:46.529979,0 days 00:00:00.069577,0.026715480430176654,,0.2,232,,3.4591569704131838e-06,,4.400566355160314e-05,4,3,adadelta,,,,,,,,FAIL
4,,,2024-12-23 11:13:46.460226,2024-12-23 11:13:46.540214,0 days 00:00:00.079988,0.013074285720607075,,0.2,184,,1.4886954169772281e-05,,0.00026975052576098355,4,2,adadelta,,,,,,,,FAIL
5,,,2024-12-23 11:13:46.460764,2024-12-23 11:13:46.572553,0 days 00:00:00.111789,0.14345532305064967,,0.1,120,,2.041525673157884e-06,,0.0027308638978053544,5,3,sgd,,,,,,,,FAIL
6,-0.22726223596943118,0.07428269181165148,2024-12-23 11:14:19.182916,2024-12-23 11:14:22.558139,0 days 00:00:03.375223,0.030776610348766085,128.0,0.2,200,100.0,7.262439154846835e-05,576.0,0.0005132279309436478,1,1,adadelta,"{'neurons_per_layer_encoder': [200], 'neurons_per_layer_decoder': [200]}",200.0,[200],[200],[-0.22726223596943118],[0.07428269181165148],0.5245723659697674,COMPLETE
7,0.01931111552482412,-0.006044990232372038,2024-12-23 11:14:19.183779,2024-12-23 11:14:24.454781,0 days 00:00:05.271002,0.16973051666106723,120.0,0.30000000000000004,24,100.0,2.985251517970855e-06,184.0,0.0016117156865995208,5,3,adam,"{'neurons_per_layer_encoder': [24, 48, 96], 'neurons_per_layer_decoder': [96, 48, 24, 12, 8]}",24.0,"[96, 48, 24, 12, 8]","[24, 48, 96]",[0.01931111552482412],[-0.006044990232372038],-0.23098888599822714,COMPLETE
8,0.23608429824811872,0.1219486319295936,2024-12-23 11:14:19.213563,2024-12-23 11:14:24.855597,0 days 00:00:05.642034,0.06539685947253385,56.0,0.2,224,100.0,0.0001056689413270099,424.0,0.009234899149045331,5,1,adam,"{'neurons_per_layer_encoder': [224], 'neurons_per_layer_decoder': [224, 112, 56, 28, 14]}",224.0,"[224, 112, 56, 28, 14]",[224],[0.23608429824811872],[0.1219486319295936],-0.5398107530248123,COMPLETE
9,-1.1441089927276682,-0.11156787787598499,2024-12-23 11:14:19.239446,2024-12-23 11:14:22.867178,0 days 00:00:03.627732,0.03833675296647855,72.0,0.1,224,100.0,0.0009747901801373987,2392.0,0.00021720991503654908,2,3,adadelta,"{'neurons_per_layer_encoder': [224, 448, 896], 'neurons_per_layer_decoder': [896, 448]}",224.0,"[896, 448]","[224, 448, 896]",[-1.1441089927276682],[-0.11156787787598499],0.9756274493858123,COMPLETE
