trial_id,neurons_encoder,latent_dim,neurons_decoder
0,"[880, 440]",88,"[440, 880]"
1,[336],195,[336]
2,"[816, 408, 204]",40,"[204, 408, 816]"
3,"[672, 336, 168]",97,"[168, 336, 672]"
4,"[416, 208, 104, 52]",10,"[52, 104]"
5,"[288, 144, 72, 36]",7,[36]
6,"[992, 496, 248]",145,"[248, 496, 992]"
7,"[944, 472]",126,"[472, 944]"
8,[608],313,"[608, 1216, 2432]"
9,"[1008, 504]",132,"[504, 1008, 2016]"
10,"[704, 352]",102,"[352, 704, 1408, 2816]"
11,"[592, 296, 148, 74]",46,"[74, 148]"
12,[816],419,"[816, 1632, 3264, 6528, 13056]"
13,"[944, 472, 236, 118, 59]",11,"[59, 118]"
14,[896],563,"[896, 1792, 3584, 7168, 14336]"
15,"[1024, 512, 256, 128, 64]",12,"[64, 128, 256, 512, 1024]"
16,"[480, 240, 120, 60, 30]",6,"[30, 60, 120, 240, 480]"
17,"[528, 264, 132, 66, 33]",6,"[33, 66, 132, 264, 528]"
18,"[496, 248]",145,"[248, 496, 992, 1984, 3968]"
19,"[800, 400]",208,"[400, 800, 1600, 3200]"
20,"[752, 376]",203,"[376, 752, 1504, 3008]"
21,"[784, 392]",206,"[392, 784, 1568, 3136]"
22,[800],512,"[800, 1600, 3200, 6400]"
23,[768],505,"[768, 1536, 3072, 6144]"
24,[592],374,"[592, 1184, 2368, 4736]"
25,[608],377,"[608, 1216, 2432]"
26,"[912, 456, 228, 114]",22,"[114, 228]"
27,"[912, 456, 228, 114]",22,"[114, 228]"
28,"[944, 472, 236, 118]",23,"[118, 236]"
29,"[912, 456, 228, 114]",22,"[114, 228]"
30,"[976, 488, 244]",80,"[244, 488, 976]"
31,"[960, 480, 240]",80,"[240, 480, 960]"
32,"[992, 496, 248]",81,"[248, 496, 992]"
33,"[1008, 504, 252]",114,"[252, 504, 1008]"
34,"[1024, 512, 256]",115,[256]
35,"[880, 440, 220]",76,[220]
