number,values_0,values_1,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_r2_feature_2,user_attrs_relative_deterioration,state
0,-0.4872846811642757,-0.046357548656096315,2024-12-23 10:47:46.864580,2024-12-23 10:47:51.822903,0 days 00:00:04.958323,0.09131661134166007,64,0.4,880,100,0.0002588038106816981,88,0.00025590982198581147,2,2,adadelta,"{'neurons_per_layer_encoder': [880, 440], 'neurons_per_layer_decoder': [440, 880]}",880,"[440, 880]","[880, 440]",[-0.4872846811642757],[-0.046357548656096315],0.8695717393902749,COMPLETE
1,-0.7263358537540396,-0.11353359523149509,2024-12-23 10:47:46.865909,2024-12-23 10:47:48.130528,0 days 00:00:01.264619,0.021918277164606325,48,0.30000000000000004,336,100,0.0003717502156478842,195,8.160074201932075e-05,1,1,sgd,"{'neurons_per_layer_encoder': [336], 'neurons_per_layer_decoder': [336]}",336,[336],[336],[-0.7263358537540396],[-0.11353359523149509],0.6754500262820043,COMPLETE
2,-0.5796268184474367,0.01933123356711064,2024-12-23 10:47:46.866033,2024-12-23 10:47:50.983174,0 days 00:00:04.117141,0.08486141054051005,64,0.2,816,100,3.9754847121853593e-05,40,0.0022143033384670677,3,3,sgd,"{'neurons_per_layer_encoder': [816, 408, 204], 'neurons_per_layer_decoder': [204, 408, 816]}",816,"[204, 408, 816]","[816, 408, 204]",[-0.5796268184474367],[0.01933123356711064],0.5535894105989126,COMPLETE
3,-1.4447200346669713,-0.043496875225592646,2024-12-23 10:47:46.866222,2024-12-23 10:47:48.451819,0 days 00:00:01.585597,0.1213362407754447,120,0.1,672,100,6.332599960891274e-05,97,0.0006518460851225073,3,3,sgd,"{'neurons_per_layer_encoder': [672, 336, 168], 'neurons_per_layer_decoder': [168, 336, 672]}",672,"[168, 336, 672]","[672, 336, 168]",[-1.4447200346669713],[-0.043496875225592646],0.5197715938771477,COMPLETE
4,0.3143145084584664,-0.007166419941523339,2024-12-23 10:47:46.866339,2024-12-23 10:47:51.507579,0 days 00:00:04.641240,0.19738859144859475,48,0.1,416,100,4.176831848524738e-06,10,0.0008086162546714216,2,4,adam,"{'neurons_per_layer_encoder': [416, 208, 104, 52], 'neurons_per_layer_decoder': [52, 104]}",416,"[52, 104]","[416, 208, 104, 52]",[0.3143145084584664],[-0.007166419941523339],-1.8886510407892296,COMPLETE
5,0.02004996825057903,-0.04386745166112127,2024-12-23 10:47:46.866198,2024-12-23 10:47:50.880287,0 days 00:00:04.014089,0.14815246308355662,120,0.30000000000000004,288,100,1.545313829219994e-05,7,0.00289901408810372,1,4,adadelta,"{'neurons_per_layer_encoder': [288, 144, 72, 36], 'neurons_per_layer_decoder': [36]}",288,[36],"[288, 144, 72, 36]",[0.02004996825057903],[-0.04386745166112127],0.4177244083565609,COMPLETE
6,-0.7769136424471736,-0.0049666993361647815,2024-12-23 10:47:48.137251,2024-12-23 10:47:51.236840,0 days 00:00:03.099589,0.020791692718603743,128,0.30000000000000004,992,100,8.234374283681708e-06,145,2.0349299007047157e-05,3,3,adam,"{'neurons_per_layer_encoder': [992, 496, 248], 'neurons_per_layer_decoder': [248, 496, 992]}",992,"[248, 496, 992]","[992, 496, 248]",[-0.7769136424471736],[-0.0049666993361647815],0.40342950883100664,COMPLETE
7,-0.1563148515963233,0.19391816809316076,2024-12-23 10:47:48.458186,2024-12-23 10:47:54.235897,0 days 00:00:05.777711,0.02213170483198185,40,0.2,944,100,0.00017109278210436773,126,0.001241033977562999,2,2,sgd,"{'neurons_per_layer_encoder': [944, 472], 'neurons_per_layer_decoder': [472, 944]}",944,"[472, 944]","[944, 472]",[-0.1563148515963233],[0.19391816809316076],0.8571447930277536,COMPLETE
8,-0.4218525327093037,-0.3251659766680244,2024-12-23 10:47:50.889972,2024-12-23 10:48:03.308919,0 days 00:00:12.418947,0.024077801347729626,56,0.1,608,100,1.9941164427265485e-05,313,0.00043397584924951264,3,1,adam,"{'neurons_per_layer_encoder': [608], 'neurons_per_layer_decoder': [608, 1216, 2432]}",608,"[608, 1216, 2432]",[608],[-0.4218525327093037],[-0.3251659766680244],0.19454448961692883,COMPLETE
9,0.1070497377806251,0.0924140313121723,2024-12-23 10:47:50.996048,2024-12-23 10:48:11.039985,0 days 00:00:20.043937,0.05299859680388294,48,0.2,1008,100,0.0004168957515211555,132,0.0032222702078422132,3,2,sgd,"{'neurons_per_layer_encoder': [1008, 504], 'neurons_per_layer_decoder': [504, 1008, 2016]}",1008,"[504, 1008, 2016]","[1008, 504]",[0.1070497377806251],[0.0924140313121723],0.968998107819934,COMPLETE
10,-0.9442753282758456,-0.09323570363322586,2024-12-23 10:47:51.243553,2024-12-23 10:47:55.635663,0 days 00:00:04.392110,0.011090446331966227,56,0.2,704,100,3.547867099778314e-06,102,0.0001192610835812836,4,2,sgd,"{'neurons_per_layer_encoder': [704, 352], 'neurons_per_layer_decoder': [352, 704, 1408, 2816]}",704,"[352, 704, 1408, 2816]","[704, 352]",[-0.9442753282758456],[-0.09323570363322586],0.2160474870408573,COMPLETE
11,-0.011436235296565567,0.17007941450451614,2024-12-23 10:47:51.517141,2024-12-23 10:48:04.811670,0 days 00:00:13.294529,0.09501455431022905,120,0.1,592,100,0.0009602769730229738,46,0.0002532827745234528,2,4,adam,"{'neurons_per_layer_encoder': [592, 296, 148, 74], 'neurons_per_layer_decoder': [74, 148]}",592,"[74, 148]","[592, 296, 148, 74]",[-0.011436235296565567],[0.17007941450451614],0.949931352679115,COMPLETE
12,-0.4568500260699835,-0.2844755053442136,2024-12-23 10:47:51.834213,2024-12-23 10:49:25.430981,0 days 00:01:33.596768,0.018606746975140382,32,0.4,816,100,3.175584813838221e-05,419,0.00038797516781366166,5,1,adadelta,"{'neurons_per_layer_encoder': [816], 'neurons_per_layer_decoder': [816, 1632, 3264, 6528, 13056]}",816,"[816, 1632, 3264, 6528, 13056]",[816],[-0.4568500260699835],[-0.2844755053442136],0.9038173138841795,COMPLETE
13,0.153521134055279,0.006131338416789367,2024-12-23 10:47:54.244356,2024-12-23 10:48:18.623197,0 days 00:00:24.378841,0.10901269424558092,80,0.30000000000000004,944,100,4.103991395154907e-05,11,0.002680692804118632,2,5,adam,"{'neurons_per_layer_encoder': [944, 472, 236, 118, 59], 'neurons_per_layer_decoder': [59, 118]}",944,"[59, 118]","[944, 472, 236, 118, 59]",[0.153521134055279],[0.006131338416789367],0.18857153034346566,COMPLETE
14,-2.4879268234953975,-3.46062193380844,2024-12-23 10:47:55.644019,2024-12-23 10:49:50.078247,0 days 00:01:54.434228,0.03684661825153546,96,0.1,896,100,7.383284770324631e-06,563,0.002531023253064037,5,1,adam,"{'neurons_per_layer_encoder': [896], 'neurons_per_layer_decoder': [896, 1792, 3584, 7168, 14336]}",896,"[896, 1792, 3584, 7168, 14336]",[896],[-2.4879268234953975],[-3.46062193380844],0.29987428497809854,COMPLETE
15,-0.11129000326025773,-0.17606823893494128,2024-12-23 10:48:03.321010,2024-12-23 10:48:33.624197,0 days 00:00:30.303187,0.04550135356508904,32,0.4,1024,100,1.03133264478993e-06,12,0.009042938384731136,5,5,sgd,"{'neurons_per_layer_encoder': [1024, 512, 256, 128, 64], 'neurons_per_layer_decoder': [64, 128, 256, 512, 1024]}",1024,"[64, 128, 256, 512, 1024]","[1024, 512, 256, 128, 64]",[-0.11129000326025773],[-0.17606823893494128],0.2519957116421007,COMPLETE
16,-0.22364373993488296,-0.01493936253497985,2024-12-23 10:48:04.831480,2024-12-23 10:48:37.845019,0 days 00:00:33.013539,0.052866491243589976,96,0.2,480,100,0.0009935074050812852,6,0.007074121629969113,5,5,adam,"{'neurons_per_layer_encoder': [480, 240, 120, 60, 30], 'neurons_per_layer_decoder': [30, 60, 120, 240, 480]}",480,"[30, 60, 120, 240, 480]","[480, 240, 120, 60, 30]",[-0.22364373993488296],[-0.01493936253497985],0.36273244257278764,COMPLETE
17,-0.9546644485601561,-0.058645931372977245,2024-12-23 10:48:11.049063,2024-12-23 10:48:21.725228,0 days 00:00:10.676165,0.0476703393119932,88,0.4,528,100,0.0009532746664457671,6,0.006426625320949409,5,5,sgd,"{'neurons_per_layer_encoder': [528, 264, 132, 66, 33], 'neurons_per_layer_decoder': [33, 66, 132, 264, 528]}",528,"[33, 66, 132, 264, 528]","[528, 264, 132, 66, 33]",[-0.9546644485601561],[-0.058645931372977245],0.9528089943543084,COMPLETE
18,-0.20283531897854168,0.030754108453018292,2024-12-23 10:48:18.638040,2024-12-23 10:48:44.576692,0 days 00:00:25.938652,0.051302915818526126,96,0.4,496,100,0.0007637369012028599,145,0.006131186443033954,5,2,sgd,"{'neurons_per_layer_encoder': [496, 248], 'neurons_per_layer_decoder': [248, 496, 992, 1984, 3968]}",496,"[248, 496, 992, 1984, 3968]","[496, 248]",[-0.20283531897854168],[0.030754108453018292],0.9890185189352068,COMPLETE
19,-0.068424061616847,-0.024875641329060283,2024-12-23 10:48:21.737190,2024-12-23 10:48:49.868571,0 days 00:00:28.131381,0.053395954099905045,32,0.2,800,100,1.0361552263237361e-06,208,0.00861051495600811,4,2,adadelta,"{'neurons_per_layer_encoder': [800, 400], 'neurons_per_layer_decoder': [400, 800, 1600, 3200]}",800,"[400, 800, 1600, 3200]","[800, 400]",[-0.068424061616847],[-0.024875641329060283],-0.05141391728449996,COMPLETE
20,-0.044958630871179794,-0.24904769158970774,2024-12-23 10:48:33.632231,2024-12-23 10:49:05.660693,0 days 00:00:32.028462,0.06358581913349692,96,0.2,752,100,0.0008866607126133587,203,3.446918967675607e-05,4,2,adadelta,"{'neurons_per_layer_encoder': [752, 376], 'neurons_per_layer_decoder': [376, 752, 1504, 3008]}",752,"[376, 752, 1504, 3008]","[752, 376]",[-0.044958630871179794],[-0.24904769158970774],0.9871671097999842,COMPLETE
21,-0.46575316497125874,-0.1884921700109976,2024-12-23 10:48:37.854045,2024-12-23 10:49:06.172888,0 days 00:00:28.318843,0.06762413810522148,104,0.1,784,100,0.00010799401712507124,206,1.2483430241137702e-05,4,2,adadelta,"{'neurons_per_layer_encoder': [784, 392], 'neurons_per_layer_decoder': [392, 784, 1568, 3136]}",784,"[392, 784, 1568, 3136]","[784, 392]",[-0.46575316497125874],[-0.1884921700109976],0.8942916065783036,COMPLETE
22,-0.7148713319042961,-0.0660184559094592,2024-12-23 10:48:44.584301,2024-12-23 10:49:19.902734,0 days 00:00:35.318433,0.029209725343932146,72,0.1,800,100,0.00011065218471385966,512,3.5906591595361517e-05,4,1,adadelta,"{'neurons_per_layer_encoder': [800], 'neurons_per_layer_decoder': [800, 1600, 3200, 6400]}",800,"[800, 1600, 3200, 6400]",[800],[-0.7148713319042961],[-0.0660184559094592],0.9386314198806349,COMPLETE
23,-1.1763906373313757,-0.005944722159949789,2024-12-23 10:48:49.877623,2024-12-23 10:49:13.598770,0 days 00:00:23.721147,0.031470891651761486,80,0.1,768,100,0.00010703890235684432,505,2.017238373065703e-05,4,1,adadelta,"{'neurons_per_layer_encoder': [768], 'neurons_per_layer_decoder': [768, 1536, 3072, 6144]}",768,"[768, 1536, 3072, 6144]",[768],[-1.1763906373313757],[-0.005944722159949789],0.9258301776578645,COMPLETE
24,-1.3968816108613384,0.009645794425622967,2024-12-23 10:49:05.714989,2024-12-23 10:49:19.997854,0 days 00:00:14.282865,0.03136953415639594,72,0.1,592,100,0.00010597402623607958,374,0.00020797897824232416,4,1,sgd,"{'neurons_per_layer_encoder': [592], 'neurons_per_layer_decoder': [592, 1184, 2368, 4736]}",592,"[592, 1184, 2368, 4736]",[592],[-1.3968816108613384],[0.009645794425622967],0.8979951389596172,COMPLETE
25,-0.793470168474631,-0.021446335507390835,2024-12-23 10:49:06.191847,2024-12-23 10:49:16.817948,0 days 00:00:10.626101,0.03669725018827014,72,0.1,608,100,0.0004176820584706753,377,0.00017847376175713871,3,1,sgd,"{'neurons_per_layer_encoder': [608], 'neurons_per_layer_decoder': [608, 1216, 2432]}",608,"[608, 1216, 2432]",[608],[-0.793470168474631],[-0.021446335507390835],0.9533308466845872,COMPLETE
26,-0.009676248951945077,0.03977178115263247,2024-12-23 10:49:13.607831,2024-12-23 10:49:27.383279,0 days 00:00:13.775448,0.035424359072468506,72,0.30000000000000004,912,100,0.00040534193265301854,22,0.002590346105417286,2,4,sgd,"{'neurons_per_layer_encoder': [912, 456, 228, 114], 'neurons_per_layer_decoder': [114, 228]}",912,"[114, 228]","[912, 456, 228, 114]",[-0.009676248951945077],[0.03977178115263247],0.9259635304307418,COMPLETE
27,-0.9404222349887481,-0.020043406967601873,2024-12-23 10:49:16.837985,2024-12-23 10:49:24.487702,0 days 00:00:07.649717,0.033498090455792134,72,0.30000000000000004,912,100,4.89473940362397e-05,22,0.002780419545127474,2,4,sgd,"{'neurons_per_layer_encoder': [912, 456, 228, 114], 'neurons_per_layer_decoder': [114, 228]}",912,"[114, 228]","[912, 456, 228, 114]",[-0.9404222349887481],[-0.020043406967601873],0.6668396797887199,COMPLETE
28,0.06789433750069385,-0.2560729930703185,2024-12-23 10:49:19.912487,2024-12-23 10:49:30.633982,0 days 00:00:10.721495,0.014249654229486002,40,0.30000000000000004,944,100,3.8289310956057126e-05,23,0.002571531097357444,2,4,sgd,"{'neurons_per_layer_encoder': [944, 472, 236, 118], 'neurons_per_layer_decoder': [118, 236]}",944,"[118, 236]","[944, 472, 236, 118]",[0.06789433750069385],[-0.2560729930703185],0.5940574247800495,COMPLETE
29,0.17041088156063966,0.03470746747977571,2024-12-23 10:49:20.012387,2024-12-23 10:49:33.907708,0 days 00:00:13.895321,0.01524715496584015,40,0.30000000000000004,912,100,3.793068296372863e-05,22,0.002985532559250771,2,4,sgd,"{'neurons_per_layer_encoder': [912, 456, 228, 114], 'neurons_per_layer_decoder': [114, 228]}",912,"[114, 228]","[912, 456, 228, 114]",[0.17041088156063966],[0.03470746747977571],0.6525395310416506,COMPLETE
30,0.0688318234546218,-0.05291487423061869,2024-12-23 10:49:24.516384,2024-12-23 10:49:42.721504,0 days 00:00:18.205120,0.014002208536950085,48,0.30000000000000004,976,100,0.0004332445998004267,80,0.0016832015340577603,3,3,adam,"{'neurons_per_layer_encoder': [976, 488, 244], 'neurons_per_layer_decoder': [244, 488, 976]}",976,"[244, 488, 976]","[976, 488, 244]",[0.0688318234546218],[-0.05291487423061869],0.5562880117961919,COMPLETE
31,0.0213778259033911,0.009889645303524652,2024-12-23 10:49:25.445291,2024-12-23 10:49:40.278690,0 days 00:00:14.833399,0.012524703480110276,48,0.30000000000000004,960,100,0.00045808465736171214,80,0.0016150047228920108,3,3,adam,"{'neurons_per_layer_encoder': [960, 480, 240], 'neurons_per_layer_decoder': [240, 480, 960]}",960,"[240, 480, 960]","[960, 480, 240]",[0.0213778259033911],[0.009889645303524652],0.582854424195396,COMPLETE
32,0.21992504228488008,-0.03740549015976602,2024-12-23 10:49:27.392605,2024-12-23 10:49:43.221748,0 days 00:00:15.829143,0.015443646994959,48,0.2,992,100,1.126471946330379e-05,81,0.0013345160170928488,3,3,adam,"{'neurons_per_layer_encoder': [992, 496, 248], 'neurons_per_layer_decoder': [248, 496, 992]}",992,"[248, 496, 992]","[992, 496, 248]",[0.21992504228488008],[-0.03740549015976602],-0.18941507278391234,COMPLETE
33,0.06586105485544091,0.026742160379048086,2024-12-23 10:49:30.644188,2024-12-23 10:49:47.689606,0 days 00:00:17.045418,0.08879760556313154,48,0.2,1008,100,0.00019322875900000647,114,0.0013937518789504453,3,3,adam,"{'neurons_per_layer_encoder': [1008, 504, 252], 'neurons_per_layer_decoder': [252, 504, 1008]}",1008,"[252, 504, 1008]","[1008, 504, 252]",[0.06586105485544091],[0.026742160379048086],0.6789814192708479,COMPLETE
34,0.14954139018731027,-0.06433888678977007,2024-12-23 10:49:33.918598,2024-12-23 10:49:46.377300,0 days 00:00:12.458702,0.0786744544743771,56,0.2,1024,100,0.0002216118967886829,115,0.001315667592543174,1,3,adam,"{'neurons_per_layer_encoder': [1024, 512, 256], 'neurons_per_layer_decoder': [256]}",1024,[256],"[1024, 512, 256]",[0.14954139018731027],[-0.06433888678977007],0.33927172391883026,COMPLETE
35,0.1334479210826537,0.10182728469985591,2024-12-23 10:49:40.286604,2024-12-23 10:49:48.786786,0 days 00:00:08.500182,0.08045912569840287,56,0.2,880,100,0.00022220049182638597,76,0.004479140622660451,1,3,sgd,"{'neurons_per_layer_encoder': [880, 440, 220], 'neurons_per_layer_decoder': [220]}",880,[220],"[880, 440, 220]",[0.1334479210826537],[0.10182728469985591],0.854204467250274,COMPLETE
36,0.13574844380952933,0.05222720327443853,2024-12-23 10:49:42.732310,2024-12-23 10:49:51.868863,0 days 00:00:09.136553,0.08590161122155453,112,0.2,864,100,0.00020228037896509546,53,0.0010162365079973731,1,4,adam,"{'neurons_per_layer_encoder': [864, 432, 216, 108], 'neurons_per_layer_decoder': [108]}",864,[108],"[864, 432, 216, 108]",[0.13574844380952933],[0.05222720327443853],0.7384410896719139,COMPLETE
37,-0.7859921763609701,-0.044601746320956925,2024-12-23 10:49:43.231131,2024-12-23 10:49:49.182720,0 days 00:00:05.951589,0.087175521608041,112,0.2,528,100,0.0002085140044176993,13,8.594764482145167e-05,1,4,adam,"{'neurons_per_layer_encoder': [528, 264, 132, 66], 'neurons_per_layer_decoder': [66]}",528,[66],"[528, 264, 132, 66]",[-0.7859921763609701],[-0.044601746320956925],0.6750222773397744,COMPLETE
38,0.15417789666617376,0.0822700969551734,2024-12-23 10:49:46.389045,2024-12-23 10:49:53.079219,0 days 00:00:06.690174,0.10086567478253416,112,0.2,864,100,0.0002253584978891464,53,0.0001013381298669954,1,4,adam,"{'neurons_per_layer_encoder': [864, 432, 216, 108], 'neurons_per_layer_decoder': [108]}",864,[108],"[864, 432, 216, 108]",[0.15417789666617376],[0.0822700969551734],0.859483958314758,COMPLETE
39,-0.07067864341798091,-0.3333853635232402,2024-12-23 10:49:47.700091,2024-12-23 10:49:53.044495,0 days 00:00:05.344404,0.11734863547536722,112,0.2,416,100,0.0006102286502202035,10,6.935768175840122e-05,1,4,adam,"{'neurons_per_layer_encoder': [416, 208, 104, 52], 'neurons_per_layer_decoder': [52]}",416,[52],"[416, 208, 104, 52]",[-0.07067864341798091],[-0.3333853635232402],0.8507080961063895,COMPLETE
40,0.21762788052382798,0.0711288275931019,2024-12-23 10:49:48.796686,2024-12-23 10:49:53.485950,0 days 00:00:04.689264,0.1104540588517027,112,0.2,400,100,0.00016406546461500464,10,0.0006587261155682802,1,4,adam,"{'neurons_per_layer_encoder': [400, 200, 100, 50], 'neurons_per_layer_decoder': [50]}",400,[50],"[400, 200, 100, 50]",[0.21762788052382798],[0.0711288275931019],0.600265577793817,COMPLETE
41,-0.07291507475196002,0.02845389791075925,2024-12-23 10:49:49.193311,2024-12-23 10:49:53.676373,0 days 00:00:04.483062,0.1178107938924035,128,0.1,416,100,0.0006354513341311045,10,0.0006953850757150842,1,4,adam,"{'neurons_per_layer_encoder': [416, 208, 104, 52], 'neurons_per_layer_decoder': [52]}",416,[52],"[416, 208, 104, 52]",[-0.07291507475196002],[0.02845389791075925],0.7624621261799304,COMPLETE
42,-0.8466257306890632,-0.005000477981070173,2024-12-23 10:49:50.091160,2024-12-23 10:49:51.860574,0 days 00:00:01.769414,0.14412258243094858,128,0.2,416,100,0.000591924204082204,10,0.00440681983939557,1,4,sgd,"{'neurons_per_layer_encoder': [416, 208, 104, 52], 'neurons_per_layer_decoder': [52]}",416,[52],"[416, 208, 104, 52]",[-0.8466257306890632],[-0.005000477981070173],0.8456169907935099,COMPLETE
43,-1.0223437489708194,-0.17432157539631254,2024-12-23 10:49:51.872622,2024-12-23 10:49:53.632776,0 days 00:00:01.760154,0.19417538125702552,64,0.1,688,100,6.853366617089734e-05,17,0.0005039907330448224,2,4,sgd,"{'neurons_per_layer_encoder': [688, 344, 172, 86], 'neurons_per_layer_decoder': [86, 172]}",688,"[86, 172]","[688, 344, 172, 86]",[-1.0223437489708194],[-0.17432157539631254],0.5893188095956731,COMPLETE
44,-0.7533159806346619,-0.04964447129787697,2024-12-23 10:49:51.877071,2024-12-23 10:49:53.667549,0 days 00:00:01.790478,0.11659669085319474,64,0.1,704,100,0.000307857011455079,17,0.0005325105659416115,2,4,sgd,"{'neurons_per_layer_encoder': [704, 352, 176, 88], 'neurons_per_layer_decoder': [88, 176]}",704,"[88, 176]","[704, 352, 176, 88]",[-0.7533159806346619],[-0.04964447129787697],0.839347290202864,COMPLETE
45,-0.06839714171602407,-0.03415370963721487,2024-12-23 10:49:53.051264,2024-12-23 10:49:56.499879,0 days 00:00:03.448615,0.18445945862146307,64,0.1,672,100,0.0001463539611239308,65,0.0005880378495908665,2,3,sgd,"{'neurons_per_layer_encoder': [672, 336, 168], 'neurons_per_layer_decoder': [168, 336]}",672,"[168, 336]","[672, 336, 168]",[-0.06839714171602407],[-0.03415370963721487],0.7699847142267747,COMPLETE
46,0.07783199710577438,-0.042715441607720894,2024-12-23 10:49:53.089727,2024-12-23 10:49:57.870043,0 days 00:00:04.780316,0.15679921268715666,120,0.1,672,100,0.00029173172004399306,8,0.00027380718041161175,2,5,adam,"{'neurons_per_layer_encoder': [672, 336, 168, 84, 42], 'neurons_per_layer_decoder': [42, 84]}",672,"[42, 84]","[672, 336, 168, 84, 42]",[0.07783199710577438],[-0.042715441607720894],0.8515401719270802,COMPLETE
