trial_id,neurons_encoder,latent_dim,neurons_decoder
0,"[224, 448, 896]",1609,"[896, 448]"
1,[116],144,[116]
2,"[204, 408, 816]",874,"[816, 408]"
3,"[76, 152]",171,"[152, 76, 38]"
4,"[204, 408]",493,"[408, 204, 102]"
5,"[48, 96]",184,"[96, 48]"
6,[168],328,"[168, 84, 42]"
7,[44],87,[44]
8,[248],347,"[248, 124, 62]"
9,"[156, 312]",574,[312]
10,"[148, 296]",459,"[296, 148]"
11,"[168, 336]",531,"[336, 168]"
12,"[56, 112, 224]",275,"[224, 112, 56]"
13,"[252, 504, 1008]",1601,"[1008, 504, 252]"
14,"[4, 8, 16]",21,"[16, 8]"
15,"[4, 8]",11,"[8, 8]"
16,"[108, 216, 432]",859,"[432, 216]"
17,"[116, 232]",449,"[232, 116]"
18,"[128, 256]",468,"[256, 128]"
19,"[120, 240]",452,"[240, 120]"
20,"[112, 224]",444,"[224, 112]"
21,"[160, 320]",503,[320]
22,"[100, 200]",370,[200]
23,[88],175,[88]
24,[96],191,[96]
25,"[88, 176]",338,[176]
26,"[152, 304]",419,[304]
27,"[152, 304]",423,[304]
28,[152],229,[152]
29,[196],280,[196]
30,[76],109,[76]
31,[72],103,[72]
32,[68],106,[68]
33,[76],121,[76]
34,[84],128,[84]
35,"[84, 168]",241,[168]
36,"[136, 272]",411,[272]
37,"[184, 368]",590,[368]
38,"[140, 280, 560]",650,[560]
39,"[184, 368, 736]",805,[736]
40,[20],33,[20]
41,[136],172,[136]
42,[36],54,[36]
43,[28],42,[28]
44,[32],49,[32]
45,[36],52,[36]
46,"[56, 112]",153,[112]
47,"[60, 120]",161,[120]
48,"[228, 456]",545,[456]
49,"[228, 456]",558,[456]
50,"[64, 128]",206,[128]
51,"[220, 440]",534,[440]
52,"[92, 184]",231,[184]
53,"[88, 176]",210,[176]
54,"[92, 184]",296,[184]
55,[84],126,[84]
56,[84],129,[84]
57,[84],126,[84]
58,[100],135,[100]
59,"[124, 248]",321,[248]
60,[104],138,"[104, 52, 26]"
61,[124],183,"[124, 62, 31]"
62,[108],137,"[108, 54, 27]"
63,[104],140,"[104, 52, 26]"
64,[104],144,"[104, 52, 26]"
65,[48],77,[48]
66,[48],76,[48]
67,[96],117,[96]
68,[48],74,[48]
69,[76],119,"[76, 38]"
70,[76],119,"[76, 38]"
71,"[76, 152, 304]",321,"[304, 152]"
72,"[56, 112, 224]",259,[224]
73,"[56, 112, 224]",261,[224]
74,"[52, 104, 208]",297,[208]
75,[52],75,[52]
76,[20],34,[20]
77,[44],71,[44]
78,[68],96,[68]
79,[16],26,[16]
80,[144],174,[144]
81,[68],98,[68]
82,"[12, 24]",36,[24]
83,"[168, 336]",383,[336]
84,"[160, 320]",396,[320]
85,[116],159,[116]
86,[112],152,[112]
87,[92],132,[92]
88,[116],161,[116]
89,[92],132,[92]
90,[92],132,[92]
91,[96],131,[96]
92,[88],131,[88]
93,[96],123,[96]
94,[96],130,[96]
95,[80],112,[80]
96,"[64, 128]",209,[128]
97,[40],65,[40]
98,"[64, 128]",146,[128]
99,[84],134,[84]
100,"[72, 144]",168,[144]
101,"[72, 144]",195,[144]
102,"[108, 216]",228,[216]
103,"[128, 256]",352,[256]
104,"[72, 144]",197,[144]
105,"[136, 272]",427,[272]
106,"[148, 296]",426,[296]
107,"[132, 264]",424,[264]
108,"[132, 264]",434,[264]
109,"[80, 160]",184,[160]
110,"[176, 352]",368,[352]
111,"[148, 296]",314,[296]
112,"[80, 160]",182,[160]
113,"[80, 160]",187,[160]
114,"[44, 88]",148,[88]
115,"[100, 200]",223,[200]
116,[100],176,[100]
117,[176],220,[176]
118,[100],180,[100]
119,[100],167,[100]
120,[88],140,[88]
121,[88],140,[88]
122,[88],141,[88]
123,[88],138,[88]
124,[28],48,[28]
125,"[156, 312]",337,[312]
126,"[60, 120]",196,[120]
127,"[156, 312]",333,[312]
128,"[156, 312]",324,[312]
129,"[152, 304]",316,[304]
130,"[164, 328]",345,[328]
131,"[124, 248]",266,[248]
132,"[52, 104]",134,[104]
133,"[168, 336]",482,[336]
134,"[160, 320]",347,[320]
135,"[156, 312]",332,[312]
136,"[140, 280]",302,[280]
137,"[140, 280]",303,[280]
138,"[156, 312]",485,[312]
139,"[172, 344]",480,[344]
140,"[172, 344]",486,[344]
141,"[152, 304]",480,[304]
142,"[152, 304]",324,[304]
143,"[172, 344]",478,[344]
144,"[144, 288]",309,[288]
145,"[152, 304]",325,[304]
146,"[144, 288]",503,[288]
147,"[144, 288]",307,[288]
148,"[144, 288]",507,[288]
149,"[156, 312]",461,[312]
150,"[164, 328]",504,[328]
151,"[164, 328]",358,[328]
152,"[164, 328]",355,[328]
153,"[164, 328]",358,[328]
154,"[192, 384]",404,[384]
155,"[152, 304]",466,[304]
156,"[164, 328]",360,[328]
157,"[188, 376]",395,[376]
158,"[132, 264]",292,[264]
159,"[188, 376]",397,[376]
160,"[180, 360]",382,[360]
161,"[204, 408]",434,[408]
162,"[196, 392]",413,[392]
163,"[184, 368]",391,[368]
164,"[212, 424]",443,[424]
165,"[188, 376]",439,[376]
166,"[196, 392]",412,[392]
167,"[188, 376]",398,[376]
168,"[188, 376]",398,[376]
169,"[196, 392]",408,[392]
170,"[200, 400]",416,[400]
171,"[180, 360]",379,[360]
172,"[184, 368]",388,[368]
173,"[168, 336]",362,[336]
174,"[180, 360]",378,[360]
175,"[136, 272]",296,[272]
176,"[124, 248]",277,[248]
177,"[136, 272]",293,[272]
178,"[124, 248]",269,[248]
179,"[124, 248]",283,[248]
180,"[140, 280]",295,[280]
181,"[136, 272]",297,[272]
182,"[136, 272]",289,[272]
183,"[120, 240]",290,[240]
184,"[128, 256]",285,[256]
185,"[148, 296]",317,[296]
186,"[140, 280]",298,[280]
187,"[140, 280]",313,[280]
188,"[140, 280]",301,[280]
189,"[140, 280]",300,"[280, 140]"
190,"[140, 280]",301,"[280, 140]"
191,"[140, 280]",303,"[280, 140]"
192,"[140, 280]",303,[280]
193,"[136, 272]",291,"[272, 136]"
194,"[132, 264]",289,[264]
195,"[132, 264]",291,"[264, 132]"
196,"[132, 264]",291,"[264, 132, 66]"
197,"[132, 264]",291,"[264, 132, 66]"
198,"[128, 256]",270,"[256, 128, 64]"
199,"[148, 296]",312,[296]
200,"[112, 224]",253,"[224, 112]"
201,"[120, 240]",264,"[240, 120]"
202,"[120, 240]",260,"[240, 120]"
203,"[116, 232]",256,"[232, 116]"
204,"[120, 240]",258,"[240, 120]"
205,"[160, 320]",334,"[320, 160]"
206,"[160, 320]",334,"[320, 160]"
207,"[128, 256]",271,"[256, 128]"
208,"[124, 248]",269,"[248, 124]"
209,"[120, 240]",266,"[240, 120]"
210,"[120, 240]",266,"[240, 120]"
211,"[116, 232]",269,"[232, 116]"
212,"[120, 240]",254,"[240, 120]"
213,"[116, 232]",265,"[232, 116]"
214,"[116, 232]",264,"[232, 116]"
215,"[116, 232]",252,"[232, 116]"
216,"[112, 224]",251,"[224, 112]"
217,"[108, 216]",248,"[216, 108]"
218,"[124, 248]",276,"[248, 124]"
219,"[108, 216]",239,"[216, 108]"
220,"[124, 248]",277,"[248, 124]"
221,"[108, 216]",249,"[216, 108]"
222,"[112, 224]",249,"[224, 112]"
223,"[112, 224]",248,"[224, 112]"
224,"[108, 216]",246,"[216, 108]"
225,"[108, 216]",245,"[216, 108]"
226,"[104, 208]",240,"[208, 104]"
227,"[108, 216]",242,"[216, 108]"
228,"[104, 208]",244,"[208, 104]"
229,"[104, 208]",241,"[208, 104]"
230,"[104, 208]",236,"[208, 104]"
231,"[104, 208]",235,"[208, 104]"
232,"[108, 216]",238,"[216, 108]"
233,"[108, 216]",240,"[216, 108]"
234,"[108, 216]",238,"[216, 108]"
235,"[112, 224]",251,"[224, 112]"
236,"[112, 224]",252,"[224, 112]"
237,"[108, 216]",247,"[216, 108]"
238,"[112, 224]",246,"[224, 112]"
239,"[116, 232]",250,"[232, 116]"
240,"[112, 224]",251,"[224, 112]"
241,"[112, 224]",251,"[224, 112]"
242,"[116, 232]",253,"[232, 116]"
243,"[112, 224]",253,"[224, 112]"
244,"[112, 224]",254,"[224, 112]"
245,"[100, 200]",258,"[200, 100]"
246,"[100, 200]",253,"[200, 100]"
247,"[112, 224]",255,"[224, 112]"
248,"[104, 208]",254,"[208, 104]"
249,"[100, 200]",259,"[200, 100]"
250,"[112, 224]",260,"[224, 112]"
251,"[104, 208]",259,"[208, 104]"
252,"[120, 240]",259,"[240, 120]"
253,"[104, 208]",234,"[208, 104]"
254,"[104, 208]",248,"[208, 104]"
255,"[96, 192]",232,"[192, 96]"
256,"[104, 208]",241,"[208, 104]"
257,"[104, 208]",231,"[208, 104]"
258,"[96, 192]",235,"[192, 96]"
259,"[96, 192]",243,"[192, 96]"
260,"[96, 192]",240,"[192, 96]"
261,"[96, 192]",242,"[192, 96]"
262,"[96, 192]",226,"[192, 96]"
263,"[96, 192]",228,"[192, 96]"
264,"[100, 200]",223,"[200, 100]"
265,"[96, 192]",230,"[192, 96]"
266,"[100, 200]",231,"[200, 100]"
267,"[100, 200]",249,"[200, 100]"
268,"[104, 208]",245,"[208, 104]"
269,"[104, 208]",249,"[208, 104]"
270,"[108, 216]",248,"[216, 108]"
271,"[92, 184]",243,"[184, 92]"
