trial_id,neurons_encoder,latent_dim,neurons_decoder
0,"[248, 496]",673,[496]
1,"[4, 8, 16]",28,"[16, 8, 8]"
2,[52],60,"[52, 26]"
3,"[220, 440, 880]",1557,[880]
4,"[172, 344, 688]",715,"[688, 344]"
5,"[44, 88, 176]",286,"[176, 88]"
6,"[256, 512, 1024]",1241,"[1024, 512]"
7,"[192, 384]",450,"[384, 192]"
8,"[232, 464]",644,"[464, 232]"
9,"[244, 488, 976]",1820,"[976, 488, 244]"
10,[196],230,"[196, 98, 49]"
11,[232],463,"[232, 116]"
12,[108],205,"[108, 54, 27]"
13,"[248, 496, 992]",1873,"[992, 496, 248]"
14,[136],205,"[136, 68, 34]"
15,[156],226,"[156, 78, 39]"
16,[148],202,"[148, 74, 37]"
17,[152],216,"[152, 76, 38]"
18,[132],203,"[132, 66, 33]"
19,[112],191,"[112, 56, 28]"
20,[96],140,"[96, 48, 24]"
21,[112],185,"[112, 56, 28]"
22,"[104, 208]",245,"[208, 104, 52]"
23,"[100, 200]",244,[200]
24,"[100, 200]",249,[200]
25,"[100, 200]",237,"[200, 100, 50]"
26,"[188, 376]",424,"[376, 188, 94]"
27,"[192, 384]",424,"[384, 192, 96]"
28,[200],244,"[200, 100, 50]"
29,[196],266,"[196, 98, 49]"
30,[196],263,"[196, 98, 49]"
31,[200],265,"[200, 100, 50]"
32,[68],113,"[68, 34]"
33,[212],269,"[212, 106]"
34,[212],263,"[212, 106]"
35,[216],270,"[216, 108, 54]"
36,[168],269,"[168, 84, 42]"
37,[176],287,"[176, 88, 44]"
38,[76],109,"[76, 38]"
39,[36],51,"[36, 18]"
40,[52],69,"[52, 26]"
41,[8],8,"[8, 8]"
42,[64],101,"[64, 32]"
43,[44],64,"[44, 22]"
44,[64],104,"[64, 32]"
45,[76],114,"[76, 38]"
46,[80],111,"[80, 40]"
47,[24],41,"[24, 12]"
48,[16],25,"[16, 8]"
49,[24],40,"[24, 12]"
50,[28],50,[28]
51,[20],35,[20]
52,[28],46,[28]
53,"[28, 56, 112]",155,"[112, 56]"
54,"[4, 8, 16]",19,"[16, 8]"
55,[80],118,"[80, 40]"
56,[76],120,"[76, 38]"
57,[8],12,"[8, 8]"
58,"[36, 72, 144]",156,"[144, 72]"
59,[40],56,"[40, 20]"
60,[40],56,"[40, 20]"
61,[40],55,"[40, 20]"
62,[120],137,"[120, 60]"
63,"[84, 168]",287,"[168, 84]"
64,"[88, 176]",287,"[176, 88]"
65,[16],24,"[16, 8]"
66,[84],97,"[84, 42]"
67,[52],76,"[52, 26]"
68,[88],99,"[88, 44]"
69,"[92, 184]",296,"[184, 92]"
70,"[92, 184]",292,"[184, 92]"
71,"[88, 176]",286,"[176, 88]"
72,"[88, 176]",298,"[176, 88]"
73,"[92, 184]",298,"[184, 92]"
74,"[124, 248]",310,"[248, 124]"
75,"[56, 112]",129,"[112, 56]"
76,"[56, 112]",128,"[112, 56]"
77,"[56, 112]",223,"[112, 56]"
78,"[60, 120]",168,"[120, 60]"
79,"[144, 288]",328,"[288, 144]"
80,"[56, 112]",175,"[112, 56]"
81,"[140, 280]",331,"[280, 140]"
82,"[72, 144]",179,"[144, 72]"
83,"[72, 144]",276,"[144, 72]"
84,"[68, 136]",186,"[136, 68]"
85,"[68, 136]",182,"[136, 68]"
86,"[108, 216]",255,"[216, 108]"
87,"[108, 216]",375,"[216, 108]"
88,"[180, 360]",381,"[360, 180]"
89,"[156, 312]",342,"[312, 156]"
90,"[180, 360]",381,"[360, 180]"
91,"[140, 280]",329,"[280, 140]"
92,"[48, 96]",127,"[96, 48]"
93,"[168, 336]",367,"[336, 168]"
94,"[80, 160]",197,"[160, 80]"
95,"[116, 232]",310,"[232, 116]"
96,"[36, 72, 144]",273,"[144, 72]"
97,"[124, 248, 496]",588,"[496, 248]"
98,"[36, 72, 144]",214,"[144, 72]"
99,"[48, 96, 192]",305,"[192, 96]"
100,"[36, 72, 144]",275,"[144, 72]"
101,"[116, 232, 464]",484,"[464, 232]"
102,"[116, 232, 464]",488,"[464, 232]"
103,"[156, 312, 624]",643,"[624, 312]"
104,"[32, 64, 128]",158,"[128, 64]"
105,[100],143,"[100, 50]"
106,[132],258,"[132, 66]"
107,[160],285,"[160, 80]"
108,[104],148,"[104, 52]"
109,[80],119,"[80, 40]"
110,[128],250,"[128, 64]"
111,"[160, 320]",338,"[320, 160]"
112,"[164, 328]",344,"[328, 164]"
113,"[136, 272, 544]",836,"[544, 272]"
114,"[136, 272]",317,"[272, 136]"
115,[132],255,"[132, 66]"
116,[132],253,"[132, 66]"
117,[128],231,"[128, 64]"
118,[136],146,"[136, 68]"
119,[144],232,"[144, 72]"
120,[148],237,"[148, 74]"
121,[128],238,"[128, 64]"
122,[144],236,"[144, 72]"
123,[148],249,"[148, 74]"
124,[128],237,"[128, 64]"
125,[128],243,"[128, 64]"
126,[128],247,"[128, 64]"
127,[120],134,"[120, 60]"
128,"[116, 232]",255,"[232, 116]"
129,"[116, 232]",321,"[232, 116]"
130,"[120, 240]",256,"[240, 120]"
131,"[104, 208]",254,"[208, 104]"
132,[116],130,"[116, 58]"
133,"[116, 232]",257,"[232, 116]"
134,"[120, 240]",261,"[240, 120]"
135,[104],122,"[104, 52]"
136,[104],122,"[104, 52]"
137,"[108, 216]",259,"[216, 108]"
138,"[96, 192]",261,"[192, 96]"
139,"[108, 216]",341,"[216, 108]"
140,"[112, 224]",250,"[224, 112]"
141,"[96, 192]",336,"[192, 96]"
142,"[108, 216]",333,"[216, 108]"
143,"[124, 248]",279,"[248, 124]"
144,"[124, 248]",268,"[248, 124]"
145,"[124, 248]",267,"[248, 124]"
146,"[124, 248]",267,"[248, 124]"
147,"[136, 272]",284,"[272, 136]"
148,"[132, 264]",280,"[264, 132]"
149,"[112, 224]",347,"[224, 112]"
150,"[112, 224]",346,"[224, 112]"
151,"[112, 224]",350,"[224, 112]"
152,"[132, 264]",282,"[264, 132]"
153,"[132, 264]",279,"[264, 132]"
154,"[108, 216]",349,"[216, 108]"
155,"[108, 216]",334,"[216, 108]"
156,"[100, 200]",354,"[200, 100]"
157,"[100, 200]",337,"[200, 100]"
158,"[112, 224]",338,"[224, 112]"
159,"[140, 280]",294,"[280, 140]"
160,[100],114,"[100, 50]"
161,"[100, 200]",356,"[200, 100]"
162,"[100, 200]",356,"[200, 100]"
163,"[96, 192]",349,"[192, 96]"
164,"[96, 192]",352,"[192, 96]"
165,"[92, 184]",346,"[184, 92]"
166,"[92, 184]",334,"[184, 92]"
167,"[92, 184]",351,"[184, 92]"
168,"[108, 216]",356,"[216, 108]"
169,"[92, 184]",354,"[184, 92]"
170,"[92, 184]",356,"[184, 92]"
171,"[92, 184]",333,"[184, 92]"
172,"[92, 184]",351,"[184, 92]"
173,"[92, 184]",355,"[184, 92]"
174,"[104, 208]",359,"[208, 104]"
175,"[88, 176]",346,"[176, 88]"
176,"[84, 168]",331,"[168, 84]"
177,"[84, 168]",332,"[168, 84]"
178,"[84, 168]",332,"[168, 84]"
179,"[104, 208]",359,"[208, 104]"
180,"[108, 216]",363,"[216, 108]"
181,"[84, 168]",331,"[168, 84]"
182,"[108, 216]",365,"[216, 108]"
183,"[84, 168]",325,"[168, 84]"
184,"[84, 168]",325,"[168, 84]"
185,"[84, 168]",333,"[168, 84]"
186,"[84, 168]",333,"[168, 84]"
187,"[96, 192]",325,"[192, 96]"
188,"[96, 192]",342,"[192, 96]"
189,"[96, 192]",340,"[192, 96]"
190,"[76, 152]",303,"[152, 76]"
191,"[76, 152]",303,"[152, 76]"
192,"[96, 192]",340,"[192, 96]"
193,"[100, 200]",335,"[200, 100]"
194,"[100, 200]",339,"[200, 100]"
195,"[100, 200]",334,"[200, 100]"
196,"[80, 160]",318,"[160, 80]"
197,"[112, 224]",370,"[224, 112]"
198,"[72, 144]",287,"[144, 72]"
199,"[108, 216]",327,"[216, 108]"
200,"[108, 216]",352,"[216, 108]"
201,"[108, 216]",351,"[216, 108]"
202,"[108, 216]",327,"[216, 108]"
203,"[108, 216]",352,"[216, 108]"
204,"[108, 216]",360,"[216, 108]"
205,"[120, 240]",313,"[240, 120]"
206,"[88, 176]",343,"[176, 88]"
207,"[88, 176]",343,"[176, 88]"
208,"[120, 240]",313,"[240, 120]"
209,"[88, 176]",347,"[176, 88]"
210,"[120, 240]",313,"[240, 120]"
211,"[76, 152]",303,"[152, 76]"
212,"[88, 176]",346,"[176, 88]"
213,"[76, 152]",303,"[152, 76]"
214,"[76, 152]",303,"[152, 76]"
215,"[76, 152]",303,"[152, 76]"
216,"[88, 176]",346,"[176, 88]"
217,"[76, 152]",303,"[152, 76]"
218,"[72, 144]",287,"[144, 72]"
219,"[76, 152]",303,"[152, 76]"
220,"[68, 136]",271,"[136, 68]"
221,"[88, 176]",347,"[176, 88]"
222,"[72, 144]",287,"[144, 72]"
223,"[64, 128]",167,"[128, 64]"
224,"[68, 136]",271,"[136, 68]"
225,"[88, 176]",347,"[176, 88]"
226,"[80, 160]",318,"[160, 80]"
227,"[68, 136]",269,"[136, 68]"
228,"[80, 160]",318,"[160, 80]"
229,"[68, 136]",270,"[136, 68]"
230,"[60, 120]",212,"[120, 60]"
231,"[80, 160]",318,"[160, 80]"
232,"[68, 136]",271,"[136, 68]"
233,"[80, 160]",319,"[160, 80]"
234,"[64, 128]",255,"[128, 64]"
235,"[80, 160]",319,"[160, 80]"
236,"[84, 168]",334,"[168, 84]"
237,"[88, 176]",344,"[176, 88]"
238,"[88, 176]",348,"[176, 88]"
239,"[84, 168]",333,"[168, 84]"
240,"[88, 176]",346,"[176, 88]"
241,"[88, 176]",344,"[176, 88]"
242,"[88, 176]",345,"[176, 88]"
243,"[84, 168]",334,"[168, 84]"
244,"[84, 168]",334,"[168, 84]"
245,"[92, 184]",354,"[184, 92]"
246,"[92, 184]",356,"[184, 92]"
247,"[92, 184]",352,"[184, 92]"
248,"[96, 192]",354,"[192, 96]"
249,"[96, 192]",309,"[192, 96]"
250,"[80, 160]",319,"[160, 80]"
251,"[80, 160]",319,"[160, 80]"
252,"[72, 144]",287,"[144, 72]"
253,"[96, 192]",351,"[192, 96]"
254,"[80, 160]",319,"[160, 80]"
255,"[72, 144]",287,"[144, 72]"
256,"[72, 144]",287,"[144, 72]"
257,"[72, 144]",283,"[144, 72]"
258,"[72, 144]",287,"[144, 72]"
259,"[72, 144]",287,"[144, 72]"
260,"[72, 144]",287,"[144, 72]"
261,"[80, 160]",319,"[160, 80]"
262,"[80, 160]",319,"[160, 80]"
263,"[80, 160]",319,"[160, 80]"
264,"[80, 160]",319,"[160, 80]"
265,"[60, 120]",239,"[120, 60]"
266,"[60, 120]",239,"[120, 60]"
267,"[60, 120]",239,"[120, 60]"
268,"[68, 136]",271,"[136, 68]"
269,"[64, 128]",252,"[128, 64]"
270,"[68, 136]",271,"[136, 68]"
271,"[68, 136]",271,[136]
272,"[68, 136]",271,"[136, 68]"
273,"[76, 152]",303,"[152, 76]"
274,"[76, 152]",303,"[152, 76]"
275,"[76, 152]",303,"[152, 76]"
276,"[76, 152]",303,"[152, 76]"
277,"[76, 152]",303,"[152, 76]"
278,"[84, 168]",330,"[168, 84]"
279,"[84, 168]",334,"[168, 84]"
280,"[228, 456]",466,"[456, 228]"
281,"[100, 200]",312,"[200, 100]"
282,"[92, 184]",313,"[184, 92]"
283,"[244, 488]",498,"[488, 244]"
284,"[224, 448]",458,"[448, 224]"
285,"[100, 200]",296,"[200, 100]"
286,"[92, 184]",311,"[184, 92]"
287,"[92, 184]",291,"[184, 92]"
288,"[88, 176]",293,"[176, 88]"
289,"[84, 168]",335,"[168, 84]"
290,"[92, 184]",308,"[184, 92]"
291,"[116, 232]",361,"[232, 116]"
292,"[116, 232]",360,"[232, 116]"
293,"[116, 232]",359,"[232, 116]"
294,"[104, 208]",324,"[208, 104]"
295,"[112, 224]",361,"[224, 112]"
296,"[104, 208]",325,"[208, 104]"
297,"[76, 152]",299,"[152, 76]"
298,"[76, 152]",300,"[152, 76]"
299,"[104, 208]",340,"[208, 104]"
