trial_id,neurons_encoder,latent_dim,neurons_decoder
0,[172],388,"[172, 86, 43, 21, 10]"
1,"[80, 160, 320, 640, 1280]",2008,"[1280, 640, 320]"
2,[44],48,"[44, 22]"
3,"[116, 232, 464, 928, 1856]",2616,"[1856, 928, 464, 232]"
4,"[244, 488, 976, 1952]",2408,"[1952, 976, 488]"
5,"[240, 480]",696,"[480, 240, 120]"
6,"[204, 408, 816, 1632]",1928,"[1632, 816, 408, 204, 102]"
7,"[180, 360]",768,"[360, 180, 90]"
8,"[4, 8, 16, 32]",35,"[32, 16, 8, 8, 8]"
9,[176],296,"[176, 88, 44]"
10,"[140, 280, 560]",1160,"[560, 280, 140]"
11,"[84, 168, 336]",376,"[336, 168, 84]"
12,"[32, 64, 128, 256]",392,"[256, 128, 64, 32]"
13,"[132, 264, 528, 1056]",2552,[1056]
14,"[200, 400]",472,[400]
15,"[256, 512]",1016,[512]
16,"[248, 496]",984,[496]
17,"[256, 512]",1000,[512]
18,"[240, 480]",936,[480]
19,"[208, 416]",552,[416]
20,"[204, 408]",624,[408]
21,"[208, 416]",632,"[416, 208]"
22,"[212, 424, 848]",1416,"[848, 424]"
23,"[216, 432, 864]",1464,"[864, 432]"
24,"[212, 424, 848]",1352,"[848, 424]"
25,"[212, 424, 848]",1336,"[848, 424]"
26,"[160, 320, 640]",1192,"[640, 320]"
27,[156],180,"[156, 78]"
28,"[96, 192, 384]",536,"[384, 192]"
29,"[100, 200, 400]",536,"[400, 200]"
30,[108],132,[108]
31,[228],428,[228]
32,[100],140,[100]
33,[192],312,"[192, 96, 48, 24]"
34,"[176, 352]",504,"[352, 176, 88, 44]"
35,[188],292,[188]
36,"[188, 376, 752, 1504, 3008]",7160,[3008]
37,"[192, 384, 768, 1536, 3072]",7640,"[3072, 1536, 768, 384]"
38,"[64, 128, 256, 512, 1024]",1560,[1024]
39,"[188, 376, 752, 1504, 3008]",7064,[3008]
40,"[152, 304, 608, 1216, 2432]",5656,[2432]
41,"[188, 376]",592,[376]
42,"[192, 384, 768, 1536, 3072]",3576,[3072]
43,"[160, 320]",472,"[320, 160, 80, 40, 20]"
44,"[156, 312]",480,"[312, 156, 78, 39, 19]"
45,[228],428,[228]
46,[224],424,[224]
47,[228],364,[228]
48,[228],428,[228]
49,[224],360,[224]
50,"[232, 464, 928, 1856]",1992,[1856]
51,"[32, 64, 128, 256]",376,[256]
52,"[12, 24, 48, 96]",184,"[96, 48]"
53,"[140, 280, 560, 1120]",1176,"[1120, 560]"
54,"[128, 256]",456,"[256, 128]"
55,"[12, 24]",26,[24]
56,"[200, 400]",728,[400]
57,"[172, 344]",544,"[344, 172, 86, 43, 21]"
58,"[168, 336]",552,"[336, 168, 84, 42, 21]"
59,"[200, 400]",712,"[400, 200, 100]"
60,"[64, 128]",248,"[128, 64, 32]"
61,"[168, 336]",568,"[336, 168, 84]"
62,"[204, 408, 816]",888,"[816, 408, 204]"
63,"[200, 400, 800]",872,"[800, 400, 200]"
64,"[204, 408, 816]",872,[816]
65,"[200, 400, 800]",872,[800]
66,"[256, 512, 1024]",1080,[1024]
67,"[220, 440, 880]",936,[880]
68,"[220, 440]",512,[440]
69,"[252, 504]",624,[504]
70,"[216, 432]",504,[432]
71,"[248, 496]",616,"[496, 248, 124, 62]"
72,"[244, 488]",624,"[488, 244, 122, 61]"
73,"[244, 488]",624,"[488, 244]"
74,[244],412,"[244, 122, 61, 30]"
75,"[180, 360]",592,[360]
76,[176],312,[176]
77,[180],332,[180]
78,[180],332,"[180, 90, 45, 22, 11]"
79,"[180, 360, 720]",776,[720]
80,"[180, 360]",672,[360]
81,"[180, 360]",576,[360]
82,"[236, 472]",656,"[472, 236]"
83,"[212, 424]",768,"[424, 212]"
84,"[212, 424]",784,"[424, 212]"
85,"[236, 472]",656,[472]
86,"[80, 160]",248,"[160, 80, 40, 20]"
87,"[208, 416]",680,[416]
88,"[196, 392]",736,[392]
89,"[196, 392]",736,[392]
90,"[196, 392]",720,[392]
91,"[196, 392]",720,[392]
92,"[196, 392]",720,[392]
93,"[196, 392]",736,[392]
94,"[168, 336]",472,[336]
95,"[184, 368]",456,[368]
96,"[164, 328, 656]",824,[656]
97,"[120, 240, 480]",776,[480]
98,"[168, 336, 672]",792,[672]
99,"[56, 112, 224]",456,"[224, 112, 56, 28, 14]"
100,"[120, 240, 480]",792,"[480, 240, 120, 60, 30]"
101,"[120, 240, 480, 960, 1920]",1960,"[1920, 960, 480, 240, 120]"
102,"[144, 288, 576, 1152, 2304]",2376,"[2304, 1152, 576, 288, 144]"
103,"[44, 88, 176, 352]",488,"[352, 176, 88, 44, 22]"
104,"[148, 296, 592, 1184]",1240,"[1184, 592, 296, 148, 74]"
105,"[220, 440, 880]",936,[880]
106,"[92, 184, 368, 736]",824,[736]
107,"[148, 296, 592, 1184]",1224,[1184]
108,"[88, 176, 352, 704, 1408]",1448,[1408]
109,"[208, 416, 832, 1664, 3328]",3368,[3328]
110,[208],408,[208]
111,"[188, 376, 752]",1576,[752]
112,"[188, 376, 752]",1560,[752]
113,"[148, 296, 592, 1184]",1720,"[1184, 592]"
114,"[108, 216, 432, 864]",1624,"[864, 432]"
115,"[140, 280, 560, 1120]",1160,"[1120, 560, 280]"
116,"[108, 216, 432, 864]",1672,"[864, 432, 216]"
117,"[156, 312, 624, 1248]",1272,"[1248, 624, 312, 156]"
118,"[156, 312, 624, 1248]",1288,"[1248, 624, 312]"
119,"[136, 272, 544, 1088]",1128,"[1088, 544, 272, 136]"
120,"[128, 256, 512, 1024]",1064,"[1024, 512, 256, 128]"
121,[152],208,"[152, 76, 38, 19]"
122,"[160, 320, 640, 1280]",1304,"[1280, 640, 320, 160]"
123,"[132, 264, 528, 1056, 2112]",2168,"[2112, 1056, 528]"
124,"[128, 256, 512, 1024, 2048]",2104,"[2048, 1024, 512]"
125,"[132, 264, 528]",584,"[528, 264, 132]"
126,"[204, 408, 816]",840,[816]
127,[172],356,[172]
128,[220],436,[220]
129,[220],436,[220]
130,[24],26,[24]
131,[216],384,[216]
132,[216],400,[216]
133,[28],46,[28]
134,"[176, 352, 704]",744,[704]
135,"[176, 352, 704]",760,[704]
136,"[176, 352, 704]",760,[704]
137,"[184, 368, 736]",760,[736]
138,"[4, 8, 16]",17,[16]
139,"[172, 344, 688]",712,[688]
140,"[200, 400]",520,[400]
141,"[184, 368, 736]",760,[736]
142,"[112, 224, 448]",600,[448]
143,"[112, 224, 448]",552,[448]
144,"[116, 232, 464]",584,[464]
145,"[124, 248, 496]",552,[496]
146,"[124, 248, 496]",552,[496]
147,"[136, 272, 544]",600,"[544, 272]"
148,"[144, 288, 576]",648,"[576, 288]"
149,"[76, 152]",272,"[152, 76, 38, 19]"
150,"[136, 272, 544]",568,[544]
151,"[136, 272, 544]",568,[544]
152,"[140, 280, 560]",600,[560]
153,"[136, 272, 544]",568,[544]
154,"[136, 272, 544]",568,[544]
155,"[192, 384, 768]",792,"[768, 384, 192]"
156,"[204, 408, 816, 1632, 3264]",5496,[3264]
157,"[192, 384, 768, 1536, 3072]",5144,[3072]
158,"[192, 384, 768, 1536, 3072]",4808,"[3072, 1536, 768]"
