Tension Elongation (%),Hardness (GPa),Modulus (GPa),Original Feature 1,Original Feature 2,Original Feature 3
25.7,2.62,211.0,29.867186,2.5590854,216.30244
20.8,2.85,222.0,27.34267,2.717158,221.1257
22.1,2.4,196.0,28.193592,2.5900528,201.92554
19.5,2.31,191.0,14.492287,2.2614837,200.63966
18.3,1.82,166.0,8.285232,1.9630618,174.1851
20.5,2.9,215.0,30.329054,2.5230322,211.59357
24.9,2.88,211.0,28.921524,2.8319979,225.94487
14.2,2.15,191.0,15.643117,2.191456,208.9829
40.1,2.31,182.0,37.73007,2.529142,198.2168
28.1,2.24,205.0,22.09624,2.3329587,226.26848
