trial_id,neurons_encoder,latent_dim,neurons_decoder
0,"[228, 456]",1040,[456]
1,"[104, 208]",248,"[208, 104]"
2,"[80, 160, 320]",744,"[320, 160]"
3,"[4, 8, 16, 32, 64]",102,"[64, 32, 16]"
4,"[12, 24, 48]",116,[48]
5,"[224, 448, 896, 1792]",3640,[1792]
6,[172],500,"[172, 86, 43]"
7,"[232, 464, 928, 1856]",2712,"[1856, 928]"
8,"[220, 440, 880, 1760]",3544,"[1760, 880]"
9,"[176, 352, 704]",744,[704]
10,"[68, 136, 272, 544, 1088]",1512,"[1088, 544, 272]"
11,[244],444,"[244, 122]"
12,[256],344,"[256, 128]"
13,"[212, 424]",448,[424]
14,"[172, 344, 688]",1528,"[688, 344, 172, 86, 43]"
15,"[76, 152, 304, 608, 1216]",1784,"[1216, 608, 304, 152, 76]"
16,"[76, 152, 304, 608, 1216]",1704,"[1216, 608, 304, 152, 76]"
17,"[68, 136, 272, 544, 1088]",1656,"[1088, 544, 272, 136, 68]"
18,"[72, 144, 288, 576, 1152]",1656,"[1152, 576, 288, 144, 72]"
19,"[80, 160, 320, 640, 1280]",1960,"[1280, 640, 320, 160]"
20,"[64, 128, 256, 512, 1024]",1816,"[1024, 512, 256, 128]"
21,"[64, 128, 256, 512, 1024]",2264,"[1024, 512, 256, 128]"
22,"[44, 88, 176, 352]",728,"[352, 176, 88, 44]"
23,"[40, 80, 160, 320]",680,"[320, 160, 80, 40]"
24,"[40, 80, 160, 320]",696,"[320, 160, 80, 40]"
25,"[124, 248, 496, 992]",2312,"[992, 496, 248, 124]"
26,"[36, 72, 144, 288]",776,"[288, 144, 72, 36]"
27,"[36, 72, 144, 288]",776,"[288, 144, 72, 36]"
28,"[32, 64, 128, 256]",648,"[256, 128, 64, 32]"
29,"[36, 72, 144, 288]",632,"[288, 144, 72, 36]"
30,"[32, 64, 128, 256]",600,"[256, 128, 64, 32]"
31,"[116, 232, 464]",648,"[464, 232, 116, 58]"
32,"[24, 48, 96]",152,"[96, 48, 24]"
33,"[104, 208, 416]",648,"[416, 208, 104]"
34,"[104, 208, 416]",920,"[416, 208, 104]"
35,"[108, 216, 432]",872,"[432, 216, 108]"
36,"[104, 208, 416]",888,"[416, 208, 104]"
37,"[100, 200]",320,"[200, 100, 50]"
38,"[100, 200]",320,"[200, 100, 50]"
39,"[144, 288, 576]",936,"[576, 288, 144]"
40,"[4, 8]",8,"[8, 8, 8]"
41,"[4, 8]",8,"[8, 8, 8]"
42,"[4, 8]",8,"[8, 8, 8, 8, 8]"
43,"[12, 24]",26,"[24, 12, 8, 8, 8]"
44,[8],8,"[8, 8, 8, 8, 8]"
45,[144],248,"[144, 72, 36, 18, 9]"
46,"[140, 280, 560]",1144,"[560, 280]"
47,"[148, 296, 592]",1160,"[592, 296]"
48,"[52, 104, 208]",376,"[208, 104]"
49,"[52, 104, 208]",376,"[208, 104]"
50,"[144, 288, 576]",1080,"[576, 288]"
51,"[88, 176, 352]",536,"[352, 176]"
52,"[88, 176, 352]",552,[352]
53,"[204, 408, 816, 1632]",4872,[1632]
54,"[200, 400, 800, 1600]",4536,"[1600, 800]"
55,"[204, 408, 816, 1632]",4824,[1632]
56,"[192, 384, 768, 1536]",4264,[1536]
57,"[88, 176, 352, 704]",1304,[704]
58,"[200, 400, 800, 1600]",4408,[1600]
59,"[52, 104, 208, 416]",712,[416]
60,"[52, 104, 208, 416]",712,"[416, 208]"
61,"[48, 96, 192]",440,[192]
62,"[56, 112, 224]",456,"[224, 112]"
63,"[56, 112, 224]",472,"[224, 112]"
64,"[56, 112, 224]",488,"[224, 112]"
65,"[88, 176, 352, 704, 1408]",3080,"[1408, 704]"
66,"[236, 472, 944]",2008,"[944, 472]"
67,"[84, 168, 336]",760,"[336, 168]"
68,"[60, 120, 240, 480, 960]",2008,"[960, 480, 240, 120]"
69,"[236, 472, 944, 1888, 3776]",11272,"[3776, 1888]"
70,"[20, 40, 80, 160, 320]",680,"[320, 160, 80, 40]"
71,"[20, 40, 80, 160, 320]",680,"[320, 160, 80, 40]"
72,"[64, 128, 256, 512, 1024]",1240,"[1024, 512, 256, 128]"
