number,values_0,values_1,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_r2_feature_2,user_attrs_relative_deterioration,state
0,-0.6620417752213588,0.0748440735194642,2024-12-23 23:12:29.767841,2024-12-23 23:12:34.997098,0 days 00:00:05.229257,0.06498833768277269,88,0.4,228,100,0.00019816158045384398,1040,0.005165156661003425,1,2,adadelta,"{'neurons_per_layer_encoder': [228, 456], 'neurons_per_layer_decoder': [456]}",228,[456],"[228, 456]",[-0.6620417752213588],[0.0748440735194642],0.835223546147307,COMPLETE
1,-2.7137336596662336,-0.01900582588262889,2024-12-23 23:12:29.775863,2024-12-23 23:12:33.307279,0 days 00:00:03.531416,0.038852834694712596,56,0.2,104,100,0.0008519583363698352,248,0.0007313042221299048,2,2,sgd,"{'neurons_per_layer_encoder': [104, 208], 'neurons_per_layer_decoder': [208, 104]}",104,"[208, 104]","[104, 208]",[-2.7137336596662336],[-0.01900582588262889],0.8783508331410108,COMPLETE
2,0.09033283487281585,0.27647557697196135,2024-12-23 23:12:29.800423,2024-12-23 23:12:36.927529,0 days 00:00:07.127106,0.05257972053344461,40,0.30000000000000004,80,100,4.967758090637803e-06,744,0.0008128741315345776,2,3,adam,"{'neurons_per_layer_encoder': [80, 160, 320], 'neurons_per_layer_decoder': [320, 160]}",80,"[320, 160]","[80, 160, 320]",[0.09033283487281585],[0.27647557697196135],-0.14912641859649606,COMPLETE
3,-4.25652191606343,0.004257114734753431,2024-12-23 23:12:29.846782,2024-12-23 23:12:33.354295,0 days 00:00:03.507513,0.023168846404362224,96,0.30000000000000004,4,100,2.6930600680021865e-05,102,0.009764996721749176,3,5,adadelta,"{'neurons_per_layer_encoder': [4, 8, 16, 32, 64], 'neurons_per_layer_decoder': [64, 32, 16]}",4,"[64, 32, 16]","[4, 8, 16, 32, 64]",[-4.25652191606343],[0.004257114734753431],0.40153268354434457,COMPLETE
4,-0.9078619080193937,0.2312761275464298,2024-12-23 23:12:29.878572,2024-12-23 23:12:32.949221,0 days 00:00:03.070649,0.1331558215589109,96,0.30000000000000004,12,100,0.00012235930539731334,116,0.00015388198993734268,1,3,sgd,"{'neurons_per_layer_encoder': [12, 24, 48], 'neurons_per_layer_decoder': [48]}",12,[48],"[12, 24, 48]",[-0.9078619080193937],[0.2312761275464298],0.48050723462329753,COMPLETE
5,-2.9261782487582253,-0.27964614583845204,2024-12-23 23:12:29.888064,2024-12-23 23:12:43.338956,0 days 00:00:13.450892,0.02863834778339275,48,0.4,224,100,9.324836123879708e-06,3640,4.9242954533467696e-05,1,4,sgd,"{'neurons_per_layer_encoder': [224, 448, 896, 1792], 'neurons_per_layer_decoder': [1792]}",224,[1792],"[224, 448, 896, 1792]",[-2.9261782487582253],[-0.27964614583845204],0.5412589406604841,COMPLETE
6,-4.16561410437907,-0.3809754708584394,2024-12-23 23:12:32.957409,2024-12-23 23:12:34.558187,0 days 00:00:01.600778,0.024488861524833826,40,0.2,172,100,0.0005432684146204552,500,6.660893532234763e-05,3,1,sgd,"{'neurons_per_layer_encoder': [172], 'neurons_per_layer_decoder': [172, 86, 43]}",172,"[172, 86, 43]",[172],[-4.16561410437907],[-0.3809754708584394],0.7430386795436629,COMPLETE
7,-4.558241395438897,-0.12566943411414266,2024-12-23 23:12:33.316234,2024-12-23 23:12:41.068134,0 days 00:00:07.751900,0.010386176728874786,72,0.30000000000000004,232,100,3.667397704032511e-06,2712,1.4684061678884702e-05,2,4,adadelta,"{'neurons_per_layer_encoder': [232, 464, 928, 1856], 'neurons_per_layer_decoder': [1856, 928]}",232,"[1856, 928]","[232, 464, 928, 1856]",[-4.558241395438897],[-0.12566943411414266],0.2999296526735749,COMPLETE
8,0.15660136406904435,-0.009773433668402554,2024-12-23 23:12:33.361986,2024-12-23 23:12:54.033001,0 days 00:00:20.671015,0.06241477956583701,40,0.4,220,100,2.1065877070038797e-06,3544,1.7442262351132443e-05,2,4,adam,"{'neurons_per_layer_encoder': [220, 440, 880, 1760], 'neurons_per_layer_decoder': [1760, 880]}",220,"[1760, 880]","[220, 440, 880, 1760]",[0.15660136406904435],[-0.009773433668402554],0.43716465205993377,COMPLETE
9,0.09628301101551884,0.06721700381176143,2024-12-23 23:12:34.566015,2024-12-23 23:12:44.062176,0 days 00:00:09.496161,0.03863902908498467,120,0.30000000000000004,176,100,3.1923326718777755e-06,744,0.0039292082619012325,1,3,adam,"{'neurons_per_layer_encoder': [176, 352, 704], 'neurons_per_layer_decoder': [704]}",176,[704],"[176, 352, 704]",[0.09628301101551884],[0.06721700381176143],-0.4347770579026321,COMPLETE
