trial_id,neurons_encoder,latent_dim,neurons_decoder
0,"[56, 112, 224, 448, 896]",1496,"[896, 448]"
1,"[92, 184, 368]",856,"[368, 184]"
2,"[48, 96, 192]",232,[192]
3,"[180, 360, 720, 1440, 2880]",5784,"[2880, 1440, 720, 360, 180]"
4,[52],57,"[52, 26, 13]"
5,"[244, 488, 976, 1952, 3904]",6456,"[3904, 1952, 976, 488]"
6,"[136, 272, 544]",1096,"[544, 272, 136, 68]"
7,"[136, 272]",456,"[272, 136, 68, 34]"
8,"[52, 104, 208]",360,"[208, 104]"
9,"[72, 144, 288, 576]",1288,"[576, 288]"
10,"[112, 224]",488,"[224, 112, 56]"
11,[88],176,"[88, 44, 22, 11, 8]"
12,[80],120,"[80, 40, 20]"
13,"[64, 128, 256]",584,[256]
14,[236],308,"[236, 118]"
15,"[252, 504]",800,[504]
16,"[256, 512, 1024, 2048]",3256,[2048]
17,"[252, 504, 1008, 2016]",3224,[2016]
18,"[256, 512, 1024, 2048]",3240,[2048]
19,"[4, 8, 16, 32]",35,[32]
20,"[4, 8]",8,[8]
21,"[200, 400]",744,[400]
22,"[12, 24]",26,[24]
23,"[200, 400]",728,"[400, 200]"
24,"[204, 408]",736,"[408, 204]"
25,"[176, 352]",728,"[352, 176, 88, 44]"
26,"[188, 376]",704,[376]
27,"[164, 328]",624,"[328, 164, 82, 41]"
28,"[200, 400]",744,"[400, 200]"
29,"[164, 328, 656]",904,"[656, 328]"
30,"[228, 456, 912]",1064,"[912, 456]"
31,"[224, 448, 896]",1048,"[896, 448]"
32,"[216, 432, 864]",1016,"[864, 432]"
33,"[216, 432, 864]",1000,[864]
34,[212],332,"[212, 106]"
35,[224],360,[224]
36,[224],360,[224]
37,[224],376,[224]
38,[228],412,[228]
39,[148],252,[148]
40,[152],240,"[152, 76, 38, 19, 9]"
41,"[152, 304, 608, 1216, 2432]",2616,"[2432, 1216, 608, 304, 152]"
42,"[160, 320, 640, 1280, 2560]",2744,"[2560, 1280, 640, 320, 160]"
43,"[156, 312, 624, 1248, 2496]",2680,"[2496, 1248, 624, 312, 156]"
44,"[160, 320, 640, 1280, 2560]",2712,"[2560, 1280, 640, 320, 160]"
45,"[116, 232, 464, 928, 1856]",2120,[1856]
46,"[112, 224, 448, 896, 1792]",2056,"[1792, 896, 448]"
47,"[28, 56, 112]",184,[112]
48,"[188, 376, 752]",920,[752]
49,"[184, 368, 736]",920,[736]
50,"[184, 368]",792,"[368, 184, 92]"
51,"[240, 480]",840,"[480, 240]"
