Year,Iteration,Alloy Name,Al,Co,Cr,Cu,Fe,Mn,Ni,V,VarvYS_pred(MPa) at 298K,SFE_calc,VEC Avg,Yield Strength(Mpa),UTS_True(Mpa),UTS/YS,Elong_T(%),Hardness (GPa),Modulus(Gpa),Cracked,Processing,Recryst,XRD Phase,Tension Test Designation,EDS Measured Atomic %s Al ,EDS Measured Atomic %s Co ,EDS Measured Atomic %s Cr ,EDS Measured Atomic %s Cu,EDS Measured Atomic %s Fe ,EDS Measured Atomic %s Mn,EDS Measured Atomic %s Ni ,EDS Measured Atomic %s V ,Grain Size(um)
1,AAA,AAA01,0,45,10,0,20,0,15,10,248.2045893,-85.33,510,487,839,1.72,25.7,2.62,211,0,Forged,No Treatment,FCC,Ductile,0 ,44.4 ,10.4 ,0,20.3 ,0,14.5 ,10.3 ,N/A
1,AAA,AAA02,0,30,10,0,5,0,45,10,244.4242487,-19.13,660,537,829,1.54,20.8,2.85,222,0,Forged,No Treatment,FCC,Ductile,0 ,30.2 ,10.4 ,0,5.2 ,0,43.9 ,10.4 ,N/A
1,AAA,AAA03,0,30,5,0,30,0,20,15,275.6920066,-58.22,605,427,721,1.69,22.1,2.4,196,0,Forged,No Treatment,FCC,Ductile,0 ,29.8 ,5.3 ,0,30.1 ,0,19.5 ,15.3 ,N/A
1,AAA,AAA04,0,25,10,0,20,0,40,5,173.2094365,1.64,695,383,621,1.62,19.5,2.31,191,0,Forged,No Treatment,FCC,Ductile,0 ,25.2 ,10.4 ,0,20.2 ,0,39.0 ,5.2 ,N/A
1,AAA,AAA05,0,10,10,0,55,0,25,0,77.58102447,11.39,770,310,446,1.44,18.3,1.82,166,0,Forged,No Treatment,FCC,Ductile,0 ,10.1 ,10.6 ,0,54.8 ,0,24.5 ,0 ,N/A
1,AAA,AAA06,0,35,25,0,5,0,30,5,202.0427935,-46.09,585,650,974,1.5,20.5,2.9,215,0,Forged,No Treatment,FCC,Ductile,0 ,34.9 ,25.6 ,0,5.0 ,0,29.3 ,5.2 ,N/A
1,AAA,AAA07,0,55,10,0,10,0,15,10,254.5196106,-124.99,450,606,952,1.57,24.9,2.88,211,0,Forged,No Treatment,FCC,Ductile,0 ,54.7 ,10.3 ,0,10.1 ,0,14.6 ,10.3 ,N/A
1,AAA,AAA08,0,10,10,0,25,0,50,5,166.3823782,39.67,805,447,660,1.48,14.2,2.15,191,0,Forged,No Treatment,FCC,Ductile,0 ,10.2 ,10.5 ,0,25.5 ,0,48.4 ,5.3 ,N/A
1,AAA,AAA09,5,0,5,0,25,0,60,5,425.7082281,81.81,870,331,782,2.36,40.1,2.31,182,0,Forged,No Treatment,FCC,Ductile,5.5 ,0 ,5.2 ,0,25.5 ,0,58.6 ,5.3 ,N/A
1,AAA,AAA10,0,5,15,0,5,0,70,5,171.0651695,79.61,865,376,764,2.03,28.1,2.24,205,0,Forged,No Treatment,FCC,Ductile,0 ,5.2 ,15.5 ,0,5.2 ,0,69.0 ,5.1 ,N/A
1,AAA,AAA11,0,15,5,0,45,0,30,5,155.0269204,103.02,745,364,547,1.5,11.9,1.91,167,0,Forged,No Treatment,FCC,Ductile,0 ,15.2 ,5.2 ,0,45.1 ,0,29.3 ,5.2 ,N/A
1,AAA,AAA12,5,15,5,0,5,0,65,5,448.2754879,92.67,790,391,622,1.59,16.7,2.47,241,0,Forged,No Treatment,FCC,Ductile,5.3 ,15.2 ,5.3 ,0,5.2 ,0,63.8 ,5.1 ,N/A
1,AAA,AAA13,5,10,5,0,25,0,50,5,430.9015976,61.48,790,275,816,2.97,0,2.32,188,0,Forged,No Treatment,FCC,Brittle,5,10.3,5.2,0,25.4,0,49,5.1,N/A
1,AAA,AAA14,0,25,10,0,5,0,35,25,366.0800116,177.3,625,601,1144,1.9,29.9,3.4,194,0,Forged,No Treatment,FCC,Ductile,0 ,24.9 ,10.1 ,0,5.0 ,0,34.8 ,25.2 ,N/A
1,AAA,AAA15,5,0,5,0,45,0,45,0,372.6474182,176.36,855,253,492,1.94,23.3,1.96,147,0,Forged,No Treatment,FCC,Ductile,4.9 ,0 ,5.4 ,0,45.5 ,0,44.2 ,0 ,N/A
1,AAA,AAA16,0,5,10,0,10,0,55,20,321.2962495,202.24,800,517,977,1.89,26.7,2.88,207,0,Forged,No Treatment,FCC,Ductile,0 ,5.0 ,10.1 ,0,10.1 ,0,54.7 ,20.0 ,N/A
1,AAB,AAB01,0,50,10,0,15,0,15,10,252.0209975,-104.78,480,539,1038,1.93,34.6,2.68,230,0,Forged,No Treatment,FCC,Ductile,0 ,49.6 ,10.2 ,0,15.3 ,0,14.7 ,10.2 ,N/A
1,AAB,AAB02,0,5,0,0,75,0,20,0,52.69286578,-519.41,810,610,798,1.31,3.6,2.53,185,1,Forged,No Treatment,BCC,Ductile,0,5.1,0,0,75,0,19.9,0,N/A
1,AAB,AAB03,0,25,10,0,35,0,25,5,170.3134521,9.49,665,363,576,1.59,17.2,2.13,175,0,Forged,No Treatment,FCC,Ductile,0 ,24.8 ,10.2 ,0,35.2 ,0,24.7 ,5.1 ,N/A
1,AAB,AAB04,0,25,10,0,25,0,35,5,173.3394582,-0.79,685,413,676,1.64,20.1,2.29,193,0,Forged,No Treatment,FCC,Ductile,0 ,24.9 ,10.2 ,0,25.2 ,0,34.5 ,5.1 ,N/A
1,AAB,AAB05,0,25,5,0,10,0,50,10,233.5765555,-4.9,710,332,634,1.91,28.7,2.35,214,0,Forged,No Treatment,FCC,Ductile,0 ,25.1 ,5.1 ,0,10.1 ,0,49.6 ,10.1 ,N/A
1,AAB,AAB06,0,30,20,0,5,0,40,5,191.1275556,-16.78,645,508,857,1.69,24.4,2.6,241,0,Forged,No Treatment,FCC,Ductile,0 ,29.9 ,20.5 ,0,5.1 ,0,39.3 ,5.1 ,N/A
1,AAB,AAB07,0,40,15,0,5,0,30,10,257.043102,-55.61,560,448,863,1.93,28.2,2.78,221,0,Forged,No Treatment,FCC,Ductile,0 ,40.0 ,15.3 ,0,5.1 ,0,29.5 ,10.1 ,N/A
1,AAB,AAB08,0,5,10,0,30,0,50,5,162.3165993,48.75,835,324,604,1.86,23.4,2.11,172,0,Forged,No Treatment,FCC,Ductile,0 ,5.1 ,10.3 ,0,30.2 ,0,49.4 ,5.1 ,N/A
1,AAB,AAB09,0,30,0,0,30,0,35,5,158.4312767,102.88,675,347,610,1.76,20,1.98,159,0,Forged,No Treatment,FCC,Ductile,0 ,29.9 ,0 ,0,30.5 ,0,34.4 ,5.1 ,N/A
1,AAB,AAB10,5,20,5,0,25,0,45,0,400.9904629,63.06,735,313,615,1.96,24.6,2.11,167,0,Forged,No Treatment,FCC,Ductile,5.1 ,20.1 ,5.1 ,0,25.3 ,0,44.3 ,0 ,N/A
1,AAB,AAB11,0,5,20,0,10,0,55,10,242.7841552,79.94,810,427,886,2.07,31.5,2.62,220,0,Forged,No Treatment,FCC,Ductile,0 ,5.0 ,20.3 ,0,10.2 ,0,54.3 ,10.2 ,N/A
1,AAB,AAB12,0,15,5,0,20,0,40,20,312.9648164,74.64,720,430,986,2.29,37,2.71,189,0,Forged,No Treatment,FCC,Ductile,0 ,15.0 ,5.1 ,0,20.2 ,0,39.4 ,20.4 ,N/A
1,AAB,AAB13,5,5,10,0,35,0,45,0,389.3162381,108.08,815,250,549,2.2,27.5,1.87,179,0,Forged,No Treatment,FCC,Ductile,5.2 ,5.1 ,10.2 ,0,35.2 ,0,44.2 ,0 ,N/A
1,AAB,AAB14,5,10,0,0,30,0,50,5,421.8442395,88.48,800,282,691,2.45,41.8,2.25,191,0,Forged,No Treatment,FCC,Ductile,5.3 ,10.2 ,0 ,0,30.3 ,0,49.0 ,5.1 ,N/A
1,AAB,AAB15,5,5,10,0,20,0,55,5,437.0314243,61.23,820,367,759,2.07,33.8,2.57,221,0,Forged,No Treatment,FCC,Ductile,4.6 ,5.1 ,10.1 ,0,20.3 ,0,55.0 ,4.9 ,N/A
1,AAB,AAB16,15,5,0,0,15,0,65,0,722.4830729,212.08,825,299,333,1.11,1.4,2.97,160,0,Forged,No Treatment,L12,Ductile,14.2,5.3,0,0,15.6,0,64.9,0,N/A
1,AAC,AAC01,0,15,25,0,5,0,50,5,192.6929684,29.1,745,503,854,1.7,22.5,2.82,201,0,Forged,No Treatment,FCC,Ductile,0 ,15.1 ,25.2 ,0,5.1 ,0,49.6 ,5.1 ,N/A
1,AAC,AAC02,0,10,5,0,35,0,35,15,257.1647128,-0.3,755,391,832,2.13,29.7,2.52,191,0,Forged,No Treatment,FCC,Ductile,0 ,10.0 ,5.0 ,0,35.1 ,0,34.8 ,15.0 ,N/A
1,AAC,AAC03,0,40,20,0,5,0,30,5,195.157012,-61.1,565,461,863,1.87,26.2,3.05,216,0,Forged,No Treatment,FCC,Ductile,0 ,40.1 ,20.2 ,0,5.1 ,0,29.5 ,5.1 ,N/A
1,AAC,AAC04,0,45,15,0,10,0,15,15,309.0216024,-36.6,485,569,1044,1.83,29.1,3.17,225,0,Forged,No Treatment,FCC,Ductile,0 ,44.8 ,15.1 ,0,10.1 ,0,14.8 ,15.1 ,N/A
1,AAC,AAC05,0,75,0,0,15,0,0,10,241.5553432,-136.2,320,382,646,1.69,27.2,2.25,199,0,Forged,No Treatment,FCC,Ductile,0 ,74.4 ,0 ,0,15.4 ,0,0 ,10.2 ,N/A
1,AAC,AAC06,0,25,20,0,10,0,35,10,253.5297866,7.6,650,460,932,2.03,32.6,2.73,193,0,Forged,No Treatment,FCC,Ductile,0 ,24.9 ,20.3 ,0,10.1 ,0,34.4 ,10.2 ,N/A
1,AAC,AAC07,0,45,5,0,15,0,25,10,241.6991009,-99,540,357,671,1.88,26.6,2.58,223,0,Forged,No Treatment,FCC,Ductile,0 ,45.0 ,5.1 ,0,15.2 ,0,24.7 ,9.9 ,N/A
1,AAC,AAC08,0,30,10,0,15,0,30,15,293.4822158,-26.3,615,444,966,2.18,33.8,2.83,213,0,Forged,No Treatment,FCC,Ductile,0 ,29.8 ,10.1 ,0,15.2 ,0,29.6 ,15.2 ,N/A
1,AAC,AAC09,5,10,5,0,20,0,55,5,435.8880453,67.3,800,366,804,2.2,38.4,2.67,222,0,Forged,No Treatment,FCC,Ductile,5.2 ,10.0 ,5.1 ,0,20.3 ,0,54.2 ,5.1 ,N/A
1,AAC,AAC10,0,10,20,0,5,0,60,5,182.6807328,50.3,805,397,734,1.85,22.4,2.58,240,0,Forged,No Treatment,FCC,Ductile,0 ,10.3 ,20.4 ,0,5.1 ,0,59.2 ,5.1 ,N/A
1,AAC,AAC11,0,10,5,0,5,0,50,30,374.9055941,360.9,740,637,1115,1.75,25,3.32,191,0,Forged,No Treatment,FCC,Ductile,0 ,10.0 ,5.0 ,0,5.0 ,0,49.5 ,30.5 ,N/A
1,AAC,AAC12,0,35,15,0,5,0,20,25,371.290979,92.1,525,790,790,1,0,6.04,219,1,Forged,No Treatment,D022,Brittle,,,,,,,,,N/A
1,AAC,AAC13,0,15,20,0,5,0,45,15,299.8907032,120.5,715,551,1060,1.92,31,2.96,205,0,Forged,No Treatment,FCC,Ductile,0 ,15.1 ,20.2 ,0,5.1 ,0,44.4 ,15.3 ,N/A
1,AAC,AAC14,0,15,5,0,15,0,40,25,344.4982674,196,705,541,1136,2.1,33.7,3.32,207,0,Forged,No Treatment,FCC,Ductile,0 ,15.0 ,5.0 ,0,15.1 ,0,39.5 ,25.4 ,N/A
1,AAC,AAC15,5,5,5,0,20,0,50,15,472.4146152,119.9,790,542,1006,1.86,29.1,3.35,232,0,Forged,No Treatment,FCC,Ductile,5.5 ,4.9 ,5.0 ,0,20.2 ,0,49.4 ,15.1 ,N/A
1,AAC,AAC16,0,25,15,0,5,0,35,20,340.2266634,118.5,630,613,1197,1.95,31.8,3.29,217,0,Forged,No Treatment,FCC,Ductile,0 ,24.9 ,15.2 ,0,5.2 ,0,34.3 ,20.4 ,N/A
1,AAD,AAD01,0,30,10,0,10,0,30,20,335.5917857,47.1,600,625,1221,1.95,31,3.37,201,0,Forged,No Treatment,FCC,Ductile,0,29.6,10.6,0,9.9,0,28.6,21.2,N/A
