trial_id,neurons_encoder,latent_dim,neurons_decoder
0,"[128, 256, 512, 1024, 2048]",672,"[2048, 1024]"
1,"[80, 160, 320, 640, 1280]",784,[1280]
2,"[96, 192, 384, 768]",768,"[768, 384, 192, 96]"
3,[96],224,"[96, 48, 24]"
4,"[80, 160, 320, 640, 1280]",640,"[1280, 640, 320, 160, 80]"
5,"[112, 224, 448, 896]",864,"[896, 448]"
6,[112],608,"[112, 56, 28, 14]"
7,"[32, 64, 128, 256]",832,"[256, 128, 64, 32]"
8,"[112, 224, 448, 896]",576,"[896, 448, 224, 112, 56]"
9,"[64, 128]",256,[128]
10,"[80, 160, 320, 640]",720,"[640, 320]"
11,"[96, 192]",256,"[192, 96, 48, 24]"
12,"[128, 256, 512, 1024]",944,"[1024, 512]"
13,"[112, 224, 448, 896]",976,[896]
14,"[128, 256, 512]",656,"[512, 256, 128, 64, 32]"
15,"[32, 64]",288,"[64, 32]"
16,"[48, 96]",352,"[96, 48, 24, 12]"
17,"[48, 96]",336,"[96, 48, 24, 12, 8]"
18,"[48, 96]",368,"[96, 48, 24]"
19,"[48, 96]",368,"[96, 48, 24]"
20,"[48, 96]",400,"[96, 48, 24]"
21,"[48, 96]",448,"[96, 48, 24]"
22,"[48, 96, 192]",464,"[192, 96, 48]"
23,"[16, 32, 64]",432,"[64, 32, 16]"
24,"[16, 32, 64]",464,"[64, 32, 16, 8, 8]"
25,"[16, 32, 64]",480,"[64, 32, 16]"
26,"[16, 32, 64]",480,"[64, 32, 16]"
27,"[16, 32, 64]",480,"[64, 32, 16]"
28,"[16, 32, 64]",480,"[64, 32, 16]"
29,"[64, 128, 256]",496,"[256, 128, 64]"
30,"[64, 128, 256]",528,"[256, 128, 64]"
31,[64],112,"[64, 32, 16]"
32,[32],144,"[32, 16, 8]"
33,[32],160,"[32, 16]"
34,"[32, 64, 128]",544,"[128, 64, 32, 16]"
35,"[32, 64, 128]",544,"[128, 64, 32, 16]"
36,"[16, 32, 64]",528,"[64, 32, 16, 8]"
37,"[32, 64]",416,"[64, 32, 16, 8]"
38,"[32, 64]",528,"[64, 32, 16, 8]"
39,"[32, 64]",400,"[64, 32, 16, 8]"
40,"[32, 64]",544,"[64, 32, 16, 8]"
41,"[16, 32, 64, 128, 256]",528,"[256, 128, 64, 32]"
42,"[16, 32, 64, 128, 256]",576,"[256, 128, 64, 32]"
43,"[16, 32, 64, 128, 256]",576,"[256, 128]"
44,"[32, 64, 128, 256, 512]",576,"[512, 256, 128, 64]"
45,"[32, 64, 128, 256]",624,"[256, 128, 64, 32]"
46,"[32, 64, 128]",704,"[128, 64, 32, 16]"
47,"[32, 64, 128]",416,"[128, 64, 32, 16]"
48,"[32, 64, 128]",416,"[128, 64, 32, 16]"
49,"[32, 64, 128]",416,"[128, 64, 32, 16]"
50,"[48, 96, 192]",688,"[192, 96, 48, 24, 12]"
51,"[48, 96, 192, 384]",512,"[384, 192, 96, 48, 24]"
52,"[16, 32, 64, 128]",688,"[128, 64, 32, 16, 8]"
53,"[16, 32, 64, 128]",688,"[128, 64, 32, 16, 8]"
54,"[16, 32, 64, 128]",672,"[128, 64, 32, 16, 8]"
55,"[16, 32, 64, 128]",688,"[128, 64, 32, 16, 8]"
56,"[16, 32, 64, 128]",768,"[128, 64, 32, 16, 8]"
57,"[16, 32, 64, 128]",288,"[128, 64, 32, 16]"
58,"[48, 96]",608,"[96, 48, 24, 12]"
59,"[80, 160]",336,"[160, 80, 40, 20]"
60,"[80, 160]",320,"[160, 80, 40, 20]"
61,"[80, 160]",288,"[160, 80, 40, 20]"
62,"[80, 160]",384,"[160, 80, 40, 20]"
63,"[80, 160]",320,"[160, 80, 40]"
64,"[80, 160]",336,"[160, 80]"
65,"[96, 192]",288,"[192, 96]"
66,"[80, 160]",320,"[160, 80, 40, 20]"
67,"[80, 160]",320,"[160, 80, 40]"
68,[96],320,"[96, 48, 24]"
69,[96],192,"[96, 48, 24]"
70,[96],240,"[96, 48, 24]"
71,[112],224,"[112, 56, 28]"
72,[112],208,"[112, 56, 28]"
73,[112],208,"[112, 56, 28]"
74,[112],208,"[112, 56, 28]"
75,[112],208,"[112, 56, 28]"
76,[112],208,"[112, 56, 28]"
77,[112],192,"[112, 56, 28]"
78,[128],256,"[128, 64, 32]"
79,[128],256,"[128, 64, 32]"
80,[128],272,"[128, 64, 32]"
81,[128],272,"[128, 64, 32]"
82,[128],256,"[128, 64, 32]"
83,[128],240,"[128, 64, 32]"
84,[128],256,"[128, 64, 32]"
85,[112],160,"[112, 56, 28]"
86,[112],144,"[112, 56, 28]"
87,[112],160,"[112, 56, 28]"
88,[112],160,"[112, 56, 28]"
89,[64],144,"[64, 32, 16]"
90,"[64, 128, 256]",352,"[256, 128, 64]"
