number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_relative_deterioration,state
0,0.05178303359644776,2024-12-18 10:44:39.806412,2024-12-18 10:44:43.000832,0 days 00:00:03.194420,0.08402760751551229,56,0.4,128,50,0.00048757415623201865,672,1.12760989069938e-05,2,5,adadelta,"{'neurons_per_layer_encoder': [128, 256, 512, 1024, 2048], 'neurons_per_layer_decoder': [2048, 1024]}",128,"[2048, 1024]","[128, 256, 512, 1024, 2048]",0.9796594885071215,COMPLETE
1,0.04860764377137781,2024-12-18 10:44:39.806590,2024-12-18 10:44:41.985118,0 days 00:00:02.178528,0.06918681022046008,88,0.30000000000000004,80,10,6.87695756324139e-05,784,0.00017654681798493277,1,5,adadelta,"{'neurons_per_layer_encoder': [80, 160, 320, 640, 1280], 'neurons_per_layer_decoder': [1280]}",80,[1280],"[80, 160, 320, 640, 1280]",0.8228316533745024,COMPLETE
2,0.04373914296612809,2024-12-18 10:44:39.806591,2024-12-18 10:44:44.054923,0 days 00:00:04.248332,0.07962635911700637,88,0.4,96,50,7.597347534421992e-06,768,4.824420392464673e-05,4,4,adam,"{'neurons_per_layer_encoder': [96, 192, 384, 768], 'neurons_per_layer_decoder': [768, 384, 192, 96]}",96,"[768, 384, 192, 96]","[96, 192, 384, 768]",0.6258061189257295,COMPLETE
3,0.04396027173491596,2024-12-18 10:44:39.806930,2024-12-18 10:44:40.986854,0 days 00:00:01.179924,0.05742342725003456,104,0.1,96,30,3.0626628385511453e-06,224,0.00041987635600222197,3,1,sgd,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48, 24]}",96,"[96, 48, 24]",[96],0.5337214824755759,COMPLETE
4,0.04769005588325582,2024-12-18 10:44:39.806871,2024-12-18 10:44:44.690241,0 days 00:00:04.883370,0.1162005515621687,88,0.1,80,50,9.776021655834981e-05,640,0.0010039619250689668,5,5,adadelta,"{'neurons_per_layer_encoder': [80, 160, 320, 640, 1280], 'neurons_per_layer_decoder': [1280, 640, 320, 160, 80]}",80,"[1280, 640, 320, 160, 80]","[80, 160, 320, 640, 1280]",0.9035525122188202,COMPLETE
5,0.04667502706853157,2024-12-18 10:44:39.806961,2024-12-18 10:44:40.958149,0 days 00:00:01.151188,0.01127729417052386,40,0.2,112,10,1.5723161741787913e-06,864,0.00018846823045101874,2,4,sgd,"{'neurons_per_layer_encoder': [112, 224, 448, 896], 'neurons_per_layer_decoder': [896, 448]}",112,"[896, 448]","[112, 224, 448, 896]",0.5405369799836544,COMPLETE
6,0.049368893942279994,2024-12-18 10:44:40.968268,2024-12-18 10:44:41.788725,0 days 00:00:00.820457,0.0834735626537958,40,0.2,112,10,7.12248234879585e-06,608,0.00011930090466947555,4,1,sgd,"{'neurons_per_layer_encoder': [112], 'neurons_per_layer_decoder': [112, 56, 28, 14]}",112,"[112, 56, 28, 14]",[112],0.5090349058207204,COMPLETE
7,0.049609189026520645,2024-12-18 10:44:41.008268,2024-12-18 10:44:43.803135,0 days 00:00:02.794867,0.0347019671338966,88,0.1,32,10,1.0918305418259156e-06,832,0.0014047085783336821,4,4,adadelta,"{'neurons_per_layer_encoder': [32, 64, 128, 256], 'neurons_per_layer_decoder': [256, 128, 64, 32]}",32,"[256, 128, 64, 32]","[32, 64, 128, 256]",0.5579741128897053,COMPLETE
8,0.02363569816736608,2024-12-18 10:44:41.799131,2024-12-18 10:44:45.988022,0 days 00:00:04.188891,0.06799991887742814,40,0.1,112,30,7.152844697395544e-05,576,0.00360542219730959,5,4,adam,"{'neurons_per_layer_encoder': [112, 224, 448, 896], 'neurons_per_layer_decoder': [896, 448, 224, 112, 56]}",112,"[896, 448, 224, 112, 56]","[112, 224, 448, 896]",0.8743947677428592,COMPLETE
9,0.02924876548749207,2024-12-18 10:44:41.995699,2024-12-18 10:44:43.913642,0 days 00:00:01.917943,0.1815832727083613,72,0.1,64,30,0.00027536429649682704,256,0.0007097424422128018,1,2,adam,"{'neurons_per_layer_encoder': [64, 128], 'neurons_per_layer_decoder': [128]}",64,[128],"[64, 128]",0.6949438792930711,COMPLETE
10,0.050776985185228336,2024-12-18 10:44:43.010968,2024-12-18 10:44:45.577636,0 days 00:00:02.566668,0.050781824130117253,48,0.2,80,30,6.850566153498871e-06,720,0.00011686165309873313,2,4,adadelta,"{'neurons_per_layer_encoder': [80, 160, 320, 640], 'neurons_per_layer_decoder': [640, 320]}",80,"[640, 320]","[80, 160, 320, 640]",0.6493720864273729,COMPLETE
11,0.04317031493483836,2024-12-18 10:44:43.813146,2024-12-18 10:44:46.862158,0 days 00:00:03.049012,0.09464225607269783,48,0.4,96,50,0.00031764962843129553,256,3.0332881827159844e-05,4,2,adadelta,"{'neurons_per_layer_encoder': [96, 192], 'neurons_per_layer_decoder': [192, 96, 48, 24]}",96,"[192, 96, 48, 24]","[96, 192]",0.8537985000613025,COMPLETE
12,0.0485041696141834,2024-12-18 10:44:43.924929,2024-12-18 10:44:46.425064,0 days 00:00:02.500135,0.061542523134453346,120,0.1,128,30,6.0296441449281894e-05,944,0.00017011091380773487,2,4,adadelta,"{'neurons_per_layer_encoder': [128, 256, 512, 1024], 'neurons_per_layer_decoder': [1024, 512]}",128,"[1024, 512]","[128, 256, 512, 1024]",0.8335128741507692,COMPLETE
13,0.04876769433617156,2024-12-18 10:44:44.067852,2024-12-18 10:44:45.026873,0 days 00:00:00.959021,0.019225735406258125,96,0.1,112,50,2.697017388296603e-06,976,4.130885710632026e-05,1,4,sgd,"{'neurons_per_layer_encoder': [112, 224, 448, 896], 'neurons_per_layer_decoder': [896]}",112,[896],"[112, 224, 448, 896]",0.5180809840574095,COMPLETE
14,0.04836421187860384,2024-12-18 10:44:44.711985,2024-12-18 10:44:46.116585,0 days 00:00:01.404600,0.03988530442431301,112,0.30000000000000004,128,50,1.415886896469314e-06,656,0.0033617926266605322,5,3,sgd,"{'neurons_per_layer_encoder': [128, 256, 512], 'neurons_per_layer_decoder': [512, 256, 128, 64, 32]}",128,"[512, 256, 128, 64, 32]","[128, 256, 512]",0.5185252430516064,COMPLETE
15,0.03178385716801591,2024-12-18 10:44:45.036217,2024-12-18 10:44:47.018109,0 days 00:00:01.981892,0.1924048643905467,128,0.30000000000000004,32,30,0.000920932768134305,288,0.009998144987713313,2,2,adam,"{'neurons_per_layer_encoder': [32, 64], 'neurons_per_layer_decoder': [64, 32]}",32,"[64, 32]","[32, 64]",0.4015851845018529,COMPLETE
16,0.03625411849526472,2024-12-18 10:44:45.591303,2024-12-18 10:44:48.132886,0 days 00:00:02.541583,0.19464105258467118,120,0.4,48,30,0.0008986751712451778,352,0.006386062180296568,4,2,adam,"{'neurons_per_layer_encoder': [48, 96], 'neurons_per_layer_decoder': [96, 48, 24, 12]}",48,"[96, 48, 24, 12]","[48, 96]",0.7416389905926436,COMPLETE
17,0.03067586039046378,2024-12-18 10:44:45.997515,2024-12-18 10:44:48.644095,0 days 00:00:02.646580,0.16213650788283646,128,0.30000000000000004,48,30,0.00041138967983180615,336,0.0078100109252422,5,2,adam,"{'neurons_per_layer_encoder': [48, 96], 'neurons_per_layer_decoder': [96, 48, 24, 12, 8]}",48,"[96, 48, 24, 12, 8]","[48, 96]",0.7494339450393275,COMPLETE
18,0.02861953575900371,2024-12-18 10:44:46.126664,2024-12-18 10:44:48.216779,0 days 00:00:02.090115,0.18954042184604827,64,0.1,48,30,0.0005028594194802663,368,0.009090346200220237,3,2,adam,"{'neurons_per_layer_encoder': [48, 96], 'neurons_per_layer_decoder': [96, 48, 24]}",48,"[96, 48, 24]","[48, 96]",0.348448638914476,COMPLETE
19,0.026209705165542066,2024-12-18 10:44:46.434099,2024-12-18 10:44:48.608890,0 days 00:00:02.174791,0.19077899033440232,64,0.2,48,30,0.000390476802817973,368,0.006727709388686123,3,2,adam,"{'neurons_per_layer_encoder': [48, 96], 'neurons_per_layer_decoder': [96, 48, 24]}",48,"[96, 48, 24]","[48, 96]",0.5317284263463237,COMPLETE
20,0.01823010377586884,2024-12-18 10:44:46.871327,2024-12-18 10:44:49.077038,0 days 00:00:02.205711,0.1919915928023936,64,0.2,48,30,0.00018554557641242654,400,0.00799825419901628,3,2,adam,"{'neurons_per_layer_encoder': [48, 96], 'neurons_per_layer_decoder': [96, 48, 24]}",48,"[96, 48, 24]","[48, 96]",0.6610408904576182,COMPLETE
21,0.019982614561864825,2024-12-18 10:44:47.027808,2024-12-18 10:44:49.212552,0 days 00:00:02.184744,0.19767990264493474,64,0.2,48,30,0.00018587826418663177,448,0.004058500467254179,3,2,adam,"{'neurons_per_layer_encoder': [48, 96], 'neurons_per_layer_decoder': [96, 48, 24]}",48,"[96, 48, 24]","[48, 96]",0.6945459657444071,COMPLETE
22,0.021425038786487143,2024-12-18 10:44:48.141357,2024-12-18 10:44:50.528636,0 days 00:00:02.387279,0.1332101851784826,64,0.2,48,30,0.00016448227165755407,464,0.0017664472705278703,3,3,adam,"{'neurons_per_layer_encoder': [48, 96, 192], 'neurons_per_layer_decoder': [192, 96, 48]}",48,"[192, 96, 48]","[48, 96, 192]",0.8277076257697303,COMPLETE
23,0.02939791506761076,2024-12-18 10:44:48.233549,2024-12-18 10:44:50.680701,0 days 00:00:02.447152,0.12906107040794432,64,0.2,16,30,2.932607234557822e-05,432,0.002607419422209171,3,3,adam,"{'neurons_per_layer_encoder': [16, 32, 64], 'neurons_per_layer_decoder': [64, 32, 16]}",16,"[64, 32, 16]","[16, 32, 64]",0.24134289323306737,COMPLETE
24,0.03202868675884621,2024-12-18 10:44:48.617790,2024-12-18 10:44:51.400322,0 days 00:00:02.782532,0.02734739032317604,32,0.2,16,30,0.00014402596709349664,464,0.0030495171319603284,5,3,adam,"{'neurons_per_layer_encoder': [16, 32, 64], 'neurons_per_layer_decoder': [64, 32, 16, 8, 8]}",16,"[64, 32, 16, 8, 8]","[16, 32, 64]",0.5969466435035362,COMPLETE
25,0.038622612510307706,2024-12-18 10:44:48.658955,2024-12-18 10:44:50.583456,0 days 00:00:01.924501,0.025603915173758825,32,0.2,16,10,0.00016183309909811015,480,0.002674034571985025,3,3,adam,"{'neurons_per_layer_encoder': [16, 32, 64], 'neurons_per_layer_decoder': [64, 32, 16]}",16,"[64, 32, 16]","[16, 32, 64]",0.5607256470741568,COMPLETE
26,0.011920712724123005,2024-12-18 10:44:49.086435,2024-12-18 10:44:51.422896,0 days 00:00:02.336461,0.13674168177185636,32,0.2,16,30,0.00012965500245456374,480,0.00255056748367065,3,3,adam,"{'neurons_per_layer_encoder': [16, 32, 64], 'neurons_per_layer_decoder': [64, 32, 16]}",16,"[64, 32, 16]","[16, 32, 64]",0.7689602788624235,COMPLETE
27,0.019893638709169242,2024-12-18 10:44:49.221072,2024-12-18 10:44:51.531773,0 days 00:00:02.310701,0.13218360276567698,32,0.2,16,30,0.00015179477911120287,480,0.0033946798646202763,3,3,adam,"{'neurons_per_layer_encoder': [16, 32, 64], 'neurons_per_layer_decoder': [64, 32, 16]}",16,"[64, 32, 16]","[16, 32, 64]",0.6650860337547482,COMPLETE
28,0.03571250700789241,2024-12-18 10:44:50.537340,2024-12-18 10:44:52.932308,0 days 00:00:02.394968,0.12578202922142087,72,0.2,16,30,0.0001414047982001054,480,0.0023050304578282944,3,3,adam,"{'neurons_per_layer_encoder': [16, 32, 64], 'neurons_per_layer_decoder': [64, 32, 16]}",16,"[64, 32, 16]","[16, 32, 64]",0.5453781763969666,COMPLETE
29,0.02765036247990115,2024-12-18 10:44:50.592213,2024-12-18 10:44:53.033947,0 days 00:00:02.441734,0.12518406209812163,72,0.2,64,30,2.5858928583212468e-05,496,0.0020126149535057477,3,3,adam,"{'neurons_per_layer_encoder': [64, 128, 256], 'neurons_per_layer_decoder': [256, 128, 64]}",64,"[256, 128, 64]","[64, 128, 256]",0.4389638960848796,COMPLETE
30,0.028109564642861996,2024-12-18 10:44:50.689185,2024-12-18 10:44:53.130168,0 days 00:00:02.440983,0.13135346689630742,72,0.2,64,30,3.1186423374402975e-05,528,0.0010153408626580283,3,3,adam,"{'neurons_per_layer_encoder': [64, 128, 256], 'neurons_per_layer_decoder': [256, 128, 64]}",64,"[256, 128, 64]","[64, 128, 256]",0.4922294576570995,COMPLETE
