number,value,datetime_start,datetime_complete,duration,params_batch_size,params_conjunction_units,params_drop_out_rate,params_epochs,params_latent_dim,params_learning_rate,params_num_conjunctions,params_optimizer,user_attrs_relative_deterioration,user_attrs_test_r2,state
0,0.09898192852310474,2024-10-11 08:22:14.415841,2024-10-11 08:22:31.518179,0 days 00:00:17.102338,48,64,0.3,50,192,0.0007416259265114756,10,sgd,0.26077131879505994,-0.19988959930149086,COMPLETE
1,0.17773119222678999,2024-10-11 08:22:31.524842,2024-10-11 08:22:56.197796,0 days 00:00:24.672954,64,96,0.2,30,128,0.0005743544438145772,15,adadelta,0.08198598444681113,-1.1545125681664188,COMPLETE
2,0.34969206299111416,2024-10-11 08:22:56.203519,2024-10-11 08:23:08.515620,0 days 00:00:12.312101,48,96,0.1,10,96,0.000155558227188617,15,adadelta,-0.06812034425496562,-3.239075512085794,COMPLETE
3,0.008468480336588624,2024-10-11 08:23:08.520879,2024-10-11 08:23:18.378757,0 days 00:00:09.857878,64,32,0.1,50,192,0.00019474712316096368,5,adam,0.4868621641993395,0.897342458069101,COMPLETE
4,0.20728014224682761,2024-10-11 08:23:18.384035,2024-10-11 08:23:22.451437,0 days 00:00:04.067402,48,64,0.1,10,64,0.0001100186607921086,5,adadelta,0.0427868204797808,-1.5127140937211223,COMPLETE
5,0.10332520250983464,2024-10-11 08:23:22.456702,2024-10-11 08:23:26.788189,0 days 00:00:04.331487,64,96,0.2,10,64,0.0007361399880789709,10,sgd,0.2564555311516073,-0.2525401119895463,COMPLETE
6,0.07553015373138729,2024-10-11 08:23:26.793661,2024-10-11 08:23:46.342682,0 days 00:00:19.549021,32,96,0.1,50,192,0.00046000507591659916,5,adadelta,0.28008246667442693,0.08440007940662009,COMPLETE
7,0.14781422158843713,2024-10-11 08:23:46.349416,2024-10-11 08:23:51.835984,0 days 00:00:05.486568,48,128,0.2,10,96,0.00014467695644019177,10,sgd,0.14106775046290132,-0.7918497826743334,COMPLETE
8,0.07323742759244468,2024-10-11 08:23:51.841408,2024-10-11 08:24:14.650635,0 days 00:00:22.809227,32,96,0.2,50,192,0.0006045852812428419,10,sgd,0.305879888456323,0.11219321588326236,COMPLETE
9,0.10077555905217808,2024-10-11 08:24:14.655944,2024-10-11 08:24:20.527073,0 days 00:00:05.871129,32,128,0.2,10,96,0.0003028800267332054,10,sgd,0.26321468097016204,-0.22163254418988387,COMPLETE
10,0.01104138994563914,2024-10-11 08:24:20.532434,2024-10-11 08:25:09.579882,0 days 00:00:49.047448,16,32,0.3,30,160,0.00028303740844511186,20,adam,0.5238430202135006,0.8661528507750589,COMPLETE
11,0.016731789257014858,2024-10-11 08:25:09.585284,2024-10-11 08:26:02.444522,0 days 00:00:52.859238,16,32,0.3,30,160,0.0002601188250106498,20,adam,0.37346197770854755,0.7971720676011049,COMPLETE
12,0.01417093710857075,2024-10-11 08:26:02.449803,2024-10-11 08:26:56.435639,0 days 00:00:53.985836,16,32,0.3,30,160,0.00021162653729315593,20,adam,0.540516267608688,0.8282155106226229,COMPLETE
13,0.005010586687429641,2024-10-11 08:26:56.441715,2024-10-11 08:28:19.943023,0 days 00:01:23.501308,16,32,0.1,50,160,0.0003843282981326004,20,adam,0.5816924073220188,0.939260116039849,COMPLETE
14,0.005324793978568729,2024-10-11 08:28:19.950289,2024-10-11 08:28:51.142874,0 days 00:00:31.192585,64,64,0.1,50,160,0.00036381208152584915,15,adam,0.48809987151381534,0.9354511979243116,COMPLETE
15,0.004898726798877387,2024-10-11 08:28:51.148231,2024-10-11 08:29:33.066786,0 days 00:00:41.918555,32,64,0.1,50,128,0.0004245091588079338,15,adam,0.45463648413974844,0.9406161162598442,COMPLETE
16,0.0060568108667625594,2024-10-11 08:29:33.072412,2024-10-11 08:31:00.638963,0 days 00:01:27.566551,16,64,0.1,50,128,0.0009888225080011694,20,adam,0.5264393412042991,0.9265774624479232,COMPLETE
17,0.0048768040039927525,2024-10-11 08:31:00.644181,2024-10-11 08:31:42.839010,0 days 00:00:42.194829,32,32,0.1,50,128,0.0004176394599478371,15,adam,0.5449431445733885,0.9408818711704848,COMPLETE
18,0.006927292644599904,2024-10-11 08:31:42.844450,2024-10-11 08:32:10.748098,0 days 00:00:27.903648,32,64,0.1,30,128,0.00048194791235432277,15,adam,0.45403380753151534,0.9160252126868499,COMPLETE
19,0.006488523314853763,2024-10-11 08:32:10.754539,2024-10-11 08:32:46.372782,0 days 00:00:35.618243,32,32,0.2,50,96,0.0003956061877768269,15,adam,0.5282013756885179,0.9213441104201062,COMPLETE
20,0.006933835692814641,2024-10-11 10:23:37.645938,2024-10-11 10:23:58.692468,0 days 00:00:21.046530,32,16,0.1,30,128,0.0009975865624965875,15,adam,0.5031511142993046,0.9159458958295434,COMPLETE
21,0.006412831438354577,2024-10-11 10:23:58.700405,2024-10-11 10:25:06.276401,0 days 00:01:07.575996,16,16,0.1,50,128,0.00036209379875478,20,adam,0.583386783950846,0.922261670794188,COMPLETE
22,0.006405075451459327,2024-10-11 10:25:06.282046,2024-10-11 10:26:24.805016,0 days 00:01:18.522970,16,48,0.1,50,160,0.00044605104580497905,20,adam,0.43790625533179217,0.922355691269913,COMPLETE
23,0.005486665693446292,2024-10-11 10:26:24.810364,2024-10-11 10:26:56.306197,0 days 00:00:31.495833,32,16,0.1,50,160,0.0005728695063104485,15,adam,0.5500560797646644,0.9334889388533808,COMPLETE
24,0.0060112895967216785,2024-10-11 10:26:56.311464,2024-10-11 10:27:31.518816,0 days 00:00:35.207352,32,48,0.1,50,128,0.00023826108162208965,15,adam,0.5521423025671292,0.9271292853845342,COMPLETE
25,0.009266539523911882,2024-10-11 10:27:31.524254,2024-10-11 10:28:39.480201,0 days 00:01:07.955947,16,16,0.2,50,96,0.0003417478636886031,20,adam,0.5154844862173157,0.8876681373846675,COMPLETE
26,0.007181432114239777,2024-10-11 10:28:39.485786,2024-10-11 10:29:02.147856,0 days 00:00:22.662070,48,48,0.1,30,160,0.0004187481917283671,15,adam,0.49173102524831935,0.9129444553108033,COMPLETE
27,0.0051378072541189476,2024-10-11 10:29:02.153425,2024-10-11 10:29:50.490313,0 days 00:00:48.336888,32,48,0.1,50,128,0.0005277299342827348,20,adam,0.43292348704245526,0.9377179089211819,COMPLETE
28,0.10410459328398748,2024-10-11 10:29:50.496514,2024-10-11 10:30:44.215567,0 days 00:00:53.719053,16,16,0.1,50,160,0.000701090880489453,15,adadelta,0.28444356347427285,-0.26198812838659236,COMPLETE
29,0.006115918131143393,2024-10-11 10:30:44.220900,2024-10-11 10:31:08.096267,0 days 00:00:23.875367,48,80,0.2,50,128,0.0002981053765032583,10,adam,0.48506811273092226,0.9258609458793743,COMPLETE
30,0.05801538573864396,2024-10-11 10:31:08.101447,2024-10-11 10:31:28.046037,0 days 00:00:19.944590,32,48,0.1,30,192,0.00065646798768831,20,sgd,0.3870957708741668,0.29671952258422785,COMPLETE
31,0.004212277853915144,2024-10-11 10:31:28.051186,2024-10-11 10:32:15.748701,0 days 00:00:47.697515,32,48,0.1,50,128,0.0004972894675105506,20,adam,0.4941894900383798,0.9489374630127458,COMPLETE
32,0.0046919448822298135,2024-10-11 10:32:15.753920,2024-10-11 10:33:02.491921,0 days 00:00:46.738001,32,48,0.1,50,128,0.0004938069810303594,20,adam,0.48572281688229163,0.9431227907085152,COMPLETE
33,0.004097488234265734,2024-10-11 10:33:02.497141,2024-10-11 10:33:39.190249,0 days 00:00:36.693108,32,48,0.1,50,128,0.0005319566730295631,15,adam,0.5493727642367434,0.9503289783406468,COMPLETE
34,0.0040384482428866665,2024-10-11 10:33:39.195597,2024-10-11 10:34:24.899410,0 days 00:00:45.703813,32,48,0.1,50,96,0.0008227105855390111,20,adam,0.5170702042591673,0.951044679405029,COMPLETE
35,0.13328520528507146,2024-10-11 10:34:24.905267,2024-10-11 10:35:01.521896,0 days 00:00:36.616629,48,48,0.1,50,96,0.000807372259844758,20,adadelta,0.1533430871337552,-0.6157245463750531,COMPLETE
36,0.005179929382096874,2024-10-11 10:35:01.527276,2024-10-11 10:35:47.323481,0 days 00:00:45.796205,32,48,0.2,50,64,0.0008065304890485655,20,adam,0.4621051650448098,0.937207291437614,COMPLETE
37,0.1336487252633896,2024-10-11 10:35:47.328814,2024-10-11 10:36:29.941493,0 days 00:00:42.612679,48,80,0.1,50,96,0.0005121863223155871,20,adadelta,0.1510468659940448,-0.6201312481602226,COMPLETE
38,0.004574583026585699,2024-10-11 10:36:29.946813,2024-10-11 10:37:15.504056,0 days 00:00:45.557243,32,48,0.1,50,96,0.0008452361900475052,20,adam,0.4676356255240336,0.9445454874779485,COMPLETE
39,0.0451859342600854,2024-10-11 10:37:15.510372,2024-10-11 10:37:28.489033,0 days 00:00:12.978661,32,80,0.2,50,64,0.0008151598482748206,5,sgd,0.4636671751987122,0.45224210760107,COMPLETE
40,0.1407976874194124,2024-10-11 10:37:28.494938,2024-10-11 10:37:54.636585,0 days 00:00:26.141647,48,48,0.1,30,96,0.000864953513191321,20,adadelta,0.13580049155614457,-0.7067931819576567,COMPLETE
41,0.0038962035904302863,2024-10-11 10:37:54.641865,2024-10-11 10:38:41.238088,0 days 00:00:46.596223,32,48,0.1,50,96,0.0006406158312249947,20,adam,0.5542886455165874,0.9527690131453929,COMPLETE
42,0.004206174896090084,2024-10-11 10:38:41.243298,2024-10-11 10:39:25.647730,0 days 00:00:44.404432,32,48,0.1,50,64,0.0006251057690327332,20,adam,0.5326655904114403,0.9490114449580214,COMPLETE
43,0.003419980250198738,2024-10-11 10:39:25.653267,2024-10-11 10:40:12.323123,0 days 00:00:46.669856,32,48,0.1,50,64,0.0006273477648003909,20,adam,0.6068389791608545,0.9585419399959246,COMPLETE
44,0.003850867423132713,2024-10-11 10:40:12.328817,2024-10-11 10:40:57.690061,0 days 00:00:45.361244,32,48,0.1,50,64,0.0006312759566636737,20,adam,0.5601413676240786,0.95331859220921,COMPLETE
45,0.004461070866182021,2024-10-11 10:40:57.695286,2024-10-11 10:41:41.790247,0 days 00:00:44.094961,32,48,0.1,50,64,0.0007071380849515089,20,adam,0.5191900003515664,0.9459215170491527,COMPLETE
46,0.08513641344642844,2024-10-11 10:41:41.795599,2024-10-11 10:42:13.700306,0 days 00:00:31.904707,32,80,0.2,50,64,0.0005786728691305592,20,sgd,0.3078649969845714,-0.03204997660109066,COMPLETE
47,0.017124213247040738,2024-10-11 10:42:13.705557,2024-10-11 10:42:27.498075,0 days 00:00:13.792518,48,48,0.1,10,64,0.0006859413046999778,20,adam,0.5699085528825933,0.7924149824323862,COMPLETE
48,0.004468266079313688,2024-10-11 10:42:27.503397,2024-10-11 10:42:51.130569,0 days 00:00:23.627172,32,48,0.1,50,64,0.0005499726281885771,10,adam,0.5305498433586018,0.9458342944467013,COMPLETE
49,0.006439848707707602,2024-10-11 10:42:51.135782,2024-10-11 10:43:12.396099,0 days 00:00:21.260317,64,80,0.1,30,96,0.000912310310250708,15,adam,0.33278124636243245,0.9219341590859204,COMPLETE
50,0.04241037422310376,2024-10-11 10:43:12.401475,2024-10-11 10:43:57.563466,0 days 00:00:45.161991,32,48,0.3,50,64,0.00010696991473871141,20,adam,0.47901506679503897,0.4858883061577465,COMPLETE
51,0.004165762161222367,2024-10-11 10:43:57.569168,2024-10-11 10:44:41.434423,0 days 00:00:43.865255,32,48,0.1,50,64,0.000628090363161344,20,adam,0.5272911574258407,0.9495013406487867,COMPLETE
52,0.0047679412316033,2024-10-11 10:44:41.439919,2024-10-11 10:45:25.152770,0 days 00:00:43.712851,32,48,0.1,50,64,0.0006257542011032974,20,adam,0.43632217285413594,0.9422015394199343,COMPLETE
53,0.004981201385608054,2024-10-11 10:45:25.158081,2024-10-11 10:46:09.737415,0 days 00:00:44.579334,32,48,0.1,50,64,0.0007510717389275915,20,adam,0.4224218667817117,0.9396163337712486,COMPLETE
54,0.004670726716722772,2024-10-11 10:46:09.742894,2024-10-11 10:46:57.591180,0 days 00:00:47.848286,32,48,0.1,50,96,0.0006419978253809965,20,adam,0.4504052164833198,0.9433800038835668,COMPLETE
55,0.004279833611928653,2024-10-11 10:46:57.596409,2024-10-11 10:47:42.917436,0 days 00:00:45.321027,32,48,0.1,50,64,0.0007646696668909755,20,adam,0.47651276590782693,0.9481185311872822,COMPLETE
56,0.02732096947750676,2024-10-11 10:47:42.923528,2024-10-11 10:48:03.762267,0 days 00:00:20.838739,32,48,0.1,50,96,0.0009141983868978634,15,sgd,0.5829591504566343,0.6688067447459187,COMPLETE
57,0.007027852119848765,2024-10-11 10:48:03.767668,2024-10-11 10:48:47.953063,0 days 00:00:44.185395,32,48,0.1,50,64,0.000154214386197798,20,adam,0.6207596089659236,0.9148061995774603,COMPLETE
58,0.008559106270116709,2024-10-11 10:48:47.958357,2024-10-11 10:49:31.925864,0 days 00:00:43.967507,16,16,0.2,30,96,0.0005671254383232445,20,adam,0.554417787201774,0.8962438624295751,COMPLETE
59,0.003635317061263458,2024-10-11 10:49:31.931260,2024-10-11 10:49:59.066170,0 days 00:00:27.134910,32,80,0.1,50,64,0.00045590299389552686,10,adam,0.557616959670647,0.9559315604670695,COMPLETE
