number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_optimizer,user_attrs_relative_deterioration,state
0,0.046651904401447244,2024-10-03 13:38:21.524126,2024-10-03 13:44:24.495041,0 days 00:06:02.970915,0.04040766300168465,64,0.1,50,9.110247964184112e-06,192,0.0002706835164734702,adadelta,0.6475441611311566,COMPLETE
1,0.030438237699565517,2024-10-03 13:38:21.524228,2024-10-03 13:39:14.997939,0 days 00:00:53.473711,0.010948595987699252,96,0.4,10,2.212823595763243e-06,64,0.0017549936055889245,adam,0.2579714249357514,COMPLETE
2,0.1050229439595906,2024-10-03 13:38:21.524533,2024-10-03 13:39:16.120207,0 days 00:00:54.595674,0.04343284415657168,128,0.30000000000000004,50,4.136167553536386e-06,192,0.00030539396407168847,adadelta,0.43625378004192544,COMPLETE
3,0.06326950370279995,2024-10-03 13:38:21.524355,2024-10-03 13:41:26.257545,0 days 00:03:04.733190,0.1747987344644999,80,0.2,30,5.2233752968266953e-05,128,0.0005199572837939938,adadelta,0.8312523157667839,COMPLETE
4,0.012981120310314691,2024-10-03 13:38:21.524332,2024-10-03 13:41:22.821738,0 days 00:03:01.297406,0.03922852229237247,80,0.1,50,1.2519575939166796e-06,192,0.00462814702512714,adam,0.49754957232433744,COMPLETE
5,0.016676792184845714,2024-10-03 13:38:21.524398,2024-10-03 13:43:40.046663,0 days 00:05:18.522265,0.025024260724605372,64,0.1,50,1.6306776247868325e-06,192,0.0006955166086398702,adam,0.1429415946128138,COMPLETE
6,0.08382714805655755,2024-10-03 13:39:15.009488,2024-10-03 13:41:18.346986,0 days 00:02:03.337498,0.01580000233955724,96,0.4,30,2.4483393861973945e-05,192,0.002664270940432081,adadelta,0.6719706446272078,COMPLETE
7,0.07215041458081228,2024-10-03 13:39:16.131299,2024-10-03 13:40:07.652792,0 days 00:00:51.521493,0.02008759393103966,128,0.1,10,0.0002486522083386195,64,0.003483267891183569,adam,0.20176893251055775,COMPLETE
8,0.09727591531169757,2024-10-03 13:40:07.662429,2024-10-03 13:41:13.229192,0 days 00:01:05.566763,0.15148219799766297,80,0.30000000000000004,50,6.7735488852829545e-06,192,0.00048235073436853646,sgd,0.3903791435965128,COMPLETE
9,0.05850513904495825,2024-10-03 13:41:13.238582,2024-10-03 13:42:06.889791,0 days 00:00:53.651209,0.08749288887111024,96,0.2,10,0.000659568759381318,128,0.0012194336160464294,adam,0.4764349989286313,COMPLETE
10,0.09753270439118572,2024-10-03 13:41:18.357209,2024-10-03 13:42:08.727085,0 days 00:00:50.369876,0.02136132348096853,80,0.4,30,5.8580255864754824e-05,192,0.001618870325452571,sgd,0.7762853349248526,COMPLETE
11,0.0725766590350827,2024-10-03 13:41:22.873960,2024-10-03 13:44:30.715410,0 days 00:03:07.841450,0.138538378505371,80,0.2,30,3.4932547206634446e-06,192,0.00022029798330637976,adadelta,0.44968405622865937,COMPLETE
12,0.08676875675107183,2024-10-03 13:41:26.273642,2024-10-03 13:43:41.388363,0 days 00:02:15.114721,0.08399469864264296,80,0.4,50,6.727714545410204e-06,128,0.0014360307695337887,adadelta,0.47226311905300944,COMPLETE
13,0.08702149272836109,2024-10-03 13:42:06.899993,2024-10-03 13:43:58.300098,0 days 00:01:51.400105,0.05826605932186779,112,0.30000000000000004,30,1.3453205357799383e-06,128,0.0004369133833734986,adadelta,0.3616077315931159,COMPLETE
14,0.1074084243607152,2024-10-03 13:42:08.737052,2024-10-03 13:43:33.432178,0 days 00:01:24.695126,0.06277993341063846,64,0.30000000000000004,30,7.851123803447327e-06,128,0.00722304368390153,adadelta,0.2640661143860123,COMPLETE
15,0.004983600701837498,2024-10-03 13:43:33.441398,2024-10-03 13:48:35.019765,0 days 00:05:01.578367,0.03300402347993378,64,0.1,50,1.4770734551768314e-06,192,0.00012258255711203734,adam,0.7501475690259274,COMPLETE
16,0.004393777699527291,2024-10-03 13:43:40.066722,2024-10-03 13:49:06.966162,0 days 00:05:26.899440,0.03525803240341591,64,0.1,50,1.068170271494755e-06,192,0.00011353357805160396,adam,0.759238542236037,COMPLETE
17,0.005934221563697618,2024-10-03 13:43:41.400093,2024-10-03 13:48:43.839622,0 days 00:05:02.439529,0.03439077194826651,64,0.1,50,1.0597917847121049e-06,192,0.00012504233702164544,adam,0.652656695304312,COMPLETE
18,0.0047192424423642765,2024-10-03 13:44:24.511708,2024-10-03 13:49:50.238336,0 days 00:05:25.726628,0.02849907254497676,64,0.1,50,1.049388875238416e-06,192,0.00010491214992920299,adam,0.7226769136757739,COMPLETE
19,0.022831783073178267,2024-10-03 13:44:30.727054,2024-10-03 13:47:43.506560,0 days 00:03:12.779506,0.02922844571943312,64,0.1,50,1.2724304350572368e-06,192,0.006218476622891016,adam,0.06461562661092854,COMPLETE
20,0.0042380070259051515,2024-10-03 13:47:43.518674,2024-10-03 13:52:26.256794,0 days 00:04:42.738120,0.028795339006028403,64,0.1,50,2.047362659560263e-05,192,0.00011831128237072922,adam,0.9505017025652841,COMPLETE
21,0.007425037000898777,2024-10-03 13:48:43.849769,2024-10-03 13:51:58.770582,0 days 00:03:14.920813,0.0331155743458895,112,0.2,50,3.269860213828995e-05,64,0.00010906056732074206,adam,0.9502422304530139,COMPLETE
22,0.008352420976606968,2024-10-03 13:49:06.978244,2024-10-03 13:52:25.791241,0 days 00:03:18.812997,0.01442483697080735,112,0.2,50,0.00012404578956189827,64,0.00010562440815123724,adam,0.9753865769380465,COMPLETE
23,0.09606490110897709,2024-10-03 13:49:50.559120,2024-10-03 13:50:31.387972,0 days 00:00:40.828852,0.013649994949512663,112,0.2,30,1.8840441517761207e-05,128,0.00011001457638220789,sgd,0.5591446764388684,COMPLETE
24,0.00535002523408719,2024-10-03 13:50:31.398663,2024-10-03 13:55:04.512106,0 days 00:04:33.113443,0.05501268326285724,64,0.1,50,2.992271232329078e-06,192,0.0001727792635505874,adam,0.7968464449598196,COMPLETE
25,0.005399430927605139,2024-10-03 13:51:58.781605,2024-10-03 13:56:15.851509,0 days 00:04:17.069904,0.05657992906170903,64,0.1,50,3.455029576934646e-06,192,0.00017842139433558142,adam,0.8127490804178192,COMPLETE
