number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_epochs,params_lambda,params_latent_dim,params_learning_rate,user_attrs_relative_deterioration,user_attrs_test_r2,state
0,0.014145094830914933,2024-10-19 11:43:08.584573,2024-10-19 11:44:00.781848,0 days 00:00:52.197275,0.0931497489035992,96,0.3,50,0.0004125103889955268,32,0.0004098559909737279,0.9940950429399599,0.8285287787175584,COMPLETE
1,0.015153539969854883,2024-10-19 11:43:08.585521,2024-10-19 11:44:16.551653,0 days 00:01:07.966132,0.0207786737419948,64,0.1,30,9.89292677013917e-05,48,0.0006873068198455188,0.9929422774521262,0.8163040943561324,COMPLETE
2,0.01395370048708946,2024-10-19 11:43:08.585531,2024-10-19 11:44:01.551497,0 days 00:00:52.965966,0.03774600006446177,96,0.1,30,1.7464184104887654e-05,64,0.000442608030747242,0.9949024505012927,0.8308489202418541,COMPLETE
3,0.01419352574353728,2024-10-19 11:43:08.584647,2024-10-19 11:45:32.120843,0 days 00:02:23.536196,0.028575123603289343,64,0.2,50,2.19278715091212e-05,96,0.0006888203863958738,0.9924501766058655,0.8279416841922516,COMPLETE
4,0.009558298474593052,2024-10-19 11:43:08.585502,2024-10-19 11:44:16.324611,0 days 00:01:07.739109,0.0980640788292716,128,0.1,50,2.513099315850459e-05,24,0.0006579388068367389,0.995973509849767,0.8841313450060089,COMPLETE
5,0.014358654119807987,2024-10-19 11:43:08.585535,2024-10-19 11:44:16.130747,0 days 00:01:07.545212,0.1477068901938392,64,0.1,30,3.454177005852722e-05,8,0.00013305824358193357,0.9929678141997912,0.8259399468630934,COMPLETE
6,0.01638489162114154,2024-10-19 11:43:08.585503,2024-10-19 11:44:11.176609,0 days 00:01:02.591106,0.024311987160315626,64,0.3,10,5.778842055081992e-05,48,0.0005850237141713834,0.99187915725076,0.801377268202036,COMPLETE
7,0.024663993210001244,2024-10-19 11:44:00.819409,2024-10-19 11:45:13.640889,0 days 00:01:12.821480,0.011068712005006812,64,0.3,50,1.310181373541873e-05,88,0.0002963165330549435,0.9912822769353724,0.7010154341151766,COMPLETE
8,0.024624299150825653,2024-10-19 11:44:01.584354,2024-10-19 11:45:10.407659,0 days 00:01:08.823305,0.045039215081741336,64,0.1,10,0.0009319599139938759,72,0.0005657247108039883,0.991529249994443,0.7014966177965769,COMPLETE
9,0.012734992760196502,2024-10-19 11:44:11.188257,2024-10-19 11:45:10.883540,0 days 00:00:59.695283,0.07450856472770404,96,0.3,50,0.00010134837284230074,80,0.0006190983891113179,0.9949932350940828,0.8456224728277272,COMPLETE
10,0.028234696741918995,2024-10-19 11:44:16.147704,2024-10-19 11:45:15.075671,0 days 00:00:58.927967,0.2622987027573083,96,0.2,30,3.72042976401688e-05,128,0.0007648711696022637,0.9930684171076574,0.6577302598003812,COMPLETE
11,0.015447880025093135,2024-10-19 11:44:16.337455,2024-10-19 11:45:09.918130,0 days 00:00:53.580675,0.18274682823092867,128,0.1,10,0.000812096169218909,56,0.00020396806075248863,0.9958197899697852,0.8127360130284811,COMPLETE
12,0.012701414049605106,2024-10-19 11:44:16.570335,2024-10-19 11:45:36.414259,0 days 00:01:19.843924,0.05015159400965812,64,0.1,30,0.0002745092338488495,8,0.00040817942104645394,0.9934820048410115,0.8460295243592314,COMPLETE
13,0.015536252737895663,2024-10-19 11:45:09.928148,2024-10-19 11:45:59.971042,0 days 00:00:50.042894,0.12075757375296114,128,0.1,50,0.0002001605360871656,40,0.00014730860246788712,0.9956302352667397,0.8116647316285732,COMPLETE
14,0.011263178776010114,2024-10-19 11:45:10.417927,2024-10-19 11:45:59.226969,0 days 00:00:48.809042,0.029593141527634852,128,0.2,30,2.9838776570254985e-05,24,0.0001655108302436949,0.9961507235671905,0.8634642578695241,COMPLETE
15,0.013063284563281157,2024-10-19 11:45:10.894352,2024-10-19 11:46:02.708259,0 days 00:00:51.813907,0.016868079730256055,96,0.3,50,9.724040093626335e-05,72,0.000740351777560789,0.9951167218590364,0.8416428178954103,COMPLETE
16,0.01583979740776847,2024-10-19 11:45:13.663553,2024-10-19 11:46:04.584375,0 days 00:00:50.920822,0.24839254077370862,128,0.2,50,0.00021758885910547096,120,0.0009021322875962707,0.9949967594440278,0.8079850691109979,COMPLETE
17,0.00876283852664829,2024-10-19 11:45:15.085678,2024-10-19 11:46:51.540534,0 days 00:01:36.454856,0.08614011923072108,128,0.2,50,0.00021410112180902306,104,0.0008099479976007305,0.9965306955886989,0.8937741569055269,COMPLETE
18,0.008479491579711777,2024-10-19 11:45:32.139013,2024-10-19 11:46:30.012210,0 days 00:00:57.873197,0.09891640071306249,128,0.2,50,0.00023546252182589578,8,0.00033577931509724785,0.9967090275633411,0.8972089763689968,COMPLETE
19,0.00883529746432031,2024-10-19 11:45:36.424032,2024-10-19 11:46:32.629188,0 days 00:00:56.205156,0.08367394152025301,128,0.2,30,0.00024154523567175638,8,0.00027860903975053975,0.9966563801892699,0.8928957872173792,COMPLETE
20,0.01276972520481601,2024-10-19 11:45:59.237241,2024-10-19 11:46:51.673172,0 days 00:00:52.435931,0.09291432803927371,128,0.2,50,6.917044335940898e-05,24,0.00010482271516109817,0.9959485689040696,0.8452014353749406,COMPLETE
21,0.01106081548093384,2024-10-19 11:45:59.981881,2024-10-19 11:46:51.633109,0 days 00:00:51.651228,0.012560930184271714,128,0.2,30,1.007232588055626e-05,24,0.0009772002912345925,0.9956975560617061,0.8659173684187464,COMPLETE
22,0.008200619565231397,2024-10-19 11:46:02.718910,2024-10-19 11:48:07.476766,0 days 00:02:04.757856,0.0704452850924976,128,0.2,30,1.104291851626826e-05,32,0.0009996702567994275,0.996521337826239,0.9005895493150287,COMPLETE
23,0.010026858765459024,2024-10-19 11:46:04.595485,2024-10-19 11:46:57.284926,0 days 00:00:52.689441,0.07579527739973607,128,0.2,30,1.0051997440779608e-05,24,0.0002359257482567144,0.9961977614376827,0.8784513120136781,COMPLETE
24,0.008644551803389943,2024-10-19 11:46:30.064534,2024-10-19 11:47:34.960520,0 days 00:01:04.895986,0.06454815739012318,128,0.2,50,1.0368049772463494e-05,24,0.00029015788641556495,0.9967094847521918,0.8952080652066772,COMPLETE
