number,value,datetime_start,datetime_complete,duration,params_batch_size,params_drop_out_rate,params_epochs,params_kernel_size,params_latent_dim,params_learning_rate,params_optimizer,user_attrs_relative_deterioration,user_attrs_test_r2,state
0,0.07453222272864889,2024-10-05 08:30:37.614278,2024-10-05 08:31:22.211583,0 days 00:00:44.597305,64,0.2,10,3,128,0.0009436606126764151,sgd,0.6689877096532579,0.09649730815203517,COMPLETE
1,0.2480914042679359,2024-10-05 08:31:22.218442,2024-10-05 08:32:12.590443,0 days 00:00:50.372001,128,0.3,10,4,192,0.00020736688106663372,sgd,0.7946599694217845,-2.0074408540919837,COMPLETE
2,0.36882824159908456,2024-10-05 08:32:12.595647,2024-10-05 08:32:45.330071,0 days 00:00:32.734424,80,0.2,10,2,64,0.00014085976384194706,sgd,0.5677786298938858,-3.4710501970073917,COMPLETE
3,0.09113232030454138,2024-10-05 08:32:45.335284,2024-10-05 08:34:29.601940,0 days 00:01:44.266656,128,0.3,50,4,128,0.00027943107111059166,sgd,0.8515278913155471,-0.10473421689401285,COMPLETE
4,0.0721242182203819,2024-10-05 08:34:29.607554,2024-10-05 08:36:41.676601,0 days 00:02:12.069047,96,0.3,30,3,96,0.0002273597636006416,adam,0.44634949831715404,0.12568788473153902,COMPLETE
5,0.11945008143714791,2024-10-05 08:36:41.682172,2024-10-05 08:37:16.371269,0 days 00:00:34.689097,112,0.2,50,2,64,0.00030155254708558947,sgd,0.8183804061465754,-0.44801088936849665,COMPLETE
6,0.03846645432061358,2024-10-05 08:37:16.376475,2024-10-05 08:39:38.009704,0 days 00:02:21.633229,64,0.1,30,3,192,0.00023026401190142583,adam,0.5058492041165317,0.5336977249282799,COMPLETE
7,0.04974350500870216,2024-10-05 08:39:38.015223,2024-10-05 08:41:55.357500,0 days 00:02:17.342277,80,0.1,30,3,128,0.000149509621324859,adam,0.5926299770705644,0.3969938231824708,COMPLETE
8,0.025120124199120967,2024-10-05 08:41:55.363383,2024-10-05 08:46:04.360254,0 days 00:04:08.996871,128,0.3,50,4,160,0.0004257115563001086,adam,0.40446311018659276,0.6954860729688528,COMPLETE
9,0.09495892349494936,2024-10-05 08:46:04.365842,2024-10-05 08:50:09.745313,0 days 00:04:05.379471,96,0.2,50,4,96,0.00020299745562221195,sgd,0.6583904462318352,-0.15112148613935483,COMPLETE
10,0.2927037750830835,2024-10-05 08:50:09.750848,2024-10-05 08:51:14.446756,0 days 00:01:04.695908,112,0.3,50,4,160,0.0005592132276025884,adadelta,0.8960427268908572,-2.548245832737978,COMPLETE
11,0.01582273360463462,2024-10-05 08:51:14.452024,2024-10-05 08:53:31.421466,0 days 00:02:16.969442,64,0.1,30,3,192,0.0005005944351746857,adam,0.3718785925245621,0.8081919218184601,COMPLETE
12,0.03147671525236082,2024-10-05 08:53:31.426982,2024-10-05 08:54:57.884141,0 days 00:01:26.457159,112,0.1,30,2,160,0.00047569400459047793,adam,0.47423227544366975,0.6184295071330494,COMPLETE
13,0.028544404799123537,2024-10-05 08:54:57.889609,2024-10-05 08:57:09.273279,0 days 00:02:11.383670,80,0.1,30,3,160,0.00046266557593474034,adam,0.41254534092703316,0.6539758827923312,COMPLETE
14,0.31994069060215297,2024-10-05 08:57:09.279143,2024-10-05 08:58:17.534393,0 days 00:01:08.255250,64,0.2,50,4,192,0.000712048099955967,adadelta,0.8539348564441265,-2.8784201598703922,COMPLETE
15,0.0520956356438009,2024-10-05 08:58:17.541014,2024-10-05 09:00:16.808615,0 days 00:01:59.267601,128,0.3,30,3,160,0.00039144279033185344,adam,0.49856005254481667,0.36848056700162557,COMPLETE
16,0.010125061275817719,2024-10-05 09:00:16.814851,2024-10-05 09:04:34.208344,0 days 00:04:17.393493,96,0.1,50,4,192,0.0006914814233341137,adam,0.37882556630251746,0.8772608707628069,COMPLETE
17,0.04248189403580147,2024-10-05 09:04:34.214241,2024-10-05 09:05:04.355584,0 days 00:00:30.141343,80,0.1,10,2,192,0.0007846912352227954,adam,0.5320057958042368,0.4850213208334512,COMPLETE
18,0.3837237816378354,2024-10-05 09:05:04.361165,2024-10-05 09:06:18.670705,0 days 00:01:14.309540,96,0.1,30,3,192,0.0006593579317468139,adadelta,0.7095601651703733,-3.6516185475654845,COMPLETE
19,0.025071025414496316,2024-10-05 09:06:18.676531,2024-10-05 09:08:19.475319,0 days 00:02:00.798788,96,0.1,30,3,192,0.000953473771077518,adam,0.2461684936818381,0.6960812636454592,COMPLETE
20,0.004833316048031134,2024-10-05 09:08:19.481709,2024-10-05 09:12:44.801716,0 days 00:04:25.320007,64,0.1,50,4,96,0.0005734877682080475,adam,0.5394681756278643,0.9414090456439651,COMPLETE
21,0.005557676604039417,2024-10-05 09:12:44.806853,2024-10-05 09:17:10.421710,0 days 00:04:25.614857,64,0.1,50,4,96,0.0005666921993981622,adam,0.5470529561189413,0.9326281225980405,COMPLETE
22,0.015591904388270395,2024-10-05 09:17:10.426865,2024-10-05 09:21:37.016518,0 days 00:04:26.589653,64,0.1,50,4,96,0.0005921371429367286,adam,0.3644148154734711,0.8109901050834558,COMPLETE
23,0.009903659906728663,2024-10-05 09:21:37.021855,2024-10-05 09:25:57.585129,0 days 00:04:20.563274,80,0.1,50,4,96,0.0003714035793588867,adam,0.5141434739344916,0.879944766742658,COMPLETE
24,0.025505712844871107,2024-10-05 09:25:57.591297,2024-10-05 09:30:20.567670,0 days 00:04:22.976373,80,0.2,50,4,96,0.00035890089758363984,adam,0.34430377856750777,0.6908118479608369,COMPLETE
25,0.5494424831833646,2024-10-05 09:30:20.572893,2024-10-05 09:31:23.037870,0 days 00:01:02.464977,64,0.1,50,4,64,0.00035149878218712686,adadelta,0.6472965638688016,-5.660511982570779,COMPLETE
26,0.011546734365276317,2024-10-05 09:31:23.043765,2024-10-05 09:35:42.816215,0 days 00:04:19.772450,80,0.1,50,4,96,0.0005443897488629136,adam,0.4126364659541389,0.8600269091791022,COMPLETE
27,0.011964508894399838,2024-10-05 09:35:42.822473,2024-10-05 09:40:13.907407,0 days 00:04:31.084934,64,0.1,50,4,128,0.0002669018002421773,adam,0.5711439859200939,0.8549625169225765,COMPLETE
