number,value,datetime_start,datetime_complete,duration,params_batch_size,params_drop_out_rate,params_epochs,params_latent_dim,params_learning_rate,params_lstm_units,params_optimizer,user_attrs_relative_deterioration,user_attrs_test_r2,state
0,0.0704283078534633,2024-10-11 13:59:17.009744,2024-10-11 13:59:44.787855,0 days 00:00:27.778111,24.0,0.3,50.0,16,0.00011116916935852555,32,adam,0.02975170381083621,0.14624623554340677,COMPLETE
1,0.08563184478998717,2024-10-11 13:59:44.794534,2024-10-11 14:00:16.797553,0 days 00:00:32.003019,8.0,0.2,10.0,8,0.00011901017352678643,128,sgd,0.021632574371255275,-0.038055748818039525,COMPLETE
2,0.08856220847728653,2024-10-11 14:00:16.802970,2024-10-11 14:00:59.637007,0 days 00:00:42.834037,24.0,0.3,30.0,16,0.00010127790740423381,128,sgd,0.01670721523786795,-0.07357852517757002,COMPLETE
3,0.2866762563292907,2024-10-11 14:00:59.642590,2024-10-11 14:01:21.957538,0 days 00:00:22.314948,8.0,0.1,10.0,32,0.0007248834582035827,64,adadelta,0.01461171440184677,-2.4751783832531715,COMPLETE
4,0.2857342293937627,2024-10-11 14:01:21.962736,2024-10-11 14:04:10.989711,0 days 00:02:49.026975,8.0,0.1,50.0,32,0.00011508362925317406,96,adadelta,0.007910744894463884,-2.4637588409279467,COMPLETE
5,0.18877873952223356,2024-10-11 14:04:10.994991,2024-10-11 14:04:53.176649,0 days 00:00:42.181658,8.0,0.3,30.0,32,0.0009485650409250289,32,adadelta,0.01959689568004311,-1.2884343586930584,COMPLETE
6,0.312424238028415,2024-10-11 14:04:53.182302,2024-10-11 14:05:29.440176,0 days 00:00:36.257874,32.0,0.2,30.0,16,0.0002144328182998945,96,adadelta,0.007084301074400391,-2.78730339339149,COMPLETE
7,0.26204322168712,2024-10-11 14:05:29.446198,2024-10-11 14:05:46.530995,0 days 00:00:17.084797,24.0,0.1,30.0,32,0.0007926662176059626,32,adadelta,0.011605338792138941,-2.1765691067176607,COMPLETE
8,0.08252519322378396,2024-10-11 14:05:46.536269,2024-10-11 14:06:43.382431,0 days 00:00:56.846162,16.0,0.2,30.0,32,0.00015732550725160364,128,sgd,0.011751729223985216,-0.0003959561815403134,COMPLETE
9,0.08249275309861889,2024-10-11 14:06:43.387959,2024-10-11 14:07:34.506194,0 days 00:00:51.118235,8.0,0.2,50.0,8,0.00041677189349702276,96,sgd,0.011385868505129803,-2.7069352750430653e-06,COMPLETE
10,0.04573995156113014,2024-10-11 14:07:34.511924,2024-10-11 14:08:11.021650,0 days 00:00:36.509726,32.0,0.3,50.0,24,0.0003190101090893298,64,adam,-0.0929970292291576,0.44552613825923715,COMPLETE
11,0.04441202050959342,2024-10-11 14:08:11.027243,2024-10-11 14:08:47.606488,0 days 00:00:36.579245,32.0,0.3,50.0,24,0.00033214979903353796,64,adam,0.012705646773244868,0.46162372982067534,COMPLETE
12,0.036724568949726165,2024-10-11 14:08:47.611915,2024-10-11 14:09:23.903193,0 days 00:00:36.291278,32.0,0.3,50.0,24,0.0003473438931428034,64,adam,0.10086663737498762,0.5548133989799867,COMPLETE
13,0.04671964658068671,2024-10-11 14:09:23.908626,2024-10-11 14:09:54.633253,0 days 00:00:30.724627,32.0,0.3,50.0,24,0.0004874460914449164,64,adam,-0.004434996461628554,0.43364997175093356,COMPLETE
14,0.04627649791548692,2024-10-11 14:09:54.638607,2024-10-11 14:10:30.858931,0 days 00:00:36.220324,32.0,0.3,50.0,24,0.0002470453341833222,64,adam,0.020514001268939097,0.4390219571451507,COMPLETE
15,0.025828071761268227,2024-10-11 14:10:30.864776,2024-10-11 14:11:30.085445,0 days 00:00:59.220669,16.0,0.3,50.0,24,0.00047956956866796244,64,adam,0.04038402785395738,0.6869041133187834,COMPLETE
16,0.014636581749558543,2024-10-11 14:11:30.090781,2024-10-11 14:12:57.700662,0 days 00:01:27.609881,16.0,0.2,50.0,24,0.0005487313671690597,96,adam,0.10961669419928037,0.8225708220412996,COMPLETE
17,0.03965339836391453,2024-10-11 14:12:57.706010,2024-10-11 14:13:16.776171,0 days 00:00:19.070161,16.0,0.2,10.0,16,0.0005592320783858845,96,adam,0.159004981812505,0.5193092215543814,COMPLETE
18,0.02321424447594434,2024-10-11 14:13:16.781416,2024-10-11 14:14:11.068290,0 days 00:00:54.286874,16.0,0.2,30.0,24,0.000588667036635081,96,adam,0.14080598007053313,0.7185897373597263,COMPLETE
19,0.017747733443323387,2024-10-11 14:14:11.073755,2024-10-11 14:15:05.331935,0 days 00:00:54.258180,16.0,0.2,30.0,16,0.0006402300712322231,96,adam,0.19425736569014343,0.7848564774644886,COMPLETE
20,0.041340414888519895,2024-10-11 16:08:08.827870,2024-10-11 16:08:36.396214,0 days 00:00:27.568344,16.0,0.2,10.0,8,0.000684151531442493,128,adam,-0.031698051912838573,0.49885868465409033,COMPLETE
21,0.02010603984503188,2024-10-11 16:08:36.402663,2024-10-11 16:09:30.641048,0 days 00:00:54.238385,16.0,0.2,30.0,16,0.0005981571643262189,96,adam,0.18983734611529215,0.7562683567277257,COMPLETE
22,0.014989921075053503,2024-10-11 16:09:30.647673,2024-10-11 16:10:25.282126,0 days 00:00:54.634453,16.0,0.2,30.0,16,0.0009450527310531797,96,adam,0.24348084166276754,0.8182875332833255,COMPLETE
23,0.01350938988596647,2024-10-11 16:10:25.287599,2024-10-11 16:11:06.371330,0 days 00:00:41.083731,24.0,0.1,30.0,16,0.0009899882721620531,96,adam,0.21327299798909952,0.8362349909832665,COMPLETE
24,0.015195828878608974,2024-10-11 16:11:06.377693,2024-10-11 16:11:46.940107,0 days 00:00:40.562414,24.0,0.1,30.0,16,0.0008160447406567104,96,adam,0.1719181616974943,0.8157914551043319,COMPLETE
25,0.010572240036690675,2024-10-11 16:11:46.946169,2024-10-11 16:12:45.276184,0 days 00:00:58.330015,24.0,0.1,30.0,8,0.0009906391506556934,128,adam,0.26736215861112567,0.8718400313004323,COMPLETE
26,0.03798349505610968,2024-10-11 16:12:45.281765,2024-10-11 16:13:06.253169,0 days 00:00:20.971404,24.0,0.1,10.0,8,0.0009918060863826816,128,adam,0.06684118966129843,0.539552306739436,COMPLETE
27,0.00862423640069567,2024-10-11 16:13:06.258852,2024-10-11 16:14:03.798658,0 days 00:00:57.539806,24.0,0.1,30.0,8,0.0008276860445106419,128,adam,0.4134353964905861,0.8954543348112625,COMPLETE
28,0.08249247553998146,2024-10-11 16:14:03.804028,2024-10-11 16:14:36.800999,0 days 00:00:32.996971,24.0,0.1,30.0,8,0.0008257466655254338,128,sgd,0.011394226357592305,6.577165078125446e-07,COMPLETE
29,0.013590049353038574,2024-10-11 16:14:36.806355,2024-10-11 16:15:35.114384,0 days 00:00:58.308029,24.0,0.1,30.0,8,0.000836774138482395,128,adam,0.059953027905987194,0.8352572119374437,COMPLETE
30,0.01319823204944751,2024-10-11 16:15:35.119710,2024-10-11 16:16:34.981375,0 days 00:00:59.861665,24.0,0.1,30.0,8,0.0007177770111334203,128,adam,0.2562365234318517,0.8400069426652658,COMPLETE
31,0.015451455379844027,2024-10-11 16:16:34.986907,2024-10-11 16:17:35.534313,0 days 00:01:00.547406,24.0,0.1,30.0,8,0.0007107294202745615,128,adam,0.126527541625781,0.812692671470649,COMPLETE
32,0.01070560690271956,2024-10-11 16:17:35.539817,2024-10-11 16:18:39.120404,0 days 00:01:03.580587,24.0,0.1,30.0,8,0.0009910212443665263,128,adam,0.2029751181973911,0.8702233168372246,COMPLETE
33,0.00944797672087875,2024-10-11 16:18:39.125838,2024-10-11 16:19:37.824697,0 days 00:00:58.698859,24.0,0.1,30.0,8,0.0008653803175171011,128,adam,0.37247973533443174,0.8854686994790286,COMPLETE
34,0.08249291116379091,2024-10-11 16:19:37.831281,2024-10-11 16:20:10.886465,0 days 00:00:33.055184,24.0,0.1,30.0,8,0.0008507108378269534,128,sgd,0.011448409434421537,-4.6230502541710905e-06,COMPLETE
35,0.03502565749181098,2024-10-11 16:20:10.891854,2024-10-11 16:20:31.648676,0 days 00:00:20.756822,24.0,0.1,10.0,8,0.0007667689424749393,128,adam,0.03334817522395827,0.5754081299465663,COMPLETE
36,0.20947815490070987,2024-10-11 16:20:31.654288,2024-10-11 16:21:34.752614,0 days 00:01:03.098326,24.0,0.1,30.0,8,0.0008917703429090985,128,adadelta,0.017762297170813752,-1.539359083992359,COMPLETE
37,0.057515904323402645,2024-10-11 16:21:34.758027,2024-10-11 16:21:56.061009,0 days 00:00:21.302982,24.0,0.1,10.0,8,0.0001347845472191448,128,adam,0.10987977394170625,0.3027743910247084,COMPLETE
38,0.2764054554218299,2024-10-11 16:21:56.066185,2024-10-11 16:23:01.068103,0 days 00:01:05.001918,24.0,0.1,30.0,8,0.00042320759295090077,128,adadelta,0.010166815364873698,-2.35067255305527,COMPLETE
39,0.08250518637698205,2024-10-11 16:23:01.073874,2024-10-11 16:23:43.933148,0 days 00:00:42.859274,24.0,0.1,30.0,8,0.00025793080379774366,128,sgd,0.011799987316035786,-0.00015342698706399815,COMPLETE
40,0.012622150817549325,2024-10-11 16:23:43.938372,2024-10-11 16:24:33.767734,0 days 00:00:49.829362,32.0,0.1,30.0,8,0.000672299583554563,128,adam,0.2830717186022116,0.846990377811673,COMPLETE
41,0.014388019194043426,2024-10-11 16:24:33.773160,2024-10-11 16:25:23.966163,0 days 00:00:50.193003,32.0,0.1,30.0,8,0.0006551888260037791,128,adam,0.24607301204343415,0.825583974336759,COMPLETE
42,0.01426110964567231,2024-10-11 16:25:23.971888,2024-10-11 16:26:15.229833,0 days 00:00:51.257945,32.0,0.1,30.0,8,0.0009046188069909602,128,adam,0.21622613536675053,0.8271224111950286,COMPLETE
43,0.013490328778381964,2024-10-11 16:26:15.235992,2024-10-11 16:27:04.349737,0 days 00:00:49.113745,32.0,0.1,30.0,8,0.0007486398849252072,128,adam,0.21858653155989,0.8364660556339868,COMPLETE
44,0.21640916142172575,2024-10-11 16:27:04.355486,2024-10-11 16:28:08.628971,0 days 00:01:04.273485,24.0,0.1,30.0,8,0.000984793102384175,128,adadelta,0.01742376311197484,-1.6233788920658752,COMPLETE
45,0.014202978145444007,2024-10-11 16:28:08.634297,2024-10-11 16:28:59.463273,0 days 00:00:50.828976,32.0,0.1,30.0,16,0.000768342635847976,128,adam,0.16378897562696995,0.8278270992482569,COMPLETE
46,0.033175039703404206,2024-10-11 16:28:59.468870,2024-10-11 16:29:19.053119,0 days 00:00:19.584249,24.0,0.1,30.0,8,0.0008958528330589735,32,adam,0.14089600322815163,0.5978418920456074,COMPLETE
