number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_learning_rate,params_num_dec_steps (n_steps),params_num_feature_att (n_a),params_num_feature_dim (n_d),params_optimizer,params_sparsity reg (lambda_sparse),params_strength_feature_penalty (gamma),params_virtual_batch_size,user_attrs_relative_deterioration,state
0,0.015432607384405422,2024-10-17 10:42:05.968282,2024-10-17 10:47:07.300832,0 days 00:05:01.332550,88,50,0.005822907479213866,5,16,24,RMSprop,0.0002387672650219422,1.414716141281987,64,0.07596167501153803,COMPLETE
1,0.011564275553833983,2024-10-17 10:42:05.968279,2024-10-17 10:46:07.054258,0 days 00:04:01.085979,112,50,0.004965900524836486,5,8,60,Adam,0.001058600046490064,1.2246436809668455,104,0.32823275826302784,COMPLETE
2,0.01400340749373474,2024-10-17 10:42:05.968272,2024-10-17 10:43:56.168896,0 days 00:01:50.200624,128,30,0.008159186445719203,4,40,64,Adam,0.0044151761918826814,1.4623732652837158,88,0.32325790336283383,COMPLETE
3,0.015619627050034434,2024-10-17 10:42:05.968276,2024-10-17 10:45:44.160582,0 days 00:03:38.192306,120,50,0.001015138475186923,3,40,76,Adam,0.00010569403435610137,0.8371855503053318,48,0.36447472113328894,COMPLETE
4,0.04266626421065649,2024-10-17 10:42:05.968261,2024-10-17 10:44:25.061117,0 days 00:02:19.092856,104,50,0.00720619655941762,5,24,24,SGD,0.0013765946702257688,0.9405753671285559,120,0.19594536021471265,COMPLETE
5,0.10550302731612564,2024-10-17 10:43:56.177174,2024-10-17 10:45:50.226560,0 days 00:01:54.049386,88,50,0.001496069630997915,3,28,72,SGD,0.0007243805576694062,1.4326096294117303,120,0.29969632207028957,COMPLETE
6,0.0259012683256537,2024-10-17 10:44:25.069463,2024-10-17 10:45:10.226299,0 days 00:00:45.156836,80,10,0.005855771685562295,6,24,40,Adam,0.005179279365172308,1.2807895126278848,104,0.21265198833885668,COMPLETE
7,0.08304804971307041,2024-10-17 10:45:10.233074,2024-10-17 10:48:48.638753,0 days 00:03:38.405679,32,30,0.0015875187039812249,4,44,12,SGD,0.0004028071923024422,0.8529280990851363,32,0.3025931100836179,COMPLETE
8,1.567810445834496,2024-10-17 10:45:44.169434,2024-10-17 10:55:21.317773,0 days 00:09:37.148339,32,50,0.0013198473834587763,7,44,36,SGD,0.0002724417800184591,1.4445288953247148,128,0.26442260289800973,COMPLETE
9,0.296836870141996,2024-10-17 10:45:50.234385,2024-10-17 10:48:06.100634,0 days 00:02:15.866249,96,50,0.005692671203930468,6,36,56,SGD,0.00014092908881138712,0.8468875151187802,72,0.40522823555861526,COMPLETE
10,0.032321882485748805,2024-10-17 10:46:07.064388,2024-10-17 10:46:31.845278,0 days 00:00:24.780890,88,10,0.001256461878923546,3,16,88,RMSprop,0.0025695724610288097,0.9191638382911731,96,0.40297417065855196,COMPLETE
11,0.012368547682739962,2024-10-17 10:46:31.852173,2024-10-17 10:50:34.607782,0 days 00:04:02.755609,64,30,0.003204217142387067,5,28,36,Adam,0.0015136614613525878,1.0409602441551007,40,0.4529264796279378,COMPLETE
12,0.0259827529824287,2024-10-17 10:47:07.310074,2024-10-17 10:48:55.879420,0 days 00:01:48.569346,32,10,0.0013142171337078637,6,8,40,Adam,0.004707526227078746,0.8803514204754237,48,0.4469702512090693,COMPLETE
13,1.7968292820178433,2024-10-17 10:48:06.107895,2024-10-17 10:49:05.483796,0 days 00:00:59.375901,104,10,0.0037125671985201725,6,12,88,SGD,0.00017783942712780454,1.2198571166365584,72,0.39465760436062,COMPLETE
14,0.03840693299205809,2024-10-17 10:48:48.647607,2024-10-17 10:51:58.680900,0 days 00:03:10.033293,64,30,0.0005416040185345809,7,8,96,Adam,0.009792729431772026,1.1308223959903059,128,0.4467860753220295,COMPLETE
15,0.02037391041026212,2024-10-17 10:48:55.887080,2024-10-17 10:50:40.043605,0 days 00:01:44.156525,128,30,0.0028160282812772154,4,48,60,Adam,0.009966994529518465,1.129531486459264,96,0.3330287982296614,COMPLETE
16,0.016009483595680985,2024-10-17 10:49:05.491166,2024-10-17 10:50:48.688501,0 days 00:01:43.197335,128,30,0.0030326680436406728,4,48,60,Adam,0.009748693384523008,1.0834495577455734,96,0.3726578622103702,COMPLETE
17,0.013390717539612722,2024-10-17 10:50:34.615212,2024-10-17 10:53:49.202104,0 days 00:03:14.586892,64,30,0.0027180613455426044,7,48,44,Adam,0.0012894637476736374,1.0728027610699686,104,0.38159678747075465,COMPLETE
18,0.013227980622408963,2024-10-17 10:50:40.050486,2024-10-17 10:56:15.915054,0 days 00:05:35.864568,64,30,0.003610580829149467,7,32,44,Adam,0.0010597091769600788,1.0970171431653417,32,0.4087923568867147,COMPLETE
19,0.009382171177170573,2024-10-17 10:50:48.695735,2024-10-17 10:56:24.401744,0 days 00:05:35.706009,64,30,0.003937880774046917,7,32,44,Adam,0.0011962369777353849,1.0274891966154107,32,0.5347504198586263,COMPLETE
20,0.011793787573639572,2024-10-17 10:51:58.688476,2024-10-17 10:56:46.230033,0 days 00:04:47.541557,56,30,0.004161801428364027,5,20,44,Adam,0.0009577785412537951,1.0367704771645332,32,0.44195729525169936,COMPLETE
21,0.006283846227452549,2024-10-17 10:53:49.209331,2024-10-17 11:01:43.518192,0 days 00:07:54.308861,56,50,0.004057000212184145,5,32,48,RMSprop,0.000687114868612701,1.0088843312909863,40,0.4994884927048739,COMPLETE
22,0.01474771331017829,2024-10-17 10:55:21.326656,2024-10-17 11:00:11.861071,0 days 00:04:50.534415,56,30,0.004226982477596292,5,28,48,RMSprop,0.0006909804338908501,1.274315659253256,32,0.37324139767399683,COMPLETE
23,0.005808622471765078,2024-10-17 10:56:15.922788,2024-10-17 11:01:24.670051,0 days 00:05:08.747263,48,50,0.00455368611523857,5,20,28,RMSprop,0.0005902978695402564,0.9986916620845341,56,0.463813767373532,COMPLETE
24,0.0070221521556388345,2024-10-17 10:56:24.412737,2024-10-17 11:02:33.225928,0 days 00:06:08.813191,48,50,0.004724256474039537,6,20,72,RMSprop,0.0005801828711402003,1.2959914550808342,56,0.4434889285060351,COMPLETE
25,0.01444423837540214,2024-10-17 10:56:46.238970,2024-10-17 10:59:58.052378,0 days 00:03:11.813408,48,30,0.004637427015760143,5,20,52,RMSprop,0.0006165064616963345,1.0007420600461572,56,-0.08429225981447029,COMPLETE
26,0.022550546774847906,2024-10-17 10:59:58.059009,2024-10-17 11:06:05.760410,0 days 00:06:07.701401,48,30,0.002126329108018095,6,16,52,Adam,0.002027169647631722,1.252884871748556,40,0.3316605275923495,COMPLETE
27,0.010159851996350704,2024-10-17 11:00:11.868823,2024-10-17 11:05:57.253468,0 days 00:05:45.384645,48,50,0.0024884105669316066,6,16,28,Adam,0.002332193659163693,1.2224839718277627,48,0.4249826436891171,COMPLETE
28,0.01183851587052867,2024-10-17 11:01:24.677863,2024-10-17 11:07:06.471934,0 days 00:05:41.794071,48,50,0.0020535296007445514,6,12,28,RMSprop,0.002027294789748693,1.2069568452598358,56,0.3231953066501631,COMPLETE
29,0.008391485777612855,2024-10-17 11:01:43.526769,2024-10-17 11:07:28.786277,0 days 00:05:45.259508,48,50,0.002243683468436135,6,32,24,RMSprop,0.00048048876076683294,0.9735283220274591,48,0.35522623439774653,COMPLETE
30,0.01160365020763697,2024-10-17 11:02:33.233366,2024-10-17 11:08:19.163517,0 days 00:05:45.930151,48,50,0.0022604382696105488,6,20,28,RMSprop,0.00042842612821508024,1.3569752977449454,56,0.39039145667309705,COMPLETE
31,0.008559168775251718,2024-10-17 11:05:57.262784,2024-10-17 11:13:02.948248,0 days 00:07:05.685464,40,50,0.0021329517486588312,6,24,12,RMSprop,0.0004532958208506682,1.3574262862908957,64,0.45540757605297205,COMPLETE
32,0.0072205595968818734,2024-10-17 11:06:05.767977,2024-10-17 11:11:18.822765,0 days 00:05:13.054788,40,50,0.008727878585182374,4,24,72,RMSprop,0.0004151255193689219,1.37194775858184,64,0.4167970287410238,COMPLETE
33,0.00832578918551772,2024-10-17 11:07:06.480479,2024-10-17 11:12:18.554252,0 days 00:05:12.073773,40,50,0.006636767587896191,4,24,76,RMSprop,0.0004066925395492333,1.354951348992458,64,0.37646227296252677,COMPLETE
34,0.007234346143269433,2024-10-17 11:07:28.794920,2024-10-17 11:12:34.189653,0 days 00:05:05.394733,40,50,0.006644255722011348,4,24,12,RMSprop,0.00026723365806114667,1.3739693912761866,64,0.49130606362527346,COMPLETE
