number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,user_attrs_relative_deterioration,user_attrs_test_r2,state
0,0.022600420261208908,2024-10-16 10:08:43.338577,2024-10-16 10:08:43.461243,0 days 00:00:00.122666,0.8061945734301428,0.07841050318683207,4,30,0.6604581727699069,0.84845504865086,0.7260307046357733,COMPLETE
1,0.046684704661713046,2024-10-16 10:08:43.350544,2024-10-16 10:08:43.518001,0 days 00:00:00.167457,0.5282515011488067,0.04168948465690066,5,30,0.907330178249087,0.7801044597905292,0.4340735485167302,COMPLETE
2,0.07927529146292069,2024-10-16 10:08:43.408312,2024-10-16 10:08:43.518112,0 days 00:00:00.109800,0.738238030202482,0.005265105687232256,8,10,0.6413904833272117,0.7194408881961496,0.03900035968940385,COMPLETE
3,0.08113735382192692,2024-10-16 10:08:43.435603,2024-10-16 10:08:43.567623,0 days 00:00:00.132020,0.6283675618636739,0.002175689875032861,9,10,0.9436196753716095,0.7164514371500221,0.016427862960358475,COMPLETE
4,0.07120852369781673,2024-10-16 10:08:43.468960,2024-10-16 10:08:43.557035,0 days 00:00:00.088075,0.7078955756569478,0.019693012859872693,10,10,0.913993949594179,0.7310736443809676,0.13678821738980618,COMPLETE
5,0.081992642406958,2024-10-16 10:08:43.490437,2024-10-16 10:08:43.740518,0 days 00:00:00.250081,0.5782663127708139,0.0003525739518539013,7,30,0.7381027786383167,0.7152354247317374,0.00605978978889532,COMPLETE
6,0.06113534430676063,2024-10-16 10:08:43.527944,2024-10-16 10:08:43.605628,0 days 00:00:00.077684,0.8530229910320161,0.026472120292362723,6,10,0.9612578229919637,0.7526823899635544,0.25889841834840854,COMPLETE
7,0.06041768083221668,2024-10-16 10:08:43.528132,2024-10-16 10:08:43.700380,0 days 00:00:00.172248,0.5178636828963533,0.01291691780437974,4,50,0.9098459777741587,0.7536558493799204,0.26759815729826,COMPLETE
8,0.0715748375118993,2024-10-16 10:08:43.576935,2024-10-16 10:08:43.638862,0 days 00:00:00.061927,0.7499536557047813,0.025223550686961284,4,10,0.8579088202718811,0.7331733730248472,0.1323476478620509,COMPLETE
9,0.04411529625304374,2024-10-16 10:08:43.747634,2024-10-16 10:08:43.850176,0 days 00:00:00.102542,0.7061290770331026,0.02470961592777888,7,30,0.8660896504615244,0.7850656703309908,0.46522071317518054,COMPLETE
10,0.08214586871345055,2024-10-16 10:15:12.074392,2024-10-16 10:15:12.220764,0 days 00:00:00.146372,0.9704274698286051,0.00010291044681814325,3,50,0.5090878118666202,0.7150481746474259,0.004202333036505634,COMPLETE
11,0.08214199876228834,2024-10-16 10:15:12.116013,2024-10-16 10:15:12.332463,0 days 00:00:00.216450,0.9968873392490843,0.00010397281313592979,3,50,0.5045241729222104,0.7150554388166273,0.00424924578329311,COMPLETE
12,0.07955539339680073,2024-10-16 10:15:12.152709,2024-10-16 10:15:12.421412,0 days 00:00:00.268703,0.9902433523973413,0.0008949237602688271,3,50,0.5023415368484786,0.7196419502587671,0.035604877279415637,COMPLETE
13,0.021978842202365262,2024-10-16 10:15:12.189309,2024-10-16 10:15:12.491693,0 days 00:00:00.302384,0.9338504774284575,0.0996869121751542,3,50,0.525363815864041,0.8515595938424914,0.7335656664120173,COMPLETE
14,0.011354561106262056,2024-10-16 10:15:12.228418,2024-10-16 10:15:12.491967,0 days 00:00:00.263549,0.9175916691082207,0.08458121783378458,6,30,0.765981348148244,0.8875176896440283,0.8623564929546018,COMPLETE
15,0.011605773650683457,2024-10-16 10:15:12.228450,2024-10-16 10:15:12.533043,0 days 00:00:00.304593,0.8487372925403328,0.08418740942363986,6,30,0.7777362305751656,0.8857068954854821,0.8593112166727304,COMPLETE
16,0.012534689218464316,2024-10-16 10:15:12.340799,2024-10-16 10:15:12.594993,0 days 00:00:00.254194,0.8652068365869225,0.07639530078740367,6,30,0.7735659983358132,0.8825166409597948,0.8480506144088603,COMPLETE
17,0.013147664066789126,2024-10-16 10:15:12.430293,2024-10-16 10:15:12.787208,0 days 00:00:00.356915,0.8428539729788888,0.07348695757065342,6,30,0.7913633576258702,0.8792018106309178,0.8406199434155521,COMPLETE
