Nb,Cr,V,W,Zr,PROP LT (K),PROP ST (K),PROP 500C CTE (1/K),PROP 1000C CTE (1/K),PROP 1500C CTE (1/K),EQ 1273K THCD (W/mK),EQ 1273K Density (g/cc),EQ 1273K MAX BCC,EQ 1273K SUM BCC,EQ 1523K THCD (W/mK),EQ 1523K Density (g/cc),EQ 1523K MAX BCC,EQ 1523K SUM BCC,EQ 1773K MAX BCC,EQ 1773K SUM BCC,EQ 2023K MAX BCC,EQ 2023K SUM BCC,EQ 2273K MAX BCC,EQ 2273K SUM BCC,EQ 2523K MAX BCC,EQ 2523K SUM BCC,EQ 2773K MAX BCC,EQ 2773K SUM BCC,EQ 3023K MAX BCC,EQ 3023K SUM BCC,EQ 2/3*ST THCD (W/mK),EQ 2/3*ST Density (g/cc),Pugh_Ratio_PRIOR,YS 1000C PRIOR,YS 1500C PRIOR,SCHEIL ST,SCHEIL LT,Kou Criteria,SCHEIL BCC_B2,SCHEIL BCC_B2#2,SCHEIL MAX BCC,1500 Min Creep CB [1/s]
0.75,0.05,0.1,0.0,0.1,2478.521803,2148.938047,8.01e-06,8.57e-06,9.21e-06,1.417707165,7.938273999,0.941828981,0.941828981,1.499799558,7.779959862,1.0,1.0,1.0,1.0,1.0,1.0,0.788929403,0.788929403,0.0,0.0,0.0,0.0,0.0,0.0,1.499046699,7.80150161,3.886075949,187.6938098,92.32604948,2476.213294,1533.735169,1639.703015,0.959810399,0.0,0.959810399,8.16e-14
0.75,0.05,0.15,0.0,0.05,2476.290598,2244.466104,8.12e-06,8.7e-06,9.37e-06,2.763853414,7.922103876,0.947021561,0.947021561,2.795825985,7.77433235,1.0,1.0,1.0,1.0,1.0,1.0,0.929830887,0.929830887,0.0,0.0,0.0,0.0,0.0,0.0,2.795112845,7.780870361,3.94017094,185.3906811,90.42732026,2472.207803,1537.251553,1853.682526,0.976712571,0.0,0.976712571,5.54e-14
0.75,0.1,0.05,0.0,0.1,2473.001871,2024.868324,8.04e-06,8.52e-06,9.23e-06,1.43365367,8.154725405,0.859768512,0.859768512,1.384468442,7.944787361,0.937271356,0.937271356,1.0,1.0,1.0,1.0,0.680380238,0.680380238,0.0,0.0,0.0,0.0,0.0,0.0,1.373889675,8.099532436,3.619235837,251.9170728,130.9861821,2470.751196,1547.145571,1131.549212,0.926509221,0.0,0.926509221,2.45e-13
0.75,0.1,0.1,0.0,0.05,2470.845616,2167.669469,8.12e-06,8.64e-06,9.39e-06,2.927925541,8.176246404,0.83730834,0.83730834,2.607997217,7.944835241,0.93333145,0.93333145,1.0,1.0,1.0,1.0,0.796637983,0.796637983,0.0,0.0,0.0,0.0,0.0,0.0,2.570870594,8.027696062,3.666666667,248.7628422,128.3089805,2465.510339,1566.000339,1330.05027,0.957203261,0.0,0.957203261,2.09e-13
0.75,0.15,0.05,0.0,0.05,2460.607692,2038.263326,8.16e-06,8.6e-06,9.41e-06,3.98529189,8.347868208,0.77469535,0.77469535,2.537054122,8.14802423,0.845165173,0.845165173,1.0,1.0,1.0,1.0,0.652941077,0.652941077,0.0,0.0,0.0,0.0,0.0,0.0,3.147596871,8.288573933,3.426065163,319.1512191,172.3438164,2456.744468,1590.660718,803.458905,0.911886588,0.0,0.911886588,9.94e-13
0.8,0.05,0.05,0.0,0.1,2535.426518,2214.401977,7.89e-06,8.43e-06,9.03e-06,1.337682548,8.046563106,0.950117943,0.950117943,1.374467552,7.902156661,1.0,1.0,1.0,1.0,1.0,1.0,0.923372831,0.923372831,0.09689104,0.09689104,0.0,0.0,0.0,0.0,1.374160843,7.913263057,3.94017094,144.0986304,67.95093732,2534.367114,1545.633989,1989.382329,0.962537208,0.0,0.962537208,7.31e-14
0.8,0.05,0.1,0.0,0.05,2530.861781,2302.154223,8e-06,8.56e-06,9.19e-06,2.593732793,8.041997503,0.948793217,0.948793217,2.583691932,7.897745116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.067015846,0.067015846,0.0,0.0,0.0,0.0,2.583943819,7.894870847,3.995670996,148.0984615,69.72400541,2528.298491,1546.278491,2061.2934,0.974839984,0.0,0.974839984,4.97e-14
0.8,0.1,0.05,0.0,0.05,2524.519303,2200.622651,7.99e-06,8.5e-06,9.21e-06,3.129296358,8.256664679,0.863810023,0.863810023,2.49436847,8.048843038,0.946447508,0.946447508,1.0,1.0,1.0,1.0,0.897751509,0.897751509,0.011720197,0.011720197,0.0,0.0,0.0,0.0,2.50533739,8.103406865,3.715249663,207.6392152,104.2909348,2522.028893,1577.295768,1613.628421,0.946420348,0.0,0.946420348,1.54e-13
0.85,0.05,0.05,0.0,0.05,2585.411711,2369.770527,7.88e-06,8.41e-06,9.01e-06,2.505917779,8.155521174,0.955425431,0.955425431,2.393870495,8.022096709,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.498319215,0.498319215,0.0,0.0,0.0,0.0,2.394845218,8.008262215,4.052631579,109.7170581,49.14390425,2584.224647,1561.682772,2351.215585,0.972902052,0.0,0.972902052,4.45e-14
0.05,0.05,0.05,0.0,0.85,1924.893443,1605.029596,7.98e-06,8.58e-06,1.27e-05,14.36538581,6.572507093,0.934418363,0.934418363,14.06161611,6.435366593,1.0,1.0,0.633990064,0.633990064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.07244163,6.657221364,2.75308642,16.77915914,4.628387552,1924.970382,1526.205382,86.66347096,0.92525422,0.0,0.92525422,1.96e-10
