trial_id,neurons_encoder,latent_dim,neurons_decoder
0,[240],329,"[240, 120, 60]"
1,"[168, 336, 672]",1212,[672]
2,"[180, 360]",580,"[360, 180]"
3,[136],208,"[136, 68]"
4,"[252, 504, 1008]",1325,[1008]
5,"[240, 480, 960]",1867,"[960, 480, 240]"
6,"[44, 88, 176]",337,"[176, 88]"
7,"[216, 432]",753,"[432, 216, 108]"
8,"[148, 296, 592]",981,"[592, 296]"
9,"[100, 200]",359,"[200, 100, 50]"
10,[232],367,[232]
11,"[4, 8]",12,"[8, 8]"
12,[236],341,[236]
13,"[152, 304]",313,[304]
14,"[8, 16, 32]",42,"[32, 16]"
15,[48],70,[48]
16,[64],90,[64]
17,"[60, 120]",157,[120]
18,[60],84,[60]
19,[92],105,[92]
20,[96],121,[96]
21,[88],111,[88]
22,[92],116,[92]
23,[104],130,[104]
24,[104],128,[104]
25,[100],116,[100]
26,[104],140,[104]
27,[112],149,[112]
28,[120],152,"[120, 60]"
29,[120],149,"[120, 60]"
30,[120],155,"[120, 60]"
31,[120],156,"[120, 60]"
32,"[128, 256]",281,"[256, 128]"
33,"[124, 248]",272,"[248, 124]"
34,"[196, 392]",426,"[392, 196, 98]"
35,[120],165,"[120, 60]"
36,[80],128,"[80, 40]"
37,[180],205,"[180, 90, 45]"
38,[180],210,"[180, 90, 45]"
39,[168],195,"[168, 84]"
40,[168],195,"[168, 84]"
41,[176],205,"[176, 88, 44]"
42,[144],181,"[144, 72]"
43,[152],183,"[152, 76]"
44,[148],180,"[148, 74]"
45,[144],179,"[144, 72]"
46,[140],171,"[140, 70]"
47,[140],174,"[140, 70]"
48,[208],238,"[208, 104]"
49,[200],232,"[200, 100]"
50,[196],221,"[196, 98]"
51,[216],242,"[216, 108]"
52,[216],247,"[216, 108, 54]"
53,"[160, 320]",340,"[320, 160, 80]"
54,"[192, 384]",418,"[384, 192, 96]"
55,[196],224,"[196, 98]"
56,[160],225,"[160, 80, 40]"
57,"[160, 320, 640]",663,"[640, 320]"
58,"[256, 512, 1024]",1051,"[1024, 512]"
