Ni,Ti,Hf,Zr,Cu,Pd,Co,Nb,Homogenization_temp,Homogenization_time,Aging_temp, Aging_time,Applied Stress - (MPa) ,AM,BM,Tm,a,X,Smix,Hmix,OMEGA,Delta,VEC,CV,Ionization energy,Thermal conductivity,Electrical conductivity,Heat of fusion,Heat of vaporization,Boiling point,Density,Vicker Hardness,Ms
25,20,15,15,25,0,0,0,20,0,20,0,0,80.59025,119.845,2127.7425,1.4095,1.655,13.17079569,-27.45,1.020912996,0.108469692,7.25,0.204513399,7.22602,142.09,19.605,18.29,436,3650.95,8.338,845.35,100
25,20,15,15,25,0,0,0,20,0,20,0,0,80.59025,119.845,2127.7425,1.4095,1.655,13.17079569,-27.45,1.020912996,0.108469692,7.25,0.204513399,7.22602,142.09,19.605,18.29,436,3650.95,8.338,845.35,101
45,32,18,0,5,0,0,0,20,0,20,0,0,77.03479,131.48,2190.6885,1.3849,1.6813,9.830455015,-34.596,0.62248424,0.100534327,7.05,0.207048458,7.23774,80.582,10.644,18.969,434.5,3592.33,8.2888,932.75,6
45.7,29.3,20,0,0,5,0,0,20,0,500,3,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,184
45.7,29.3,20,0,0,5,0,0,20,0,300,3.5,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,5
45.7,29.3,20,0,0,5,0,0,20,0,400,3,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,10
45.7,29.3,20,0,0,5,0,0,20,0,600,3,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,177
45.7,29.3,20,0,0,5,0,0,20,0,800,3,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,185
45.7,29.3,20,0,0,5,0,0,20,0,700,3,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,183
45.7,29.3,20,0,0,5,0,0,20,0,0,0,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,56
45.7,29.3,20,0,0,5,0,0,20,0,350,3,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,-15
45.7,29.3,20,0,0,5,0,0,20,0,300,3,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,29
45.7,29.3,20,0,0,5,0,0,20,0,350,0.5,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,59
45.7,29.3,20,0,0,5,0,0,20,0,350,1,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,42
45.7,29.3,20,0,0,5,0,0,20,0,300,0.5,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,58
45.7,29.3,20,0,0,5,0,0,20,0,450,1,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,131
45.7,29.3,20,0,0,5,0,0,20,0,450,0.5,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,128
45.7,29.3,20,0,0,5,0,0,20,0,400,1,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,48
45.7,29.3,20,0,0,5,0,0,20,0,300,1,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,49
45.7,29.3,20,0,0,5,0,0,20,0,400,3,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,-17
45.7,29.3,20,0,0,5,0,0,20,0,550,3,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,189
45.7,29.3,20,0,0,5,0,0,20,0,400,0.5,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,73
45.7,29.3,20,0,0,5,0,0,1050,4,500,1.5,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,176
45.7,29.3,20,0,0,5,0,0,1050,4,400,1.5,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,78
45.7,29.3,20,0,0,5,0,0,20,0,350,10,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,160
45.7,29.3,20,0,0,5,0,0,1050,4,20,0,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,180
45.7,29.3,20,0,0,5,0,0,20,0,450,3,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,125
45.7,29.3,20,0,0,5,0,0,20,0,450,5,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,122
45.7,29.3,20,0,0,5,0,0,20,0,550,0.5,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,192
45.7,29.3,20,0,0,5,0,0,20,0,550,1,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,190
45.7,29.3,20,0,0,5,0,0,20,0,500,10,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,165
45.7,29.3,20,0,0,5,0,0,20,0,500,3,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,188
