trial_id,neurons_encoder,latent_dim,neurons_decoder
0,"[244, 488, 976]",1851,"[976, 488, 244]"
1,[256],355,[256]
2,[112],143,"[112, 56, 28]"
3,[196],219,"[196, 98]"
4,"[80, 160]",294,[160]
5,[216],334,"[216, 108]"
6,[188],252,"[188, 94]"
7,"[80, 160, 320]",371,"[320, 160]"
8,[224],314,"[224, 112]"
9,[248],464,"[248, 124]"
10,"[248, 496]",922,[496]
11,[100],119,"[100, 50, 25]"
12,"[92, 184]",286,"[184, 92, 46]"
13,"[44, 88]",105,"[88, 44]"
14,[72],80,"[72, 36, 18]"
15,"[152, 304, 608]",1214,"[608, 304, 152]"
16,"[160, 320, 640]",790,"[640, 320, 160]"
17,"[160, 320, 640]",776,"[640, 320, 160]"
18,"[156, 312, 624]",745,"[624, 312]"
19,"[148, 296, 592]",713,"[592, 296]"
20,"[4, 8, 16]",18,[16]
21,"[176, 352, 704]",1390,"[704, 352, 176]"
22,"[4, 8]",8,"[8, 8, 8]"
23,"[188, 376]",567,"[376, 188, 94]"
24,"[124, 248]",423,"[248, 124]"
25,"[172, 344, 688]",1337,"[688, 344, 172]"
26,"[112, 224, 448]",607,"[448, 224]"
27,"[132, 264, 528]",670,"[528, 264]"
28,"[116, 232, 464]",811,"[464, 232]"
29,"[124, 248, 496]",825,"[496, 248]"
30,"[124, 248, 496]",823,"[496, 248]"
31,"[116, 232]",370,"[232, 116]"
32,"[48, 96]",156,[96]
33,"[48, 96]",148,[96]
34,"[224, 448]",839,[448]
35,"[28, 56]",76,[56]
36,"[44, 88]",136,[88]
37,"[28, 56]",71,[56]
38,"[32, 64]",79,[64]
39,"[28, 56]",74,[56]
40,"[24, 48]",68,[48]
41,"[56, 112]",174,[112]
42,"[68, 136]",195,[136]
43,"[24, 48]",68,[48]
44,"[24, 48]",71,[48]
45,"[32, 64]",81,[64]
46,"[12, 24]",38,[24]
47,"[60, 120]",177,[120]
48,[64],90,[64]
49,"[92, 184]",244,[184]
50,"[56, 112]",166,[112]
51,"[80, 160]",207,[160]
52,"[80, 160]",205,[160]
53,"[56, 112]",164,[112]
54,"[84, 168]",220,[168]
55,"[84, 168]",211,[168]
56,"[80, 160]",207,[160]
57,"[36, 72]",115,[72]
58,"[40, 80]",123,[80]
59,"[40, 80]",118,[80]
60,"[40, 80]",123,[80]
61,"[40, 80]",117,[80]
62,"[40, 80]",119,[80]
63,[16],24,[16]
64,[12],19,[12]
65,[64],97,[64]
66,[12],20,[12]
67,[20],32,[20]
68,[56],76,[56]
69,"[56, 112]",167,[112]
70,"[56, 112]",166,[112]
71,"[52, 104]",167,[104]
72,[60],89,"[60, 30]"
73,[56],86,"[56, 28]"
74,"[104, 208]",274,"[208, 104]"
75,[64],97,"[64, 32]"
76,[100],156,"[100, 50]"
77,[68],97,"[68, 34]"
78,[64],99,"[64, 32]"
79,[100],157,"[100, 50]"
80,[68],91,"[68, 34]"
81,[96],157,"[96, 48]"
82,[104],157,"[104, 52]"
83,"[72, 144]",180,"[144, 72]"
84,"[140, 280]",318,"[280, 140]"
85,"[92, 184]",251,[184]
86,"[48, 96]",166,[96]
87,"[48, 96]",164,[96]
88,"[48, 96]",166,"[96, 48]"
89,"[108, 216]",286,"[216, 108]"
90,"[108, 216]",285,"[216, 108]"
91,"[140, 280]",322,"[280, 140]"
92,"[104, 208]",310,"[208, 104]"
