trial_id,neurons_encoder,latent_dim,neurons_decoder
0,"[88, 176, 352]",840,"[352, 176]"
1,"[136, 272, 544]",648,"[544, 272, 136, 68]"
2,"[196, 392, 784]",856,"[784, 392, 196]"
3,"[96, 192]",360,[192]
4,[224],424,"[224, 112, 56, 28, 14]"
5,"[120, 240]",472,"[240, 120, 60]"
6,"[124, 248, 496, 992, 1984]",3256,"[1984, 992]"
7,"[4, 8, 16]",33,"[16, 8, 8]"
8,"[104, 208]",328,"[208, 104]"
9,"[208, 416, 832]",1208,"[832, 416, 208, 104]"
10,"[32, 64]",118,"[64, 32, 16, 8]"
11,"[152, 304]",744,[304]
12,"[196, 392, 784]",1512,"[784, 392]"
13,"[180, 360, 720, 1440]",3384,"[1440, 720, 360]"
14,"[36, 72, 144, 288, 576]",1416,"[576, 288]"
15,"[72, 144, 288, 576, 1152]",2792,"[1152, 576]"
16,"[68, 136, 272, 544, 1088]",2408,"[1088, 544]"
17,"[80, 160, 320, 640, 1280]",3144,"[1280, 640]"
18,"[164, 328, 656, 1312, 2624]",3288,"[2624, 1312]"
19,"[256, 512, 1024, 2048]",5000,[2048]
20,"[248, 496, 992, 1984]",4872,[1984]
21,"[168, 336, 672, 1344]",2120,"[1344, 672, 336, 168, 84]"
22,"[168, 336, 672, 1344]",2040,"[1344, 672, 336, 168, 84]"
23,"[256, 512, 1024, 2048]",5064,"[2048, 1024, 512, 256, 128]"
24,"[172, 344, 688, 1376]",2200,"[1376, 688, 344, 172, 86]"
25,"[108, 216, 432, 864]",1160,"[864, 432, 216]"
26,[96],152,"[96, 48, 24]"
27,[104],176,"[104, 52, 26]"
28,"[104, 208]",328,"[208, 104, 52]"
29,"[52, 104]",208,"[104, 52, 26]"
30,"[52, 104]",208,"[104, 52, 26, 13]"
31,"[144, 288]",424,"[288, 144, 72, 36]"
32,"[132, 264]",368,"[264, 132, 66, 33]"
33,"[148, 296]",384,"[296, 148, 74, 37]"
34,"[60, 120]",208,"[120, 60, 30, 15]"
35,"[136, 272]",360,"[272, 136, 68]"
36,[56],77,"[56, 28, 14]"
