number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_relative_deterioration,state
0,-0.4397313715361415,2025-01-10 09:30:20.627991,2025-01-10 09:30:22.145958,0 days 00:00:01.517967,0.12473904376777314,88,0.1,60,100,0.00011706833357673394,146,3.2752535295623786e-05,5,1,sgd,"{'neurons_per_layer_encoder': [60], 'neurons_per_layer_decoder': [60, 30, 15, 8, 8]}",60,"[60, 30, 15, 8, 8]",[60],[-0.4397313715361415],0.5543155743199987,COMPLETE
1,-0.2456182946619332,2025-01-10 09:30:20.628349,2025-01-10 09:30:23.054398,0 days 00:00:02.426049,0.1768108025875786,72,0.1,80,100,2.1373085497874514e-05,1656,0.0011055738998176031,1,5,sgd,"{'neurons_per_layer_encoder': [80, 160, 320, 640, 1280], 'neurons_per_layer_decoder': [1280]}",80,[1280],"[80, 160, 320, 640, 1280]",[-0.2456182946619332],0.7125638807718728,COMPLETE
2,-0.8712300759116953,2025-01-10 09:30:20.635009,2025-01-10 09:30:24.445248,0 days 00:00:03.810239,0.12684506068557172,48,0.1,216,100,1.7888523050722007e-06,1576,5.8472022473984335e-05,2,3,adadelta,"{'neurons_per_layer_encoder': [216, 432, 864], 'neurons_per_layer_decoder': [864, 432]}",216,"[864, 432]","[216, 432, 864]",[-0.8712300759116953],0.454224214369939,COMPLETE
3,0.13153220604071658,2025-01-10 09:30:20.636833,2025-01-10 09:30:23.653075,0 days 00:00:03.016242,0.16067165933760622,80,0.4,44,100,8.411543221562283e-05,96,0.0011467733286859355,3,1,sgd,"{'neurons_per_layer_encoder': [44], 'neurons_per_layer_decoder': [44, 22, 11]}",44,"[44, 22, 11]",[44],[0.13153220604071658],0.7060775478986165,COMPLETE
4,-0.4928949569121561,2025-01-10 09:30:20.635665,2025-01-10 09:30:21.950277,0 days 00:00:01.314612,0.06351597774216587,104,0.2,68,100,1.3960743142824154e-05,240,0.004239316898832709,1,2,sgd,"{'neurons_per_layer_encoder': [68, 136], 'neurons_per_layer_decoder': [136]}",68,[136],"[68, 136]",[-0.4928949569121561],0.38933953019268264,COMPLETE
5,-0.23415355244819946,2025-01-10 09:30:21.960282,2025-01-10 09:30:23.567977,0 days 00:00:01.607695,0.05854046918653068,120,0.2,12,100,0.000372365903607055,100,0.0015742202844262144,3,3,sgd,"{'neurons_per_layer_encoder': [12, 24, 48], 'neurons_per_layer_decoder': [48, 24, 12]}",12,"[48, 24, 12]","[12, 24, 48]",[-0.23415355244819946],0.7181071033208547,COMPLETE
6,-0.7191650881781426,2025-01-10 09:30:22.159183,2025-01-10 09:30:24.502885,0 days 00:00:02.343702,0.12850208388599735,32,0.2,24,100,0.0001626101817551972,840,2.0419025780577955e-05,3,5,sgd,"{'neurons_per_layer_encoder': [24, 48, 96, 192, 384], 'neurons_per_layer_decoder': [384, 192, 96]}",24,"[384, 192, 96]","[24, 48, 96, 192, 384]",[-0.7191650881781426],0.8420752986617243,COMPLETE
7,-0.09270654355990926,2025-01-10 09:30:23.067535,2025-01-10 09:30:34.516002,0 days 00:00:11.448467,0.1229828656110426,96,0.2,108,100,0.0009210076681397196,1240,0.0002823906483269523,5,4,adam,"{'neurons_per_layer_encoder': [108, 216, 432, 864], 'neurons_per_layer_decoder': [864, 432, 216, 108, 54]}",108,"[864, 432, 216, 108, 54]","[108, 216, 432, 864]",[-0.09270654355990926],0.9851951501501932,COMPLETE
8,-0.09353926806624524,2025-01-10 09:30:23.578819,2025-01-10 09:30:32.293529,0 days 00:00:08.714710,0.18104077448203887,80,0.1,220,100,5.781512539484046e-05,3400,0.0011184975486503894,4,4,sgd,"{'neurons_per_layer_encoder': [220, 440, 880, 1760], 'neurons_per_layer_decoder': [1760, 880, 440, 220]}",220,"[1760, 880, 440, 220]","[220, 440, 880, 1760]",[-0.09353926806624524],0.9285309597707252,COMPLETE
9,-0.3740040256949919,2025-01-10 09:30:23.666331,2025-01-10 09:30:35.533387,0 days 00:00:11.867056,0.040684687113405955,40,0.1,136,100,3.871757267462164e-06,2616,0.0001722687161350466,2,4,adam,"{'neurons_per_layer_encoder': [136, 272, 544, 1088], 'neurons_per_layer_decoder': [1088, 544]}",136,"[1088, 544]","[136, 272, 544, 1088]",[-0.3740040256949919],-0.24637321516186,COMPLETE
10,-0.4453334798137911,2025-01-10 09:30:24.455770,2025-01-10 09:30:29.294009,0 days 00:00:04.838239,0.023344280597455414,48,0.1,144,100,3.3565001508509703e-06,1336,4.946590804567878e-05,4,4,sgd,"{'neurons_per_layer_encoder': [144, 288, 576, 1152], 'neurons_per_layer_decoder': [1152, 576, 288, 144]}",144,"[1152, 576, 288, 144]","[144, 288, 576, 1152]",[-0.4453334798137911],0.43887378333053473,COMPLETE
11,-0.21899333313004532,2025-01-10 09:30:24.511654,2025-01-10 09:30:27.962150,0 days 00:00:03.450496,0.09423118176369441,112,0.2,140,100,1.4853835327571648e-06,1128,0.0005176509030601706,3,3,sgd,"{'neurons_per_layer_encoder': [140, 280, 560], 'neurons_per_layer_decoder': [560, 280, 140]}",140,"[560, 280, 140]","[140, 280, 560]",[-0.21899333313004532],0.5703973046420496,COMPLETE
12,-0.17922031914483627,2025-01-10 09:30:27.971608,2025-01-10 09:30:34.984533,0 days 00:00:07.012925,0.022542216096376827,128,0.1,180,100,3.4400596134368905e-06,608,0.003391859765472764,3,2,adadelta,"{'neurons_per_layer_encoder': [180, 360], 'neurons_per_layer_decoder': [360, 180, 90]}",180,"[360, 180, 90]","[180, 360]",[-0.17922031914483627],0.5201464401225628,COMPLETE
13,-0.023305775238367854,2025-01-10 09:30:29.305004,2025-01-10 09:30:32.876010,0 days 00:00:03.571006,0.046819136610625846,72,0.30000000000000004,120,100,8.146352712689083e-05,224,0.007205560175902378,2,1,sgd,"{'neurons_per_layer_encoder': [120], 'neurons_per_layer_decoder': [120, 60]}",120,"[120, 60]",[120],[-0.023305775238367854],0.5810675630039639,COMPLETE
14,-0.07198770323950066,2025-01-10 09:30:32.315829,2025-01-10 09:30:37.163628,0 days 00:00:04.847799,0.010957212840067647,96,0.4,112,100,0.000830963234212386,184,0.006711711197020244,5,1,adam,"{'neurons_per_layer_encoder': [112], 'neurons_per_layer_decoder': [112, 56, 28, 14, 8]}",112,"[112, 56, 28, 14, 8]",[112],[-0.07198770323950066],0.32623871939765625,COMPLETE
15,0.22650189516634467,2025-01-10 09:30:32.886501,2025-01-10 09:30:36.875998,0 days 00:00:03.989497,0.011379918744364186,64,0.4,112,100,0.000740017607778227,200,0.009816714479960967,2,1,adam,"{'neurons_per_layer_encoder': [112], 'neurons_per_layer_decoder': [112, 56]}",112,"[112, 56]",[112],[0.22650189516634467],0.5554321236077955,COMPLETE
16,-0.3704993124903406,2025-01-10 09:30:34.527013,2025-01-10 09:30:36.545171,0 days 00:00:02.018158,0.012094952316736558,64,0.4,172,100,1.033145405404691e-05,244,0.009992544881368689,2,1,adadelta,"{'neurons_per_layer_encoder': [172], 'neurons_per_layer_decoder': [172, 86]}",172,"[172, 86]",[172],[-0.3704993124903406],0.5605878582182616,COMPLETE
