trial_id,neurons_encoder,latent_dim,neurons_decoder
0,"[100, 200, 400]",460,"[400, 200]"
1,"[16, 32, 64]",123,"[64, 32]"
2,"[32, 64]",102,"[64, 32, 16]"
3,[8],8,[8]
4,[132],214,"[132, 66, 33]"
5,[188],304,"[188, 94]"
6,"[4, 8, 16]",22,[16]
7,"[240, 480]",786,[480]
8,[124],206,"[124, 62, 31]"
9,[236],453,[236]
10,[252],489,"[252, 126, 63]"
11,"[216, 432, 864]",1520,[864]
12,"[96, 192]",286,"[192, 96, 48]"
13,"[8, 16, 32]",54,"[32, 16, 8]"
14,[84],96,"[84, 42]"
15,"[60, 120]",158,"[120, 60, 30]"
16,"[52, 104]",121,"[104, 52]"
17,"[48, 96]",122,"[96, 48]"
18,"[52, 104]",130,"[104, 52]"
19,"[52, 104]",130,"[104, 52]"
20,"[44, 88, 176]",203,"[176, 88]"
21,"[44, 88, 176]",211,"[176, 88]"
22,"[32, 64, 128]",150,"[128, 64]"
23,"[160, 320]",548,"[320, 160]"
24,"[160, 320]",375,"[320, 160]"
25,"[148, 296]",382,"[296, 148]"
26,"[76, 152]",169,"[152, 76]"
27,"[28, 56]",99,"[56, 28]"
28,"[76, 152]",168,"[152, 76, 38]"
29,"[28, 56]",96,"[56, 28, 14]"
30,"[76, 152]",180,"[152, 76]"
31,"[76, 152]",180,"[152, 76]"
32,"[76, 152]",182,"[152, 76]"
33,"[96, 192, 384]",409,"[384, 192]"
34,"[112, 224, 448]",678,"[448, 224]"
35,"[156, 312, 624]",1147,"[624, 312]"
36,"[140, 280]",309,[280]
37,"[148, 296]",322,[296]
38,"[140, 280]",314,[280]
39,"[136, 272]",302,[272]
40,"[148, 296]",326,[296]
41,"[184, 368]",393,[368]
42,"[188, 376]",401,"[376, 188]"
43,"[184, 368]",392,"[368, 184]"
44,"[112, 224]",267,"[224, 112]"
45,[20],34,"[20, 10]"
46,"[20, 40]",62,"[40, 20]"
47,"[16, 32]",51,"[32, 16]"
48,"[20, 40]",62,"[40, 20]"
49,"[36, 72]",114,"[72, 36]"
50,"[40, 80]",117,"[80, 40]"
51,"[116, 232]",342,[232]
52,"[120, 240, 480]",555,[480]
53,[172],245,[172]
54,[124],154,[124]
55,[124],156,[124]
56,[120],151,[120]
57,[120],151,[120]
58,[124],156,[124]
59,[112],151,[112]
60,"[132, 264, 528]",581,[528]
61,"[208, 416, 832]",860,[832]
62,"[172, 344, 688]",720,[688]
63,"[104, 208, 416]",469,[416]
64,"[136, 272, 544]",598,[544]
65,"[104, 208, 416]",481,[416]
66,[140],228,[140]
67,[152],228,[152]
68,[168],279,[168]
69,[140],228,[140]
70,[144],230,[144]
71,[92],144,[92]
72,[164],257,[164]
73,[132],192,[132]
74,[160],252,[160]
75,[132],189,[132]
76,[132],194,[132]
77,[132],193,[132]
78,[164],260,[164]
79,[164],251,[164]
80,"[64, 128, 256]",354,[256]
81,"[60, 120, 240]",296,[240]
82,"[148, 296, 592]",613,[592]
83,[148],220,"[148, 74, 37]"
84,[148],218,"[148, 74, 37]"
85,"[144, 288, 576]",593,[576]
86,[108],145,[108]
87,[196],236,"[196, 98, 49]"
88,[180],220,"[180, 90, 45]"
89,[152],220,"[152, 76, 38]"
90,[176],221,"[176, 88, 44]"
91,"[176, 352]",372,"[352, 176, 88]"
92,"[200, 400]",436,"[400, 200, 100]"
93,"[204, 408]",441,"[408, 204, 102]"
94,"[200, 400]",439,"[400, 200, 100]"
95,"[200, 400]",430,"[400, 200, 100]"
96,[184],221,"[184, 92, 46]"
97,[196],222,"[196, 98, 49]"
98,[228],245,"[228, 114, 57]"
99,[176],222,"[176, 88, 44]"
100,"[176, 352]",372,"[352, 176, 88]"
101,"[228, 456]",499,"[456, 228, 114]"
102,"[228, 456]",505,"[456, 228, 114]"
103,"[176, 352]",374,"[352, 176, 88]"
104,"[176, 352]",374,"[352, 176, 88]"
105,"[192, 384]",419,"[384, 192, 96]"
106,"[192, 384]",418,"[384, 192, 96]"
107,"[216, 432]",464,"[432, 216, 108]"
108,"[60, 120]",233,"[120, 60, 30]"
109,"[60, 120]",205,"[120, 60, 30]"
110,"[60, 120]",202,"[120, 60, 30]"
111,"[60, 120]",207,"[120, 60, 30]"
112,"[60, 120]",209,"[120, 60, 30]"
113,"[60, 120]",208,"[120, 60, 30]"
114,"[56, 112]",203,"[112, 56, 28]"
115,"[56, 112]",200,"[112, 56, 28]"
116,"[44, 88]",161,"[88, 44, 22]"
117,"[56, 112]",215,"[112, 56, 28]"
118,"[44, 88]",163,"[88, 44, 22]"
119,"[8, 16]",31,"[16, 8, 8]"
120,"[44, 88]",163,"[88, 44, 22]"
121,"[56, 112]",214,"[112, 56, 28]"
122,"[44, 88]",162,"[88, 44, 22]"
123,"[48, 96]",174,"[96, 48, 24]"
124,"[12, 24]",44,"[24, 12, 8]"
125,"[52, 104]",197,"[104, 52, 26]"
126,"[4, 8]",15,"[8, 8, 8]"
127,"[28, 56]",89,"[56, 28, 14]"
128,"[48, 96]",176,"[96, 48, 24]"
129,"[64, 128]",236,"[128, 64, 32]"
130,"[64, 128]",242,"[128, 64, 32]"
131,"[64, 128]",239,"[128, 64, 32]"
132,"[24, 48]",82,"[48, 24, 12]"
133,"[64, 128]",244,"[128, 64, 32]"
134,"[64, 128]",234,"[128, 64, 32]"
135,"[64, 128]",235,"[128, 64, 32]"
136,"[64, 128]",234,"[128, 64, 32]"
137,"[64, 128]",243,"[128, 64, 32]"
138,"[64, 128]",241,"[128, 64, 32]"
139,"[64, 128]",239,"[128, 64, 32]"
140,"[64, 128]",217,"[128, 64, 32]"
141,"[64, 128]",248,"[128, 64, 32]"
142,"[64, 128]",248,"[128, 64, 32]"
143,"[64, 128]",247,"[128, 64, 32]"
144,"[32, 64]",111,"[64, 32, 16]"
145,"[64, 128]",225,"[128, 64, 32]"
