number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_relative_deterioration,state
0,-0.32094143590850743,2025-01-10 14:21:10.076798,2025-01-10 14:21:15.807609,0 days 00:00:05.730811,0.042558152794179294,56,0.2,132,100,3.4259792239561184e-05,496,0.0005910903605085769,5,2,adadelta,"{'neurons_per_layer_encoder': [132, 264], 'neurons_per_layer_decoder': [264, 132, 66, 33, 16]}",132,"[264, 132, 66, 33, 16]","[132, 264]",[-0.32094143590850743],0.6975792481937471,COMPLETE
1,-0.11761788394811745,2025-01-10 14:21:10.077298,2025-01-10 14:21:18.781574,0 days 00:00:08.704276,0.14591600472579253,72,0.30000000000000004,8,100,0.000911959928330425,280,0.0027926232845587613,4,5,adam,"{'neurons_per_layer_encoder': [8, 16, 32, 64, 128], 'neurons_per_layer_decoder': [128, 64, 32, 16]}",8,"[128, 64, 32, 16]","[8, 16, 32, 64, 128]",[-0.11761788394811745],0.9063591623129769,COMPLETE
2,-0.3960978064136329,2025-01-10 14:21:10.077142,2025-01-10 14:21:13.651590,0 days 00:00:03.574448,0.011796111704484732,56,0.1,96,100,1.8727964858859422e-06,728,0.002933297341620034,2,3,adadelta,"{'neurons_per_layer_encoder': [96, 192, 384], 'neurons_per_layer_decoder': [384, 192]}",96,"[384, 192]","[96, 192, 384]",[-0.3960978064136329],0.6677272676389867,COMPLETE
3,-0.09213241557531338,2025-01-10 14:21:10.077390,2025-01-10 14:21:20.350738,0 days 00:00:10.273348,0.06450117722812804,112,0.1,196,100,1.3244157167184932e-06,3512,1.3484389212128088e-05,3,5,adam,"{'neurons_per_layer_encoder': [196, 392, 784, 1568, 3136], 'neurons_per_layer_decoder': [3136, 1568, 784]}",196,"[3136, 1568, 784]","[196, 392, 784, 1568, 3136]",[-0.09213241557531338],0.4638599972446568,COMPLETE
4,-0.06099368341361022,2025-01-10 14:21:10.077038,2025-01-10 14:21:20.234665,0 days 00:00:10.157627,0.01438370608561805,56,0.30000000000000004,100,100,4.254792121957028e-05,3688,3.8634527580285573e-05,1,5,adadelta,"{'neurons_per_layer_encoder': [100, 200, 400, 800, 1600], 'neurons_per_layer_decoder': [1600]}",100,[1600],"[100, 200, 400, 800, 1600]",[-0.06099368341361022],0.9080210320304699,COMPLETE
5,0.022537577318058388,2025-01-10 14:21:13.664025,2025-01-10 14:21:21.542498,0 days 00:00:07.878473,0.11833613607188768,80,0.2,224,100,1.6061055757411252e-05,488,4.813323521277207e-05,2,2,adam,"{'neurons_per_layer_encoder': [224, 448], 'neurons_per_layer_decoder': [448, 224]}",224,"[448, 224]","[224, 448]",[0.022537577318058388],0.5429694991838389,COMPLETE
6,-0.13958460067439726,2025-01-10 14:21:15.820851,2025-01-10 14:21:20.652110,0 days 00:00:04.831259,0.13660697953965156,120,0.2,128,100,2.875591024400565e-06,2344,0.00018929619591761076,2,5,sgd,"{'neurons_per_layer_encoder': [128, 256, 512, 1024, 2048], 'neurons_per_layer_decoder': [2048, 1024]}",128,"[2048, 1024]","[128, 256, 512, 1024, 2048]",[-0.13958460067439726],0.7298339898789581,COMPLETE
7,-0.3138113470340338,2025-01-10 14:21:18.814779,2025-01-10 14:21:23.769050,0 days 00:00:04.954271,0.058535864860143866,56,0.4,140,100,0.00039416112606718596,4312,0.0003153507906667987,5,5,sgd,"{'neurons_per_layer_encoder': [140, 280, 560, 1120, 2240], 'neurons_per_layer_decoder': [2240, 1120, 560, 280, 140]}",140,"[2240, 1120, 560, 280, 140]","[140, 280, 560, 1120, 2240]",[-0.3138113470340338],0.9919705918951117,COMPLETE
8,-0.19217423415848423,2025-01-10 14:21:20.246223,2025-01-10 14:21:23.904592,0 days 00:00:03.658369,0.17228522129556204,56,0.1,52,100,2.364098617521857e-06,224,0.0022225529813891315,5,2,adam,"{'neurons_per_layer_encoder': [52, 104], 'neurons_per_layer_decoder': [104, 52, 26, 13, 8]}",52,"[104, 52, 26, 13, 8]","[52, 104]",[-0.19217423415848423],0.23402756637016833,COMPLETE
9,-0.7757954032444161,2025-01-10 14:21:20.363167,2025-01-10 14:21:24.493792,0 days 00:00:04.130625,0.07176543141867894,104,0.30000000000000004,240,100,0.00011439091508829635,936,0.0016342157853122088,1,2,adam,"{'neurons_per_layer_encoder': [240, 480], 'neurons_per_layer_decoder': [480]}",240,[480],"[240, 480]",[-0.7757954032444161],0.593856471424812,COMPLETE
