Nb,Cr,V,W,Zr,PROP LT (K),PROP ST (K),PROP 500C CTE (1/K),PROP 1000C CTE (1/K),PROP 1500C CTE (1/K),EQ 1273K THCD (W/mK),EQ 1273K Density (g/cc),EQ 1523K THCD (W/mK),EQ 1523K Density (g/cc),EQ 2/3*ST THCD (W/mK),EQ 2/3*ST Density (g/cc),Pugh_Ratio_PRIOR,YS 1000C PRIOR,YS 1500C PRIOR,1000 Min Creep NH [1/s],1300 Min Creep NH [1/s],1500 Min Creep NH [1/s],SCHEIL ST,SCHEIL LT,Kou Criteria
0.95,0,0.05,0,0,2695.868051,2646.16173,7.85E-06,8.33E-06,8.78E-06,55.58712228,8.253299034,58.1936589,8.195566296,60.66864568,8.137772119,4.592775041,11.21724623,3.148613717,1.50E-12,8.49E-10,1.73E-08,2695.958048,2357.862423,633.1409625
0.95,0,0,0,0.05,2699.963067,2643.68163,7.74E-06,8.20E-06,8.63E-06,2.057492928,8.254702151,2.061184124,8.198116173,2.064322861,8.142065727,4.521035599,8.062923791,2.122559404,3.00E-14,4.17E-10,8.91E-08,2700.053066,2127.957441,954.8010816
0.9,0,0.1,0,0,2641.839474,2557.381254,7.97E-06,8.47E-06,8.97E-06,46.49464292,8.128082913,48.41531491,8.069872906,49.78033004,8.025935931,4.521035599,33.80208897,11.92660224,3.81E-12,1.74E-09,3.20E-08,2641.929471,2222.833846,797.5066347
0.9,0,0.05,0,0.05,2644.365686,2529.159591,7.86E-06,8.34E-06,8.81E-06,2.20891702,8.130623026,2.21340457,8.073533826,2.216051316,8.035067589,4.451355662,33.46714995,11.88091539,1.40E-11,5.40E-09,9.38E-08,2644.455683,1689.360058,1923.558518
0.95,0,0,0.05,0,2787.064923,2777.925693,7.58E-06,8.02E-06,8.43E-06,64.40823307,8.89354846,67.43677218,8.834022974,71.36534461,8.752545604,4.383647799,1.056391654,0.180802412,2.28E-14,7.22E-11,4.37E-09,2787.154919,2759.059294,34.75093602
0.9,0,0,0,0.1,2652.372727,2528.752148,7.74E-06,8.21E-06,8.65E-06,1.162672275,8.133187381,1.164001884,8.077219692,1.164772717,8.039681701,4.383647799,23.28583196,7.732809864,2.22E-14,3.12E-10,6.13E-08,2652.462727,2020.677727,1567.727242
0.9,0,0.05,0.05,0,2737.380133,2675.00895,7.70E-06,8.16E-06,8.61E-06,53.20006394,8.7688541,55.3947507,8.708702916,57.62374545,8.643523075,4.317829457,30.39433062,10.99830811,5.23E-13,3.75E-10,8.57E-09,2737.470132,2353.374507,703.2744442
0.9,0,0,0.05,0.05,2735.7342,2655.709282,7.58E-06,8.03E-06,8.45E-06,2.221422252,8.757486866,2.225423248,8.698640844,2.228934046,8.638309849,4.25382263,26.35350403,9.33497434,3.22E-13,1.61E-05,2.79E-08,2735.824198,2072.728573,1188.374402
0.85,0,0.1,0.05,0,2688.301749,2586.520258,7.82E-06,8.30E-06,8.79E-06,45.09637951,8.645570583,46.76709847,8.584825561,48.07245745,8.533946693,4.25382263,71.20055266,30.24045288,1.17E-11,6.78E-09,1.38E-07,2688.391745,2217.29612,874.4452361
0.85,0,0.05,0.05,0.05,2684.823849,2539.844218,7.70E-06,8.17E-06,8.63E-06,2.392012301,8.635131912,2.396924659,8.575670072,2.39994431,8.533797105,4.191553544,73.63068016,31.68344962,3.69E-06,3.78E-05,0.000226756,2684.913844,1669.818219,2164.24151
0.65,0,0.35,0,0,2381.118473,2277.249999,8.56E-06,9.18E-06,9.87E-06,25.88130136,7.51523599,26.63299301,7.455162373,26.61884196,7.45635859,4.191553544,155.739942,72.10918304,1.22E-10,2.59E-08,3.29E-07,2381.208473,2141.435348,246.2724459
0.9,0,0,0.1,0,2825.082612,2807.318759,7.42E-06,7.85E-06,8.26E-06,61.30835772,9.414263839,63.79672061,9.352528888,67.17669881,9.262768212,4.130952381,7.760240757,2.192450741,5.64E-06,5.42E-05,5.10E-09,2825.172609,2768.076984,73.3852164
0.85,0,0,0.05,0.1,2687.257835,2519.427354,7.59E-06,8.04E-06,8.47E-06,1.263531703,8.625292932,1.265004437,8.567107474,1.265826419,8.529558913,4.130952381,57.74687764,23.90179217,3.30E-12,4.53E-06,4.15E-07,2687.347829,2017.252204,1591.454305
0.8,0,0.1,0.1,0,2734.056431,2617.66618,7.66E-06,8.13E-06,8.62E-06,44.06914242,9.170029657,45.53631029,9.106841937,46.79313764,9.048292189,4.014492754,117.8791402,56.3788947,2.52E-13,3.19E-10,9.44E-09,2734.146428,2214.050803,959.0346696
0.65,0,0.3,0.05,0,2500.762259,2347.163586,8.29E-06,8.87E-06,9.51E-06,28.36561404,8.164423363,29.17838305,8.101623606,29.31005202,8.09076629,4.014492754,225.3458792,115.3589253,1.66E-11,4.07E-08,2.32E-06,2500.852257,2142.756632,359.9397222
0.5,0,0.5,0,0,2247.458323,2192.323737,8.92E-06,9.61E-06,1.04E-05,21.81077906,7.153736944,22.41348577,7.092984314,22.26856775,7.108309485,4.014492754,196.4062872,93.68286718,3.94E-10,6.70E-08,7.65E-07,2247.548318,2135.177693,86.20842608
0.75,0.05,0.2,0,0,2481.373408,2360.045622,8.24E-06,8.83E-06,9.53E-06,33.77502139,7.836494652,34.81793838,7.768631928,35.01122174,7.7559231,3.995670996,162.9127145,77.17028387,2.79E-17,1.00E-12,3.02E-10,2474.912357,2009.816732,667.4414216
0.8,0,0.05,0.1,0.05,2726.042952,2550.11487,7.54E-06,8.00E-06,8.46E-06,2.600122459,9.145985202,2.605513237,9.084244751,2.608955892,9.038953444,3.95851216,126.7554501,61.76529402,7.37E-13,1.14E-09,4.07E-08,2726.132947,1654.037322,2364.207278
0.75,0,0.15,0.1,0,2689.938811,2542.596926,7.78E-06,8.28E-06,8.80E-06,38.59384834,9.050334723,39.78945032,8.986464915,40.58215957,8.940660716,3.95851216,175.6168427,89.49077489,9.95E-13,6.40E-10,1.39E-08,2690.02881,2171.933185,866.4194754
0.45,0,0.55,0,0,2211.133715,2172.859605,9.03E-06,9.75E-06,1.06E-05,21.1454261,7.03347943,21.73383875,6.972578909,21.56222302,6.99116907,3.95851216,200.8683535,95.82831825,5.04E-10,8.27E-08,9.27E-07,2211.22371,2134.215585,56.92154977
0.6,0,0.35,0.05,0,2457.099881,2308.793044,8.41E-06,9.01E-06,9.70E-06,26.28745159,8.046591715,27.01862827,7.983359642,27.06461759,7.979127028,3.95851216,253.8684265,132.0382254,3.26E-11,9.31E-09,1.36E-07,2457.189876,2140.094251,263.6440798
0.7,0.05,0.25,0,0,2430.756254,2319.588849,8.35E-06,8.97E-06,9.71E-06,30.41600871,7.705569463,31.26554967,7.644708885,31.34223963,7.638787142,3.94017094,189.1206526,91.60060781,1.95E-06,1.16E-05,4.99E-05,2422.15814,2029.062515,480.9069606
0.85,0,0,0.15,0,2864.226852,2838.147954,7.27E-06,7.68E-06,8.08E-06,58.9239974,9.941142275,60.99097353,9.877299589,63.93530297,9.778732718,3.903954802,22.35104361,8.101346672,4.66E-06,4.50E-05,6.80E-09,2864.316851,2779.221226,113.8030153
0.55,0,0.4,0.05,0,2415.360344,2276.679492,8.52E-06,9.15E-06,9.88E-06,24.70055384,7.929518236,25.37555691,7.865887189,25.36186717,7.867256782,3.903954802,276.7276876,145.4208234,4.95E-11,1.30E-08,1.84E-07,2415.45034,2137.354715,192.6851644
0.4,0,0.6,0,0,2180.67632,2157.160659,9.15E-06,9.89E-06,1.08E-05,20.77759279,6.913097966,21.36708251,6.852090822,21.17068973,6.873317954,3.903954802,199.9293877,94.94262231,6.01E-10,9.66E-08,1.07E-06,2180.76632,2133.670695,34.33115951
0.65,0.05,0.3,0,0,2381.723401,2284.377184,8.47E-06,9.11E-06,9.89E-06,27.78162011,7.582578633,28.52723166,7.521428263,28.52699562,7.521449047,3.886075949,211.9055051,104.2785179,4.99E-07,4.27E-10,1.52E-05,2370.670986,2043.575361,350.9772677
0.3,0,0.7,0,0,2140.916082,2136.55474,9.39E-06,1.02E-05,1.11E-05,20.97007064,6.671316338,21.61494547,6.610225886,21.36463262,6.634906592,3.798898072,179.9768821,83.25027849,6.87E-10,1.12E-07,1.26E-06,2141.006076,2132.049826,6.851130688
0.75,0,0.05,0.15,0.05,2768.272646,2559.742557,7.39E-06,7.84E-06,8.29E-06,2.83826281,9.662512485,2.844193479,9.598594495,2.848113839,9.549935037,3.74829932,190.422103,101.3376615,1.30E-12,4.21E-09,2.42E-08,2768.362641,1640.267016,2508.301475
0.7,0,0.15,0.15,0,2739.348627,2576.10668,7.62E-06,8.11E-06,8.63E-06,38.35095317,9.583435057,39.4361367,9.517101255,40.24539514,9.463177499,3.74829932,242.513966,132.7961647,6.82E-13,4.81E-10,1.09E-08,2739.438623,2169.342998,952.2499943
0.5,0.05,0.45,0,0,2251.911896,2204.315156,8.83E-06,9.54E-06,1.04E-05,23.02056126,7.215931177,23.6092618,7.154138213,23.4868419,7.167780832,3.731707317,253.9798691,127.4705586,2.75E-20,8.44E-16,1.21E-13,2231.46885,2073.373225,144.0395986
0.65,0.05,0.25,0.05,0,2500.157459,2346.389181,8.20E-06,8.80E-06,9.54E-06,30.49878084,8.238656468,31.30753784,8.173231605,31.43362833,8.1622193,3.731707317,296.0770714,159.1643057,6.24E-11,1.91E-08,2.89E-07,2493.935543,2028.839918,483.9737543
0.8,0,0,0.2,0,2904.598291,2870.404726,7.11E-06,7.52E-06,7.91E-06,57.12314583,10.47346456,58.85139482,10.40762293,61.4364853,10.2997297,3.698924731,44.6221307,18.87858105,3.64E-06,3.57E-05,1.01E-08,2904.688287,2790.592662,155.3871199
