trial_id,neurons_encoder,latent_dim,neurons_decoder
0,[16],18,"[16, 8]"
1,"[92, 184]",198,"[184, 92]"
2,"[204, 408, 816]",1219,"[816, 408, 204]"
3,[200],342,[200]
4,"[216, 432, 864]",1641,"[864, 432, 216]"
5,"[204, 408]",798,"[408, 204, 102]"
6,"[232, 464]",696,[464]
7,"[168, 336]",661,[336]
8,"[136, 272]",338,[272]
9,"[176, 352]",535,[352]
10,[184],237,[184]
11,"[80, 160]",256,"[160, 80]"
12,"[232, 464, 928]",1153,[928]
13,"[184, 368]",697,"[368, 184]"
14,[8],13,"[8, 8]"
15,[8],13,"[8, 8]"
16,[8],13,"[8, 8]"
17,[20],23,"[20, 10]"
18,[44],48,"[44, 22]"
19,[48],56,"[48, 24]"
20,[56],71,"[56, 28, 14]"
21,[64],81,"[64, 32, 16]"
22,[256],272,"[256, 128, 64]"
23,[144],182,"[144, 72, 36]"
24,[256],281,"[256, 128, 64]"
25,[132],156,[132]
26,[140],172,[140]
27,[108],140,[108]
28,[108],138,"[108, 54]"
29,[108],134,"[108, 54]"
30,[112],144,"[112, 56]"
31,[104],136,"[104, 52]"
32,[40],53,"[40, 20]"
33,[100],134,[100]
34,[160],217,[160]
35,[160],209,[160]
36,[160],207,[160]
37,[160],214,[160]
38,[80],116,[80]
39,[84],120,[84]
40,"[156, 312, 624]",659,[624]
41,"[120, 240]",308,[240]
42,"[124, 248, 496]",528,[496]
43,"[80, 160, 320]",397,[320]
44,"[84, 168, 336]",407,[336]
45,[192],236,[192]
46,"[188, 376]",419,[376]
47,"[192, 384]",423,[384]
48,"[196, 392]",429,[392]
49,"[196, 392]",427,[392]
50,"[192, 384]",424,[384]
51,"[212, 424]",461,[424]
52,[204],240,[204]
53,[176],235,[176]
54,[176],238,[176]
55,[172],231,[172]
56,[72],106,[72]
57,[176],231,[176]
58,[72],108,[72]
59,[228],268,[228]
60,[72],107,[72]
61,[92],113,[92]
62,[68],103,[68]
63,[220],259,[220]
64,[224],264,[224]
65,[56],92,[56]
66,[228],264,[228]
67,[52],81,[52]
68,[28],37,[28]
69,[36],61,[36]
70,[32],45,[32]
71,[36],60,[36]
72,[96],120,[96]
73,[148],166,[148]
74,[96],125,[96]
75,[148],164,"[148, 74, 37]"
76,[116],146,"[116, 58, 29]"
77,[112],129,"[112, 56, 28]"
78,[120],151,"[120, 60, 30]"
79,[64],94,[64]
80,[64],99,[64]
81,[80],111,[80]
82,[76],113,[76]
83,[244],286,[244]
84,[76],112,[76]
85,[76],112,"[76, 38]"
86,[132],191,"[132, 66]"
87,[128],183,"[128, 64]"
88,[104],140,"[104, 52]"
89,[136],193,"[136, 68]"
90,[128],153,"[128, 64]"
91,[88],116,[88]
92,[184],222,[184]
93,[20],32,"[20, 10]"
94,[20],33,"[20, 10]"
95,[56],81,"[56, 28]"
96,[184],217,[184]
97,[212],246,[212]
98,[44],68,[44]
99,[44],68,[44]
100,[204],251,[204]
101,[208],246,[208]
102,[216],245,[216]
103,[168],243,[168]
104,[64],107,[64]
105,[88],131,[88]
106,[88],118,[88]
107,[168],181,[168]
108,[100],131,[100]
109,[92],132,[92]
110,[104],121,[104]
111,[72],108,[72]
112,[72],109,"[72, 36]"
113,[108],126,"[108, 54]"
