trial_id,neurons_encoder,latent_dim,neurons_decoder
0,[232],369,"[232, 116]"
1,"[120, 240]",286,"[240, 120, 60]"
2,"[24, 48]",75,"[48, 24]"
3,"[176, 352, 704]",944,[704]
4,"[168, 336, 672]",1281,"[672, 336, 168]"
5,"[32, 64, 128]",143,"[128, 64, 32]"
6,[136],231,[136]
7,"[40, 80]",96,"[80, 40, 20]"
8,[64],117,"[64, 32]"
9,"[20, 40, 80]",109,"[80, 40]"
10,"[144, 288]",504,"[288, 144, 72]"
11,[76],107,"[76, 38, 19]"
12,"[136, 272]",480,"[272, 136]"
13,[176],291,"[176, 88]"
14,"[76, 152, 304]",494,"[304, 152, 76]"
15,"[64, 128]",169,"[128, 64, 32]"
16,"[4, 8, 16]",17,"[16, 8, 8]"
17,"[60, 120, 240]",267,"[240, 120, 60]"
18,"[64, 128, 256]",278,"[256, 128, 64]"
19,"[68, 136]",172,"[136, 68, 34]"
20,"[44, 88, 176]",216,"[176, 88, 44]"
21,"[96, 192]",260,"[192, 96, 48]"
22,"[92, 184]",258,[184]
23,"[100, 200]",256,[200]
24,"[104, 208, 416]",656,[416]
25,"[96, 192, 384]",637,"[384, 192, 96]"
26,"[104, 208, 416]",467,"[416, 208, 104]"
27,"[108, 216, 432]",630,[432]
28,"[100, 200, 400]",455,[400]
29,"[100, 200]",256,[200]
30,"[100, 200]",258,[200]
31,"[92, 184]",245,[184]
32,"[152, 304]",360,[304]
33,"[232, 464]",526,[464]
34,"[236, 472]",529,[472]
35,"[120, 240]",312,[240]
36,"[120, 240]",301,[240]
37,"[124, 248]",319,[248]
38,"[84, 168]",243,[168]
39,"[120, 240]",310,[240]
40,"[84, 168]",242,[168]
41,"[160, 320]",376,[320]
42,"[160, 320]",373,[320]
43,[192],279,"[192, 96]"
44,[156],222,"[156, 78]"
45,"[160, 320]",363,[320]
46,"[204, 408]",439,[408]
47,"[160, 320]",358,[320]
48,"[148, 296]",348,[296]
49,"[48, 96]",141,[96]
50,"[44, 88]",143,[88]
51,"[52, 104]",142,"[104, 52]"
52,"[188, 376]",422,"[376, 188]"
53,"[176, 352]",413,"[352, 176]"
54,[136],196,"[136, 68]"
55,"[136, 272]",391,[272]
56,"[136, 272]",383,[272]
57,"[136, 272]",390,[272]
58,"[84, 168]",242,[168]
59,"[80, 160]",242,[160]
60,"[84, 168]",244,[168]
61,"[76, 152]",245,[152]
62,"[112, 224]",331,[224]
63,"[112, 224]",333,[224]
64,"[88, 176]",252,[176]
65,"[112, 224]",270,[224]
66,"[112, 224]",274,[224]
67,"[112, 224]",338,[224]
68,"[112, 224]",332,[224]
69,"[72, 144]",232,[144]
70,"[32, 64]",87,[64]
71,"[248, 496]",524,[496]
72,"[88, 176]",252,[176]
73,"[56, 112]",214,[112]
74,"[32, 64]",78,[64]
75,"[92, 184]",262,[184]
76,"[88, 176]",254,[176]
77,"[92, 184]",256,[184]
78,"[4, 8]",8,[8]
79,"[88, 176]",251,[176]
80,"[68, 136]",198,[136]
81,"[4, 8]",9,[8]
82,"[128, 256]",291,[256]
83,"[128, 256]",286,[256]
84,"[124, 248]",287,[248]
85,"[128, 256]",296,[256]
86,"[144, 288]",323,[288]
87,"[104, 208]",327,[208]
88,"[104, 208]",325,[208]
89,"[20, 40]",52,[40]
90,"[20, 40]",68,[40]
91,"[104, 208]",344,[208]
92,"[104, 208]",336,[208]
93,"[96, 192]",261,[192]
94,"[96, 192]",262,[192]
95,"[96, 192]",265,[192]
96,"[80, 160]",267,[160]
97,"[80, 160]",237,[160]
98,"[76, 152]",230,[152]
99,"[96, 192]",250,[192]
100,"[60, 120]",234,[120]
101,"[64, 128]",248,[128]
102,"[120, 240]",277,[240]
103,"[64, 128]",248,[128]
104,"[64, 128]",249,[128]
105,"[72, 144]",249,[144]
106,"[96, 192]",248,[192]
107,"[32, 64]",99,[64]
108,"[96, 192]",262,[192]
109,"[12, 24]",46,[24]
110,"[12, 24]",45,[24]
111,"[32, 64]",100,[64]
112,"[36, 72]",123,[72]
113,"[36, 72]",119,[72]
114,"[116, 232]",270,[232]
115,"[80, 160]",238,[160]
116,"[40, 80]",126,[80]
117,"[36, 72]",122,[72]
118,"[72, 144]",175,[144]
119,"[40, 80]",137,[80]
120,"[44, 88]",129,[88]
121,"[40, 80]",134,[80]
122,"[48, 96]",132,[96]
123,"[44, 88]",124,[88]
