trial_id,neurons_encoder,latent_dim,neurons_decoder
0,"[60, 120]",142,[120]
1,[196],235,"[196, 98]"
2,[32],52,[32]
3,[200],296,"[200, 100]"
4,"[28, 56]",77,"[56, 28, 14]"
5,[216],253,"[216, 108]"
6,"[40, 80]",116,"[80, 40, 20]"
7,[232],373,"[232, 116, 58]"
8,[132],264,"[132, 66, 33]"
9,"[96, 192]",361,"[192, 96]"
10,"[88, 176]",318,[176]
11,[12],18,"[12, 8]"
12,[36],63,"[36, 18]"
13,[84],135,[84]
14,"[8, 16, 32]",36,"[32, 16, 8]"
15,"[96, 192, 384]",641,"[384, 192, 96]"
16,"[108, 216, 432]",585,"[432, 216, 108]"
17,"[128, 256, 512]",635,"[512, 256, 128]"
18,"[140, 280, 560]",706,"[560, 280, 140]"
19,"[104, 208, 416]",557,"[416, 208, 104]"
20,"[164, 328]",499,"[328, 164]"
21,"[104, 208, 416]",792,"[416, 208, 104]"
22,"[4, 8, 16]",23,"[16, 8, 8]"
23,"[4, 8, 16]",23,"[16, 8, 8]"
24,"[8, 16, 32]",35,"[32, 16, 8]"
25,"[12, 24]",34,"[24, 12]"
26,"[8, 16, 32]",36,"[32, 16, 8]"
27,"[68, 136, 272]",451,"[272, 136, 68]"
28,"[64, 128]",173,"[128, 64, 32]"
29,"[64, 128, 256]",409,"[256, 128]"
30,"[64, 128, 256]",417,"[256, 128, 64]"
31,"[60, 120, 240]",403,"[240, 120, 60]"
32,"[64, 128]",177,"[128, 64, 32]"
33,"[68, 136]",184,"[136, 68, 34]"
34,"[156, 312]",475,"[312, 156, 78]"
35,"[48, 96]",148,"[96, 48, 24]"
36,"[44, 88]",117,"[88, 44, 22]"
37,"[48, 96]",151,"[96, 48, 24]"
38,"[48, 96]",154,"[96, 48, 24]"
39,"[76, 152]",203,"[152, 76, 38]"
40,"[176, 352]",488,"[352, 176]"
41,"[172, 344]",501,"[344, 172]"
42,"[180, 360]",477,"[360, 180]"
43,"[164, 328]",350,"[328, 164]"
44,"[152, 304]",342,"[304, 152]"
45,"[28, 56]",85,"[56, 28, 14]"
46,"[48, 96]",131,"[96, 48, 24]"
47,"[24, 48]",76,"[48, 24, 12]"
48,"[252, 504]",942,"[504, 252, 126]"
49,"[120, 240]",260,"[240, 120, 60]"
50,"[24, 48]",75,"[48, 24, 12]"
51,"[28, 56]",86,"[56, 28, 14]"
52,"[32, 64]",96,[64]
53,"[36, 72]",100,[72]
54,"[24, 48]",71,"[48, 24, 12]"
55,"[120, 240]",266,"[240, 120, 60]"
56,"[40, 80]",111,"[80, 40, 20]"
57,"[20, 40]",61,"[40, 20, 10]"
58,"[248, 496]",912,"[496, 248, 124]"
59,"[252, 504]",991,"[504, 252, 126]"
60,[216],280,"[216, 108, 54]"
61,[224],278,"[224, 112, 56]"
62,"[248, 496]",880,"[496, 248, 124]"
