trial_id,neurons_encoder,latent_dim,neurons_decoder
0,"[56, 112, 224, 448, 896]",969,"[896, 448, 224, 112, 56]"
1,"[132, 264, 528]",823,"[528, 264, 132, 66, 33]"
2,"[16, 32, 64, 128, 256]",338,"[256, 128, 64]"
3,"[200, 400, 800, 1600, 3200]",4166,"[3200, 1600, 800, 400, 200]"
4,"[88, 176]",243,"[176, 88, 44, 22, 11]"
5,"[64, 128, 256, 512, 1024]",1325,"[1024, 512]"
6,"[144, 288]",383,"[288, 144, 72, 36]"
7,"[228, 456]",849,"[456, 228, 114, 57, 28]"
8,"[128, 256, 512, 1024]",1109,"[1024, 512, 256, 128, 64]"
9,"[56, 112, 224, 448]",874,"[448, 224, 112, 56]"
10,"[172, 344, 688, 1376, 2752]",3931,"[2752, 1376, 688, 344, 172]"
11,"[188, 376, 752, 1504, 3008]",3068,"[3008, 1504, 752, 376, 188]"
12,"[64, 128, 256, 512]",688,"[512, 256, 128, 64]"
13,"[176, 352, 704]",1240,"[704, 352]"
14,"[8, 16, 32, 64]",73,"[64, 32]"
15,"[132, 264, 528]",672,"[528, 264]"
16,"[140, 280, 560]",682,"[560, 280]"
17,"[128, 256, 512]",646,"[512, 256]"
18,"[4, 8, 16]",27,"[16, 8]"
19,"[256, 512, 1024]",1650,"[1024, 512]"
20,"[256, 512, 1024]",1653,"[1024, 512, 256]"
21,"[248, 496, 992]",1604,"[992, 496, 248]"
22,"[232, 464, 928, 1856]",2198,"[1856, 928, 464]"
23,"[96, 192, 384, 768]",1247,"[768, 384, 192]"
24,"[168, 336, 672, 1344]",1961,"[1344, 672, 336]"
25,"[160, 320, 640, 1280]",1644,"[1280, 640]"
26,"[208, 416, 832]",1359,"[832, 416]"
27,"[208, 416, 832]",1151,"[832, 416]"
28,"[208, 416, 832]",1199,"[832, 416]"
29,"[216, 432, 864]",1459,"[864, 432]"
30,"[228, 456]",605,"[456, 228]"
31,"[32, 64]",73,"[64, 32]"
32,"[32, 64]",72,"[64, 32]"
33,"[240, 480]",594,"[480, 240]"
34,"[28, 56]",72,"[56, 28, 14]"
35,"[240, 480]",766,"[480, 240]"
36,"[244, 488, 976]",1510,"[976, 488]"
37,"[20, 40]",65,"[40, 20, 10]"
38,"[32, 64]",73,"[64, 32, 16]"
39,"[20, 40, 80, 160]",169,"[160, 80, 40]"
40,"[28, 56, 112, 224]",233,"[224, 112, 56]"
41,"[104, 208, 416, 832]",1362,"[832, 416, 208]"
42,"[100, 200, 400, 800]",1065,"[800, 400, 200]"
43,"[108, 216, 432, 864]",1356,"[864, 432, 216, 108]"
44,"[104, 208, 416, 832]",1351,"[832, 416, 208, 104]"
45,"[4, 8]",15,"[8, 8, 8, 8]"
46,"[8, 16]",28,"[16, 8, 8]"
47,"[4, 8]",15,"[8, 8, 8, 8]"
48,"[48, 96]",108,"[96, 48, 24]"
49,"[192, 384]",487,"[384, 192, 96]"
50,"[48, 96]",108,"[96, 48, 24]"
51,"[48, 96, 192, 384, 768]",1001,"[768, 384, 192]"
52,"[188, 376]",509,"[376, 188, 94]"
53,"[48, 96, 192]",205,"[192, 96]"
54,"[196, 392, 784]",816,"[784, 392]"
55,"[72, 144]",155,"[144, 72]"
56,"[72, 144, 288]",299,"[288, 144]"
57,"[80, 160]",171,"[160, 80]"
58,"[216, 432, 864]",1427,"[864, 432]"
59,"[184, 368, 736]",992,"[736, 368]"
60,"[212, 424]",500,"[424, 212, 106]"
61,"[216, 432]",532,"[432, 216, 108]"
62,"[16, 32, 64]",75,"[64, 32]"
63,"[116, 232]",304,"[232, 116]"
64,"[156, 312]",401,"[312, 156]"
65,"[152, 304]",392,"[304, 152]"
66,"[204, 408]",461,"[408, 204]"
67,"[204, 408]",444,"[408, 204]"
68,"[204, 408]",453,"[408, 204, 102]"
69,"[84, 168]",178,"[168, 84, 42]"
70,"[60, 120]",131,"[120, 60, 30]"
71,"[40, 80, 160, 320, 640]",941,"[640, 320, 160]"
72,"[24, 48, 96, 192, 384]",434,"[384, 192]"
73,"[24, 48, 96, 192, 384]",553,"[384, 192, 96, 48]"
74,"[24, 48]",67,"[48, 24, 12, 8]"
75,"[24, 48]",66,"[48, 24, 12]"
76,"[180, 360]",525,"[360, 180, 90, 45]"
77,"[176, 352]",513,"[352, 176, 88]"
78,"[224, 448]",747,"[448, 224, 112]"
79,"[184, 368]",617,"[368, 184, 92]"
80,"[228, 456, 912]",1155,"[912, 456, 228]"
81,"[232, 464]",715,"[464, 232, 116]"
82,"[224, 448, 896]",921,"[896, 448, 224]"
83,"[224, 448, 896]",922,"[896, 448, 224]"
84,"[224, 448, 896]",1168,"[896, 448, 224]"
85,"[216, 432, 864]",942,"[864, 432, 216]"
86,"[12, 24]",37,"[24, 12, 8]"
87,"[212, 424]",705,"[424, 212, 106]"
88,"[168, 336]",561,"[336, 168]"
89,"[168, 336, 672]",1051,"[672, 336, 168]"
90,"[12, 24, 48]",69,"[48, 24, 12]"
91,"[12, 24, 48, 96]",108,"[96, 48, 24]"
92,"[12, 24, 48, 96]",108,"[96, 48, 24]"
93,"[252, 504, 1008, 2016]",2088,"[2016, 1008, 504]"
94,"[40, 80, 160]",276,"[160, 80, 40]"
95,"[236, 472]",758,"[472, 236, 118]"
96,"[236, 472]",765,"[472, 236, 118, 59, 29]"
97,"[252, 504]",781,"[504, 252, 126, 63, 31]"
98,"[196, 392, 784]",1118,"[784, 392, 196]"
99,"[232, 464, 928]",1060,"[928, 464, 232, 116, 58]"
100,"[140, 280, 560]",1042,"[560, 280, 140, 70, 35]"
101,"[144, 288, 576]",1028,"[576, 288, 144]"
102,"[196, 392, 784]",1096,"[784, 392, 196, 98, 49]"
103,"[196, 392, 784]",1138,"[784, 392, 196, 98, 49]"
104,"[244, 488, 976]",1142,"[976, 488, 244, 122, 61]"
105,"[196, 392, 784]",1134,"[784, 392, 196, 98, 49]"
106,"[144, 288, 576]",1026,"[576, 288, 144, 72, 36]"
107,"[136, 272, 544]",1027,"[544, 272, 136, 68, 34]"
108,"[124, 248, 496]",960,"[496, 248, 124, 62, 31]"
109,"[128, 256, 512]",872,"[512, 256, 128, 64, 32]"
110,"[124, 248, 496]",848,"[496, 248, 124, 62, 31]"
111,"[132, 264, 528]",835,"[528, 264, 132, 66, 33]"
112,"[208, 416, 832]",1271,"[832, 416, 208, 104]"
113,"[220, 440, 880]",1202,"[880, 440, 220, 110]"
114,"[120, 240, 480]",884,"[480, 240, 120, 60]"
115,"[208, 416, 832]",1296,"[832, 416, 208]"
116,"[208, 416, 832]",1083,"[832, 416, 208]"
117,"[208, 416, 832]",1294,"[832, 416, 208]"
118,"[212, 424, 848]",1241,"[848, 424, 212]"
119,"[212, 424, 848]",1079,"[848, 424, 212]"
120,"[160, 320]",585,"[320, 160, 80]"
121,"[240, 480, 960]",1087,"[960, 480, 240]"
122,"[164, 328, 656]",1089,"[656, 328, 164]"
123,"[188, 376, 752]",1110,"[752, 376, 188]"
124,"[200, 400, 800]",1246,"[800, 400, 200]"
125,"[188, 376, 752]",1082,"[752, 376, 188]"
126,"[200, 400, 800]",1177,"[800, 400, 200]"
127,"[188, 376, 752]",1119,"[752, 376, 188]"
128,"[200, 400, 800]",1187,"[800, 400, 200]"
129,"[212, 424, 848]",1394,"[848, 424, 212]"
130,"[212, 424, 848]",1322,"[848, 424, 212]"
131,"[220, 440, 880]",1383,"[880, 440, 220]"
132,"[212, 424, 848]",1325,"[848, 424, 212]"
133,"[212, 424, 848]",1327,"[848, 424, 212]"
134,"[228, 456, 912, 1824]",1861,"[1824, 912, 456]"
135,"[220, 440, 880]",1409,"[880, 440, 220]"
136,"[224, 448, 896]",1441,"[896, 448, 224]"
137,"[220, 440, 880]",1224,"[880, 440, 220]"
