Run,MSE_Train,R2_Train,SMAPE_Train,MSE_Test,R2_Test,SMAPE_Test
1,0.004472509383996538,0.8981445313037756,14.236141409205333,0.011228784955595443,0.6999027010498203,12.729267939336907
2,0.00446133295014626,0.8983990597598244,14.61222900743805,0.01204139352881696,0.6781851564631269,13.010906195563784
3,0.0035029263453967754,0.9202254989122194,13.433619972116084,0.009945450041542113,0.7342007433472599,11.256964887666292
4,0.0039717286634986994,0.909549147956533,14.445013794741246,0.010117425684004798,0.7296045714557895,11.743322999376185
5,0.003764025991998452,0.9142793007944039,14.091450611188144,0.010332611472859693,0.7238535775358607,11.577324139958044
6,0.004198168152057731,0.9043922889634493,14.003701169220944,0.011158483578785744,0.7017815555631537,12.058311942994683
7,0.0033202991105155343,0.9243845919422048,13.586376621019053,0.008490529495490683,0.7730845342279092,11.144847899251124
8,0.003985398681458531,0.9092378314299837,14.022367636597602,0.011321023585869675,0.6974375577672991,12.10388522771209
9,0.003343805284578252,0.9238492700075029,12.977204339278039,0.010122215923927267,0.7294765488720691,11.240099782671061
10,0.004754311032213281,0.8917268725591815,15.003181139624555,0.011671131036144287,0.6880806860678915,12.322726275714565
