Al,Co,Cr,Cu,Fe,Mn,Ni,V
0,45,10,0,20,0,15,10
0,30,10,0,5,0,45,10
0,30,5,0,30,0,20,15
0,25,10,0,20,0,40,5
0,10,10,0,55,0,25,0
0,35,25,0,5,0,30,5
0,55,10,0,10,0,15,10
0,10,10,0,25,0,50,5
5,0,5,0,25,0,60,5
0,5,15,0,5,0,70,5
0,15,5,0,45,0,30,5
5,15,5,0,5,0,65,5
5,10,5,0,25,0,50,5
0,25,10,0,5,0,35,25
5,0,5,0,45,0,45,0
0,5,10,0,10,0,55,20
0,50,10,0,15,0,15,10
0,5,0,0,75,0,20,0
0,25,10,0,35,0,25,5
0,25,10,0,25,0,35,5
0,25,5,0,10,0,50,10
0,30,20,0,5,0,40,5
0,40,15,0,5,0,30,10
0,5,10,0,30,0,50,5
0,30,0,0,30,0,35,5
5,20,5,0,25,0,45,0
0,5,20,0,10,0,55,10
0,15,5,0,20,0,40,20
5,5,10,0,35,0,45,0
5,10,0,0,30,0,50,5
5,5,10,0,20,0,55,5
15,5,0,0,15,0,65,0
0,15,25,0,5,0,50,5
0,10,5,0,35,0,35,15
0,40,20,0,5,0,30,5
0,45,15,0,10,0,15,15
0,75,0,0,15,0,0,10
0,25,20,0,10,0,35,10
0,45,5,0,15,0,25,10
0,30,10,0,15,0,30,15
5,10,5,0,20,0,55,5
0,10,20,0,5,0,60,5
0,10,5,0,5,0,50,30
0,35,15,0,5,0,20,25
0,15,20,0,5,0,45,15
0,15,5,0,15,0,40,25
5,5,5,0,20,0,50,15
0,25,15,0,5,0,35,20
0,30,10,0,10,0,30,20
0,40,5,0,15,0,15,25
0,5,5,0,30,0,45,15
0,20,5,0,25,0,35,15
0,40,25,0,10,0,20,5
0,35,15,0,10,0,25,15
0,20,10,0,10,0,45,15
0,25,25,0,15,0,25,10
0,15,15,0,5,0,45,20
0,5,5,0,30,0,55,5
0,20,10,0,5,0,40,25
0,20,15,0,0,0,35,30
5,10,0,0,5,0,55,25
0,15,15,0,15,0,40,15
0,25,5,0,10,0,35,25
0,35,20,0,10,0,15,20
0,0,20,0,55,0,25,0
0,10,0,0,0,0,75,15
0,50,5,0,15,0,5,25
0,35,20,0,30,0,15,0
0,65,15,0,0,0,10,10
0,10,0,0,30,0,40,20
0,15,20,0,15,0,40,10
0,40,5,0,15,0,20,20
0,25,0,0,35,0,35,5
0,20,5,0,15,0,40,20
0,20,10,0,0,0,45,25
5,5,0,0,40,0,45,5
0,10,5,0,10,0,55,20
0,20,20,0,15,0,30,15
0,30,5,0,15,0,20,30
0,30,0,0,15,0,50,5
4,8,4,4,16,12,48,4
4,16,0,4,12,8,52,4
4,12,8,4,16,8,48,0
0,12,8,4,16,20,36,4
4,12,8,0,8,8,56,4
4,0,8,4,24,12,44,4
4,12,0,0,16,8,52,8
0,24,8,0,12,16,32,8
4,16,8,0,12,0,48,12
4,0,4,0,20,8,52,12
0,16,0,4,20,20,28,12
0,0,8,4,16,12,52,8
4,20,4,4,16,0,52,0
0,16,8,4,16,20,36,0
0,20,8,4,0,20,44,4
4,12,0,12,20,8,44,0
4,8,4,4,16,12,48,4
4,16,0,4,12,8,52,4
4,12,8,4,16,8,48,0
0,12,8,4,16,20,36,4
4,12,8,0,8,8,56,4
4,0,8,4,24,12,44,4
4,12,0,0,16,8,52,8
0,24,8,0,12,16,32,8
4,16,8,0,12,0,48,12
4,0,4,0,20,8,52,12
0,16,0,4,20,20,28,12
0,0,8,4,16,12,52,8
4,20,4,4,16,0,52,0
0,16,8,4,16,20,36,0
0,20,8,4,0,20,44,4
4,12,0,12,20,8,44,0
4,0,4,4,16,12,56,4
0,4,8,4,16,20,44,4
4,8,0,12,20,8,48,0
0,24,4,0,8,4,36,24
4,32,8,4,4,20,24,4
4,0,12,4,4,16,52,8
4,12,4,0,28,0,40,12
0,44,12,0,4,4,12,24
0,16,20,0,4,4,36,20
4,40,0,0,12,4,36,4
4,8,12,4,4,24,40,4
0,4,8,0,4,28,40,16
4,0,4,4,8,16,52,12
0,24,4,0,4,32,20,16
0,20,4,0,4,4,48,20
0,40,4,0,28,4,4,20
4,0,12,16,4,12,52,0
4,0,8,24,4,16,44,0
4,36,0,0,4,4,40,12
4,12,4,4,20,16,32,8
4,8,0,0,4,8,52,24
4,4,12,0,0,4,52,24
4,0,4,0,4,4,60,24
0,24,8,0,16,40,4,8
4,28,4,0,4,4,44,12
4,32,4,0,0,4,44,12
0,8,0,4,4,28,36,20
0,36,4,0,16,16,8,20
4,4,16,0,8,0,52,16
4,12,4,4,12,16,36,12
4,4,4,8,28,16,32,4
4,28,0,20,4,8,36,0
0,12,4,0,4,16,40,24
4,16,0,20,4,12,44,0
4,28,4,0,8,0,40,16
