trial_id,neurons_encoder,latent_dim,neurons_decoder
0,"[116, 232, 464]",851,"[464, 232]"
1,"[180, 360]",380,"[360, 180, 90]"
2,"[224, 448, 896]",1026,"[896, 448, 224]"
3,[144],247,[144]
4,"[4, 8, 16]",18,"[16, 8, 8]"
5,"[144, 288, 576]",908,"[576, 288, 144]"
6,[32],47,[32]
7,"[52, 104]",123,"[104, 52]"
8,[256],505,"[256, 128, 64]"
9,"[72, 144, 288]",526,"[288, 144, 72]"
10,[196],295,[196]
11,[132],206,"[132, 66]"
12,"[96, 192]",206,[192]
13,"[256, 512, 1024]",1686,[1024]
14,"[188, 376]",589,[376]
15,"[12, 24]",26,[24]
16,"[4, 8, 16]",18,[16]
17,"[8, 16]",18,[16]
18,"[12, 24]",26,"[24, 12]"
19,"[188, 376]",478,"[376, 188]"
20,[192],291,"[192, 96]"
21,[180],282,"[180, 90]"
22,[188],290,"[188, 94]"
23,"[164, 328]",439,"[328, 164]"
24,"[84, 168]",210,"[168, 84]"
25,"[216, 432]",645,"[432, 216, 108]"
26,"[56, 112]",124,"[112, 56, 28]"
27,"[48, 96]",109,"[96, 48, 24]"
28,"[44, 88]",100,"[88, 44, 22]"
29,"[40, 80]",92,"[80, 40, 20]"
30,"[44, 88]",115,"[88, 44]"
31,"[60, 120]",149,"[120, 60, 30]"
32,"[60, 120]",140,"[120, 60, 30]"
33,"[112, 224]",359,"[224, 112, 56]"
34,"[112, 224]",349,"[224, 112, 56]"
35,"[108, 216]",233,"[216, 108, 54]"
36,"[68, 136]",151,"[136, 68, 34]"
37,"[108, 216]",234,"[216, 108, 54]"
38,"[160, 320]",415,"[320, 160, 80]"
39,"[28, 56]",90,"[56, 28, 14]"
40,"[28, 56]",90,"[56, 28, 14]"
41,"[156, 312, 624]",815,"[624, 312, 156]"
42,"[140, 280, 560]",731,"[560, 280, 140]"
43,"[156, 312, 624]",765,"[624, 312]"
44,"[132, 264, 528]",698,"[528, 264]"
45,"[160, 320]",407,"[320, 160, 80]"
46,"[84, 168]",190,"[168, 84, 42]"
47,"[96, 192]",272,"[192, 96, 48]"
48,"[92, 184]",253,"[184, 92, 46]"
49,"[88, 176]",245,"[176, 88, 44]"
50,"[80, 160]",242,"[160, 80, 40]"
51,"[88, 176]",245,"[176, 88, 44]"
52,"[96, 192]",265,"[192, 96, 48]"
53,"[96, 192]",268,"[192, 96, 48]"
54,"[128, 256]",320,"[256, 128]"
55,"[96, 192]",264,"[192, 96, 48]"
56,"[124, 248]",313,"[248, 124, 62]"
57,"[120, 240]",312,"[240, 120, 60]"
58,"[124, 248]",305,"[248, 124, 62]"
59,"[124, 248]",314,"[248, 124, 62]"
60,"[72, 144]",185,"[144, 72, 36]"
61,"[72, 144]",188,"[144, 72]"
62,[104],175,"[104, 52]"
63,[104],174,"[104, 52]"
64,[72],109,"[72, 36]"
65,"[104, 208]",256,"[208, 104]"
66,"[60, 120]",181,"[120, 60, 30]"
67,[104],172,"[104, 52]"
68,[144],223,"[144, 72]"
69,[80],128,"[80, 40]"
70,[80],129,"[80, 40]"
71,[76],108,"[76, 38]"
72,[52],75,"[52, 26]"
73,[64],86,"[64, 32]"
74,[52],75,"[52, 26]"
75,[104],167,"[104, 52]"
76,[52],77,"[52, 26]"
77,[148],194,"[148, 74]"
78,[144],196,"[144, 72]"
79,[36],50,"[36, 18]"
80,[52],76,"[52, 26]"
81,[36],50,"[36, 18]"
82,[84],141,"[84, 42]"
83,[36],54,"[36, 18]"
84,[84],139,"[84, 42]"
85,[20],35,"[20, 10]"
86,[68],80,"[68, 34]"
87,[84],144,"[84, 42]"
88,[84],138,"[84, 42]"
89,[68],119,"[68, 34]"
90,[104],164,"[104, 52]"
91,[68],115,"[68, 34]"
92,[68],117,"[68, 34]"
93,[100],161,"[100, 50]"
94,[104],164,"[104, 52]"
95,[52],76,"[52, 26]"
96,[48],74,"[48, 24]"
97,[116],161,"[116, 58]"
98,[92],129,"[92, 46]"
99,[76],127,[76]
100,[60],103,"[60, 30]"
101,[60],99,"[60, 30]"
102,[60],102,"[60, 30]"
103,[60],99,"[60, 30]"
104,[60],100,"[60, 30]"
105,[44],68,"[44, 22]"
106,[44],70,"[44, 22]"
107,[44],66,"[44, 22]"
108,[76],133,"[76, 38]"
109,[76],137,"[76, 38]"
110,[76],134,"[76, 38]"
111,[248],261,"[248, 124]"
112,[88],123,"[88, 44]"
113,[88],153,"[88, 44]"
114,[88],113,"[88, 44]"
115,[92],146,"[92, 46]"
116,[28],45,"[28, 14]"
117,[72],119,"[72, 36]"
118,[112],144,"[112, 56]"
119,[28],42,"[28, 14]"
120,[28],42,"[28, 14]"
121,[112],189,"[112, 56]"
122,[20],36,"[20, 10]"
123,[28],41,"[28, 14]"
124,[20],35,"[20, 10]"
125,[20],36,"[20, 10]"
126,[48],85,"[48, 24]"
127,[20],23,"[20, 10]"
128,[56],95,"[56, 28]"
129,[52],96,"[52, 26]"
130,"[64, 128, 256]",269,"[256, 128]"
131,"[64, 128, 256]",270,"[256, 128]"
132,"[80, 160, 320]",333,"[320, 160]"
133,"[64, 128, 256]",269,"[256, 128]"
134,[68],115,"[68, 34]"
135,[80],112,"[80, 40]"
136,[80],111,"[80, 40]"
137,[80],107,"[80, 40]"
138,[80],107,"[80, 40]"
139,[80],111,"[80, 40]"
140,[80],112,"[80, 40]"
141,[84],112,"[84, 42]"
142,[96],112,"[96, 48]"
143,[92],112,"[92, 46]"
144,[96],116,"[96, 48]"
145,[100],115,"[100, 50]"
146,[56],104,"[56, 28]"
147,[88],104,"[88, 44]"
148,[100],123,"[100, 50]"
149,[72],121,"[72, 36]"
150,[72],122,"[72, 36]"
151,[72],110,"[72, 36]"
152,[72],114,"[72, 36]"
153,[72],110,"[72, 36]"
154,[84],125,"[84, 42]"
155,[84],110,[84]
156,[84],114,"[84, 42]"
157,[80],114,[80]
158,[80],113,"[80, 40]"
159,[80],126,"[80, 40]"
160,[84],118,"[84, 42]"
161,[88],119,"[88, 44]"
162,[88],155,"[88, 44]"
163,[92],126,"[92, 46]"
164,[76],113,"[76, 38]"
165,[88],120,"[88, 44]"
166,[76],132,"[76, 38]"
167,[76],130,"[76, 38]"
168,[76],133,"[76, 38]"
169,[92],130,"[92, 46]"
170,[76],131,"[76, 38]"
171,[92],172,"[92, 46]"
172,[92],172,"[92, 46]"
173,[108],120,"[108, 54]"
174,[68],131,"[68, 34]"
175,[68],131,"[68, 34]"
176,[100],178,"[100, 50]"
177,[108],121,"[108, 54]"
178,[100],117,"[100, 50]"
179,[116],127,"[116, 58]"
180,[116],127,"[116, 58]"
181,[108],121,"[108, 54]"
182,[112],125,"[112, 56]"
183,[108],120,"[108, 54]"
184,[104],119,"[104, 52]"
185,[108],122,"[108, 54]"
186,[120],130,"[120, 60]"
187,[104],136,"[104, 52]"
188,[128],138,"[128, 64]"
189,[108],123,"[108, 54]"
190,[120],130,"[120, 60]"
191,[136],146,"[136, 68]"
192,[120],130,"[120, 60]"
193,[116],127,"[116, 58]"
194,[120],130,"[120, 60]"
195,[120],130,"[120, 60]"
196,[124],135,"[124, 62]"
197,[116],127,"[116, 58]"
198,[120],130,"[120, 60]"
199,[116],126,"[116, 58]"
200,[132],142,"[132, 66]"
201,[116],126,"[116, 58]"
202,[116],126,"[116, 58]"
203,[128],138,"[128, 64]"
204,[128],140,"[128, 64]"
205,[132],142,"[132, 66]"
206,[124],135,"[124, 62]"
207,[124],134,"[124, 62]"
208,[124],134,"[124, 62]"
209,[140],150,"[140, 70]"
210,[112],124,"[112, 56]"
211,[140],149,"[140, 70]"
212,[132],142,"[132, 66]"
213,[132],142,"[132, 66]"
214,[112],124,"[112, 56]"
215,[120],130,"[120, 60]"
216,[116],126,"[116, 58]"
217,[120],130,"[120, 60]"
218,[120],132,"[120, 60]"
219,[120],130,"[120, 60]"
220,[104],166,"[104, 52]"
221,[96],128,"[96, 48]"
222,[104],128,"[104, 52]"
223,[100],128,"[100, 50]"
224,[100],132,"[100, 50]"
225,[140],149,"[140, 70]"
226,[148],158,"[148, 74]"
227,[96],128,"[96, 48]"
228,[112],123,"[112, 56]"
229,[112],122,"[112, 56]"
230,[144],154,"[144, 72]"
