trial_id,neurons_encoder,latent_dim,neurons_decoder
0,"[228, 456, 912]",1674,"[912, 456, 228]"
1,"[24, 48, 96, 192]",295,"[192, 96, 48, 24, 12]"
2,"[100, 200, 400]",509,"[400, 200, 100, 50]"
3,"[52, 104, 208, 416, 832]",1155,"[832, 416, 208, 104]"
4,"[88, 176, 352, 704]",957,"[704, 352, 176]"
5,"[44, 88, 176]",234,"[176, 88, 44, 22, 11]"
6,"[12, 24, 48, 96]",130,"[96, 48, 24]"
7,"[8, 16, 32, 64, 128]",178,"[128, 64]"
8,"[44, 88, 176, 352, 704]",1156,"[704, 352, 176, 88]"
9,"[120, 240]",461,"[240, 120, 60, 30]"
10,"[76, 152, 304, 608]",932,"[608, 304, 152, 76]"
11,"[88, 176]",271,"[176, 88]"
12,"[80, 160, 320, 640, 1280]",2448,"[1280, 640, 320]"
13,"[56, 112, 224, 448, 896]",935,"[896, 448]"
14,"[200, 400, 800, 1600]",3023,"[1600, 800, 400, 200, 100]"
15,"[172, 344]",429,"[344, 172, 86, 43, 21]"
16,"[168, 336]",434,"[336, 168, 84, 42, 21]"
17,"[160, 320]",405,"[320, 160, 80, 40, 20]"
18,"[140, 280]",390,"[280, 140, 70, 35, 17]"
19,"[140, 280]",380,"[280, 140, 70, 35, 17]"
20,"[120, 240, 480]",598,"[480, 240, 120, 60, 30]"
21,"[132, 264, 528]",641,"[528, 264, 132, 66, 33]"
22,"[120, 240, 480]",611,"[480, 240, 120, 60]"
23,"[132, 264, 528]",606,"[528, 264, 132, 66, 33]"
24,"[144, 288, 576]",692,"[576, 288, 144, 72, 36]"
25,"[144, 288, 576]",631,"[576, 288, 144, 72, 36]"
26,"[144, 288]",360,"[288, 144, 72, 36, 18]"
27,"[184, 368]",408,"[368, 184, 92, 46]"
28,"[196, 392]",479,"[392, 196, 98, 49]"
29,"[196, 392]",493,"[392, 196, 98, 49]"
30,"[208, 416, 832, 1664]",1831,"[1664, 832, 416, 208]"
31,"[204, 408, 816, 1632]",1733,"[1632, 816, 408, 204]"
32,"[232, 464, 928, 1856]",2040,"[1856, 928, 464, 232]"
33,"[244, 488, 976, 1952]",3707,"[1952, 976, 488, 244]"
34,"[232, 464, 928, 1856]",2047,"[1856, 928, 464]"
35,"[244, 488, 976, 1952]",2073,"[1952, 976, 488, 244, 122]"
36,"[108, 216, 432]",547,"[432, 216, 108, 54, 27]"
37,"[108, 216, 432]",538,"[432, 216, 108, 54, 27]"
38,"[108, 216, 432]",537,"[432, 216, 108, 54, 27]"
39,"[256, 512, 1024]",1077,"[1024, 512, 256, 128, 64]"
40,"[252, 504]",556,"[504, 252, 126, 63, 31]"
41,"[20, 40]",46,"[40, 20, 10, 8, 8]"
42,"[24, 48]",55,"[48, 24, 12, 8, 8]"
43,"[28, 56]",92,"[56, 28, 14, 8, 8]"
44,"[32, 64]",110,"[64, 32, 16]"
45,"[156, 312]",368,"[312, 156, 78]"
46,"[156, 312]",379,"[312, 156, 78]"
47,"[64, 128]",208,"[128, 64, 32, 16]"
48,"[60, 120]",196,"[120, 60, 30, 15]"
49,"[96, 192]",299,"[192, 96, 48, 24]"
50,"[120, 240]",325,"[240, 120, 60, 30]"
51,"[92, 184, 368, 736]",804,"[736, 368, 184, 92]"
52,"[92, 184, 368, 736, 1472]",1523,"[1472, 736, 368, 184]"
53,"[92, 184, 368, 736, 1472]",1498,"[1472, 736, 368, 184]"
54,"[68, 136, 272, 544, 1088]",1121,"[1088, 544]"
55,"[84, 168]",261,"[168, 84]"
