number,values_0,values_1,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_r2_feature_2,user_attrs_relative_deterioration,state
0,-0.6294121793080394,-0.3106361273478584,2025-01-09 21:24:49.104599,2025-01-09 21:24:51.573953,0 days 00:00:02.469354,0.01746522887563304,96,0.1,172,100,1.016195745109107e-06,388,0.0007504501380114356,5,1,sgd,"{'neurons_per_layer_encoder': [172], 'neurons_per_layer_decoder': [172, 86, 43, 21, 10]}",172,"[172, 86, 43, 21, 10]",[172],[-0.6294121793080394],[-0.3106361273478584],0.31780963743643365,COMPLETE
1,-4.827994412359806,-0.04308540147067763,2025-01-09 21:24:49.106163,2025-01-09 21:24:52.351525,0 days 00:00:03.245362,0.019471037162910536,128,0.1,80,100,0.00034489640662445023,2008,0.0001483531355260665,3,5,sgd,"{'neurons_per_layer_encoder': [80, 160, 320, 640, 1280], 'neurons_per_layer_decoder': [1280, 640, 320]}",80,"[1280, 640, 320]","[80, 160, 320, 640, 1280]",[-4.827994412359806],[-0.04308540147067763],0.9620103864901605,COMPLETE
2,-1.3179766609999999,-0.05034488614781463,2025-01-09 21:24:49.105798,2025-01-09 21:24:53.349223,0 days 00:00:04.243425,0.12134347996090784,72,0.30000000000000004,44,100,1.7780407401094753e-06,48,0.0025767208754222995,2,1,adadelta,"{'neurons_per_layer_encoder': [44], 'neurons_per_layer_decoder': [44, 22]}",44,"[44, 22]",[44],[-1.3179766609999999],[-0.05034488614781463],0.5589783475691956,COMPLETE
3,-2.339337926612456,-0.21434295176636975,2025-01-09 21:24:49.104823,2025-01-09 21:24:59.523505,0 days 00:00:10.418682,0.028666103151446614,96,0.2,116,100,5.2170481381120295e-06,2616,0.0003151901518721599,4,5,adadelta,"{'neurons_per_layer_encoder': [116, 232, 464, 928, 1856], 'neurons_per_layer_decoder': [1856, 928, 464, 232]}",116,"[1856, 928, 464, 232]","[116, 232, 464, 928, 1856]",[-2.339337926612456],[-0.21434295176636975],0.6092916247543745,COMPLETE
4,-0.3555407213529924,0.03531733350480026,2025-01-09 21:24:49.105071,2025-01-09 21:25:03.477126,0 days 00:00:14.372055,0.05970673156954968,64,0.2,244,100,2.4103517778178873e-05,2408,0.002897489138658144,3,4,sgd,"{'neurons_per_layer_encoder': [244, 488, 976, 1952], 'neurons_per_layer_decoder': [1952, 976, 488]}",244,"[1952, 976, 488]","[244, 488, 976, 1952]",[-0.3555407213529924],[0.03531733350480026],0.8532575079692004,COMPLETE
5,-3.051998354078931,-0.06823801044934852,2025-01-09 21:24:51.580698,2025-01-09 21:24:54.289081,0 days 00:00:02.708383,0.17100001301538997,112,0.2,240,100,2.39458932541517e-05,696,0.0017894434773220494,3,2,sgd,"{'neurons_per_layer_encoder': [240, 480], 'neurons_per_layer_decoder': [480, 240, 120]}",240,"[480, 240, 120]","[240, 480]",[-3.051998354078931],[-0.06823801044934852],0.5969440675441811,COMPLETE
6,-0.21318511121308759,-0.045375995174568695,2025-01-09 21:24:52.360537,2025-01-09 21:25:07.829152,0 days 00:00:15.468615,0.1585141960386627,40,0.4,204,100,0.00010730316002911382,1928,0.006490716811430356,5,4,sgd,"{'neurons_per_layer_encoder': [204, 408, 816, 1632], 'neurons_per_layer_decoder': [1632, 816, 408, 204, 102]}",204,"[1632, 816, 408, 204, 102]","[204, 408, 816, 1632]",[-0.21318511121308759],[-0.045375995174568695],0.9551761752936762,COMPLETE
7,0.23591413192669652,-0.010823895595651,2025-01-09 21:24:53.357531,2025-01-09 21:25:01.470423,0 days 00:00:08.112892,0.04904972839777544,72,0.2,180,100,0.0006766313668797844,768,0.0002918499337071245,3,2,adam,"{'neurons_per_layer_encoder': [180, 360], 'neurons_per_layer_decoder': [360, 180, 90]}",180,"[360, 180, 90]","[180, 360]",[0.23591413192669652],[-0.010823895595651],0.9468633024112229,COMPLETE
8,-2.6245137370302327,-0.18172548110269693,2025-01-09 21:24:54.298183,2025-01-09 21:24:57.870761,0 days 00:00:03.572578,0.026462281406426553,112,0.4,4,100,2.256317091460199e-06,35,3.847800614873677e-05,5,4,sgd,"{'neurons_per_layer_encoder': [4, 8, 16, 32], 'neurons_per_layer_decoder': [32, 16, 8, 8, 8]}",4,"[32, 16, 8, 8, 8]","[4, 8, 16, 32]",[-2.6245137370302327],[-0.18172548110269693],0.34790762843607,COMPLETE
9,-0.4054696669960387,0.2716364224852241,2025-01-09 21:24:57.878627,2025-01-09 21:25:02.820608,0 days 00:00:04.941981,0.07641437583817397,32,0.2,176,100,0.00020236408751113334,296,0.007600664875238058,3,1,sgd,"{'neurons_per_layer_encoder': [176], 'neurons_per_layer_decoder': [176, 88, 44]}",176,"[176, 88, 44]",[176],[-0.4054696669960387],[0.2716364224852241],0.7968460729026431,COMPLETE
10,-8.976766077104468,-0.038702089763943626,2025-01-09 21:24:59.537195,2025-01-09 21:25:02.623039,0 days 00:00:03.085844,0.04168198363741856,40,0.30000000000000004,140,100,1.5494487652823353e-05,1160,0.00012985516980518793,3,3,sgd,"{'neurons_per_layer_encoder': [140, 280, 560], 'neurons_per_layer_decoder': [560, 280, 140]}",140,"[560, 280, 140]","[140, 280, 560]",[-8.976766077104468],[-0.038702089763943626],0.476915731672005,COMPLETE
11,-4.087790924476508,0.0018086670029038299,2025-01-09 21:25:01.478523,2025-01-09 21:25:04.802092,0 days 00:00:03.323569,0.013385349150154267,48,0.30000000000000004,84,100,4.938930119287067e-06,376,4.2682624716131347e-05,3,3,adadelta,"{'neurons_per_layer_encoder': [84, 168, 336], 'neurons_per_layer_decoder': [336, 168, 84]}",84,"[336, 168, 84]","[84, 168, 336]",[-4.087790924476508],[0.0018086670029038299],0.40923814653877955,COMPLETE
12,-2.032160023218588,0.09785645367661233,2025-01-09 21:25:02.630351,2025-01-09 21:25:09.743647,0 days 00:00:07.113296,0.023008283085952975,64,0.2,32,100,0.00034921256093701326,392,2.3601907591100842e-05,4,4,adam,"{'neurons_per_layer_encoder': [32, 64, 128, 256], 'neurons_per_layer_decoder': [256, 128, 64, 32]}",32,"[256, 128, 64, 32]","[32, 64, 128, 256]",[-2.032160023218588],[0.09785645367661233],0.905002243268104,COMPLETE
13,-4.8893267169517625,0.03180620602748707,2025-01-09 21:25:02.827686,2025-01-09 21:25:06.992353,0 days 00:00:04.164667,0.07113811095857456,64,0.2,132,100,1.1348250263937172e-05,2552,0.00013312961781870793,1,4,adadelta,"{'neurons_per_layer_encoder': [132, 264, 528, 1056], 'neurons_per_layer_decoder': [1056]}",132,[1056],"[132, 264, 528, 1056]",[-4.8893267169517625],[0.03180620602748707],0.5864368016842857,COMPLETE
