Year,Al,Co,Cr,Cu,Fe,Mn,Ni,V,VarvYS pred(MPa) at 298K,SFE_calc,VEC Avg,EDS Measured Atomic % Al,EDS Measured Atomic % Co,EDS Measured Atomic % Cr,EDS Measured Atomic % Cu,EDS Measured Atomic % Fe,EDS Measured Atomic % Mn,EDS Measured Atomic % Ni,EDS Measured Atomic % V,"Hardness, HV","SD, HV",Yield Strength (MPa),"SD, YS",UTS_True (Mpa),"SD, UTS",UTS/YS,"SD, UTS/YS",Elong_T (%),"SD, Elong%",Hardness (GPa) SRJT,"SD, Hardness",Modulus (GPa) SRJT,"SD, Modulus",Avg Hdyn (GPa) HSR,"SD, Avg Hdyn",Avg Hqs (GPa) HSR,"SD, Avg Hqs",Avg HDYN/HQS,"Std, Hdyn/Hqs",Depth of Penetration (mm) FE_Sim,Cracked,Cold Work (%Reduction),Holding time (h),Grain Size(um)
1,0,45.0,10,0,20.0,0,15.0,10,248.2045892639757,-85.32839206893681,5.1,0.0,44.4,10.4,0.0,20.3,0.0,14.5,10.3,225.8,5.6,487.0,14.8,839.0,5.9,1.72,0.05,25.7,2.6,2.62,0.12,190.02,11.79,,,,,,,,0.0,,,
1,0,30.0,10,0,5.0,0,45.0,10,244.4242486557814,-19.13421194033971,6.600000000000001,0.0,30.2,10.4,0.0,5.2,0.0,43.9,10.4,257.4,16.0,537.0,11.0,829.0,43.3,1.54,0.09,20.8,1.7,2.85,0.34,195.4,9.1,,,,,,,,0.0,,,
1,0,30.0,5,0,30.0,0,20.0,15,275.6920066033588,-58.21776964085162,6.050000000000001,0.0,29.8,5.3,0.0,30.1,0.0,19.5,15.3,227.2,8.7,427.0,14.1,721.0,20.9,1.69,0.07,22.1,1.9,2.4,0.12,189.61,8.42,,,,,,,,0.0,,,
1,0,25.0,10,0,20.0,0,40.0,5,173.2094365490373,1.640264563490415,6.949999999999999,0.0,25.2,10.4,0.0,20.2,0.0,39.0,5.2,187.0,10.1,383.0,33.5,621.0,50.2,1.62,0.18,19.5,0.3,2.31,0.13,189.31,6.19,,,,,,,,0.0,,,
1,0,10.0,10,0,55.0,0,25.0,0,77.58102446893048,11.38838262674635,7.7,0.0,10.1,10.6,0.0,54.8,0.0,24.5,0.0,149.5,4.2,310.0,12.3,446.0,2.6,1.44,0.05,18.3,0.9,1.82,0.04,161.94,4.18,,,,,,,,0.0,,,
1,0,35.0,25,0,5.0,0,30.0,5,202.0427934898094,-46.08663054308739,5.85,0.0,34.9,25.6,0.0,5.0,0.0,29.3,5.2,263.2,13.8,650.0,66.1,974.0,22.7,1.5,0.19,20.5,3.3,2.9,0.19,199.06,15.24,,,,,,,,0.0,,,
1,0,55.0,10,0,10.0,0,15.0,10,254.5196105913244,-124.9873678212238,4.5,0.0,54.7,10.3,0.0,10.1,0.0,14.6,10.3,259.2,15.5,606.0,29.1,952.0,7.9,1.57,0.09,24.9,1.1,2.88,0.16,197.23,6.66,,,,,,,,0.0,,,
1,0,10.0,10,0,25.0,0,50.0,5,166.3823782483187,39.67328974909728,8.05,0.0,10.2,10.5,0.0,25.5,0.0,48.4,5.3,203.9,13.6,447.0,13.5,660.0,13.4,1.48,0.06,14.2,2.7,2.15,0.1,187.18,5.81,,,,,,,,0.0,,,
1,5,0.0,5,0,25.0,0,60.0,5,425.7082280817232,81.80751923674603,8.7,5.5,0.0,5.2,0.0,25.5,0.0,58.6,5.3,195.5,9.2,331.0,29.2,782.0,24.5,2.36,0.18,40.1,3.3,2.31,0.09,178.43,2.68,,,,,,,,0.0,,,
1,0,5.0,15,0,5.0,0,70.0,5,171.0651694635452,79.60742700748533,8.65,0.0,5.2,15.5,0.0,5.2,0.0,69.0,5.1,212.0,9.8,376.0,14.4,764.0,27.2,2.03,0.1,28.1,2.1,2.24,0.19,190.61,9.22,,,,,,,,0.0,,,
1,0,15.0,5,0,45.0,0,30.0,5,155.0269203505092,103.0181752127349,7.449999999999999,0.0,15.2,5.2,0.0,45.1,0.0,29.3,5.2,179.6,10.5,364.0,28.6,547.0,17.9,1.5,0.11,11.9,0.7,1.91,0.11,162.1,5.64,,,,,,,,0.0,,,
1,5,15.0,5,0,5.0,0,65.0,5,448.2754879008656,92.669663498732,7.9,5.3,15.2,5.3,0.0,5.2,0.0,63.8,5.1,227.6,5.4,391.0,41.3,622.0,87.4,1.59,0.26,16.7,5.0,2.47,0.07,195.66,3.8,,,,,,,,0.0,,,
1,5,10.0,5,0,25.0,0,50.0,5,430.901597557685,61.48241037047603,7.9,5.0,10.3,5.2,0.0,25.4,0.0,49.0,5.1,207.8,13.7,275.0,56.2,816.0,55.2,2.97,0.37,0.0,8.5,2.32,0.1,167.49,3.85,,,,,,,,0.0,,,
1,0,25.0,10,0,5.0,0,35.0,25,366.0800115787403,177.301891621497,6.25,0.0,24.9,10.1,0.0,5.0,0.0,34.8,25.2,296.2,2.6,601.0,17.4,1144.0,32.8,1.9,0.08,29.9,0.9,3.4,0.29,198.66,5.95,,,,,,,,0.0,,,
