trial_id,neurons_encoder,latent_dim,neurons_decoder
0,"[228, 456]",891,"[456, 228, 114]"
1,"[60, 120, 240]",274,"[240, 120]"
2,[152],186,[152]
3,[12],20,[12]
4,"[120, 240]",453,"[240, 120]"
5,"[168, 336, 672]",1252,"[672, 336]"
6,[244],368,"[244, 122, 61]"
7,"[164, 328, 656]",1190,[656]
8,"[176, 352, 704]",1386,[704]
9,"[48, 96, 192]",365,"[192, 96]"
10,"[52, 104, 208]",248,[208]
11,[104],186,"[104, 52, 26]"
12,[192],274,"[192, 96]"
13,"[52, 104, 208]",240,[208]
14,"[92, 184]",259,"[184, 92]"
15,"[72, 144, 288]",496,"[288, 144]"
16,"[92, 184]",275,"[184, 92]"
17,"[208, 416]",627,"[416, 208]"
18,"[84, 168]",231,[168]
19,"[88, 176]",240,[176]
20,"[4, 8]",8,[8]
21,"[28, 56]",71,[56]
22,"[4, 8]",8,[8]
23,"[4, 8]",8,"[8, 8, 8]"
24,"[4, 8]",11,[8]
25,"[132, 264]",320,[264]
26,"[132, 264]",314,[264]
27,"[132, 264]",308,[264]
28,"[124, 248]",310,"[248, 124, 62]"
29,"[132, 264]",313,[264]
30,"[104, 208, 416]",459,[416]
31,"[36, 72, 144]",222,"[144, 72]"
32,"[144, 288, 576]",834,[576]
33,[144],198,[144]
34,[148],202,[148]
35,"[36, 72]",107,[72]
36,"[72, 144]",226,[144]
37,"[108, 216]",289,[216]
38,"[108, 216]",302,"[216, 108]"
39,"[112, 224]",289,"[224, 112]"
40,"[72, 144]",216,"[144, 72]"
41,"[28, 56]",90,"[56, 28]"
42,"[24, 48]",77,"[48, 24]"
43,[116],162,"[116, 58]"
44,"[24, 48]",79,[48]
45,"[24, 48]",74,[48]
46,"[32, 64]",103,[64]
47,"[32, 64]",107,[64]
48,"[160, 320, 640]",680,[640]
49,"[44, 88, 176]",328,[176]
50,"[40, 80, 160]",252,"[160, 80, 40]"
51,"[44, 88, 176]",258,"[176, 88, 44]"
52,"[164, 328, 656]",688,[656]
53,"[164, 328, 656]",696,[656]
54,"[164, 328, 656]",692,[656]
55,"[168, 336]",386,[336]
56,"[64, 128]",177,[128]
57,"[60, 120]",169,[120]
58,"[88, 176]",293,[176]
59,"[92, 184]",292,[184]
60,"[92, 184]",287,[184]
61,"[192, 384]",436,[384]
62,"[180, 360]",413,[360]
63,"[188, 376]",410,[376]
64,"[84, 168]",244,[168]
65,"[92, 184]",292,[184]
66,"[92, 184]",294,[184]
67,"[84, 168]",285,[168]
68,"[84, 168]",268,[168]
69,"[88, 176]",282,[176]
70,"[84, 168]",266,[168]
71,"[80, 160]",279,[160]
72,"[100, 200]",298,[200]
73,"[96, 192]",299,[192]
74,"[100, 200]",268,[200]
75,"[100, 200]",270,[200]
76,"[124, 248]",303,[248]
77,"[100, 200]",304,[200]
78,"[100, 200]",329,[200]
79,"[76, 152]",283,[152]
80,"[76, 152]",283,[152]
81,"[124, 248]",333,[248]
82,"[120, 240]",323,[240]
83,"[124, 248]",333,[248]
84,"[120, 240]",270,[240]
85,"[124, 248]",271,[248]
86,"[124, 248]",272,[248]
87,"[64, 128]",248,[128]
88,"[64, 128]",245,[128]
89,"[64, 128]",244,[128]
90,"[112, 224]",353,[224]
91,"[140, 280]",337,[280]
92,"[136, 272]",298,[272]
93,"[108, 216]",263,[216]
94,"[140, 280]",299,[280]
95,"[56, 112]",213,[112]
96,"[112, 224]",261,[224]
97,"[108, 216]",262,[216]
98,"[244, 488]",509,[488]
99,"[80, 160]",254,[160]
100,"[68, 136]",256,[136]
101,"[68, 136]",254,[136]
102,"[80, 160]",254,[160]
103,"[80, 160]",255,[160]
104,"[80, 160]",238,[160]
105,"[256, 512]",528,[512]
106,"[80, 160]",236,[160]
107,"[80, 160]",239,[160]
108,"[80, 160]",236,[160]
109,"[84, 168]",236,[168]
110,"[56, 112]",222,[112]
111,"[56, 112]",221,[112]
112,"[52, 104]",207,[104]
113,"[52, 104]",207,[104]
114,"[72, 144]",249,[144]
115,"[88, 176]",239,[176]
116,"[88, 176]",240,[176]
117,"[76, 152]",231,[152]
118,"[88, 176]",238,[176]
119,"[88, 176]",276,[176]
120,"[96, 192]",228,[192]
121,"[96, 192]",229,[192]
122,"[96, 192]",250,[192]
123,"[96, 192]",276,[192]
124,"[48, 96]",191,[96]
125,"[96, 192]",228,[192]
126,"[92, 184]",229,[184]
127,"[68, 136]",245,[136]
128,"[68, 136]",245,[136]
129,"[68, 136]",245,[136]
130,"[68, 136]",246,[136]
131,"[72, 144]",232,[144]
132,"[72, 144]",234,[144]
133,"[104, 208]",235,[208]
134,"[84, 168]",243,[168]
135,"[116, 232]",249,[232]
136,"[60, 120]",233,[120]
137,"[60, 120]",234,[120]
138,"[76, 152]",242,[152]
139,"[60, 120]",232,[120]
140,"[60, 120]",233,[120]
141,"[48, 96]",191,[96]
142,"[104, 208]",267,[208]
143,"[84, 168]",225,[168]
144,"[104, 208]",242,[208]
145,"[76, 152]",224,[152]
146,"[72, 144]",226,[144]
147,"[76, 152]",252,[152]
148,"[76, 152]",224,[152]
149,"[76, 152]",241,[152]
150,"[76, 152]",242,[152]
151,"[76, 152]",241,"[152, 76, 38]"
152,"[76, 152]",217,[152]
153,"[212, 424]",434,[424]
154,[88],131,"[88, 44, 22]"
155,"[84, 168]",219,[168]
156,"[64, 128]",238,"[128, 64]"
157,"[64, 128]",237,"[128, 64, 32]"
158,"[64, 128]",236,"[128, 64, 32]"
159,"[64, 128]",237,"[128, 64]"
160,"[64, 128]",247,"[128, 64, 32]"
161,"[72, 144]",247,"[144, 72, 36]"
162,"[68, 136]",241,"[136, 68]"
163,"[72, 144]",230,"[144, 72, 36]"
164,"[52, 104]",207,[104]
165,"[72, 144]",242,[144]
166,"[84, 168]",250,[168]
167,"[84, 168]",259,[168]
168,"[84, 168]",242,[168]
169,"[84, 168]",251,[168]
170,"[84, 168]",250,[168]
171,"[84, 168]",252,[168]
172,"[92, 184]",259,[184]
173,"[92, 184]",257,[184]
174,"[92, 184]",260,[184]
175,"[92, 184]",258,[184]
176,"[92, 184]",258,[184]
177,"[92, 184]",256,[184]
178,"[92, 184]",256,[184]
179,"[80, 160]",252,[160]
180,"[100, 200]",255,[200]
181,"[100, 200]",254,[200]
182,"[100, 200]",253,[200]
183,"[80, 160]",252,[160]
184,"[80, 160]",249,[160]
185,"[104, 208]",264,[208]
186,"[104, 208]",252,[208]
187,"[88, 176]",264,[176]
188,"[88, 176]",265,[176]
189,"[88, 176]",264,[176]
190,"[88, 176]",264,[176]
191,"[84, 168]",263,[168]
192,"[84, 168]",261,[168]
193,"[80, 160]",262,[160]
194,"[80, 160]",261,[160]
195,"[96, 192]",248,[192]
196,"[84, 168]",271,[168]
