trial_id,neurons_encoder,latent_dim,neurons_decoder
0,"[48, 96, 192, 384]",584,[384]
1,"[8, 16, 32, 64]",70,"[64, 32, 16, 8]"
2,"[104, 208, 416, 832]",1544,"[832, 416, 208, 104]"
3,"[56, 112, 224]",248,"[224, 112, 56, 28, 14]"
4,[56],93,"[56, 28]"
5,"[232, 464, 928, 1856, 3712]",7048,"[3712, 1856, 928]"
6,"[192, 384, 768, 1536, 3072]",7304,"[3072, 1536, 768, 384]"
7,"[192, 384, 768]",1176,"[768, 384]"
8,"[196, 392, 784, 1568, 3136]",7752,"[3136, 1568]"
9,[56],77,"[56, 28, 14, 8]"
10,"[108, 216, 432, 864, 1728]",4264,"[1728, 864, 432, 216, 108]"
11,"[88, 176, 352, 704]",1496,"[704, 352, 176, 88]"
12,[32],51,"[32, 16, 8]"
13,"[196, 392, 784, 1568]",3288,"[1568, 784, 392, 196]"
14,"[188, 376]",736,[376]
15,"[152, 304, 608]",1256,"[608, 304]"
16,"[132, 264, 528]",1096,"[528, 264]"
17,"[128, 256, 512]",1016,"[512, 256]"
18,"[116, 232]",480,"[232, 116, 58, 29, 14]"
19,"[100, 200]",416,"[200, 100, 50, 25, 12]"
20,"[100, 200]",400,"[200, 100, 50, 25, 12]"
21,"[156, 312]",576,"[312, 156, 78]"
22,"[256, 512]",1096,"[512, 256, 128]"
23,"[164, 328]",480,"[328, 164, 82]"
24,"[252, 504]",864,"[504, 252, 126]"
25,"[160, 320]",440,"[320, 160, 80]"
26,"[252, 504]",816,"[504, 252, 126, 63, 31]"
27,"[84, 168]",256,"[168, 84, 42, 21, 10]"
28,"[88, 176]",280,"[176, 88, 44, 22, 11]"
29,"[96, 192, 384]",408,"[384, 192, 96, 48, 24]"
30,"[80, 160, 320]",392,"[320, 160, 80, 40, 20]"
31,"[228, 456, 912]",1320,"[912, 456, 228, 114, 57]"
32,"[224, 448, 896]",1288,[896]
33,"[232, 464, 928]",1304,[928]
34,[224],344,[224]
35,"[216, 432, 864]",1336,[864]
36,"[216, 432, 864]",984,"[864, 432, 216, 108, 54]"
37,[136],176,"[136, 68, 34, 17, 8]"
38,"[32, 64, 128]",168,"[128, 64, 32, 16]"
