number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_relative_deterioration,state
0,0.16313101844181221,2025-01-09 21:56:07.504393,2025-01-09 21:56:16.731654,0 days 00:00:09.227261,0.010703541237172163,40,0.2,16,100,0.00048394441309421675,504,0.004434459227938876,1,5,adam,"{'neurons_per_layer_encoder': [16, 32, 64, 128, 256], 'neurons_per_layer_decoder': [256]}",16,[256],"[16, 32, 64, 128, 256]",[0.16313101844181221],0.03752316752904837,COMPLETE
1,-0.1188678360715738,2025-01-09 21:56:07.504628,2025-01-09 21:56:08.997061,0 days 00:00:01.492433,0.01121204460653116,72,0.30000000000000004,116,100,4.897884722510226e-06,124,1.9813274393363576e-05,5,1,sgd,"{'neurons_per_layer_encoder': [116], 'neurons_per_layer_decoder': [116, 58, 29, 14, 8]}",116,"[116, 58, 29, 14, 8]",[116],[-0.1188678360715738],0.09495407734922082,COMPLETE
2,-0.7537546781180184,2025-01-09 21:56:07.504707,2025-01-09 21:56:13.185246,0 days 00:00:05.680539,0.03585732472215609,64,0.2,36,100,0.000590712674690224,920,2.376962408302201e-05,4,5,adam,"{'neurons_per_layer_encoder': [36, 72, 144, 288, 576], 'neurons_per_layer_decoder': [576, 288, 144, 72]}",36,"[576, 288, 144, 72]","[36, 72, 144, 288, 576]",[-0.7537546781180184],0.9434270830167405,COMPLETE
3,-0.20822922338868155,2025-01-09 21:56:07.504885,2025-01-09 21:56:08.951531,0 days 00:00:01.446646,0.013780946576218643,104,0.30000000000000004,140,100,1.907672749284172e-05,196,1.1058710646648717e-05,5,1,sgd,"{'neurons_per_layer_encoder': [140], 'neurons_per_layer_decoder': [140, 70, 35, 17, 8]}",140,"[140, 70, 35, 17, 8]",[140],[-0.20822922338868155],0.46054938238372634,COMPLETE
4,-0.01231922164471766,2025-01-09 21:56:07.505149,2025-01-09 21:56:09.384731,0 days 00:00:01.879582,0.015432721107692886,120,0.4,24,100,2.3224656973423332e-05,26,0.002890290397852884,2,1,adadelta,"{'neurons_per_layer_encoder': [24], 'neurons_per_layer_decoder': [24, 12]}",24,"[24, 12]",[24],[-0.01231922164471766],0.4105971336277647,COMPLETE
5,-0.16638404354067626,2025-01-09 21:56:08.960171,2025-01-09 21:56:19.913403,0 days 00:00:10.953232,0.027761544690057538,128,0.30000000000000004,220,100,8.665376399410371e-05,7240,1.0496896218270075e-05,4,5,sgd,"{'neurons_per_layer_encoder': [220, 440, 880, 1760, 3520], 'neurons_per_layer_decoder': [3520, 1760, 880, 440]}",220,"[3520, 1760, 880, 440]","[220, 440, 880, 1760, 3520]",[-0.16638404354067626],0.9591236638774377,COMPLETE
6,0.08504245010186817,2025-01-09 21:56:09.008506,2025-01-09 21:56:28.216993,0 days 00:00:19.208487,0.1534860927102006,112,0.2,228,100,8.226878352404872e-06,4296,0.005164311176254487,5,4,sgd,"{'neurons_per_layer_encoder': [228, 456, 912, 1824], 'neurons_per_layer_decoder': [1824, 912, 456, 228, 114]}",228,"[1824, 912, 456, 228, 114]","[228, 456, 912, 1824]",[0.08504245010186817],0.5902618989111242,COMPLETE
7,-0.019841308926978662,2025-01-09 21:56:09.397008,2025-01-09 21:56:17.395217,0 days 00:00:07.998209,0.012940371443641437,48,0.2,224,100,0.00010663112160875103,1656,0.004707487160306747,4,3,adadelta,"{'neurons_per_layer_encoder': [224, 448, 896], 'neurons_per_layer_decoder': [896, 448, 224, 112]}",224,"[896, 448, 224, 112]","[224, 448, 896]",[-0.019841308926978662],0.8859999193485107,COMPLETE
8,0.09835167472032857,2025-01-09 21:56:13.213957,2025-01-09 21:56:27.794788,0 days 00:00:14.580831,0.11304342411065443,104,0.30000000000000004,176,100,1.0602324741379953e-06,4104,0.0013909386795257067,3,5,adam,"{'neurons_per_layer_encoder': [176, 352, 704, 1408, 2816], 'neurons_per_layer_decoder': [2816, 1408, 704]}",176,"[2816, 1408, 704]","[176, 352, 704, 1408, 2816]",[0.09835167472032857],-0.17854798139994368,COMPLETE
9,0.12177872284894697,2025-01-09 21:56:16.744256,2025-01-09 21:56:23.477298,0 days 00:00:06.733042,0.15214180917803644,72,0.1,80,100,0.0007326823787493266,104,0.0011270163699654183,1,1,adam,"{'neurons_per_layer_encoder': [80], 'neurons_per_layer_decoder': [80]}",80,[80],[80],[0.12177872284894697],0.018521744122293144,COMPLETE
10,,2025-01-09 21:56:17.406505,,,0.03995593199527252,80,0.30000000000000004,212,100,1.028324509404909e-05,960,0.009850203436260592,1,2,adam,"{'neurons_per_layer_encoder': [212, 424], 'neurons_per_layer_decoder': [424]}",212,[424],"[212, 424]",,,RUNNING
11,-0.028543021124659118,2025-01-09 21:56:19.929594,2025-01-09 21:56:28.146995,0 days 00:00:08.217401,0.0609690454289764,32,0.4,224,100,1.9107907594836768e-05,3032,0.00027405085987381334,2,4,sgd,"{'neurons_per_layer_encoder': [224, 448, 896, 1792], 'neurons_per_layer_decoder': [1792, 896]}",224,"[1792, 896]","[224, 448, 896, 1792]",[-0.028543021124659118],0.74569623887206,COMPLETE
12,-0.13922727446489724,2025-01-09 21:56:23.485887,2025-01-09 21:56:29.498046,0 days 00:00:06.012159,0.039350239096983035,96,0.2,128,100,3.696437033507977e-05,2168,0.00439281431173124,3,4,adam,"{'neurons_per_layer_encoder': [128, 256, 512, 1024], 'neurons_per_layer_decoder': [1024, 512, 256]}",128,"[1024, 512, 256]","[128, 256, 512, 1024]",[-0.13922727446489724],0.7247712213365081,COMPLETE
13,-0.03878172296720961,2025-01-09 21:56:27.808396,2025-01-09 21:56:31.071214,0 days 00:00:03.262818,0.03405180977651768,80,0.1,208,100,0.0003413881733609164,1912,1.1122408233664275e-05,3,4,sgd,"{'neurons_per_layer_encoder': [208, 416, 832, 1664], 'neurons_per_layer_decoder': [1664, 832, 416]}",208,"[1664, 832, 416]","[208, 416, 832, 1664]",[-0.03878172296720961],0.9763997288642992,COMPLETE
14,0.1666956009951429,2025-01-09 21:56:28.155109,2025-01-09 21:56:32.991017,0 days 00:00:04.835908,0.06549405095707664,32,0.1,64,100,0.00017167546500484343,440,0.008989868478879465,1,3,adam,"{'neurons_per_layer_encoder': [64, 128, 256], 'neurons_per_layer_decoder': [256]}",64,[256],"[64, 128, 256]",[0.1666956009951429],-0.3117489278058392,COMPLETE
15,0.019240949104973093,2025-01-09 21:56:28.227603,2025-01-09 21:56:32.053636,0 days 00:00:03.826033,0.09338697899645856,88,0.1,72,100,0.0008128824285656125,280,0.0006420223643956339,1,2,adam,"{'neurons_per_layer_encoder': [72, 144], 'neurons_per_layer_decoder': [144]}",72,[144],"[72, 144]",[0.019240949104973093],0.6765308900995917,COMPLETE
16,0.09307917378159036,2025-01-09 21:56:29.508223,2025-01-09 21:56:32.980344,0 days 00:00:03.472121,0.09784727026326112,48,0.1,72,100,0.000990137996725533,264,0.0005367387649039366,1,2,adam,"{'neurons_per_layer_encoder': [72, 144], 'neurons_per_layer_decoder': [144]}",72,[144],"[72, 144]",[0.09307917378159036],0.6828530114669336,COMPLETE
17,0.07301830746603899,2025-01-09 21:56:31.079226,2025-01-09 21:56:33.956914,0 days 00:00:02.877688,0.0788904844440092,48,0.1,64,100,0.0008565228137841309,216,0.0007894085313357827,1,2,adam,"{'neurons_per_layer_encoder': [64, 128], 'neurons_per_layer_decoder': [128]}",64,[128],"[64, 128]",[0.07301830746603899],0.5325837566899547,COMPLETE
