number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_model_summary,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_relative_deterioration,state
0,-0.4881336506882725,2025-01-12 21:12:11.765090,2025-01-12 21:12:13.832869,0 days 00:00:02.067779,0.16389842166662075,80,0.1,252,160,1.0831519936617151e-06,559,0.00010826799009255345,2,2,adadelta,"{'neurons_per_layer_encoder': [252, 504], 'neurons_per_layer_decoder': [504, 252]}",252,,"[504, 252]","[252, 504]",[-0.4881336506882725],0.22008850449533532,COMPLETE
1,-0.17695145316830363,2025-01-12 21:12:11.766736,2025-01-12 21:12:14.966686,0 days 00:00:03.199950,0.09510040514915842,72,0.1,48,100,0.00011455526104360278,89,5.03772368880431e-05,3,1,adadelta,"{'neurons_per_layer_encoder': [48], 'neurons_per_layer_decoder': [48, 24, 12]}",48,,"[48, 24, 12]",[48],[-0.17695145316830363],0.5201324247333567,COMPLETE
2,-1.1807377232504264,2025-01-12 21:12:11.765156,2025-01-12 21:12:13.422823,0 days 00:00:01.657667,0.16894275076944498,64,0.1,220,100,0.0002900505347670006,449,0.0019011634553379672,1,2,adadelta,"{'neurons_per_layer_encoder': [220, 440], 'neurons_per_layer_decoder': [440]}",220,,[440],"[220, 440]",[-1.1807377232504264],0.7721625137826754,COMPLETE
3,0.006306387378636424,2025-01-12 21:12:11.765251,2025-01-12 21:12:15.041711,0 days 00:00:03.276460,0.17488715092383142,80,0.30000000000000004,120,80,5.166795899145396e-05,800,0.003943544349463267,3,3,sgd,"{'neurons_per_layer_encoder': [120, 240, 480], 'neurons_per_layer_decoder': [480, 240, 120]}",120,,"[480, 240, 120]","[120, 240, 480]",[0.006306387378636424],0.6844543647468996,COMPLETE
4,0.3582574996288733,2025-01-12 21:12:11.765248,2025-01-12 21:12:18.027895,0 days 00:00:06.262647,0.018807133946314596,48,0.4,124,200,3.061914122261938e-05,981,0.0006865416622666668,2,3,adam,"{'neurons_per_layer_encoder': [124, 248, 496], 'neurons_per_layer_decoder': [496, 248]}",124,,"[496, 248]","[124, 248, 496]",[0.3582574996288733],0.5161745052698153,COMPLETE
5,0.24641498079807111,2025-01-12 21:12:13.432718,2025-01-12 21:12:16.667185,0 days 00:00:03.234467,0.09502824556898365,112,0.30000000000000004,28,120,1.8361775814650014e-06,33,0.00018571215087167373,1,1,adam,"{'neurons_per_layer_encoder': [28], 'neurons_per_layer_decoder': [28]}",28,,[28],[28],[0.24641498079807111],0.0988922181256832,COMPLETE
6,-0.879006404251004,2025-01-12 21:12:13.841848,2025-01-12 21:12:16.087702,0 days 00:00:02.245854,0.01099520471754395,64,0.1,188,60,0.00015525446907599285,414,0.0027374009075956714,3,2,adadelta,"{'neurons_per_layer_encoder': [188, 376], 'neurons_per_layer_decoder': [376, 188, 94]}",188,,"[376, 188, 94]","[188, 376]",[-0.879006404251004],0.699548953757655,COMPLETE
7,-0.4032970950622712,2025-01-12 21:12:14.978276,2025-01-12 21:12:16.298229,0 days 00:00:01.319953,0.017208731319847178,80,0.2,84,120,0.0003878444818720407,152,0.0011025707970819905,1,1,adadelta,"{'neurons_per_layer_encoder': [84], 'neurons_per_layer_decoder': [84]}",84,,[84],[84],[-0.4032970950622712],0.45256479227476565,COMPLETE
8,-0.29719373166502505,2025-01-12 21:12:15.051091,2025-01-12 21:12:16.310166,0 days 00:00:01.259075,0.04465097172452118,56,0.4,100,140,0.00020919201952766976,164,0.00016177502195111715,1,1,adam,"{'neurons_per_layer_encoder': [100], 'neurons_per_layer_decoder': [100]}",100,,[100],[100],[-0.29719373166502505],0.19855324798634114,COMPLETE
9,-0.20611657506750247,2025-01-12 21:12:16.095477,2025-01-12 21:12:19.500443,0 days 00:00:03.404966,0.19165746818870755,88,0.4,120,80,8.418977919464581e-05,957,0.002187798830779492,3,3,sgd,"{'neurons_per_layer_encoder': [120, 240, 480], 'neurons_per_layer_decoder': [480, 240, 120]}",120,,"[480, 240, 120]","[120, 240, 480]",[-0.20611657506750247],0.7276845925600937,COMPLETE
10,-0.024775260422423395,2025-01-12 21:12:16.310564,2025-01-12 21:12:28.401003,0 days 00:00:12.090439,0.02647132081920363,96,0.1,244,160,0.0002164508188633572,1663,4.075472604622249e-05,3,3,adam,"{'neurons_per_layer_encoder': [244, 488, 976], 'neurons_per_layer_decoder': [976, 488, 244]}",244,,"[976, 488, 244]","[244, 488, 976]",[-0.024775260422423395],0.9307042610930756,COMPLETE
11,-0.022802739177252507,2025-01-12 21:12:16.326064,2025-01-12 21:12:18.514222,0 days 00:00:02.188158,0.01653079564903757,96,0.1,236,60,1.5861699084942006e-06,736,0.0029009552452114286,1,2,sgd,"{'neurons_per_layer_encoder': [236, 472], 'neurons_per_layer_decoder': [472]}",236,,[472],"[236, 472]",[-0.022802739177252507],-0.949459824472319,COMPLETE
12,-0.6506114160120147,2025-01-12 21:12:16.676654,2025-01-12 21:12:18.581257,0 days 00:00:01.904603,0.021815786785542683,88,0.4,52,160,0.00031784397654262525,380,0.002544399093459813,1,3,adadelta,"{'neurons_per_layer_encoder': [52, 104, 208], 'neurons_per_layer_decoder': [208]}",52,,[208],"[52, 104, 208]",[-0.6506114160120147],0.7100835381179051,COMPLETE
13,-0.4481932136892035,2025-01-12 21:12:18.042034,2025-01-12 21:12:19.149685,0 days 00:00:01.107651,0.039731230015151504,88,0.4,100,180,9.508045673528806e-06,162,1.1721107515923873e-05,1,1,sgd,"{'neurons_per_layer_encoder': [100], 'neurons_per_layer_decoder': [100]}",100,,[100],[100],[-0.4481932136892035],0.3624140865609888,COMPLETE
