number,values_0,values_1,values_2,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_r2_feature_2,user_attrs_r2_feature_3,user_attrs_relative_deterioration,state
0,-0.019957990485931942,0.028690125600680072,-0.10329334161215864,2024-12-23 18:29:53.310329,2024-12-23 18:30:04.248659,0 days 00:00:10.938330,0.04768197047173684,72,0.30000000000000004,56,100,5.925131773698629e-05,1496,0.008316914255819274,2,5,sgd,"{'neurons_per_layer_encoder': [56, 112, 224, 448, 896], 'neurons_per_layer_decoder': [896, 448]}",56,"[896, 448]","[56, 112, 224, 448, 896]",[-0.019957990485931942],[0.028690125600680072],[-0.10329334161215864],0.7858799347755234,COMPLETE
1,0.2728156670216825,0.24042432573703176,0.2180208834265741,2024-12-23 18:29:53.311111,2024-12-23 18:30:02.864285,0 days 00:00:09.553174,0.055881491084651,80,0.1,92,100,1.2186488487202162e-05,856,0.0005044815128116169,2,3,adam,"{'neurons_per_layer_encoder': [92, 184, 368], 'neurons_per_layer_decoder': [368, 184]}",92,"[368, 184]","[92, 184, 368]",[0.2728156670216825],[0.24042432573703176],[0.2180208834265741],-0.3505602400358317,COMPLETE
2,-0.419644275620463,-0.2323833856327202,-0.19823138894137893,2024-12-23 18:29:53.310840,2024-12-23 18:29:57.828419,0 days 00:00:04.517579,0.013710038090548403,88,0.1,48,100,1.5488796765988865e-06,232,0.0012657410848132466,1,3,sgd,"{'neurons_per_layer_encoder': [48, 96, 192], 'neurons_per_layer_decoder': [192]}",48,[192],"[48, 96, 192]",[-0.419644275620463],[-0.2323833856327202],[-0.19823138894137893],0.23640892298469085,COMPLETE
3,-0.44413362019198965,-1.1202593685487119,-0.09688812448353379,2024-12-23 18:29:53.310704,2024-12-23 18:29:59.836309,0 days 00:00:06.525605,0.03458637716317099,128,0.4,180,100,2.9357325992297244e-05,5784,0.001832340368629769,5,5,sgd,"{'neurons_per_layer_encoder': [180, 360, 720, 1440, 2880], 'neurons_per_layer_decoder': [2880, 1440, 720, 360, 180]}",180,"[2880, 1440, 720, 360, 180]","[180, 360, 720, 1440, 2880]",[-0.44413362019198965],[-1.1202593685487119],[-0.09688812448353379],0.8326039033972579,COMPLETE
4,-0.21335617716020594,-0.9108165841565805,-0.07747552902508725,2024-12-23 18:29:53.310938,2024-12-23 18:29:55.071741,0 days 00:00:01.760803,0.011696713076691605,88,0.4,52,100,1.5472265372136385e-05,57,0.001024908681264481,3,1,sgd,"{'neurons_per_layer_encoder': [52], 'neurons_per_layer_decoder': [52, 26, 13]}",52,"[52, 26, 13]",[52],[-0.21335617716020594],[-0.9108165841565805],[-0.07747552902508725],0.03802225350321144,COMPLETE
5,-0.016323654462665926,-1.8135833905639434,0.013124981798750213,2024-12-23 18:29:53.310669,2024-12-23 18:30:49.120319,0 days 00:00:55.809650,0.0286244770264945,72,0.2,244,100,0.0007326114647566532,6456,0.004307679719402686,4,5,adadelta,"{'neurons_per_layer_encoder': [244, 488, 976, 1952, 3904], 'neurons_per_layer_decoder': [3904, 1952, 976, 488]}",244,"[3904, 1952, 976, 488]","[244, 488, 976, 1952, 3904]",[-0.016323654462665926],[-1.8135833905639434],[0.013124981798750213],0.9932530504902302,COMPLETE
6,-0.765152505347847,-0.7975804424784967,-0.07639869696430468,2024-12-23 18:29:55.078361,2024-12-23 18:29:58.972346,0 days 00:00:03.893985,0.09566812372251624,128,0.2,136,100,0.0004465135880588955,1096,1.5368927857132536e-05,4,3,sgd,"{'neurons_per_layer_encoder': [136, 272, 544], 'neurons_per_layer_decoder': [544, 272, 136, 68]}",136,"[544, 272, 136, 68]","[136, 272, 544]",[-0.765152505347847],[-0.7975804424784967],[-0.07639869696430468],0.9268797688714037,COMPLETE
7,-0.7080633589595358,-0.6671796722336418,-0.047484034808645825,2024-12-23 18:29:57.836348,2024-12-23 18:30:04.502423,0 days 00:00:06.666075,0.11691509349941236,128,0.4,136,100,0.0006393041148939333,456,2.5956967702647666e-05,4,2,adadelta,"{'neurons_per_layer_encoder': [136, 272], 'neurons_per_layer_decoder': [272, 136, 68, 34]}",136,"[272, 136, 68, 34]","[136, 272]",[-0.7080633589595358],[-0.6671796722336418],[-0.047484034808645825],0.8961996332695047,COMPLETE
8,-0.24614846668051005,0.07625307516352675,0.061597430016417376,2024-12-23 18:29:58.979947,2024-12-23 18:30:06.720990,0 days 00:00:07.741043,0.0224176635997034,88,0.1,52,100,0.00021817461059299103,360,0.0047699907162377965,2,3,sgd,"{'neurons_per_layer_encoder': [52, 104, 208], 'neurons_per_layer_decoder': [208, 104]}",52,"[208, 104]","[52, 104, 208]",[-0.24614846668051005],[0.07625307516352675],[0.061597430016417376],0.7384239092887902,COMPLETE
9,-0.28500374467154366,-0.5333359565190618,-0.2527447549686126,2024-12-23 18:29:59.847408,2024-12-23 18:30:04.110695,0 days 00:00:04.263287,0.1974413307738955,56,0.30000000000000004,72,100,8.161278060491405e-05,1288,0.008521738066526284,2,4,sgd,"{'neurons_per_layer_encoder': [72, 144, 288, 576], 'neurons_per_layer_decoder': [576, 288]}",72,"[576, 288]","[72, 144, 288, 576]",[-0.28500374467154366],[-0.5333359565190618],[-0.2527447549686126],0.7389028331645204,COMPLETE
